context: The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	Heroes of justice fighting villains and saving people from distress.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress. response:	Yes, this is the story of how I became the greatest hero.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero. response:	Midoriya.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Midoriya. response:	I'm going to beat you.
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Midoriya.\I'm going to beat you. response:	The students from the other courses are aiming for the top with everything they've got!
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Midoriya.\I'm going to beat you.\The students from the other courses are aiming for the top with everything they've got! response:	I can't afford to fall behind.
context: the profession that everyone once dreamed about and admired\came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Midoriya.\I'm going to beat you.\The students from the other courses are aiming for the top with everything they've got!\I can't afford to fall behind. response:	I'll be going for it with everything I have, too.
context: came into the limelight.\Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Midoriya.\I'm going to beat you.\The students from the other courses are aiming for the top with everything they've got!\I can't afford to fall behind.\I'll be going for it with everything I have, too. response:	In Their Own Quirky Ways
context: Heroes of justice fighting villains and saving people from distress.\Yes, this is the story of how I became the greatest hero.\Midoriya.\I'm going to beat you.\The students from the other courses are aiming for the top with everything they've got!\I can't afford to fall behind.\I'll be going for it with everything I have, too.\In Their Own Quirky Ways response:	The U.A. sports festival first-year stage qualifier!
context: Yes, this is the story of how I became the greatest hero.\Midoriya.\I'm going to beat you.\The students from the other courses are aiming for the top with everything they've got!\I can't afford to fall behind.\I'll be going for it with everything I have, too.\In Their Own Quirky Ways\The U.A. sports festival first-year stage qualifier! response:	The first game is an obstacle course race!
context: Midoriya.\I'm going to beat you.\The students from the other courses are aiming for the top with everything they've got!\I can't afford to fall behind.\I'll be going for it with everything I have, too.\In Their Own Quirky Ways\The U.A. sports festival first-year stage qualifier!\The first game is an obstacle course race! response:	It's a cruel chicken race where anything goes as long as you stay on course!
context: I'm going to beat you.\The students from the other courses are aiming for the top with everything they've got!\I can't afford to fall behind.\I'll be going for it with everything I have, too.\In Their Own Quirky Ways\The U.A. sports festival first-year stage qualifier!\The first game is an obstacle course race!\It's a cruel chicken race where anything goes as long as you stay on course! response:	Hey.
context: The students from the other courses are aiming for the top with everything they've got!\I can't afford to fall behind.\I'll be going for it with everything I have, too.\In Their Own Quirky Ways\The U.A. sports festival first-year stage qualifier!\The first game is an obstacle course race!\It's a cruel chicken race where anything goes as long as you stay on course!\Hey. response:	-We'll bring you the exciting scenes
context: I can't afford to fall behind.\I'll be going for it with everything I have, too.\In Their Own Quirky Ways\The U.A. sports festival first-year stage qualifier!\The first game is an obstacle course race!\It's a cruel chicken race where anything goes as long as you stay on course!\Hey.\-We'll bring you the exciting scenes response:	-with camera robots set around the course! -You don't need me, do you?
context: I'll be going for it with everything I have, too.\In Their Own Quirky Ways\The U.A. sports festival first-year stage qualifier!\The first game is an obstacle course race!\It's a cruel chicken race where anything goes as long as you stay on course!\Hey.\-We'll bring you the exciting scenes\-with camera robots set around the course! -You don't need me, do you? response:	Now then-
context: In Their Own Quirky Ways\The U.A. sports festival first-year stage qualifier!\The first game is an obstacle course race!\It's a cruel chicken race where anything goes as long as you stay on course!\Hey.\-We'll bring you the exciting scenes\-with camera robots set around the course! -You don't need me, do you?\Now then- response:	Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!
context: The U.A. sports festival first-year stage qualifier!\The first game is an obstacle course race!\It's a cruel chicken race where anything goes as long as you stay on course!\Hey.\-We'll bring you the exciting scenes\-with camera robots set around the course! -You don't need me, do you?\Now then-\Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?! response:	If they went through all this trouble, I wish they would've prepared something better.
context: The first game is an obstacle course race!\It's a cruel chicken race where anything goes as long as you stay on course!\Hey.\-We'll bring you the exciting scenes\-with camera robots set around the course! -You don't need me, do you?\Now then-\Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!\If they went through all this trouble, I wish they would've prepared something better. response:	Since my stupid old man is watching.
context: It's a cruel chicken race where anything goes as long as you stay on course!\Hey.\-We'll bring you the exciting scenes\-with camera robots set around the course! -You don't need me, do you?\Now then-\Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!\If they went through all this trouble, I wish they would've prepared something better.\Since my stupid old man is watching. response:	He stopped them!
context: Hey.\-We'll bring you the exciting scenes\-with camera robots set around the course! -You don't need me, do you?\Now then-\Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!\If they went through all this trouble, I wish they would've prepared something better.\Since my stupid old man is watching.\He stopped them! response:	Between their legs! We can get through!
context: -We'll bring you the exciting scenes\-with camera robots set around the course! -You don't need me, do you?\Now then-\Can the golden eggs aiming to be future heroes get through the mass of Robo Infernos?!\If they went through all this trouble, I wish they would've prepared something better.\Since my stupid old man is watching.\He stopped them!\Between their legs! We can get through! response:	I wouldn't if I were you.
