context: July 15th (Thurs) 8:30 PM response:	This isn't good... This isn't good at all!
context: July 15th (Thurs) 8:30 PM\This isn't good... This isn't good at all! response:	I need to let Yoshikage know!
context: July 15th (Thurs) 8:30 PM\This isn't good... This isn't good at all!\I need to let Yoshikage know! response:	Reimi!
context: July 15th (Thurs) 8:30 PM\This isn't good... This isn't good at all!\I need to let Yoshikage know!\Reimi! response:	You took this picture, Rohan?
context: July 15th (Thurs) 8:30 PM\This isn't good... This isn't good at all!\I need to let Yoshikage know!\Reimi!\You took this picture, Rohan? response:	Yes, why?
context: July 15th (Thurs) 8:30 PM\This isn't good... This isn't good at all!\I need to let Yoshikage know!\Reimi!\You took this picture, Rohan?\Yes, why? response:	This one is marked. Is there something wrong with it?
context: July 15th (Thurs) 8:30 PM\This isn't good... This isn't good at all!\I need to let Yoshikage know!\Reimi!\You took this picture, Rohan?\Yes, why?\This one is marked. Is there something wrong with it? response:	The one you have circled looks a little boy.
context: July 15th (Thurs) 8:30 PM\This isn't good... This isn't good at all!\I need to let Yoshikage know!\Reimi!\You took this picture, Rohan?\Yes, why?\This one is marked. Is there something wrong with it?\The one you have circled looks a little boy. response:	Hayato Kawajiri
context: This isn't good... This isn't good at all!\I need to let Yoshikage know!\Reimi!\You took this picture, Rohan?\Yes, why?\This one is marked. Is there something wrong with it?\The one you have circled looks a little boy.\Hayato Kawajiri response:	Oh, him...
context: I need to let Yoshikage know!\Reimi!\You took this picture, Rohan?\Yes, why?\This one is marked. Is there something wrong with it?\The one you have circled looks a little boy.\Hayato Kawajiri\Oh, him... response:	It's nothing, really.
context: Reimi!\You took this picture, Rohan?\Yes, why?\This one is marked. Is there something wrong with it?\The one you have circled looks a little boy.\Hayato Kawajiri\Oh, him...\It's nothing, really. response:	He seemed to be snooping around, so he caught my attention.
context: You took this picture, Rohan?\Yes, why?\This one is marked. Is there something wrong with it?\The one you have circled looks a little boy.\Hayato Kawajiri\Oh, him...\It's nothing, really.\He seemed to be snooping around, so he caught my attention. response:	But this boy, Hayato Kawajiri, has the same last name as this man here.
context: Yes, why?\This one is marked. Is there something wrong with it?\The one you have circled looks a little boy.\Hayato Kawajiri\Oh, him...\It's nothing, really.\He seemed to be snooping around, so he caught my attention.\But this boy, Hayato Kawajiri, has the same last name as this man here. response:	Huh? Really?
context: This one is marked. Is there something wrong with it?\The one you have circled looks a little boy.\Hayato Kawajiri\Oh, him...\It's nothing, really.\He seemed to be snooping around, so he caught my attention.\But this boy, Hayato Kawajiri, has the same last name as this man here.\Huh? Really? response:	Look!
context: The one you have circled looks a little boy.\Hayato Kawajiri\Oh, him...\It's nothing, really.\He seemed to be snooping around, so he caught my attention.\But this boy, Hayato Kawajiri, has the same last name as this man here.\Huh? Really?\Look! response:	Kosaku Kawajiri
context: Hayato Kawajiri\Oh, him...\It's nothing, really.\He seemed to be snooping around, so he caught my attention.\But this boy, Hayato Kawajiri, has the same last name as this man here.\Huh? Really?\Look!\Kosaku Kawajiri response:	It's the same.
context: Oh, him...\It's nothing, really.\He seemed to be snooping around, so he caught my attention.\But this boy, Hayato Kawajiri, has the same last name as this man here.\Huh? Really?\Look!\Kosaku Kawajiri\It's the same. response:	You're the one who researched this, aren't you?
context: It's nothing, really.\He seemed to be snooping around, so he caught my attention.\But this boy, Hayato Kawajiri, has the same last name as this man here.\Huh? Really?\Look!\Kosaku Kawajiri\It's the same.\You're the one who researched this, aren't you? response:	They do have the same last name.
context: He seemed to be snooping around, so he caught my attention.\But this boy, Hayato Kawajiri, has the same last name as this man here.\Huh? Really?\Look!\Kosaku Kawajiri\It's the same.\You're the one who researched this, aren't you?\They do have the same last name. response:	At this rate, Rohan Kishibe will find his way to Yoshikage!
context: But this boy, Hayato Kawajiri, has the same last name as this man here.\Huh? Really?\Look!\Kosaku Kawajiri\It's the same.\You're the one who researched this, aren't you?\They do have the same last name.\At this rate, Rohan Kishibe will find his way to Yoshikage! response:	July 15th (Thurs) 8:48 PM
context: Huh? Really?\Look!\Kosaku Kawajiri\It's the same.\You're the one who researched this, aren't you?\They do have the same last name.\At this rate, Rohan Kishibe will find his way to Yoshikage!\July 15th (Thurs) 8:48 PM response:	Hayato? Hayato!
context: Look!\Kosaku Kawajiri\It's the same.\You're the one who researched this, aren't you?\They do have the same last name.\At this rate, Rohan Kishibe will find his way to Yoshikage!\July 15th (Thurs) 8:48 PM\Hayato? Hayato! response:	Ugh...
context: Kosaku Kawajiri\It's the same.\You're the one who researched this, aren't you?\They do have the same last name.\At this rate, Rohan Kishibe will find his way to Yoshikage!\July 15th (Thurs) 8:48 PM\Hayato? Hayato!\Ugh... response:	Hayato, I've been calling you!
context: It's the same.\You're the one who researched this, aren't you?\They do have the same last name.\At this rate, Rohan Kishibe will find his way to Yoshikage!\July 15th (Thurs) 8:48 PM\Hayato? Hayato!\Ugh...\Hayato, I've been calling you! response:	You can at least answer me!
context: You're the one who researched this, aren't you?\They do have the same last name.\At this rate, Rohan Kishibe will find his way to Yoshikage!\July 15th (Thurs) 8:48 PM\Hayato? Hayato!\Ugh...\Hayato, I've been calling you!\You can at least answer me! response:	D-Darling...
context: They do have the same last name.\At this rate, Rohan Kishibe will find his way to Yoshikage!\July 15th (Thurs) 8:48 PM\Hayato? Hayato!\Ugh...\Hayato, I've been calling you!\You can at least answer me!\D-Darling... response:	I thought it was Hayato in the bath.
context: At this rate, Rohan Kishibe will find his way to Yoshikage!\July 15th (Thurs) 8:48 PM\Hayato? Hayato!\Ugh...\Hayato, I've been calling you!\You can at least answer me!\D-Darling...\I thought it was Hayato in the bath. response:	I mean, look at this!
context: July 15th (Thurs) 8:48 PM\Hayato? Hayato!\Ugh...\Hayato, I've been calling you!\You can at least answer me!\D-Darling...\I thought it was Hayato in the bath.\I mean, look at this! response:	Hayato left his clothes in the hallway as if they exploded off of him.
context: Hayato? Hayato!\Ugh...\Hayato, I've been calling you!\You can at least answer me!\D-Darling...\I thought it was Hayato in the bath.\I mean, look at this!\Hayato left his clothes in the hallway as if they exploded off of him. response:	Unlike you, no matter how many times I warn him, he's such a slob.
context: Ugh...\Hayato, I've been calling you!\You can at least answer me!\D-Darling...\I thought it was Hayato in the bath.\I mean, look at this!\Hayato left his clothes in the hallway as if they exploded off of him.\Unlike you, no matter how many times I warn him, he's such a slob. response:	And he's not answering me again.
context: Hayato, I've been calling you!\You can at least answer me!\D-Darling...\I thought it was Hayato in the bath.\I mean, look at this!\Hayato left his clothes in the hallway as if they exploded off of him.\Unlike you, no matter how many times I warn him, he's such a slob.\And he's not answering me again. response:	I'm sure he's probably got his headphones on, reading manga again.
context: You can at least answer me!\D-Darling...\I thought it was Hayato in the bath.\I mean, look at this!\Hayato left his clothes in the hallway as if they exploded off of him.\Unlike you, no matter how many times I warn him, he's such a slob.\And he's not answering me again.\I'm sure he's probably got his headphones on, reading manga again. response:	Oh! Darling, your fingers are bleeding.
context: D-Darling...\I thought it was Hayato in the bath.\I mean, look at this!\Hayato left his clothes in the hallway as if they exploded off of him.\Unlike you, no matter how many times I warn him, he's such a slob.\And he's not answering me again.\I'm sure he's probably got his headphones on, reading manga again.\Oh! Darling, your fingers are bleeding. response:	What happened?
context: I thought it was Hayato in the bath.\I mean, look at this!\Hayato left his clothes in the hallway as if they exploded off of him.\Unlike you, no matter how many times I warn him, he's such a slob.\And he's not answering me again.\I'm sure he's probably got his headphones on, reading manga again.\Oh! Darling, your fingers are bleeding.\What happened? response:	We need to put a bandage on it.
context: I mean, look at this!\Hayato left his clothes in the hallway as if they exploded off of him.\Unlike you, no matter how many times I warn him, he's such a slob.\And he's not answering me again.\I'm sure he's probably got his headphones on, reading manga again.\Oh! Darling, your fingers are bleeding.\What happened?\We need to put a bandage on it. response:	I-I'll do it myself.
context: Hayato left his clothes in the hallway as if they exploded off of him.\Unlike you, no matter how many times I warn him, he's such a slob.\And he's not answering me again.\I'm sure he's probably got his headphones on, reading manga again.\Oh! Darling, your fingers are bleeding.\What happened?\We need to put a bandage on it.\I-I'll do it myself. response:	I can apply a bandage myself.
context: Unlike you, no matter how many times I warn him, he's such a slob.\And he's not answering me again.\I'm sure he's probably got his headphones on, reading manga again.\Oh! Darling, your fingers are bleeding.\What happened?\We need to put a bandage on it.\I-I'll do it myself.\I can apply a bandage myself. response:	Okay...
context: And he's not answering me again.\I'm sure he's probably got his headphones on, reading manga again.\Oh! Darling, your fingers are bleeding.\What happened?\We need to put a bandage on it.\I-I'll do it myself.\I can apply a bandage myself.\Okay... response:	I just got my fingers caught in the door, that's all.
context: I'm sure he's probably got his headphones on, reading manga again.\Oh! Darling, your fingers are bleeding.\What happened?\We need to put a bandage on it.\I-I'll do it myself.\I can apply a bandage myself.\Okay...\I just got my fingers caught in the door, that's all. response:	Jojo's Bizarre Adventure
context: Oh! Darling, your fingers are bleeding.\What happened?\We need to put a bandage on it.\I-I'll do it myself.\I can apply a bandage myself.\Okay...\I just got my fingers caught in the door, that's all.\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: What happened?\We need to put a bandage on it.\I-I'll do it myself.\I can apply a bandage myself.\Okay...\I just got my fingers caught in the door, that's all.\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	July 15th (Thurs) 8:50 PM
context: We need to put a bandage on it.\I-I'll do it myself.\I can apply a bandage myself.\Okay...\I just got my fingers caught in the door, that's all.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 8:50 PM response:	Hayato Kawajiri?
context: I-I'll do it myself.\I can apply a bandage myself.\Okay...\I just got my fingers caught in the door, that's all.\Jojo's Bizarre Adventure\Diamond is Unbreakable\July 15th (Thurs) 8:50 PM\Hayato Kawajiri? response:	Are you saying this grade-schooler has something to do with Yoshikage Kira?
