context: Out! response:	Lucky!
context: Out!\Lucky! response:	Karasuno Aoba Johsai
context: Out!\Lucky!\Karasuno Aoba Johsai response:	We won the first set against Seijoh!
context: Out!\Lucky!\Karasuno Aoba Johsai\We won the first set against Seijoh! response:	We won the first set!
context: Out!\Lucky!\Karasuno Aoba Johsai\We won the first set against Seijoh!\We won the first set! response:	All right!
context: Out!\Lucky!\Karasuno Aoba Johsai\We won the first set against Seijoh!\We won the first set!\All right! response:	Take the second set, too!
context: Out!\Lucky!\Karasuno Aoba Johsai\We won the first set against Seijoh!\We won the first set!\All right!\Take the second set, too! response:	Sorry.
context: Out!\Lucky!\Karasuno Aoba Johsai\We won the first set against Seijoh!\We won the first set!\All right!\Take the second set, too!\Sorry. response:	That idiot! Not only was that obviously Kindaichi's ball,
context: Lucky!\Karasuno Aoba Johsai\We won the first set against Seijoh!\We won the first set!\All right!\Take the second set, too!\Sorry.\That idiot! Not only was that obviously Kindaichi's ball, response:	but then he steals it only to hit it out?!
context: Karasuno Aoba Johsai\We won the first set against Seijoh!\We won the first set!\All right!\Take the second set, too!\Sorry.\That idiot! Not only was that obviously Kindaichi's ball,\but then he steals it only to hit it out?! response:	And they were at set point!
context: We won the first set against Seijoh!\We won the first set!\All right!\Take the second set, too!\Sorry.\That idiot! Not only was that obviously Kindaichi's ball,\but then he steals it only to hit it out?!\And they were at set point! response:	How can I even start to explain?!
context: We won the first set!\All right!\Take the second set, too!\Sorry.\That idiot! Not only was that obviously Kindaichi's ball,\but then he steals it only to hit it out?!\And they were at set point!\How can I even start to explain?! response:	That's dangerous!
context: All right!\Take the second set, too!\Sorry.\That idiot! Not only was that obviously Kindaichi's ball,\but then he steals it only to hit it out?!\And they were at set point!\How can I even start to explain?!\That's dangerous! response:	Iwaizumi!
context: Take the second set, too!\Sorry.\That idiot! Not only was that obviously Kindaichi's ball,\but then he steals it only to hit it out?!\And they were at set point!\How can I even start to explain?!\That's dangerous!\Iwaizumi! response:	Yeah, that's it! That's how to start!
context: Sorry.\That idiot! Not only was that obviously Kindaichi's ball,\but then he steals it only to hit it out?!\And they were at set point!\How can I even start to explain?!\That's dangerous!\Iwaizumi!\Yeah, that's it! That's how to start! response:	Oh, I'm fine...
context: That idiot! Not only was that obviously Kindaichi's ball,\but then he steals it only to hit it out?!\And they were at set point!\How can I even start to explain?!\That's dangerous!\Iwaizumi!\Yeah, that's it! That's how to start!\Oh, I'm fine... response:	I was feeling stressed because I hadn't been put in the match.
context: but then he steals it only to hit it out?!\And they were at set point!\How can I even start to explain?!\That's dangerous!\Iwaizumi!\Yeah, that's it! That's how to start!\Oh, I'm fine...\I was feeling stressed because I hadn't been put in the match. response:	That's not a valid reason!
context: And they were at set point!\How can I even start to explain?!\That's dangerous!\Iwaizumi!\Yeah, that's it! That's how to start!\Oh, I'm fine...\I was feeling stressed because I hadn't been put in the match.\That's not a valid reason! response:	Who the hell is that?
context: How can I even start to explain?!\That's dangerous!\Iwaizumi!\Yeah, that's it! That's how to start!\Oh, I'm fine...\I was feeling stressed because I hadn't been put in the match.\That's not a valid reason!\Who the hell is that? response:	Why would Seijoh swap in a guy like that?
context: That's dangerous!\Iwaizumi!\Yeah, that's it! That's how to start!\Oh, I'm fine...\I was feeling stressed because I hadn't been put in the match.\That's not a valid reason!\Who the hell is that?\Why would Seijoh swap in a guy like that? response:	Aoba Johsai Karasuno
context: Iwaizumi!\Yeah, that's it! That's how to start!\Oh, I'm fine...\I was feeling stressed because I hadn't been put in the match.\That's not a valid reason!\Who the hell is that?\Why would Seijoh swap in a guy like that?\Aoba Johsai Karasuno response:	Ah, that guy from earlier is there.
