context: Friendship is something that is both fascinating and beautiful. response:	It was thanks to its power that the boy was able to escape the bandits' clutches.
context: Friendship is something that is both fascinating and beautiful.\It was thanks to its power that the boy was able to escape the bandits' clutches. response:	And yet, my friend said to me, there is nothing so inconstant as the human heart.
context: Friendship is something that is both fascinating and beautiful.\It was thanks to its power that the boy was able to escape the bandits' clutches.\And yet, my friend said to me, there is nothing so inconstant as the human heart. response:	Act 3: 5/22, Stormy
context: Friendship is something that is both fascinating and beautiful.\It was thanks to its power that the boy was able to escape the bandits' clutches.\And yet, my friend said to me, there is nothing so inconstant as the human heart.\Act 3: 5/22, Stormy response:	Hey! Albert!
context: Friendship is something that is both fascinating and beautiful.\It was thanks to its power that the boy was able to escape the bandits' clutches.\And yet, my friend said to me, there is nothing so inconstant as the human heart.\Act 3: 5/22, Stormy\Hey! Albert! response:	Wake up!
context: Friendship is something that is both fascinating and beautiful.\It was thanks to its power that the boy was able to escape the bandits' clutches.\And yet, my friend said to me, there is nothing so inconstant as the human heart.\Act 3: 5/22, Stormy\Hey! Albert!\Wake up! response:	I can't believe you were still in bed.
context: Friendship is something that is both fascinating and beautiful.\It was thanks to its power that the boy was able to escape the bandits' clutches.\And yet, my friend said to me, there is nothing so inconstant as the human heart.\Act 3: 5/22, Stormy\Hey! Albert!\Wake up!\I can't believe you were still in bed. response:	I have an important visitor coming today. I've been really busy.
context: Friendship is something that is both fascinating and beautiful.\It was thanks to its power that the boy was able to escape the bandits' clutches.\And yet, my friend said to me, there is nothing so inconstant as the human heart.\Act 3: 5/22, Stormy\Hey! Albert!\Wake up!\I can't believe you were still in bed.\I have an important visitor coming today. I've been really busy. response:	You didn't have to come if you don't want to.
context: It was thanks to its power that the boy was able to escape the bandits' clutches.\And yet, my friend said to me, there is nothing so inconstant as the human heart.\Act 3: 5/22, Stormy\Hey! Albert!\Wake up!\I can't believe you were still in bed.\I have an important visitor coming today. I've been really busy.\You didn't have to come if you don't want to. response:	Who's the visitor?
context: And yet, my friend said to me, there is nothing so inconstant as the human heart.\Act 3: 5/22, Stormy\Hey! Albert!\Wake up!\I can't believe you were still in bed.\I have an important visitor coming today. I've been really busy.\You didn't have to come if you don't want to.\Who's the visitor? response:	Someone who did me a favor on Luna.
context: Act 3: 5/22, Stormy\Hey! Albert!\Wake up!\I can't believe you were still in bed.\I have an important visitor coming today. I've been really busy.\You didn't have to come if you don't want to.\Who's the visitor?\Someone who did me a favor on Luna. response:	Oh, that fake Count something-or-other.
context: Hey! Albert!\Wake up!\I can't believe you were still in bed.\I have an important visitor coming today. I've been really busy.\You didn't have to come if you don't want to.\Who's the visitor?\Someone who did me a favor on Luna.\Oh, that fake Count something-or-other. response:	Eugenie! That's going too far!
context: Wake up!\I can't believe you were still in bed.\I have an important visitor coming today. I've been really busy.\You didn't have to come if you don't want to.\Who's the visitor?\Someone who did me a favor on Luna.\Oh, that fake Count something-or-other.\Eugenie! That's going too far! response:	Speaking of visitors, Renaud said that he's bringing someone, too.
context: I can't believe you were still in bed.\I have an important visitor coming today. I've been really busy.\You didn't have to come if you don't want to.\Who's the visitor?\Someone who did me a favor on Luna.\Oh, that fake Count something-or-other.\Eugenie! That's going too far!\Speaking of visitors, Renaud said that he's bringing someone, too. response:	What?
context: I have an important visitor coming today. I've been really busy.\You didn't have to come if you don't want to.\Who's the visitor?\Someone who did me a favor on Luna.\Oh, that fake Count something-or-other.\Eugenie! That's going too far!\Speaking of visitors, Renaud said that he's bringing someone, too.\What? response:	You know, Albert, you must be the perfect target for a con artist.
context: You didn't have to come if you don't want to.\Who's the visitor?\Someone who did me a favor on Luna.\Oh, that fake Count something-or-other.\Eugenie! That's going too far!\Speaking of visitors, Renaud said that he's bringing someone, too.\What?\You know, Albert, you must be the perfect target for a con artist. response:	She's losing her temper...
context: Who's the visitor?\Someone who did me a favor on Luna.\Oh, that fake Count something-or-other.\Eugenie! That's going too far!\Speaking of visitors, Renaud said that he's bringing someone, too.\What?\You know, Albert, you must be the perfect target for a con artist.\She's losing her temper... response:	What are you angry about?
context: Someone who did me a favor on Luna.\Oh, that fake Count something-or-other.\Eugenie! That's going too far!\Speaking of visitors, Renaud said that he's bringing someone, too.\What?\You know, Albert, you must be the perfect target for a con artist.\She's losing her temper...\What are you angry about? response:	Who says I'm angry? I'm just enjoying our drive.
context: Oh, that fake Count something-or-other.\Eugenie! That's going too far!\Speaking of visitors, Renaud said that he's bringing someone, too.\What?\You know, Albert, you must be the perfect target for a con artist.\She's losing her temper...\What are you angry about?\Who says I'm angry? I'm just enjoying our drive. response:	This isn't a race.
context: Eugenie! That's going too far!\Speaking of visitors, Renaud said that he's bringing someone, too.\What?\You know, Albert, you must be the perfect target for a con artist.\She's losing her temper...\What are you angry about?\Who says I'm angry? I'm just enjoying our drive.\This isn't a race. response:	Oh, that's right. You love puttering around at a crawl with no destination in mind.
context: Speaking of visitors, Renaud said that he's bringing someone, too.\What?\You know, Albert, you must be the perfect target for a con artist.\She's losing her temper...\What are you angry about?\Who says I'm angry? I'm just enjoying our drive.\This isn't a race.\Oh, that's right. You love puttering around at a crawl with no destination in mind. response:	Both behind the wheel and in life.
context: What?\You know, Albert, you must be the perfect target for a con artist.\She's losing her temper...\What are you angry about?\Who says I'm angry? I'm just enjoying our drive.\This isn't a race.\Oh, that's right. You love puttering around at a crawl with no destination in mind.\Both behind the wheel and in life. response:	My life is none of your business!
context: You know, Albert, you must be the perfect target for a con artist.\She's losing her temper...\What are you angry about?\Who says I'm angry? I'm just enjoying our drive.\This isn't a race.\Oh, that's right. You love puttering around at a crawl with no destination in mind.\Both behind the wheel and in life.\My life is none of your business! response:	Get out.
context: She's losing her temper...\What are you angry about?\Who says I'm angry? I'm just enjoying our drive.\This isn't a race.\Oh, that's right. You love puttering around at a crawl with no destination in mind.\Both behind the wheel and in life.\My life is none of your business!\Get out. response:	Sure, just watch me. I don't want to ride with you, anyway.
context: What are you angry about?\Who says I'm angry? I'm just enjoying our drive.\This isn't a race.\Oh, that's right. You love puttering around at a crawl with no destination in mind.\Both behind the wheel and in life.\My life is none of your business!\Get out.\Sure, just watch me. I don't want to ride with you, anyway. response:	What are you talking about? We're already here.
context: Who says I'm angry? I'm just enjoying our drive.\This isn't a race.\Oh, that's right. You love puttering around at a crawl with no destination in mind.\Both behind the wheel and in life.\My life is none of your business!\Get out.\Sure, just watch me. I don't want to ride with you, anyway.\What are you talking about? We're already here. response:	For the life of me, I can't figure out why you and I are engaged!
context: This isn't a race.\Oh, that's right. You love puttering around at a crawl with no destination in mind.\Both behind the wheel and in life.\My life is none of your business!\Get out.\Sure, just watch me. I don't want to ride with you, anyway.\What are you talking about? We're already here.\For the life of me, I can't figure out why you and I are engaged! response:	Then maybe you should ride in Debray's car on the way...
context: Oh, that's right. You love puttering around at a crawl with no destination in mind.\Both behind the wheel and in life.\My life is none of your business!\Get out.\Sure, just watch me. I don't want to ride with you, anyway.\What are you talking about? We're already here.\For the life of me, I can't figure out why you and I are engaged!\Then maybe you should ride in Debray's car on the way... response:	Oh, boy...
context: Both behind the wheel and in life.\My life is none of your business!\Get out.\Sure, just watch me. I don't want to ride with you, anyway.\What are you talking about? We're already here.\For the life of me, I can't figure out why you and I are engaged!\Then maybe you should ride in Debray's car on the way...\Oh, boy... response:	Hey, would you be careful?
context: My life is none of your business!\Get out.\Sure, just watch me. I don't want to ride with you, anyway.\What are you talking about? We're already here.\For the life of me, I can't figure out why you and I are engaged!\Then maybe you should ride in Debray's car on the way...\Oh, boy...\Hey, would you be careful? response:	Are you okay?
context: Get out.\Sure, just watch me. I don't want to ride with you, anyway.\What are you talking about? We're already here.\For the life of me, I can't figure out why you and I are engaged!\Then maybe you should ride in Debray's car on the way...\Oh, boy...\Hey, would you be careful?\Are you okay? response:	Yes.
context: Sure, just watch me. I don't want to ride with you, anyway.\What are you talking about? We're already here.\For the life of me, I can't figure out why you and I are engaged!\Then maybe you should ride in Debray's car on the way...\Oh, boy...\Hey, would you be careful?\Are you okay?\Yes. response:	Hey, Albert! Come take a look!
context: What are you talking about? We're already here.\For the life of me, I can't figure out why you and I are engaged!\Then maybe you should ride in Debray's car on the way...\Oh, boy...\Hey, would you be careful?\Are you okay?\Yes.\Hey, Albert! Come take a look! response:	Hey!
context: For the life of me, I can't figure out why you and I are engaged!\Then maybe you should ride in Debray's car on the way...\Oh, boy...\Hey, would you be careful?\Are you okay?\Yes.\Hey, Albert! Come take a look!\Hey! response:	Geez, are women all you're good at handling, Mr. Bigshot private secretary?
context: Then maybe you should ride in Debray's car on the way...\Oh, boy...\Hey, would you be careful?\Are you okay?\Yes.\Hey, Albert! Come take a look!\Hey!\Geez, are women all you're good at handling, Mr. Bigshot private secretary? response:	Every dull drive needs a little stimulation, doesn't it?
context: Oh, boy...\Hey, would you be careful?\Are you okay?\Yes.\Hey, Albert! Come take a look!\Hey!\Geez, are women all you're good at handling, Mr. Bigshot private secretary?\Every dull drive needs a little stimulation, doesn't it? response:	Next to me is a hack newspaper reporter,
