context: Sometimes at night, when I happen to catch the scent of flowers, response:	I feel as though I'm about to remember something I've forgotten.
context: Sometimes at night, when I happen to catch the scent of flowers,\I feel as though I'm about to remember something I've forgotten. response:	Kaoru, what's taking you?
context: Sometimes at night, when I happen to catch the scent of flowers,\I feel as though I'm about to remember something I've forgotten.\Kaoru, what's taking you? response:	Come, we should head home.
context: Sometimes at night, when I happen to catch the scent of flowers,\I feel as though I'm about to remember something I've forgotten.\Kaoru, what's taking you?\Come, we should head home. response:	Hm? Oh, right.
context: Sometimes at night, when I happen to catch the scent of flowers,\I feel as though I'm about to remember something I've forgotten.\Kaoru, what's taking you?\Come, we should head home.\Hm? Oh, right. response:	But I can never seem to remember
context: Sometimes at night, when I happen to catch the scent of flowers,\I feel as though I'm about to remember something I've forgotten.\Kaoru, what's taking you?\Come, we should head home.\Hm? Oh, right.\But I can never seem to remember response:	that familiar, yet strangely terrifying, something.
context: Sometimes at night, when I happen to catch the scent of flowers,\I feel as though I'm about to remember something I've forgotten.\Kaoru, what's taking you?\Come, we should head home.\Hm? Oh, right.\But I can never seem to remember\that familiar, yet strangely terrifying, something. response:	The Fragrant Darkness
context: Sometimes at night, when I happen to catch the scent of flowers,\I feel as though I'm about to remember something I've forgotten.\Kaoru, what's taking you?\Come, we should head home.\Hm? Oh, right.\But I can never seem to remember\that familiar, yet strangely terrifying, something.\The Fragrant Darkness response:	Who is it?
context: I feel as though I'm about to remember something I've forgotten.\Kaoru, what's taking you?\Come, we should head home.\Hm? Oh, right.\But I can never seem to remember\that familiar, yet strangely terrifying, something.\The Fragrant Darkness\Who is it? response:	Just a traveler seeking shelter from the rain.
context: Kaoru, what's taking you?\Come, we should head home.\Hm? Oh, right.\But I can never seem to remember\that familiar, yet strangely terrifying, something.\The Fragrant Darkness\Who is it?\Just a traveler seeking shelter from the rain. response:	Would it be possible for me to spend the night here?
context: Come, we should head home.\Hm? Oh, right.\But I can never seem to remember\that familiar, yet strangely terrifying, something.\The Fragrant Darkness\Who is it?\Just a traveler seeking shelter from the rain.\Would it be possible for me to spend the night here? response:	Of course. You must be exhausted.
context: Hm? Oh, right.\But I can never seem to remember\that familiar, yet strangely terrifying, something.\The Fragrant Darkness\Who is it?\Just a traveler seeking shelter from the rain.\Would it be possible for me to spend the night here?\Of course. You must be exhausted. response:	Come inside and rest.
context: But I can never seem to remember\that familiar, yet strangely terrifying, something.\The Fragrant Darkness\Who is it?\Just a traveler seeking shelter from the rain.\Would it be possible for me to spend the night here?\Of course. You must be exhausted.\Come inside and rest. response:	Oh? A mushi-shi?
context: that familiar, yet strangely terrifying, something.\The Fragrant Darkness\Who is it?\Just a traveler seeking shelter from the rain.\Would it be possible for me to spend the night here?\Of course. You must be exhausted.\Come inside and rest.\Oh? A mushi-shi? response:	Yeah.
