context: True Calendar year 71. response:	Humanity, 70 of whom had been sent out into space, was largely divided into two powers.
context: True Calendar year 71.\Humanity, 70 of whom had been sent out into space, was largely divided into two powers. response:	The Dorssia Military Pact Federation, which developed out of military alliances,
context: True Calendar year 71.\Humanity, 70 of whom had been sent out into space, was largely divided into two powers.\The Dorssia Military Pact Federation, which developed out of military alliances, response:	and ARUS, the transatlantic treaty organization which expanded trade alliances.
context: True Calendar year 71.\Humanity, 70 of whom had been sent out into space, was largely divided into two powers.\The Dorssia Military Pact Federation, which developed out of military alliances,\and ARUS, the transatlantic treaty organization which expanded trade alliances. response:	JIOR.
context: True Calendar year 71.\Humanity, 70 of whom had been sent out into space, was largely divided into two powers.\The Dorssia Military Pact Federation, which developed out of military alliances,\and ARUS, the transatlantic treaty organization which expanded trade alliances.\JIOR. response:	A proponent of peace through neutrality.
context: True Calendar year 71.\Humanity, 70 of whom had been sent out into space, was largely divided into two powers.\The Dorssia Military Pact Federation, which developed out of military alliances,\and ARUS, the transatlantic treaty organization which expanded trade alliances.\JIOR.\A proponent of peace through neutrality. response:	Although they had been enjoying the blessings of peace and tranquility,
context: True Calendar year 71.\Humanity, 70 of whom had been sent out into space, was largely divided into two powers.\The Dorssia Military Pact Federation, which developed out of military alliances,\and ARUS, the transatlantic treaty organization which expanded trade alliances.\JIOR.\A proponent of peace through neutrality.\Although they had been enjoying the blessings of peace and tranquility, response:	the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.
context: True Calendar year 71.\Humanity, 70 of whom had been sent out into space, was largely divided into two powers.\The Dorssia Military Pact Federation, which developed out of military alliances,\and ARUS, the transatlantic treaty organization which expanded trade alliances.\JIOR.\A proponent of peace through neutrality.\Although they had been enjoying the blessings of peace and tranquility,\the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military. response:	So what you're saying is that he isn't a Sakimori Academy student,
context: Humanity, 70 of whom had been sent out into space, was largely divided into two powers.\The Dorssia Military Pact Federation, which developed out of military alliances,\and ARUS, the transatlantic treaty organization which expanded trade alliances.\JIOR.\A proponent of peace through neutrality.\Although they had been enjoying the blessings of peace and tranquility,\the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.\So what you're saying is that he isn't a Sakimori Academy student, response:	but is actually a Dorssian soldier?
context: The Dorssia Military Pact Federation, which developed out of military alliances,\and ARUS, the transatlantic treaty organization which expanded trade alliances.\JIOR.\A proponent of peace through neutrality.\Although they had been enjoying the blessings of peace and tranquility,\the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.\So what you're saying is that he isn't a Sakimori Academy student,\but is actually a Dorssian soldier? response:	Yes, sir.
context: and ARUS, the transatlantic treaty organization which expanded trade alliances.\JIOR.\A proponent of peace through neutrality.\Although they had been enjoying the blessings of peace and tranquility,\the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.\So what you're saying is that he isn't a Sakimori Academy student,\but is actually a Dorssian soldier?\Yes, sir. response:	Do you know anything else about him?
context: JIOR.\A proponent of peace through neutrality.\Although they had been enjoying the blessings of peace and tranquility,\the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.\So what you're saying is that he isn't a Sakimori Academy student,\but is actually a Dorssian soldier?\Yes, sir.\Do you know anything else about him? response:	His name. It's L-elf.
context: A proponent of peace through neutrality.\Although they had been enjoying the blessings of peace and tranquility,\the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.\So what you're saying is that he isn't a Sakimori Academy student,\but is actually a Dorssian soldier?\Yes, sir.\Do you know anything else about him?\His name. It's L-elf. response:	Hey, what's
context: Although they had been enjoying the blessings of peace and tranquility,\the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.\So what you're saying is that he isn't a Sakimori Academy student,\but is actually a Dorssian soldier?\Yes, sir.\Do you know anything else about him?\His name. It's L-elf.\Hey, what's response:	Stand up!
context: the course of history took a sharp turn towards chaos as a result of a sneak attack by the Dorssian military.\So what you're saying is that he isn't a Sakimori Academy student,\but is actually a Dorssian soldier?\Yes, sir.\Do you know anything else about him?\His name. It's L-elf.\Hey, what's\Stand up! response:	I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.
context: So what you're saying is that he isn't a Sakimori Academy student,\but is actually a Dorssian soldier?\Yes, sir.\Do you know anything else about him?\His name. It's L-elf.\Hey, what's\Stand up!\I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty. response:	A hand mic.
context: but is actually a Dorssian soldier?\Yes, sir.\Do you know anything else about him?\His name. It's L-elf.\Hey, what's\Stand up!\I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.\A hand mic. response:	An earthquake. A riot 3:14 PM.
context: Yes, sir.\Do you know anything else about him?\His name. It's L-elf.\Hey, what's\Stand up!\I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.\A hand mic.\An earthquake. A riot 3:14 PM. response:	The answer lies behind you.
context: Do you know anything else about him?\His name. It's L-elf.\Hey, what's\Stand up!\I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.\A hand mic.\An earthquake. A riot 3:14 PM.\The answer lies behind you. response:	It's ARUS!
context: His name. It's L-elf.\Hey, what's\Stand up!\I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.\A hand mic.\An earthquake. A riot 3:14 PM.\The answer lies behind you.\It's ARUS! response:	This is the ARUS Lunar Orbital Forces.
context: Hey, what's\Stand up!\I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.\A hand mic.\An earthquake. A riot 3:14 PM.\The answer lies behind you.\It's ARUS!\This is the ARUS Lunar Orbital Forces. response:	This is the ARUS Lunar Orbital Forces.
context: Stand up!\I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.\A hand mic.\An earthquake. A riot 3:14 PM.\The answer lies behind you.\It's ARUS!\This is the ARUS Lunar Orbital Forces.\This is the ARUS Lunar Orbital Forces. response:	Line up and wait your turn!
context: I give my word that your interrogation will be conducted in accordance with the New Guinea Treaty.\A hand mic.\An earthquake. A riot 3:14 PM.\The answer lies behind you.\It's ARUS!\This is the ARUS Lunar Orbital Forces.\This is the ARUS Lunar Orbital Forces.\Line up and wait your turn! response:	Are there any injured?
context: A hand mic.\An earthquake. A riot 3:14 PM.\The answer lies behind you.\It's ARUS!\This is the ARUS Lunar Orbital Forces.\This is the ARUS Lunar Orbital Forces.\Line up and wait your turn!\Are there any injured? response:	You're safe now!
context: An earthquake. A riot 3:14 PM.\The answer lies behind you.\It's ARUS!\This is the ARUS Lunar Orbital Forces.\This is the ARUS Lunar Orbital Forces.\Line up and wait your turn!\Are there any injured?\You're safe now! response:	Thank you, Senator Figaro!
context: The answer lies behind you.\It's ARUS!\This is the ARUS Lunar Orbital Forces.\This is the ARUS Lunar Orbital Forces.\Line up and wait your turn!\Are there any injured?\You're safe now!\Thank you, Senator Figaro! response:	The only adults left here are myself and Mr. Kibukawa, the physics teacher.
context: It's ARUS!\This is the ARUS Lunar Orbital Forces.\This is the ARUS Lunar Orbital Forces.\Line up and wait your turn!\Are there any injured?\You're safe now!\Thank you, Senator Figaro!\The only adults left here are myself and Mr. Kibukawa, the physics teacher. response:	I'm so relieved!
context: This is the ARUS Lunar Orbital Forces.\This is the ARUS Lunar Orbital Forces.\Line up and wait your turn!\Are there any injured?\You're safe now!\Thank you, Senator Figaro!\The only adults left here are myself and Mr. Kibukawa, the physics teacher.\I'm so relieved! response:	Not at all, it's the least we could do.
context: This is the ARUS Lunar Orbital Forces.\Line up and wait your turn!\Are there any injured?\You're safe now!\Thank you, Senator Figaro!\The only adults left here are myself and Mr. Kibukawa, the physics teacher.\I'm so relieved!\Not at all, it's the least we could do. response:	We of ARUS and JIOR are friends, after all.
context: Line up and wait your turn!\Are there any injured?\You're safe now!\Thank you, Senator Figaro!\The only adults left here are myself and Mr. Kibukawa, the physics teacher.\I'm so relieved!\Not at all, it's the least we could do.\We of ARUS and JIOR are friends, after all. response:	The school...
context: Are there any injured?\You're safe now!\Thank you, Senator Figaro!\The only adults left here are myself and Mr. Kibukawa, the physics teacher.\I'm so relieved!\Not at all, it's the least we could do.\We of ARUS and JIOR are friends, after all.\The school... response:	It seems like forever since last time I saw it.
context: You're safe now!\Thank you, Senator Figaro!\The only adults left here are myself and Mr. Kibukawa, the physics teacher.\I'm so relieved!\Not at all, it's the least we could do.\We of ARUS and JIOR are friends, after all.\The school...\It seems like forever since last time I saw it. response:	Yeah, even though we had classes just yesterday.
context: Thank you, Senator Figaro!\The only adults left here are myself and Mr. Kibukawa, the physics teacher.\I'm so relieved!\Not at all, it's the least we could do.\We of ARUS and JIOR are friends, after all.\The school...\It seems like forever since last time I saw it.\Yeah, even though we had classes just yesterday. response:	At the shrine, I...
context: The only adults left here are myself and Mr. Kibukawa, the physics teacher.\I'm so relieved!\Not at all, it's the least we could do.\We of ARUS and JIOR are friends, after all.\The school...\It seems like forever since last time I saw it.\Yeah, even though we had classes just yesterday.\At the shrine, I... response:	At the shrine, I...
context: I'm so relieved!\Not at all, it's the least we could do.\We of ARUS and JIOR are friends, after all.\The school...\It seems like forever since last time I saw it.\Yeah, even though we had classes just yesterday.\At the shrine, I...\At the shrine, I... response:	What about the shrine?
context: Not at all, it's the least we could do.\We of ARUS and JIOR are friends, after all.\The school...\It seems like forever since last time I saw it.\Yeah, even though we had classes just yesterday.\At the shrine, I...\At the shrine, I...\What about the shrine? response:	Well, uh...
context: We of ARUS and JIOR are friends, after all.\The school...\It seems like forever since last time I saw it.\Yeah, even though we had classes just yesterday.\At the shrine, I...\At the shrine, I...\What about the shrine?\Well, uh... response:	Um, I...
context: The school...\It seems like forever since last time I saw it.\Yeah, even though we had classes just yesterday.\At the shrine, I...\At the shrine, I...\What about the shrine?\Well, uh...\Um, I... response:	It's Haruto!
context: It seems like forever since last time I saw it.\Yeah, even though we had classes just yesterday.\At the shrine, I...\At the shrine, I...\What about the shrine?\Well, uh...\Um, I...\It's Haruto! response:	Did he say Haruto?
context: Yeah, even though we had classes just yesterday.\At the shrine, I...\At the shrine, I...\What about the shrine?\Well, uh...\Um, I...\It's Haruto!\Did he say Haruto? response:	He's alive!
context: At the shrine, I...\At the shrine, I...\What about the shrine?\Well, uh...\Um, I...\It's Haruto!\Did he say Haruto?\He's alive! response:	What a relief!
