context: I Can't Help Being in Love!? response:	Die, die!
context: I Can't Help Being in Love!?\Die, die! response:	Serious Squadron!
context: I Can't Help Being in Love!?\Die, die!\Serious Squadron! response:	Gachi Rangers!
context: I Can't Help Being in Love!?\Die, die!\Serious Squadron!\Gachi Rangers! response:	Live-action superheroes...
context: I Can't Help Being in Love!?\Die, die!\Serious Squadron!\Gachi Rangers!\Live-action superheroes... response:	Face me, if you dare!
context: I Can't Help Being in Love!?\Die, die!\Serious Squadron!\Gachi Rangers!\Live-action superheroes...\Face me, if you dare! response:	How insipid.
context: I Can't Help Being in Love!?\Die, die!\Serious Squadron!\Gachi Rangers!\Live-action superheroes...\Face me, if you dare!\How insipid. response:	Are you okay, Red?
context: I Can't Help Being in Love!?\Die, die!\Serious Squadron!\Gachi Rangers!\Live-action superheroes...\Face me, if you dare!\How insipid.\Are you okay, Red? response:	Darn, what incredible power!
context: Die, die!\Serious Squadron!\Gachi Rangers!\Live-action superheroes...\Face me, if you dare!\How insipid.\Are you okay, Red?\Darn, what incredible power! response:	You're finished, Baby Rangers!
context: Serious Squadron!\Gachi Rangers!\Live-action superheroes...\Face me, if you dare!\How insipid.\Are you okay, Red?\Darn, what incredible power!\You're finished, Baby Rangers! response:	Okay, everyone, our hearts must be as one!
context: Gachi Rangers!\Live-action superheroes...\Face me, if you dare!\How insipid.\Are you okay, Red?\Darn, what incredible power!\You're finished, Baby Rangers!\Okay, everyone, our hearts must be as one! response:	Yeah!
context: Live-action superheroes...\Face me, if you dare!\How insipid.\Are you okay, Red?\Darn, what incredible power!\You're finished, Baby Rangers!\Okay, everyone, our hearts must be as one!\Yeah! response:	Gachi...Knuckles!
context: Face me, if you dare!\How insipid.\Are you okay, Red?\Darn, what incredible power!\You're finished, Baby Rangers!\Okay, everyone, our hearts must be as one!\Yeah!\Gachi...Knuckles! response:	Argh...That won't be enough to-
context: How insipid.\Are you okay, Red?\Darn, what incredible power!\You're finished, Baby Rangers!\Okay, everyone, our hearts must be as one!\Yeah!\Gachi...Knuckles!\Argh...That won't be enough to- response:	Gachi Suplex!
context: Are you okay, Red?\Darn, what incredible power!\You're finished, Baby Rangers!\Okay, everyone, our hearts must be as one!\Yeah!\Gachi...Knuckles!\Argh...That won't be enough to-\Gachi Suplex! response:	Die, Dogron!
context: Darn, what incredible power!\You're finished, Baby Rangers!\Okay, everyone, our hearts must be as one!\Yeah!\Gachi...Knuckles!\Argh...That won't be enough to-\Gachi Suplex!\Die, Dogron! response:	Curse you, Gachi Rangers!
context: You're finished, Baby Rangers!\Okay, everyone, our hearts must be as one!\Yeah!\Gachi...Knuckles!\Argh...That won't be enough to-\Gachi Suplex!\Die, Dogron!\Curse you, Gachi Rangers! response:	Dog...ron!
context: Okay, everyone, our hearts must be as one!\Yeah!\Gachi...Knuckles!\Argh...That won't be enough to-\Gachi Suplex!\Die, Dogron!\Curse you, Gachi Rangers!\Dog...ron! response:	We will end all hatred and anger!
context: Yeah!\Gachi...Knuckles!\Argh...That won't be enough to-\Gachi Suplex!\Die, Dogron!\Curse you, Gachi Rangers!\Dog...ron!\We will end all hatred and anger! response:	We will end all hatred and anger!
context: Gachi...Knuckles!\Argh...That won't be enough to-\Gachi Suplex!\Die, Dogron!\Curse you, Gachi Rangers!\Dog...ron!\We will end all hatred and anger!\We will end all hatred and anger! response:	What're you doing?
context: Argh...That won't be enough to-\Gachi Suplex!\Die, Dogron!\Curse you, Gachi Rangers!\Dog...ron!\We will end all hatred and anger!\We will end all hatred and anger!\What're you doing? response:	You telling me to clean up my face?
context: Gachi Suplex!\Die, Dogron!\Curse you, Gachi Rangers!\Dog...ron!\We will end all hatred and anger!\We will end all hatred and anger!\What're you doing?\You telling me to clean up my face? response:	Yes...
context: Die, Dogron!\Curse you, Gachi Rangers!\Dog...ron!\We will end all hatred and anger!\We will end all hatred and anger!\What're you doing?\You telling me to clean up my face?\Yes... response:	Ick...the wind's getting a little too frisky today.
context: Curse you, Gachi Rangers!\Dog...ron!\We will end all hatred and anger!\We will end all hatred and anger!\What're you doing?\You telling me to clean up my face?\Yes...\Ick...the wind's getting a little too frisky today. response:	I wanna tell them how awesome the Gachi Rangers were.
context: Dog...ron!\We will end all hatred and anger!\We will end all hatred and anger!\What're you doing?\You telling me to clean up my face?\Yes...\Ick...the wind's getting a little too frisky today.\I wanna tell them how awesome the Gachi Rangers were. response:	I want them to understand.
context: We will end all hatred and anger!\We will end all hatred and anger!\What're you doing?\You telling me to clean up my face?\Yes...\Ick...the wind's getting a little too frisky today.\I wanna tell them how awesome the Gachi Rangers were.\I want them to understand. response:	But I doubt anyone in this crowd would get it.
context: We will end all hatred and anger!\What're you doing?\You telling me to clean up my face?\Yes...\Ick...the wind's getting a little too frisky today.\I wanna tell them how awesome the Gachi Rangers were.\I want them to understand.\But I doubt anyone in this crowd would get it. response:	How sad.
context: What're you doing?\You telling me to clean up my face?\Yes...\Ick...the wind's getting a little too frisky today.\I wanna tell them how awesome the Gachi Rangers were.\I want them to understand.\But I doubt anyone in this crowd would get it.\How sad. response:	Gachi Rangers has been really good lately, huh?
context: You telling me to clean up my face?\Yes...\Ick...the wind's getting a little too frisky today.\I wanna tell them how awesome the Gachi Rangers were.\I want them to understand.\But I doubt anyone in this crowd would get it.\How sad.\Gachi Rangers has been really good lately, huh? response:	That new superhero show?
context: Yes...\Ick...the wind's getting a little too frisky today.\I wanna tell them how awesome the Gachi Rangers were.\I want them to understand.\But I doubt anyone in this crowd would get it.\How sad.\Gachi Rangers has been really good lately, huh?\That new superhero show? response:	I've only caught bits and pieces of it,
context: Ick...the wind's getting a little too frisky today.\I wanna tell them how awesome the Gachi Rangers were.\I want them to understand.\But I doubt anyone in this crowd would get it.\How sad.\Gachi Rangers has been really good lately, huh?\That new superhero show?\I've only caught bits and pieces of it, response:	but the black ranger's actor is pretty cool.
context: I wanna tell them how awesome the Gachi Rangers were.\I want them to understand.\But I doubt anyone in this crowd would get it.\How sad.\Gachi Rangers has been really good lately, huh?\That new superhero show?\I've only caught bits and pieces of it,\but the black ranger's actor is pretty cool. response:	Yeah, yeah!
