context: Episode 8: Memories Draw Spirals of the Past... response:	Looks like the rain's stopped.
context: Episode 8: Memories Draw Spirals of the Past...\Looks like the rain's stopped. response:	The smell of the roka fruit will be weaker after the rain, so that's good.
context: Episode 8: Memories Draw Spirals of the Past...\Looks like the rain's stopped.\The smell of the roka fruit will be weaker after the rain, so that's good. response:	Yeah.
context: Episode 8: Memories Draw Spirals of the Past...\Looks like the rain's stopped.\The smell of the roka fruit will be weaker after the rain, so that's good.\Yeah. response:	Are you done organizing the documents from Laxdo?
context: Episode 8: Memories Draw Spirals of the Past...\Looks like the rain's stopped.\The smell of the roka fruit will be weaker after the rain, so that's good.\Yeah.\Are you done organizing the documents from Laxdo? response:	Yes. I do not have much on the progress during convalescence, though.
context: Episode 8: Memories Draw Spirals of the Past...\Looks like the rain's stopped.\The smell of the roka fruit will be weaker after the rain, so that's good.\Yeah.\Are you done organizing the documents from Laxdo?\Yes. I do not have much on the progress during convalescence, though. response:	That can't be helped. It's too far to visit.
context: Episode 8: Memories Draw Spirals of the Past...\Looks like the rain's stopped.\The smell of the roka fruit will be weaker after the rain, so that's good.\Yeah.\Are you done organizing the documents from Laxdo?\Yes. I do not have much on the progress during convalescence, though.\That can't be helped. It's too far to visit. response:	That's true.
context: Episode 8: Memories Draw Spirals of the Past...\Looks like the rain's stopped.\The smell of the roka fruit will be weaker after the rain, so that's good.\Yeah.\Are you done organizing the documents from Laxdo?\Yes. I do not have much on the progress during convalescence, though.\That can't be helped. It's too far to visit.\That's true. response:	What should I do? I don't like this situation.
context: Looks like the rain's stopped.\The smell of the roka fruit will be weaker after the rain, so that's good.\Yeah.\Are you done organizing the documents from Laxdo?\Yes. I do not have much on the progress during convalescence, though.\That can't be helped. It's too far to visit.\That's true.\What should I do? I don't like this situation. response:	Master!
context: The smell of the roka fruit will be weaker after the rain, so that's good.\Yeah.\Are you done organizing the documents from Laxdo?\Yes. I do not have much on the progress during convalescence, though.\That can't be helped. It's too far to visit.\That's true.\What should I do? I don't like this situation.\Master! response:	I have returned.
context: Yeah.\Are you done organizing the documents from Laxdo?\Yes. I do not have much on the progress during convalescence, though.\That can't be helped. It's too far to visit.\That's true.\What should I do? I don't like this situation.\Master!\I have returned. response:	Obi! You were only allowed to be away for two days!
context: Are you done organizing the documents from Laxdo?\Yes. I do not have much on the progress during convalescence, though.\That can't be helped. It's too far to visit.\That's true.\What should I do? I don't like this situation.\Master!\I have returned.\Obi! You were only allowed to be away for two days! response:	Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.
context: Yes. I do not have much on the progress during convalescence, though.\That can't be helped. It's too far to visit.\That's true.\What should I do? I don't like this situation.\Master!\I have returned.\Obi! You were only allowed to be away for two days!\Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it. response:	Anyway, what don't you like?
context: That can't be helped. It's too far to visit.\That's true.\What should I do? I don't like this situation.\Master!\I have returned.\Obi! You were only allowed to be away for two days!\Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.\Anyway, what don't you like? response:	It's about Shirayuki.
context: That's true.\What should I do? I don't like this situation.\Master!\I have returned.\Obi! You were only allowed to be away for two days!\Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.\Anyway, what don't you like?\It's about Shirayuki. response:	Huh? The Miss?
context: What should I do? I don't like this situation.\Master!\I have returned.\Obi! You were only allowed to be away for two days!\Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.\Anyway, what don't you like?\It's about Shirayuki.\Huh? The Miss? response:	People believe she's Zen's fiancee, and everyone's attention is on her.
context: Master!\I have returned.\Obi! You were only allowed to be away for two days!\Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.\Anyway, what don't you like?\It's about Shirayuki.\Huh? The Miss?\People believe she's Zen's fiancee, and everyone's attention is on her. response:	Some wonder if they will gain anything from being in her good graces,
context: I have returned.\Obi! You were only allowed to be away for two days!\Sorry, it'd been a while since I'd been out of the castle, so I couldn't help it.\Anyway, what don't you like?\It's about Shirayuki.\Huh? The Miss?\People believe she's Zen's fiancee, and everyone's attention is on her.\Some wonder if they will gain anything from being in her good graces, response:	and countless others are investigating to see if another house has fallen from favor.
