context: Good grief. Why did you completely burn our ingredients? response:	Well, my apologies.
context: Good grief. Why did you completely burn our ingredients?\Well, my apologies. response:	Have more faith in the gas stove.
context: Good grief. Why did you completely burn our ingredients?\Well, my apologies.\Have more faith in the gas stove. response:	I thought the heat wasn't strong enough.
context: Good grief. Why did you completely burn our ingredients?\Well, my apologies.\Have more faith in the gas stove.\I thought the heat wasn't strong enough. response:	Use a flame, not a blaze.
context: Good grief. Why did you completely burn our ingredients?\Well, my apologies.\Have more faith in the gas stove.\I thought the heat wasn't strong enough.\Use a flame, not a blaze. response:	Your brain was the thing that wasn't strong enough.
context: Good grief. Why did you completely burn our ingredients?\Well, my apologies.\Have more faith in the gas stove.\I thought the heat wasn't strong enough.\Use a flame, not a blaze.\Your brain was the thing that wasn't strong enough. response:	That reminds me, this is my first time going shopping with Tohru, isn't it?
context: Good grief. Why did you completely burn our ingredients?\Well, my apologies.\Have more faith in the gas stove.\I thought the heat wasn't strong enough.\Use a flame, not a blaze.\Your brain was the thing that wasn't strong enough.\That reminds me, this is my first time going shopping with Tohru, isn't it? response:	I wonder what she's like when she's shopping.
context: Good grief. Why did you completely burn our ingredients?\Well, my apologies.\Have more faith in the gas stove.\I thought the heat wasn't strong enough.\Use a flame, not a blaze.\Your brain was the thing that wasn't strong enough.\That reminds me, this is my first time going shopping with Tohru, isn't it?\I wonder what she's like when she's shopping. response:	Oborozuka Shopping District
context: Well, my apologies.\Have more faith in the gas stove.\I thought the heat wasn't strong enough.\Use a flame, not a blaze.\Your brain was the thing that wasn't strong enough.\That reminds me, this is my first time going shopping with Tohru, isn't it?\I wonder what she's like when she's shopping.\Oborozuka Shopping District response:	Huh?
context: Have more faith in the gas stove.\I thought the heat wasn't strong enough.\Use a flame, not a blaze.\Your brain was the thing that wasn't strong enough.\That reminds me, this is my first time going shopping with Tohru, isn't it?\I wonder what she's like when she's shopping.\Oborozuka Shopping District\Huh? response:	Huh?
context: I thought the heat wasn't strong enough.\Use a flame, not a blaze.\Your brain was the thing that wasn't strong enough.\That reminds me, this is my first time going shopping with Tohru, isn't it?\I wonder what she's like when she's shopping.\Oborozuka Shopping District\Huh?\Huh? response:	This is the shopping district.
context: Use a flame, not a blaze.\Your brain was the thing that wasn't strong enough.\That reminds me, this is my first time going shopping with Tohru, isn't it?\I wonder what she's like when she's shopping.\Oborozuka Shopping District\Huh?\Huh?\This is the shopping district. response:	You don't use the department store over there?
context: Your brain was the thing that wasn't strong enough.\That reminds me, this is my first time going shopping with Tohru, isn't it?\I wonder what she's like when she's shopping.\Oborozuka Shopping District\Huh?\Huh?\This is the shopping district.\You don't use the department store over there? response:	That place is like a castle and makes me uncomfortable.
context: That reminds me, this is my first time going shopping with Tohru, isn't it?\I wonder what she's like when she's shopping.\Oborozuka Shopping District\Huh?\Huh?\This is the shopping district.\You don't use the department store over there?\That place is like a castle and makes me uncomfortable. response:	Castle?
context: I wonder what she's like when she's shopping.\Oborozuka Shopping District\Huh?\Huh?\This is the shopping district.\You don't use the department store over there?\That place is like a castle and makes me uncomfortable.\Castle? response:	The white color reminds me of the crusader's bases.
context: Oborozuka Shopping District\Huh?\Huh?\This is the shopping district.\You don't use the department store over there?\That place is like a castle and makes me uncomfortable.\Castle?\The white color reminds me of the crusader's bases. response:	And the shopping district?
context: Huh?\Huh?\This is the shopping district.\You don't use the department store over there?\That place is like a castle and makes me uncomfortable.\Castle?\The white color reminds me of the crusader's bases.\And the shopping district? response:	Shop at your local shopping district! Use your point card for savings!
context: Huh?\This is the shopping district.\You don't use the department store over there?\That place is like a castle and makes me uncomfortable.\Castle?\The white color reminds me of the crusader's bases.\And the shopping district?\Shop at your local shopping district! Use your point card for savings! response:	It's like the guild's bazaars.
context: This is the shopping district.\You don't use the department store over there?\That place is like a castle and makes me uncomfortable.\Castle?\The white color reminds me of the crusader's bases.\And the shopping district?\Shop at your local shopping district! Use your point card for savings!\It's like the guild's bazaars. response:	It's a little better.
context: You don't use the department store over there?\That place is like a castle and makes me uncomfortable.\Castle?\The white color reminds me of the crusader's bases.\And the shopping district?\Shop at your local shopping district! Use your point card for savings!\It's like the guild's bazaars.\It's a little better. response:	So your standards are basically based on your past experiences, huh?
context: That place is like a castle and makes me uncomfortable.\Castle?\The white color reminds me of the crusader's bases.\And the shopping district?\Shop at your local shopping district! Use your point card for savings!\It's like the guild's bazaars.\It's a little better.\So your standards are basically based on your past experiences, huh? response:	Toda Fresh Seafood
context: Castle?\The white color reminds me of the crusader's bases.\And the shopping district?\Shop at your local shopping district! Use your point card for savings!\It's like the guild's bazaars.\It's a little better.\So your standards are basically based on your past experiences, huh?\Toda Fresh Seafood response:	Well, let's start by buying the fish.
context: The white color reminds me of the crusader's bases.\And the shopping district?\Shop at your local shopping district! Use your point card for savings!\It's like the guild's bazaars.\It's a little better.\So your standards are basically based on your past experiences, huh?\Toda Fresh Seafood\Well, let's start by buying the fish. response:	Yup.
context: And the shopping district?\Shop at your local shopping district! Use your point card for savings!\It's like the guild's bazaars.\It's a little better.\So your standards are basically based on your past experiences, huh?\Toda Fresh Seafood\Well, let's start by buying the fish.\Yup. response:	Oh hey, Tohru-chan.
context: Shop at your local shopping district! Use your point card for savings!\It's like the guild's bazaars.\It's a little better.\So your standards are basically based on your past experiences, huh?\Toda Fresh Seafood\Well, let's start by buying the fish.\Yup.\Oh hey, Tohru-chan. response:	Good afternoon, Mr. Toda.
context: It's like the guild's bazaars.\It's a little better.\So your standards are basically based on your past experiences, huh?\Toda Fresh Seafood\Well, let's start by buying the fish.\Yup.\Oh hey, Tohru-chan.\Good afternoon, Mr. Toda. response:	Huh?
context: It's a little better.\So your standards are basically based on your past experiences, huh?\Toda Fresh Seafood\Well, let's start by buying the fish.\Yup.\Oh hey, Tohru-chan.\Good afternoon, Mr. Toda.\Huh? response:	It's not often I see you with anyone.
context: So your standards are basically based on your past experiences, huh?\Toda Fresh Seafood\Well, let's start by buying the fish.\Yup.\Oh hey, Tohru-chan.\Good afternoon, Mr. Toda.\Huh?\It's not often I see you with anyone. response:	She a friend?
context: Toda Fresh Seafood\Well, let's start by buying the fish.\Yup.\Oh hey, Tohru-chan.\Good afternoon, Mr. Toda.\Huh?\It's not often I see you with anyone.\She a friend? response:	She's my Master.
context: Well, let's start by buying the fish.\Yup.\Oh hey, Tohru-chan.\Good afternoon, Mr. Toda.\Huh?\It's not often I see you with anyone.\She a friend?\She's my Master. response:	Huh?
context: Yup.\Oh hey, Tohru-chan.\Good afternoon, Mr. Toda.\Huh?\It's not often I see you with anyone.\She a friend?\She's my Master.\Huh? response:	H-Hello.
context: Oh hey, Tohru-chan.\Good afternoon, Mr. Toda.\Huh?\It's not often I see you with anyone.\She a friend?\She's my Master.\Huh?\H-Hello. response:	Tohru-chan's funny, isn't she?
context: Good afternoon, Mr. Toda.\Huh?\It's not often I see you with anyone.\She a friend?\She's my Master.\Huh?\H-Hello.\Tohru-chan's funny, isn't she? response:	We've got some good mackerel in today. How about it?
context: Huh?\It's not often I see you with anyone.\She a friend?\She's my Master.\Huh?\H-Hello.\Tohru-chan's funny, isn't she?\We've got some good mackerel in today. How about it? response:	In that case, I'll take two of those and two dried jack mackerel.
context: It's not often I see you with anyone.\She a friend?\She's my Master.\Huh?\H-Hello.\Tohru-chan's funny, isn't she?\We've got some good mackerel in today. How about it?\In that case, I'll take two of those and two dried jack mackerel. response:	Coming up.
context: She a friend?\She's my Master.\Huh?\H-Hello.\Tohru-chan's funny, isn't she?\We've got some good mackerel in today. How about it?\In that case, I'll take two of those and two dried jack mackerel.\Coming up. response:	He gave us an extra fillet of mackerel...
context: She's my Master.\Huh?\H-Hello.\Tohru-chan's funny, isn't she?\We've got some good mackerel in today. How about it?\In that case, I'll take two of those and two dried jack mackerel.\Coming up.\He gave us an extra fillet of mackerel... response:	Wasn't that nice of him?
context: Huh?\H-Hello.\Tohru-chan's funny, isn't she?\We've got some good mackerel in today. How about it?\In that case, I'll take two of those and two dried jack mackerel.\Coming up.\He gave us an extra fillet of mackerel...\Wasn't that nice of him? response:	Why are you friends with the fishmonger?
context: H-Hello.\Tohru-chan's funny, isn't she?\We've got some good mackerel in today. How about it?\In that case, I'll take two of those and two dried jack mackerel.\Coming up.\He gave us an extra fillet of mackerel...\Wasn't that nice of him?\Why are you friends with the fishmonger? response:	Huh? We're not friends.
context: Tohru-chan's funny, isn't she?\We've got some good mackerel in today. How about it?\In that case, I'll take two of those and two dried jack mackerel.\Coming up.\He gave us an extra fillet of mackerel...\Wasn't that nice of him?\Why are you friends with the fishmonger?\Huh? We're not friends. response:	What about it?
context: We've got some good mackerel in today. How about it?\In that case, I'll take two of those and two dried jack mackerel.\Coming up.\He gave us an extra fillet of mackerel...\Wasn't that nice of him?\Why are you friends with the fishmonger?\Huh? We're not friends.\What about it? response:	When I was courteous to him he started being nice in return, that's all.
context: In that case, I'll take two of those and two dried jack mackerel.\Coming up.\He gave us an extra fillet of mackerel...\Wasn't that nice of him?\Why are you friends with the fishmonger?\Huh? We're not friends.\What about it?\When I was courteous to him he started being nice in return, that's all. response:	Tohru, I think you have a tendency to not understand human emotions.
context: Coming up.\He gave us an extra fillet of mackerel...\Wasn't that nice of him?\Why are you friends with the fishmonger?\Huh? We're not friends.\What about it?\When I was courteous to him he started being nice in return, that's all.\Tohru, I think you have a tendency to not understand human emotions. response:	Of course things are different with you, Miss Kobayashi!
context: He gave us an extra fillet of mackerel...\Wasn't that nice of him?\Why are you friends with the fishmonger?\Huh? We're not friends.\What about it?\When I was courteous to him he started being nice in return, that's all.\Tohru, I think you have a tendency to not understand human emotions.\Of course things are different with you, Miss Kobayashi! response:	We share mutual love!
context: Wasn't that nice of him?\Why are you friends with the fishmonger?\Huh? We're not friends.\What about it?\When I was courteous to him he started being nice in return, that's all.\Tohru, I think you have a tendency to not understand human emotions.\Of course things are different with you, Miss Kobayashi!\We share mutual love! response:	You definitely don't understand.
context: Why are you friends with the fishmonger?\Huh? We're not friends.\What about it?\When I was courteous to him he started being nice in return, that's all.\Tohru, I think you have a tendency to not understand human emotions.\Of course things are different with you, Miss Kobayashi!\We share mutual love!\You definitely don't understand. response:	Tatsuda Butchery
context: Huh? We're not friends.\What about it?\When I was courteous to him he started being nice in return, that's all.\Tohru, I think you have a tendency to not understand human emotions.\Of course things are different with you, Miss Kobayashi!\We share mutual love!\You definitely don't understand.\Tatsuda Butchery response:	Hey, Tohru-chan.
context: What about it?\When I was courteous to him he started being nice in return, that's all.\Tohru, I think you have a tendency to not understand human emotions.\Of course things are different with you, Miss Kobayashi!\We share mutual love!\You definitely don't understand.\Tatsuda Butchery\Hey, Tohru-chan. response:	What'll it be today?
context: When I was courteous to him he started being nice in return, that's all.\Tohru, I think you have a tendency to not understand human emotions.\Of course things are different with you, Miss Kobayashi!\We share mutual love!\You definitely don't understand.\Tatsuda Butchery\Hey, Tohru-chan.\What'll it be today? response:	I'll throw some extra in.
context: Tohru, I think you have a tendency to not understand human emotions.\Of course things are different with you, Miss Kobayashi!\We share mutual love!\You definitely don't understand.\Tatsuda Butchery\Hey, Tohru-chan.\What'll it be today?\I'll throw some extra in. response:	Huh? You mean it?
context: Of course things are different with you, Miss Kobayashi!\We share mutual love!\You definitely don't understand.\Tatsuda Butchery\Hey, Tohru-chan.\What'll it be today?\I'll throw some extra in.\Huh? You mean it? response:	Here, too?
context: We share mutual love!\You definitely don't understand.\Tatsuda Butchery\Hey, Tohru-chan.\What'll it be today?\I'll throw some extra in.\Huh? You mean it?\Here, too? response:	Or rather...
context: You definitely don't understand.\Tatsuda Butchery\Hey, Tohru-chan.\What'll it be today?\I'll throw some extra in.\Huh? You mean it?\Here, too?\Or rather... response:	My, long time no see.
context: Tatsuda Butchery\Hey, Tohru-chan.\What'll it be today?\I'll throw some extra in.\Huh? You mean it?\Here, too?\Or rather...\My, long time no see. response:	Hello.
context: Hey, Tohru-chan.\What'll it be today?\I'll throw some extra in.\Huh? You mean it?\Here, too?\Or rather...\My, long time no see.\Hello. response:	Oh, it's the cosplay lady!
context: What'll it be today?\I'll throw some extra in.\Huh? You mean it?\Here, too?\Or rather...\My, long time no see.\Hello.\Oh, it's the cosplay lady! response:	Hey!
context: I'll throw some extra in.\Huh? You mean it?\Here, too?\Or rather...\My, long time no see.\Hello.\Oh, it's the cosplay lady!\Hey! response:	Getting along well?
context: Huh? You mean it?\Here, too?\Or rather...\My, long time no see.\Hello.\Oh, it's the cosplay lady!\Hey!\Getting along well? response:	This dragon's better at socializing than me?
context: Here, too?\Or rather...\My, long time no see.\Hello.\Oh, it's the cosplay lady!\Hey!\Getting along well?\This dragon's better at socializing than me? response:	Here and there.
context: Or rather...\My, long time no see.\Hello.\Oh, it's the cosplay lady!\Hey!\Getting along well?\This dragon's better at socializing than me?\Here and there. response:	How about it, Tohru-chan?
context: My, long time no see.\Hello.\Oh, it's the cosplay lady!\Hey!\Getting along well?\This dragon's better at socializing than me?\Here and there.\How about it, Tohru-chan? response:	She make talk condescendingly, calling humans
context: Hello.\Oh, it's the cosplay lady!\Hey!\Getting along well?\This dragon's better at socializing than me?\Here and there.\How about it, Tohru-chan?\She make talk condescendingly, calling humans response:	Care to have your romantic fortune read?
context: Oh, it's the cosplay lady!\Hey!\Getting along well?\This dragon's better at socializing than me?\Here and there.\How about it, Tohru-chan?\She make talk condescendingly, calling humans\Care to have your romantic fortune read? response:	an inferior species and lesser creatures,
context: Hey!\Getting along well?\This dragon's better at socializing than me?\Here and there.\How about it, Tohru-chan?\She make talk condescendingly, calling humans\Care to have your romantic fortune read?\an inferior species and lesser creatures, response:	Huh? Thank you, but I'm good on that front.
context: Getting along well?\This dragon's better at socializing than me?\Here and there.\How about it, Tohru-chan?\She make talk condescendingly, calling humans\Care to have your romantic fortune read?\an inferior species and lesser creatures,\Huh? Thank you, but I'm good on that front. response:	but she's interacting with them normally enough.
context: This dragon's better at socializing than me?\Here and there.\How about it, Tohru-chan?\She make talk condescendingly, calling humans\Care to have your romantic fortune read?\an inferior species and lesser creatures,\Huh? Thank you, but I'm good on that front.\but she's interacting with them normally enough. response:	I guess she doesn't hate us.
context: Here and there.\How about it, Tohru-chan?\She make talk condescendingly, calling humans\Care to have your romantic fortune read?\an inferior species and lesser creatures,\Huh? Thank you, but I'm good on that front.\but she's interacting with them normally enough.\I guess she doesn't hate us. response:	Farewell, then.
context: How about it, Tohru-chan?\She make talk condescendingly, calling humans\Care to have your romantic fortune read?\an inferior species and lesser creatures,\Huh? Thank you, but I'm good on that front.\but she's interacting with them normally enough.\I guess she doesn't hate us.\Farewell, then. response:	Sorry to keep you waiting.
context: She make talk condescendingly, calling humans\Care to have your romantic fortune read?\an inferior species and lesser creatures,\Huh? Thank you, but I'm good on that front.\but she's interacting with them normally enough.\I guess she doesn't hate us.\Farewell, then.\Sorry to keep you waiting. response:	Oh, it's fine.
context: Care to have your romantic fortune read?\an inferior species and lesser creatures,\Huh? Thank you, but I'm good on that front.\but she's interacting with them normally enough.\I guess she doesn't hate us.\Farewell, then.\Sorry to keep you waiting.\Oh, it's fine. response:	Now that I think about it, I hardly know anything about Tohru.
context: an inferior species and lesser creatures,\Huh? Thank you, but I'm good on that front.\but she's interacting with them normally enough.\I guess she doesn't hate us.\Farewell, then.\Sorry to keep you waiting.\Oh, it's fine.\Now that I think about it, I hardly know anything about Tohru. response:	I'd like to know more... I guess.
context: Huh? Thank you, but I'm good on that front.\but she's interacting with them normally enough.\I guess she doesn't hate us.\Farewell, then.\Sorry to keep you waiting.\Oh, it's fine.\Now that I think about it, I hardly know anything about Tohru.\I'd like to know more... I guess. response:	I think it's probably best not to ask about that.
context: but she's interacting with them normally enough.\I guess she doesn't hate us.\Farewell, then.\Sorry to keep you waiting.\Oh, it's fine.\Now that I think about it, I hardly know anything about Tohru.\I'd like to know more... I guess.\I think it's probably best not to ask about that. response:	Homemade Western Confections Salmandra
context: I guess she doesn't hate us.\Farewell, then.\Sorry to keep you waiting.\Oh, it's fine.\Now that I think about it, I hardly know anything about Tohru.\I'd like to know more... I guess.\I think it's probably best not to ask about that.\Homemade Western Confections Salmandra response:	It's clearly a touchy topic for her.
context: Farewell, then.\Sorry to keep you waiting.\Oh, it's fine.\Now that I think about it, I hardly know anything about Tohru.\I'd like to know more... I guess.\I think it's probably best not to ask about that.\Homemade Western Confections Salmandra\It's clearly a touchy topic for her. response:	Well, shall we buy some dessert?
context: Sorry to keep you waiting.\Oh, it's fine.\Now that I think about it, I hardly know anything about Tohru.\I'd like to know more... I guess.\I think it's probably best not to ask about that.\Homemade Western Confections Salmandra\It's clearly a touchy topic for her.\Well, shall we buy some dessert? response:	Huh? Really?
context: Oh, it's fine.\Now that I think about it, I hardly know anything about Tohru.\I'd like to know more... I guess.\I think it's probably best not to ask about that.\Homemade Western Confections Salmandra\It's clearly a touchy topic for her.\Well, shall we buy some dessert?\Huh? Really? response:	What would you like?
context: Now that I think about it, I hardly know anything about Tohru.\I'd like to know more... I guess.\I think it's probably best not to ask about that.\Homemade Western Confections Salmandra\It's clearly a touchy topic for her.\Well, shall we buy some dessert?\Huh? Really?\What would you like? response:	I'd love an eclair!
context: I'd like to know more... I guess.\I think it's probably best not to ask about that.\Homemade Western Confections Salmandra\It's clearly a touchy topic for her.\Well, shall we buy some dessert?\Huh? Really?\What would you like?\I'd love an eclair! response:	Did you know? Eclair means flash of lightning!
context: I think it's probably best not to ask about that.\Homemade Western Confections Salmandra\It's clearly a touchy topic for her.\Well, shall we buy some dessert?\Huh? Really?\What would you like?\I'd love an eclair!\Did you know? Eclair means flash of lightning! response:	Wow.
context: Homemade Western Confections Salmandra\It's clearly a touchy topic for her.\Well, shall we buy some dessert?\Huh? Really?\What would you like?\I'd love an eclair!\Did you know? Eclair means flash of lightning!\Wow. response:	Speaking of lightning, there's the Norse god Thor... is your name related to that?
