context: Once, when I was little, I saw God. response:	It was then, for the first time, that I learned the reason for which I drew...
context: Once, when I was little, I saw God.\It was then, for the first time, that I learned the reason for which I drew... response:	And I wondered what I would do if I couldn't draw anymore.
context: Once, when I was little, I saw God.\It was then, for the first time, that I learned the reason for which I drew...\And I wondered what I would do if I couldn't draw anymore. response:	Ah, God...
context: Once, when I was little, I saw God.\It was then, for the first time, that I learned the reason for which I drew...\And I wondered what I would do if I couldn't draw anymore.\Ah, God... response:	If I were ever to stop drawing
context: Once, when I was little, I saw God.\It was then, for the first time, that I learned the reason for which I drew...\And I wondered what I would do if I couldn't draw anymore.\Ah, God...\If I were ever to stop drawing response:	at that moment I will return my life to you.
context: Once, when I was little, I saw God.\It was then, for the first time, that I learned the reason for which I drew...\And I wondered what I would do if I couldn't draw anymore.\Ah, God...\If I were ever to stop drawing\at that moment I will return my life to you. response:	watashi ga umareta asa no machi yuki no naka ni umoreta
context: Once, when I was little, I saw God.\It was then, for the first time, that I learned the reason for which I drew...\And I wondered what I would do if I couldn't draw anymore.\Ah, God...\If I were ever to stop drawing\at that moment I will return my life to you.\watashi ga umareta asa no machi yuki no naka ni umoreta response:	sore wa sore wa chiisai te de aozora wo aoida
context: Once, when I was little, I saw God.\It was then, for the first time, that I learned the reason for which I drew...\And I wondered what I would do if I couldn't draw anymore.\Ah, God...\If I were ever to stop drawing\at that moment I will return my life to you.\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida response:	sanagara mukashi kara yoku shiru tonari no ano ko no you ni
context: It was then, for the first time, that I learned the reason for which I drew...\And I wondered what I would do if I couldn't draw anymore.\Ah, God...\If I were ever to stop drawing\at that moment I will return my life to you.\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni response:	katahou no mimitabu de kiku sotsugyou no canon
context: And I wondered what I would do if I couldn't draw anymore.\Ah, God...\If I were ever to stop drawing\at that moment I will return my life to you.\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon response:	hitori demo daijoubu yo tte mekureteru watashi no story
context: Ah, God...\If I were ever to stop drawing\at that moment I will return my life to you.\watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story response:	dareka no sei ni shitai yo
