context: Hey, all you viewers out there! response:	When you're watching Fairy Tail keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright, response:	and sit back from the screen, okay?
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail! response:	Let's go on an S class quest, Lucy!
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Let's go on an S class quest, Lucy! response:	We went to Galuna Island without permission from the guild.
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Let's go on an S class quest, Lucy!\We went to Galuna Island without permission from the guild. response:	Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Let's go on an S class quest, Lucy!\We went to Galuna Island without permission from the guild.\Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora... response:	Please destroy the moon!
context: Hey, all you viewers out there!\When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Let's go on an S class quest, Lucy!\We went to Galuna Island without permission from the guild.\Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...\Please destroy the moon! response:	That's right, we can do it!
context: When you're watching Fairy Tail keep the room nice and bright,\and sit back from the screen, okay?\Previously on Fairy Tail!\Let's go on an S class quest, Lucy!\We went to Galuna Island without permission from the guild.\Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...\Please destroy the moon!\That's right, we can do it! response:	Let's go for even more who-knows-what!!
context: and sit back from the screen, okay?\Previously on Fairy Tail!\Let's go on an S class quest, Lucy!\We went to Galuna Island without permission from the guild.\Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...\Please destroy the moon!\That's right, we can do it!\Let's go for even more who-knows-what!! response:	The door to mystery is right in front of us
context: Previously on Fairy Tail!\Let's go on an S class quest, Lucy!\We went to Galuna Island without permission from the guild.\Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...\Please destroy the moon!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us response:	The whole world's a wonderland
context: Let's go on an S class quest, Lucy!\We went to Galuna Island without permission from the guild.\Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...\Please destroy the moon!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland response:	which we're already wondering!!!
context: We went to Galuna Island without permission from the guild.\Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...\Please destroy the moon!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!! response:	This excitement gets my heart racing
context: Gray and Erza got involved, and although we managed to handle Lyon's plan to resurrect Deliora...\Please destroy the moon!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing response:	It's wonderful!
context: Please destroy the moon!\That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful! response:	Who am I, I wonder?
context: That's right, we can do it!\Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder? response:	What is real, I wonder?
context: Let's go for even more who-knows-what!!\The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder? response:	Why can't I see tomorrow, I wonder?
context: The door to mystery is right in front of us\The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder? response:	The only part leveling up is my curiosity
context: The whole world's a wonderland\which we're already wondering!!!\This excitement gets my heart racing\It's wonderful!\Who am I, I wonder?\What is real, I wonder?\Why can't I see tomorrow, I wonder?\The only part leveling up is my curiosity response:	We can't just throw away our daily life together, right?
