context: Okay, on to the next scene. response:	Yuki, use your magic to take out Mikuru.
context: Okay, on to the next scene.\Yuki, use your magic to take out Mikuru. response:	The answer is no!, of course.
context: Okay, on to the next scene.\Yuki, use your magic to take out Mikuru.\The answer is no!, of course. response:	I can't give my permission for you to use your magic, let alone hurt Miss Asahina.
context: Okay, on to the next scene.\Yuki, use your magic to take out Mikuru.\The answer is no!, of course.\I can't give my permission for you to use your magic, let alone hurt Miss Asahina. response:	Look, Miss Asahina's turning blue and shaking from fear.
context: Okay, on to the next scene.\Yuki, use your magic to take out Mikuru.\The answer is no!, of course.\I can't give my permission for you to use your magic, let alone hurt Miss Asahina.\Look, Miss Asahina's turning blue and shaking from fear. response:	Oh well. We'll use CG effects in this scene.
context: Okay, on to the next scene.\Yuki, use your magic to take out Mikuru.\The answer is no!, of course.\I can't give my permission for you to use your magic, let alone hurt Miss Asahina.\Look, Miss Asahina's turning blue and shaking from fear.\Oh well. We'll use CG effects in this scene. response:	Kyon, put in a beam coming from Yuki's wand, okay?
context: Okay, on to the next scene.\Yuki, use your magic to take out Mikuru.\The answer is no!, of course.\I can't give my permission for you to use your magic, let alone hurt Miss Asahina.\Look, Miss Asahina's turning blue and shaking from fear.\Oh well. We'll use CG effects in this scene.\Kyon, put in a beam coming from Yuki's wand, okay? response:	How am I supposed to put in a visual effect like that?
context: Okay, on to the next scene.\Yuki, use your magic to take out Mikuru.\The answer is no!, of course.\I can't give my permission for you to use your magic, let alone hurt Miss Asahina.\Look, Miss Asahina's turning blue and shaking from fear.\Oh well. We'll use CG effects in this scene.\Kyon, put in a beam coming from Yuki's wand, okay?\How am I supposed to put in a visual effect like that? response:	Okay, Mikuru, now scream! And fall over, like you're in pain.
context: Yuki, use your magic to take out Mikuru.\The answer is no!, of course.\I can't give my permission for you to use your magic, let alone hurt Miss Asahina.\Look, Miss Asahina's turning blue and shaking from fear.\Oh well. We'll use CG effects in this scene.\Kyon, put in a beam coming from Yuki's wand, okay?\How am I supposed to put in a visual effect like that?\Okay, Mikuru, now scream! And fall over, like you're in pain. response:	DAY BY DAY unzari dayone dakara Day by day, everything's just so dull
context: The answer is no!, of course.\I can't give my permission for you to use your magic, let alone hurt Miss Asahina.\Look, Miss Asahina's turning blue and shaking from fear.\Oh well. We'll use CG effects in this scene.\Kyon, put in a beam coming from Yuki's wand, okay?\How am I supposed to put in a visual effect like that?\Okay, Mikuru, now scream! And fall over, like you're in pain.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull response:	Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all
context: I can't give my permission for you to use your magic, let alone hurt Miss Asahina.\Look, Miss Asahina's turning blue and shaking from fear.\Oh well. We'll use CG effects in this scene.\Kyon, put in a beam coming from Yuki's wand, okay?\How am I supposed to put in a visual effect like that?\Okay, Mikuru, now scream! And fall over, like you're in pain.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all response:	OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive
context: Look, Miss Asahina's turning blue and shaking from fear.\Oh well. We'll use CG effects in this scene.\Kyon, put in a beam coming from Yuki's wand, okay?\How am I supposed to put in a visual effect like that?\Okay, Mikuru, now scream! And fall over, like you're in pain.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive response:	Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world
context: Oh well. We'll use CG effects in this scene.\Kyon, put in a beam coming from Yuki's wand, okay?\How am I supposed to put in a visual effect like that?\Okay, Mikuru, now scream! And fall over, like you're in pain.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world response:	Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me
context: Kyon, put in a beam coming from Yuki's wand, okay?\How am I supposed to put in a visual effect like that?\Okay, Mikuru, now scream! And fall over, like you're in pain.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me response:	Kudaranai yarikata kette Kick away the boring ways of doing things,
context: How am I supposed to put in a visual effect like that?\Okay, Mikuru, now scream! And fall over, like you're in pain.\DAY BY DAY unzari dayone dakara Day by day, everything's just so dull\Doudou to kotowacchau kimi ni narina yo That's why you need to become someone that can just reject it all\OH MY BOY kippari shinakya uso ni Oh my boy, you need to be decisive\Tsukiatterarenai yo semai sekai de I won't deal with any lies in this small world\Jibun de mitsuketa MYSELF suki ni natte touzen I found myself on my own, it's natural you'd fall for me\Kudaranai yarikata kette Kick away the boring ways of doing things, response:	subete wa atashi ga kimeru I'm going to decide everything
