context: Eriol, dinner is almost ready. response:	Ok.
context: Eriol, dinner is almost ready.\Ok. response:	What are you writing?
context: Eriol, dinner is almost ready.\Ok.\What are you writing? response:	Can you understand it?
context: Eriol, dinner is almost ready.\Ok.\What are you writing?\Can you understand it? response:	It's been a long time since we've seen her.
context: Eriol, dinner is almost ready.\Ok.\What are you writing?\Can you understand it?\It's been a long time since we've seen her. response:	It's almost over.
context: Eriol, dinner is almost ready.\Ok.\What are you writing?\Can you understand it?\It's been a long time since we've seen her.\It's almost over. response:	Sakura-san's magic has become much stronger.
context: Eriol, dinner is almost ready.\Ok.\What are you writing?\Can you understand it?\It's been a long time since we've seen her.\It's almost over.\Sakura-san's magic has become much stronger. response:	She should be able to do it soon.
context: Eriol, dinner is almost ready.\Ok.\What are you writing?\Can you understand it?\It's been a long time since we've seen her.\It's almost over.\Sakura-san's magic has become much stronger.\She should be able to do it soon. response:	Hey! Hurry up or your stew will get cold!
context: Ok.\What are you writing?\Can you understand it?\It's been a long time since we've seen her.\It's almost over.\Sakura-san's magic has become much stronger.\She should be able to do it soon.\Hey! Hurry up or your stew will get cold! response:	Ok, I'm coming.
context: What are you writing?\Can you understand it?\It's been a long time since we've seen her.\It's almost over.\Sakura-san's magic has become much stronger.\She should be able to do it soon.\Hey! Hurry up or your stew will get cold!\Ok, I'm coming. response:	Really, you two just don't appreciate the work
context: Can you understand it?\It's been a long time since we've seen her.\It's almost over.\Sakura-san's magic has become much stronger.\She should be able to do it soon.\Hey! Hurry up or your stew will get cold!\Ok, I'm coming.\Really, you two just don't appreciate the work response:	I put into things' hey'
context: It's been a long time since we've seen her.\It's almost over.\Sakura-san's magic has become much stronger.\She should be able to do it soon.\Hey! Hurry up or your stew will get cold!\Ok, I'm coming.\Really, you two just don't appreciate the work\I put into things' hey' response:	Look! Look! Look!
context: It's almost over.\Sakura-san's magic has become much stronger.\She should be able to do it soon.\Hey! Hurry up or your stew will get cold!\Ok, I'm coming.\Really, you two just don't appreciate the work\I put into things' hey'\Look! Look! Look! response:	Damn! What's with this snow!?
context: Sakura-san's magic has become much stronger.\She should be able to do it soon.\Hey! Hurry up or your stew will get cold!\Ok, I'm coming.\Really, you two just don't appreciate the work\I put into things' hey'\Look! Look! Look!\Damn! What's with this snow!? response:	I guess that won't work.
context: She should be able to do it soon.\Hey! Hurry up or your stew will get cold!\Ok, I'm coming.\Really, you two just don't appreciate the work\I put into things' hey'\Look! Look! Look!\Damn! What's with this snow!?\I guess that won't work. response:	I can't just keep running.
context: Hey! Hurry up or your stew will get cold!\Ok, I'm coming.\Really, you two just don't appreciate the work\I put into things' hey'\Look! Look! Look!\Damn! What's with this snow!?\I guess that won't work.\I can't just keep running. response:	I have to do something about them.
context: Ok, I'm coming.\Really, you two just don't appreciate the work\I put into things' hey'\Look! Look! Look!\Damn! What's with this snow!?\I guess that won't work.\I can't just keep running.\I have to do something about them. response:	All right, if you want to play snow with me'
context: Really, you two just don't appreciate the work\I put into things' hey'\Look! Look! Look!\Damn! What's with this snow!?\I guess that won't work.\I can't just keep running.\I have to do something about them.\All right, if you want to play snow with me' response:	O Card created by Clow,
context: I put into things' hey'\Look! Look! Look!\Damn! What's with this snow!?\I guess that won't work.\I can't just keep running.\I have to do something about them.\All right, if you want to play snow with me'\O Card created by Clow, response:	discard thine old form and be reborn.
context: Look! Look! Look!\Damn! What's with this snow!?\I guess that won't work.\I can't just keep running.\I have to do something about them.\All right, if you want to play snow with me'\O Card created by Clow,\discard thine old form and be reborn. response:	Under the name of Sakura, thy new Mistress.
context: Damn! What's with this snow!?\I guess that won't work.\I can't just keep running.\I have to do something about them.\All right, if you want to play snow with me'\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress. response:	Snow!
context: I guess that won't work.\I can't just keep running.\I have to do something about them.\All right, if you want to play snow with me'\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Snow! response:	Snow! Destroy all these little snowmen!
context: I can't just keep running.\I have to do something about them.\All right, if you want to play snow with me'\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Snow!\Snow! Destroy all these little snowmen! response:	Sakura has managed to defeat us again'
context: I have to do something about them.\All right, if you want to play snow with me'\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Snow!\Snow! Destroy all these little snowmen!\Sakura has managed to defeat us again' response:	Keep it up' for a little while longer. Sakura-san.
context: All right, if you want to play snow with me'\O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Snow!\Snow! Destroy all these little snowmen!\Sakura has managed to defeat us again'\Keep it up' for a little while longer. Sakura-san. response:	Sakura-chan!
context: O Card created by Clow,\discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Snow!\Snow! Destroy all these little snowmen!\Sakura has managed to defeat us again'\Keep it up' for a little while longer. Sakura-san.\Sakura-chan! response:	Tomoyo-chan! Shao Lan-kun!
context: discard thine old form and be reborn.\Under the name of Sakura, thy new Mistress.\Snow!\Snow! Destroy all these little snowmen!\Sakura has managed to defeat us again'\Keep it up' for a little while longer. Sakura-san.\Sakura-chan!\Tomoyo-chan! Shao Lan-kun! response:	Are you ok?
context: Under the name of Sakura, thy new Mistress.\Snow!\Snow! Destroy all these little snowmen!\Sakura has managed to defeat us again'\Keep it up' for a little while longer. Sakura-san.\Sakura-chan!\Tomoyo-chan! Shao Lan-kun!\Are you ok? response:	I'm sorry I missed it.
context: Snow!\Snow! Destroy all these little snowmen!\Sakura has managed to defeat us again'\Keep it up' for a little while longer. Sakura-san.\Sakura-chan!\Tomoyo-chan! Shao Lan-kun!\Are you ok?\I'm sorry I missed it. response:	I made you a new costume too!
context: Snow! Destroy all these little snowmen!\Sakura has managed to defeat us again'\Keep it up' for a little while longer. Sakura-san.\Sakura-chan!\Tomoyo-chan! Shao Lan-kun!\Are you ok?\I'm sorry I missed it.\I made you a new costume too! response:	Promise you'll wear it next time, pretty please!
context: Sakura has managed to defeat us again'\Keep it up' for a little while longer. Sakura-san.\Sakura-chan!\Tomoyo-chan! Shao Lan-kun!\Are you ok?\I'm sorry I missed it.\I made you a new costume too!\Promise you'll wear it next time, pretty please! response:	I'm not really sure whether there will be a next time'
context: Keep it up' for a little while longer. Sakura-san.\Sakura-chan!\Tomoyo-chan! Shao Lan-kun!\Are you ok?\I'm sorry I missed it.\I made you a new costume too!\Promise you'll wear it next time, pretty please!\I'm not really sure whether there will be a next time' response:	That's okay!
context: Sakura-chan!\Tomoyo-chan! Shao Lan-kun!\Are you ok?\I'm sorry I missed it.\I made you a new costume too!\Promise you'll wear it next time, pretty please!\I'm not really sure whether there will be a next time'\That's okay! response:	You'll manage.
context: Tomoyo-chan! Shao Lan-kun!\Are you ok?\I'm sorry I missed it.\I made you a new costume too!\Promise you'll wear it next time, pretty please!\I'm not really sure whether there will be a next time'\That's okay!\You'll manage. response:	That's right, soon all of the cards
context: Are you ok?\I'm sorry I missed it.\I made you a new costume too!\Promise you'll wear it next time, pretty please!\I'm not really sure whether there will be a next time'\That's okay!\You'll manage.\That's right, soon all of the cards response:	will be Sakura Cards.
