context: As a child, I thought response:	your mother is just your mother.
context: As a child, I thought\your mother is just your mother. response:	A teacher is just a teacher,
context: As a child, I thought\your mother is just your mother.\A teacher is just a teacher, response:	and a police officer is just a police officer and nothing more.
context: As a child, I thought\your mother is just your mother.\A teacher is just a teacher,\and a police officer is just a police officer and nothing more. response:	And celebrities were just celebrities. They were different from me.
context: As a child, I thought\your mother is just your mother.\A teacher is just a teacher,\and a police officer is just a police officer and nothing more.\And celebrities were just celebrities. They were different from me. response:	And I still felt that way, even now, at twenty.
context: As a child, I thought\your mother is just your mother.\A teacher is just a teacher,\and a police officer is just a police officer and nothing more.\And celebrities were just celebrities. They were different from me.\And I still felt that way, even now, at twenty. response:	When I was darkness at that time
context: As a child, I thought\your mother is just your mother.\A teacher is just a teacher,\and a police officer is just a police officer and nothing more.\And celebrities were just celebrities. They were different from me.\And I still felt that way, even now, at twenty.\When I was darkness at that time response:	With trembling lips
context: As a child, I thought\your mother is just your mother.\A teacher is just a teacher,\and a police officer is just a police officer and nothing more.\And celebrities were just celebrities. They were different from me.\And I still felt that way, even now, at twenty.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: your mother is just your mother.\A teacher is just a teacher,\and a police officer is just a police officer and nothing more.\And celebrities were just celebrities. They were different from me.\And I still felt that way, even now, at twenty.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: A teacher is just a teacher,\and a police officer is just a police officer and nothing more.\And celebrities were just celebrities. They were different from me.\And I still felt that way, even now, at twenty.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: and a police officer is just a police officer and nothing more.\And celebrities were just celebrities. They were different from me.\And I still felt that way, even now, at twenty.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: And celebrities were just celebrities. They were different from me.\And I still felt that way, even now, at twenty.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: And I still felt that way, even now, at twenty.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
