context: This is the International Rescue Fleet of the Norma Administration Board. response:	Normas, thank you for your good work fighting the DRAGONs.
context: This is the International Rescue Fleet of the Norma Administration Board.\Normas, thank you for your good work fighting the DRAGONs. response:	We will hereby begin your rescue.
context: This is the International Rescue Fleet of the Norma Administration Board.\Normas, thank you for your good work fighting the DRAGONs.\We will hereby begin your rescue. response:	Angelise-sama, it's a rescue!
context: This is the International Rescue Fleet of the Norma Administration Board.\Normas, thank you for your good work fighting the DRAGONs.\We will hereby begin your rescue.\Angelise-sama, it's a rescue! response:	They're here to save us!
context: This is the International Rescue Fleet of the Norma Administration Board.\Normas, thank you for your good work fighting the DRAGONs.\We will hereby begin your rescue.\Angelise-sama, it's a rescue!\They're here to save us! response:	Please abandon your weapons and prepare for evacuation.
context: This is the International Rescue Fleet of the Norma Administration Board.\Normas, thank you for your good work fighting the DRAGONs.\We will hereby begin your rescue.\Angelise-sama, it's a rescue!\They're here to save us!\Please abandon your weapons and prepare for evacuation. response:	Don't listen to it.
context: This is the International Rescue Fleet of the Norma Administration Board.\Normas, thank you for your good work fighting the DRAGONs.\We will hereby begin your rescue.\Angelise-sama, it's a rescue!\They're here to save us!\Please abandon your weapons and prepare for evacuation.\Don't listen to it. response:	It's bullshit.
context: This is the International Rescue Fleet of the Norma Administration Board.\Normas, thank you for your good work fighting the DRAGONs.\We will hereby begin your rescue.\Angelise-sama, it's a rescue!\They're here to save us!\Please abandon your weapons and prepare for evacuation.\Don't listen to it.\It's bullshit. response:	Take anti-air defense positions.
context: Normas, thank you for your good work fighting the DRAGONs.\We will hereby begin your rescue.\Angelise-sama, it's a rescue!\They're here to save us!\Please abandon your weapons and prepare for evacuation.\Don't listen to it.\It's bullshit.\Take anti-air defense positions. response:	Yes, ma'am!
context: We will hereby begin your rescue.\Angelise-sama, it's a rescue!\They're here to save us!\Please abandon your weapons and prepare for evacuation.\Don't listen to it.\It's bullshit.\Take anti-air defense positions.\Yes, ma'am! response:	Arzenal is arming its anti-air weapons.
context: Angelise-sama, it's a rescue!\They're here to save us!\Please abandon your weapons and prepare for evacuation.\Don't listen to it.\It's bullshit.\Take anti-air defense positions.\Yes, ma'am!\Arzenal is arming its anti-air weapons. response:	Oh, dear.
context: They're here to save us!\Please abandon your weapons and prepare for evacuation.\Don't listen to it.\It's bullshit.\Take anti-air defense positions.\Yes, ma'am!\Arzenal is arming its anti-air weapons.\Oh, dear. response:	I was hoping to go about this peacefully.
context: Please abandon your weapons and prepare for evacuation.\Don't listen to it.\It's bullshit.\Take anti-air defense positions.\Yes, ma'am!\Arzenal is arming its anti-air weapons.\Oh, dear.\I was hoping to go about this peacefully. response:	Emperor Julio the First to all ships.
context: Don't listen to it.\It's bullshit.\Take anti-air defense positions.\Yes, ma'am!\Arzenal is arming its anti-air weapons.\Oh, dear.\I was hoping to go about this peacefully.\Emperor Julio the First to all ships. response:	The Norma have just now rejected our rescue.
context: It's bullshit.\Take anti-air defense positions.\Yes, ma'am!\Arzenal is arming its anti-air weapons.\Oh, dear.\I was hoping to go about this peacefully.\Emperor Julio the First to all ships.\The Norma have just now rejected our rescue. response:	This is a clear act of treason against usagainst all humanity.
context: Take anti-air defense positions.\Yes, ma'am!\Arzenal is arming its anti-air weapons.\Oh, dear.\I was hoping to go about this peacefully.\Emperor Julio the First to all ships.\The Norma have just now rejected our rescue.\This is a clear act of treason against usagainst all humanity. response:	We cannot turn a blind eye to this.
