context: Hyakkimaru got injured due to the sudden return of his hearing. response:	A girl named Mio took him in.
context: Hyakkimaru got injured due to the sudden return of his hearing.\A girl named Mio took him in. response:	Mio lived with children who had been orphaned in the war.
context: Hyakkimaru got injured due to the sudden return of his hearing.\A girl named Mio took him in.\Mio lived with children who had been orphaned in the war. response:	But on the night Hyakkimaru went out to fight a demon...
context: Hyakkimaru got injured due to the sudden return of his hearing.\A girl named Mio took him in.\Mio lived with children who had been orphaned in the war.\But on the night Hyakkimaru went out to fight a demon... response:	I can't... I can't believe it.
context: Hyakkimaru got injured due to the sudden return of his hearing.\A girl named Mio took him in.\Mio lived with children who had been orphaned in the war.\But on the night Hyakkimaru went out to fight a demon...\I can't... I can't believe it. response:	Huh, what's that?
context: Hyakkimaru got injured due to the sudden return of his hearing.\A girl named Mio took him in.\Mio lived with children who had been orphaned in the war.\But on the night Hyakkimaru went out to fight a demon...\I can't... I can't believe it.\Huh, what's that? response:	Bro?
context: Hyakkimaru got injured due to the sudden return of his hearing.\A girl named Mio took him in.\Mio lived with children who had been orphaned in the war.\But on the night Hyakkimaru went out to fight a demon...\I can't... I can't believe it.\Huh, what's that?\Bro? response:	What happened?
context: Hyakkimaru got injured due to the sudden return of his hearing.\A girl named Mio took him in.\Mio lived with children who had been orphaned in the war.\But on the night Hyakkimaru went out to fight a demon...\I can't... I can't believe it.\Huh, what's that?\Bro?\What happened? response:	Perfect, help me out here.
context: A girl named Mio took him in.\Mio lived with children who had been orphaned in the war.\But on the night Hyakkimaru went out to fight a demon...\I can't... I can't believe it.\Huh, what's that?\Bro?\What happened?\Perfect, help me out here. response:	Are you okay?
context: Mio lived with children who had been orphaned in the war.\But on the night Hyakkimaru went out to fight a demon...\I can't... I can't believe it.\Huh, what's that?\Bro?\What happened?\Perfect, help me out here.\Are you okay? response:	His leg!
context: But on the night Hyakkimaru went out to fight a demon...\I can't... I can't believe it.\Huh, what's that?\Bro?\What happened?\Perfect, help me out here.\Are you okay?\His leg! response:	He shouldn't have fought with that injury. The demon got it.
context: I can't... I can't believe it.\Huh, what's that?\Bro?\What happened?\Perfect, help me out here.\Are you okay?\His leg!\He shouldn't have fought with that injury. The demon got it. response:	Does it hurt?
context: Huh, what's that?\Bro?\What happened?\Perfect, help me out here.\Are you okay?\His leg!\He shouldn't have fought with that injury. The demon got it.\Does it hurt? response:	Huh? That voice...
context: Bro?\What happened?\Perfect, help me out here.\Are you okay?\His leg!\He shouldn't have fought with that injury. The demon got it.\Does it hurt?\Huh? That voice... response:	Yes, he lost his leg but got his voice back.
context: What happened?\Perfect, help me out here.\Are you okay?\His leg!\He shouldn't have fought with that injury. The demon got it.\Does it hurt?\Huh? That voice...\Yes, he lost his leg but got his voice back. response:	Hyakkimaru's voice...?
