context: A dream... Right? response:	Were you holding back today?
context: A dream... Right?\Were you holding back today? response:	No.
context: A dream... Right?\Were you holding back today?\No. response:	You didn't seem as hard on me as you did yesterday.
context: A dream... Right?\Were you holding back today?\No.\You didn't seem as hard on me as you did yesterday. response:	Because your abilities have improved.
context: A dream... Right?\Were you holding back today?\No.\You didn't seem as hard on me as you did yesterday.\Because your abilities have improved. response:	They have?
context: A dream... Right?\Were you holding back today?\No.\You didn't seem as hard on me as you did yesterday.\Because your abilities have improved.\They have? response:	Specifically, your stance no longer has any wasted movement.
context: A dream... Right?\Were you holding back today?\No.\You didn't seem as hard on me as you did yesterday.\Because your abilities have improved.\They have?\Specifically, your stance no longer has any wasted movement. response:	Really?
context: A dream... Right?\Were you holding back today?\No.\You didn't seem as hard on me as you did yesterday.\Because your abilities have improved.\They have?\Specifically, your stance no longer has any wasted movement.\Really? response:	I was only mimicking his moves...
context: Were you holding back today?\No.\You didn't seem as hard on me as you did yesterday.\Because your abilities have improved.\They have?\Specifically, your stance no longer has any wasted movement.\Really?\I was only mimicking his moves... response:	So you are using Archer's technique, not mine, as the basis for your study.
context: No.\You didn't seem as hard on me as you did yesterday.\Because your abilities have improved.\They have?\Specifically, your stance no longer has any wasted movement.\Really?\I was only mimicking his moves...\So you are using Archer's technique, not mine, as the basis for your study. response:	You can tell that?
context: You didn't seem as hard on me as you did yesterday.\Because your abilities have improved.\They have?\Specifically, your stance no longer has any wasted movement.\Really?\I was only mimicking his moves...\So you are using Archer's technique, not mine, as the basis for your study.\You can tell that? response:	Of course.
context: Because your abilities have improved.\They have?\Specifically, your stance no longer has any wasted movement.\Really?\I was only mimicking his moves...\So you are using Archer's technique, not mine, as the basis for your study.\You can tell that?\Of course. response:	After all, you had no fundamental stance at the start.
context: They have?\Specifically, your stance no longer has any wasted movement.\Really?\I was only mimicking his moves...\So you are using Archer's technique, not mine, as the basis for your study.\You can tell that?\Of course.\After all, you had no fundamental stance at the start. response:	I'm sorry... I didn't mean it as a slight against you, Saber.
context: Specifically, your stance no longer has any wasted movement.\Really?\I was only mimicking his moves...\So you are using Archer's technique, not mine, as the basis for your study.\You can tell that?\Of course.\After all, you had no fundamental stance at the start.\I'm sorry... I didn't mean it as a slight against you, Saber. response:	I guess he was in my head because I was around him all day yesterday.
context: Really?\I was only mimicking his moves...\So you are using Archer's technique, not mine, as the basis for your study.\You can tell that?\Of course.\After all, you had no fundamental stance at the start.\I'm sorry... I didn't mean it as a slight against you, Saber.\I guess he was in my head because I was around him all day yesterday. response:	There is no need to apologize.
context: I was only mimicking his moves...\So you are using Archer's technique, not mine, as the basis for your study.\You can tell that?\Of course.\After all, you had no fundamental stance at the start.\I'm sorry... I didn't mean it as a slight against you, Saber.\I guess he was in my head because I was around him all day yesterday.\There is no need to apologize. response:	If Archer's style is a better fit for you, it isn't my place to judge.
context: So you are using Archer's technique, not mine, as the basis for your study.\You can tell that?\Of course.\After all, you had no fundamental stance at the start.\I'm sorry... I didn't mean it as a slight against you, Saber.\I guess he was in my head because I was around him all day yesterday.\There is no need to apologize.\If Archer's style is a better fit for you, it isn't my place to judge. response:	Um, Saber...
context: You can tell that?\Of course.\After all, you had no fundamental stance at the start.\I'm sorry... I didn't mean it as a slight against you, Saber.\I guess he was in my head because I was around him all day yesterday.\There is no need to apologize.\If Archer's style is a better fit for you, it isn't my place to judge.\Um, Saber... response:	Good morning.
context: Of course.\After all, you had no fundamental stance at the start.\I'm sorry... I didn't mean it as a slight against you, Saber.\I guess he was in my head because I was around him all day yesterday.\There is no need to apologize.\If Archer's style is a better fit for you, it isn't my place to judge.\Um, Saber...\Good morning. response:	Hey, how rare to see you late.
context: After all, you had no fundamental stance at the start.\I'm sorry... I didn't mean it as a slight against you, Saber.\I guess he was in my head because I was around him all day yesterday.\There is no need to apologize.\If Archer's style is a better fit for you, it isn't my place to judge.\Um, Saber...\Good morning.\Hey, how rare to see you late. response:	Fujimura-sensei was quite furious.
context: I'm sorry... I didn't mean it as a slight against you, Saber.\I guess he was in my head because I was around him all day yesterday.\There is no need to apologize.\If Archer's style is a better fit for you, it isn't my place to judge.\Um, Saber...\Good morning.\Hey, how rare to see you late.\Fujimura-sensei was quite furious. response:	Finally gracing us with your presence?
context: I guess he was in my head because I was around him all day yesterday.\There is no need to apologize.\If Archer's style is a better fit for you, it isn't my place to judge.\Um, Saber...\Good morning.\Hey, how rare to see you late.\Fujimura-sensei was quite furious.\Finally gracing us with your presence? response:	Shinji...
context: There is no need to apologize.\If Archer's style is a better fit for you, it isn't my place to judge.\Um, Saber...\Good morning.\Hey, how rare to see you late.\Fujimura-sensei was quite furious.\Finally gracing us with your presence?\Shinji... response:	You let it go to your head, and now you think you're hot stuff?
context: If Archer's style is a better fit for you, it isn't my place to judge.\Um, Saber...\Good morning.\Hey, how rare to see you late.\Fujimura-sensei was quite furious.\Finally gracing us with your presence?\Shinji...\You let it go to your head, and now you think you're hot stuff? response:	Still, I'm glad you came.
context: Um, Saber...\Good morning.\Hey, how rare to see you late.\Fujimura-sensei was quite furious.\Finally gracing us with your presence?\Shinji...\You let it go to your head, and now you think you're hot stuff?\Still, I'm glad you came. response:	If you weren't here, it wouldn't be any fun.
context: Good morning.\Hey, how rare to see you late.\Fujimura-sensei was quite furious.\Finally gracing us with your presence?\Shinji...\You let it go to your head, and now you think you're hot stuff?\Still, I'm glad you came.\If you weren't here, it wouldn't be any fun. response:	What's up? Not going to the cafeteria?
context: Hey, how rare to see you late.\Fujimura-sensei was quite furious.\Finally gracing us with your presence?\Shinji...\You let it go to your head, and now you think you're hot stuff?\Still, I'm glad you came.\If you weren't here, it wouldn't be any fun.\What's up? Not going to the cafeteria? response:	I should like nothing better, but... Well, just have a look at that.
context: Fujimura-sensei was quite furious.\Finally gracing us with your presence?\Shinji...\You let it go to your head, and now you think you're hot stuff?\Still, I'm glad you came.\If you weren't here, it wouldn't be any fun.\What's up? Not going to the cafeteria?\I should like nothing better, but... Well, just have a look at that. response:	There can be no doubt.
context: Finally gracing us with your presence?\Shinji...\You let it go to your head, and now you think you're hot stuff?\Still, I'm glad you came.\If you weren't here, it wouldn't be any fun.\What's up? Not going to the cafeteria?\I should like nothing better, but... Well, just have a look at that.\There can be no doubt. response:	That girl is peeking into our classroom, nonchalant, yet brazen as can be.
context: Shinji...\You let it go to your head, and now you think you're hot stuff?\Still, I'm glad you came.\If you weren't here, it wouldn't be any fun.\What's up? Not going to the cafeteria?\I should like nothing better, but... Well, just have a look at that.\There can be no doubt.\That girl is peeking into our classroom, nonchalant, yet brazen as can be. response:	It is not The one you wait for will not come, but The one you wait for will not notice.
context: You let it go to your head, and now you think you're hot stuff?\Still, I'm glad you came.\If you weren't here, it wouldn't be any fun.\What's up? Not going to the cafeteria?\I should like nothing better, but... Well, just have a look at that.\There can be no doubt.\That girl is peeking into our classroom, nonchalant, yet brazen as can be.\It is not The one you wait for will not come, but The one you wait for will not notice. response:	She looks about to snap, like one who had left a birthday gift for someone,
context: Still, I'm glad you came.\If you weren't here, it wouldn't be any fun.\What's up? Not going to the cafeteria?\I should like nothing better, but... Well, just have a look at that.\There can be no doubt.\That girl is peeking into our classroom, nonchalant, yet brazen as can be.\It is not The one you wait for will not come, but The one you wait for will not notice.\She looks about to snap, like one who had left a birthday gift for someone, response:	but even after a year, the recipient failed to notice.
context: If you weren't here, it wouldn't be any fun.\What's up? Not going to the cafeteria?\I should like nothing better, but... Well, just have a look at that.\There can be no doubt.\That girl is peeking into our classroom, nonchalant, yet brazen as can be.\It is not The one you wait for will not come, but The one you wait for will not notice.\She looks about to snap, like one who had left a birthday gift for someone,\but even after a year, the recipient failed to notice. response:	Where are you going, Tohsaka?
context: What's up? Not going to the cafeteria?\I should like nothing better, but... Well, just have a look at that.\There can be no doubt.\That girl is peeking into our classroom, nonchalant, yet brazen as can be.\It is not The one you wait for will not come, but The one you wait for will not notice.\She looks about to snap, like one who had left a birthday gift for someone,\but even after a year, the recipient failed to notice.\Where are you going, Tohsaka? response:	It's lunchtime, so obviously, I'm going to eat lunch.
context: I should like nothing better, but... Well, just have a look at that.\There can be no doubt.\That girl is peeking into our classroom, nonchalant, yet brazen as can be.\It is not The one you wait for will not come, but The one you wait for will not notice.\She looks about to snap, like one who had left a birthday gift for someone,\but even after a year, the recipient failed to notice.\Where are you going, Tohsaka?\It's lunchtime, so obviously, I'm going to eat lunch. response:	Oh, right.
context: There can be no doubt.\That girl is peeking into our classroom, nonchalant, yet brazen as can be.\It is not The one you wait for will not come, but The one you wait for will not notice.\She looks about to snap, like one who had left a birthday gift for someone,\but even after a year, the recipient failed to notice.\Where are you going, Tohsaka?\It's lunchtime, so obviously, I'm going to eat lunch.\Oh, right. response:	Well, find a nice spot.
context: That girl is peeking into our classroom, nonchalant, yet brazen as can be.\It is not The one you wait for will not come, but The one you wait for will not notice.\She looks about to snap, like one who had left a birthday gift for someone,\but even after a year, the recipient failed to notice.\Where are you going, Tohsaka?\It's lunchtime, so obviously, I'm going to eat lunch.\Oh, right.\Well, find a nice spot. response:	I'm eating in the student council office.
context: It is not The one you wait for will not come, but The one you wait for will not notice.\She looks about to snap, like one who had left a birthday gift for someone,\but even after a year, the recipient failed to notice.\Where are you going, Tohsaka?\It's lunchtime, so obviously, I'm going to eat lunch.\Oh, right.\Well, find a nice spot.\I'm eating in the student council office. response:	Wait just a minute!
context: She looks about to snap, like one who had left a birthday gift for someone,\but even after a year, the recipient failed to notice.\Where are you going, Tohsaka?\It's lunchtime, so obviously, I'm going to eat lunch.\Oh, right.\Well, find a nice spot.\I'm eating in the student council office.\Wait just a minute! response:	What, did you forget your lunch money or something?
