context: Piercing through the Macro sky, response:	A thunderbolt strikes the Earth
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth response:	To awaken us, the young mankind
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind response:	The Light struck.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck. response:	Macross! Macross!
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise response:	And fight to protect their loved ones
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones response:	Will set out on their journey As the war rages on.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on. response:	Will you love me tomorrow?
context: A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	The Zentradi factory satellite captured as a result of the space expedition
context: And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Zentradi factory satellite captured as a result of the space expedition response:	has been placed in orbit near the Earth.
context: Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Zentradi factory satellite captured as a result of the space expedition\has been placed in orbit near the Earth. response:	SATAN'S DOLLS
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Zentradi factory satellite captured as a result of the space expedition\has been placed in orbit near the Earth.\SATAN'S DOLLS response:	To protect themselves from external threats such as the Zentradi
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\The Zentradi factory satellite captured as a result of the space expedition\has been placed in orbit near the Earth.\SATAN'S DOLLS\To protect themselves from external threats such as the Zentradi response:	and their enemies, the Supervision Army,
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\The Zentradi factory satellite captured as a result of the space expedition\has been placed in orbit near the Earth.\SATAN'S DOLLS\To protect themselves from external threats such as the Zentradi\and their enemies, the Supervision Army, response:	the New Earth UN Government has begun mass weapons production.
context: Macross! Macross!\Macross!\The Zentradi factory satellite captured as a result of the space expedition\has been placed in orbit near the Earth.\SATAN'S DOLLS\To protect themselves from external threats such as the Zentradi\and their enemies, the Supervision Army,\the New Earth UN Government has begun mass weapons production. response:	However, much of the factory's machinery was destroyed
context: Macross!\The Zentradi factory satellite captured as a result of the space expedition\has been placed in orbit near the Earth.\SATAN'S DOLLS\To protect themselves from external threats such as the Zentradi\and their enemies, the Supervision Army,\the New Earth UN Government has begun mass weapons production.\However, much of the factory's machinery was destroyed response:	by repeated Supervision Army attacks
context: The Zentradi factory satellite captured as a result of the space expedition\has been placed in orbit near the Earth.\SATAN'S DOLLS\To protect themselves from external threats such as the Zentradi\and their enemies, the Supervision Army,\the New Earth UN Government has begun mass weapons production.\However, much of the factory's machinery was destroyed\by repeated Supervision Army attacks response:	and even components that remained operational soon began to break down.
context: has been placed in orbit near the Earth.\SATAN'S DOLLS\To protect themselves from external threats such as the Zentradi\and their enemies, the Supervision Army,\the New Earth UN Government has begun mass weapons production.\However, much of the factory's machinery was destroyed\by repeated Supervision Army attacks\and even components that remained operational soon began to break down. response:	Not again.
context: SATAN'S DOLLS\To protect themselves from external threats such as the Zentradi\and their enemies, the Supervision Army,\the New Earth UN Government has begun mass weapons production.\However, much of the factory's machinery was destroyed\by repeated Supervision Army attacks\and even components that remained operational soon began to break down.\Not again. response:	This started happening almost as soon as it got here. What's wrong?
context: To protect themselves from external threats such as the Zentradi\and their enemies, the Supervision Army,\the New Earth UN Government has begun mass weapons production.\However, much of the factory's machinery was destroyed\by repeated Supervision Army attacks\and even components that remained operational soon began to break down.\Not again.\This started happening almost as soon as it got here. What's wrong? response:	There is some unfortunate news I must deliver.
context: and their enemies, the Supervision Army,\the New Earth UN Government has begun mass weapons production.\However, much of the factory's machinery was destroyed\by repeated Supervision Army attacks\and even components that remained operational soon began to break down.\Not again.\This started happening almost as soon as it got here. What's wrong?\There is some unfortunate news I must deliver. response:	And I suppose I have to hear it.
context: the New Earth UN Government has begun mass weapons production.\However, much of the factory's machinery was destroyed\by repeated Supervision Army attacks\and even components that remained operational soon began to break down.\Not again.\This started happening almost as soon as it got here. What's wrong?\There is some unfortunate news I must deliver.\And I suppose I have to hear it. response:	Yes, sir.
context: However, much of the factory's machinery was destroyed\by repeated Supervision Army attacks\and even components that remained operational soon began to break down.\Not again.\This started happening almost as soon as it got here. What's wrong?\There is some unfortunate news I must deliver.\And I suppose I have to hear it.\Yes, sir. response:	The future's not looking too bright!
context: by repeated Supervision Army attacks\and even components that remained operational soon began to break down.\Not again.\This started happening almost as soon as it got here. What's wrong?\There is some unfortunate news I must deliver.\And I suppose I have to hear it.\Yes, sir.\The future's not looking too bright! response:	Hey, have you heard?
context: and even components that remained operational soon began to break down.\Not again.\This started happening almost as soon as it got here. What's wrong?\There is some unfortunate news I must deliver.\And I suppose I have to hear it.\Yes, sir.\The future's not looking too bright!\Hey, have you heard? response:	Heard what?
context: Not again.\This started happening almost as soon as it got here. What's wrong?\There is some unfortunate news I must deliver.\And I suppose I have to hear it.\Yes, sir.\The future's not looking too bright!\Hey, have you heard?\Heard what? response:	About Minmay.
context: This started happening almost as soon as it got here. What's wrong?\There is some unfortunate news I must deliver.\And I suppose I have to hear it.\Yes, sir.\The future's not looking too bright!\Hey, have you heard?\Heard what?\About Minmay. response:	Minmay?
context: There is some unfortunate news I must deliver.\And I suppose I have to hear it.\Yes, sir.\The future's not looking too bright!\Hey, have you heard?\Heard what?\About Minmay.\Minmay? response:	Yeah! They say things aren't going well between her and Kaifun.
context: And I suppose I have to hear it.\Yes, sir.\The future's not looking too bright!\Hey, have you heard?\Heard what?\About Minmay.\Minmay?\Yeah! They say things aren't going well between her and Kaifun. response:	No way.
context: Yes, sir.\The future's not looking too bright!\Hey, have you heard?\Heard what?\About Minmay.\Minmay?\Yeah! They say things aren't going well between her and Kaifun.\No way. response:	No, it's true.
context: The future's not looking too bright!\Hey, have you heard?\Heard what?\About Minmay.\Minmay?\Yeah! They say things aren't going well between her and Kaifun.\No way.\No, it's true. response:	I heard it from those cleaners, Loli and his friends.
context: Hey, have you heard?\Heard what?\About Minmay.\Minmay?\Yeah! They say things aren't going well between her and Kaifun.\No way.\No, it's true.\I heard it from those cleaners, Loli and his friends. response:	Huh? Loli and them said that?
context: Heard what?\About Minmay.\Minmay?\Yeah! They say things aren't going well between her and Kaifun.\No way.\No, it's true.\I heard it from those cleaners, Loli and his friends.\Huh? Loli and them said that? response:	Yeah, he said they saw them arguing.
context: About Minmay.\Minmay?\Yeah! They say things aren't going well between her and Kaifun.\No way.\No, it's true.\I heard it from those cleaners, Loli and his friends.\Huh? Loli and them said that?\Yeah, he said they saw them arguing. response:	Couldn't it have been just one time they happened to be fighting?
context: Minmay?\Yeah! They say things aren't going well between her and Kaifun.\No way.\No, it's true.\I heard it from those cleaners, Loli and his friends.\Huh? Loli and them said that?\Yeah, he said they saw them arguing.\Couldn't it have been just one time they happened to be fighting? response:	It doesn't look that way.
context: Yeah! They say things aren't going well between her and Kaifun.\No way.\No, it's true.\I heard it from those cleaners, Loli and his friends.\Huh? Loli and them said that?\Yeah, he said they saw them arguing.\Couldn't it have been just one time they happened to be fighting?\It doesn't look that way. response:	Apparently, they were saying some pretty nasty things to each other.
context: No way.\No, it's true.\I heard it from those cleaners, Loli and his friends.\Huh? Loli and them said that?\Yeah, he said they saw them arguing.\Couldn't it have been just one time they happened to be fighting?\It doesn't look that way.\Apparently, they were saying some pretty nasty things to each other. response:	Really? What do you think the problem is?
context: No, it's true.\I heard it from those cleaners, Loli and his friends.\Huh? Loli and them said that?\Yeah, he said they saw them arguing.\Couldn't it have been just one time they happened to be fighting?\It doesn't look that way.\Apparently, they were saying some pretty nasty things to each other.\Really? What do you think the problem is? response:	I knew it!
context: I heard it from those cleaners, Loli and his friends.\Huh? Loli and them said that?\Yeah, he said they saw them arguing.\Couldn't it have been just one time they happened to be fighting?\It doesn't look that way.\Apparently, they were saying some pretty nasty things to each other.\Really? What do you think the problem is?\I knew it! response:	When an entertainer hits hard times, they start trouble like this.
context: Huh? Loli and them said that?\Yeah, he said they saw them arguing.\Couldn't it have been just one time they happened to be fighting?\It doesn't look that way.\Apparently, they were saying some pretty nasty things to each other.\Really? What do you think the problem is?\I knew it!\When an entertainer hits hard times, they start trouble like this. response:	Hard times?
context: Yeah, he said they saw them arguing.\Couldn't it have been just one time they happened to be fighting?\It doesn't look that way.\Apparently, they were saying some pretty nasty things to each other.\Really? What do you think the problem is?\I knew it!\When an entertainer hits hard times, they start trouble like this.\Hard times? response:	I don't want that to happen to her.
context: Couldn't it have been just one time they happened to be fighting?\It doesn't look that way.\Apparently, they were saying some pretty nasty things to each other.\Really? What do you think the problem is?\I knew it!\When an entertainer hits hard times, they start trouble like this.\Hard times?\I don't want that to happen to her. response:	No, that's not it at all!
context: It doesn't look that way.\Apparently, they were saying some pretty nasty things to each other.\Really? What do you think the problem is?\I knew it!\When an entertainer hits hard times, they start trouble like this.\Hard times?\I don't want that to happen to her.\No, that's not it at all! response:	It looks like Minmay's found herself another man.
context: Apparently, they were saying some pretty nasty things to each other.\Really? What do you think the problem is?\I knew it!\When an entertainer hits hard times, they start trouble like this.\Hard times?\I don't want that to happen to her.\No, that's not it at all!\It looks like Minmay's found herself another man. response:	Another man?
context: Really? What do you think the problem is?\I knew it!\When an entertainer hits hard times, they start trouble like this.\Hard times?\I don't want that to happen to her.\No, that's not it at all!\It looks like Minmay's found herself another man.\Another man? response:	No way! That's not right!
context: I knew it!\When an entertainer hits hard times, they start trouble like this.\Hard times?\I don't want that to happen to her.\No, that's not it at all!\It looks like Minmay's found herself another man.\Another man?\No way! That's not right! response:	Let's avoid idle talk while we're on the job!
context: When an entertainer hits hard times, they start trouble like this.\Hard times?\I don't want that to happen to her.\No, that's not it at all!\It looks like Minmay's found herself another man.\Another man?\No way! That's not right!\Let's avoid idle talk while we're on the job! response:	That's right!
context: Hard times?\I don't want that to happen to her.\No, that's not it at all!\It looks like Minmay's found herself another man.\Another man?\No way! That's not right!\Let's avoid idle talk while we're on the job!\That's right! response:	Those three are hopeless.
context: I don't want that to happen to her.\No, that's not it at all!\It looks like Minmay's found herself another man.\Another man?\No way! That's not right!\Let's avoid idle talk while we're on the job!\That's right!\Those three are hopeless. response:	Reporting, ma'am! There's been a disturbance in Trad City.
context: No, that's not it at all!\It looks like Minmay's found herself another man.\Another man?\No way! That's not right!\Let's avoid idle talk while we're on the job!\That's right!\Those three are hopeless.\Reporting, ma'am! There's been a disturbance in Trad City. response:	Another one?
context: It looks like Minmay's found herself another man.\Another man?\No way! That's not right!\Let's avoid idle talk while we're on the job!\That's right!\Those three are hopeless.\Reporting, ma'am! There's been a disturbance in Trad City.\Another one? response:	All right.
context: Another man?\No way! That's not right!\Let's avoid idle talk while we're on the job!\That's right!\Those three are hopeless.\Reporting, ma'am! There's been a disturbance in Trad City.\Another one?\All right. response:	Tell them to send a patrol unit there right away.
context: No way! That's not right!\Let's avoid idle talk while we're on the job!\That's right!\Those three are hopeless.\Reporting, ma'am! There's been a disturbance in Trad City.\Another one?\All right.\Tell them to send a patrol unit there right away. response:	Yes, ma'am!
context: Let's avoid idle talk while we're on the job!\That's right!\Those three are hopeless.\Reporting, ma'am! There's been a disturbance in Trad City.\Another one?\All right.\Tell them to send a patrol unit there right away.\Yes, ma'am! response:	Oh, and Machizaki? Tell Captain Vanessa to return to Command Section 1.
context: That's right!\Those three are hopeless.\Reporting, ma'am! There's been a disturbance in Trad City.\Another one?\All right.\Tell them to send a patrol unit there right away.\Yes, ma'am!\Oh, and Machizaki? Tell Captain Vanessa to return to Command Section 1. response:	I'm sorry, ma'am, but could you possibly tell her that yourself?
context: Those three are hopeless.\Reporting, ma'am! There's been a disturbance in Trad City.\Another one?\All right.\Tell them to send a patrol unit there right away.\Yes, ma'am!\Oh, and Machizaki? Tell Captain Vanessa to return to Command Section 1.\I'm sorry, ma'am, but could you possibly tell her that yourself? response:	I suppose. Why?
context: Reporting, ma'am! There's been a disturbance in Trad City.\Another one?\All right.\Tell them to send a patrol unit there right away.\Yes, ma'am!\Oh, and Machizaki? Tell Captain Vanessa to return to Command Section 1.\I'm sorry, ma'am, but could you possibly tell her that yourself?\I suppose. Why? response:	Huh?
