context: Water. response:	Earth.
context: Water.\Earth. response:	Fire.
context: Water.\Earth.\Fire. response:	Air.
context: Water.\Earth.\Fire.\Air. response:	Long ago, the four nations lived together in harmony.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony. response:	Then, everything changed when the Fire Nation attacked.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked. response:	Only the Avatar, master of all four elements, could stop them.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them. response:	But when the world needed him most, he vanished.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished. response:	A hundred years passed, and my brother and I discovered the new Avatar...
context: Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar... response:	And although his airbending skills are great.
context: Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great. response:	He has a lot to learn before he's ready to save anyone.
context: Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone. response:	But I believe Aang can save the world.
context: Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world. response:	Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.
context: Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world. response:	Aang, I know you're excited but it's been a hundred years since you've been home.
context: Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.\Aang, I know you're excited but it's been a hundred years since you've been home. response:	That's why I'm so excited!
context: But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.\Aang, I know you're excited but it's been a hundred years since you've been home.\That's why I'm so excited! response:	It's just that a lot can change in all that time..
context: A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.\Aang, I know you're excited but it's been a hundred years since you've been home.\That's why I'm so excited!\It's just that a lot can change in all that time.. response:	I know.
context: And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.\Aang, I know you're excited but it's been a hundred years since you've been home.\That's why I'm so excited!\It's just that a lot can change in all that time..\I know. response:	but I need to see it for myself..
context: He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.\Aang, I know you're excited but it's been a hundred years since you've been home.\That's why I'm so excited!\It's just that a lot can change in all that time..\I know.\but I need to see it for myself.. response:	Wake up, Sokka! Air Temple here we come!
context: But I believe Aang can save the world.\Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.\Aang, I know you're excited but it's been a hundred years since you've been home.\That's why I'm so excited!\It's just that a lot can change in all that time..\I know.\but I need to see it for myself..\Wake up, Sokka! Air Temple here we come! response:	Sleep now... temple later...
context: Wait'til you see it, Katara. The Air Temple is one of the most beautiful places in the world.\Aang, I know you're excited but it's been a hundred years since you've been home.\That's why I'm so excited!\It's just that a lot can change in all that time..\I know.\but I need to see it for myself..\Wake up, Sokka! Air Temple here we come!\Sleep now... temple later... response:	Sokka! Wake up! There's a prickle snake in your sleeping bag!
context: Aang, I know you're excited but it's been a hundred years since you've been home.\That's why I'm so excited!\It's just that a lot can change in all that time..\I know.\but I need to see it for myself..\Wake up, Sokka! Air Temple here we come!\Sleep now... temple later...\Sokka! Wake up! There's a prickle snake in your sleeping bag! response:	Aaahhh! Get it off! Get it off! Aaahhh!
context: That's why I'm so excited!\It's just that a lot can change in all that time..\I know.\but I need to see it for myself..\Wake up, Sokka! Air Temple here we come!\Sleep now... temple later...\Sokka! Wake up! There's a prickle snake in your sleeping bag!\Aaahhh! Get it off! Get it off! Aaahhh! response:	Great! You're awake. Let's go.
context: It's just that a lot can change in all that time..\I know.\but I need to see it for myself..\Wake up, Sokka! Air Temple here we come!\Sleep now... temple later...\Sokka! Wake up! There's a prickle snake in your sleeping bag!\Aaahhh! Get it off! Get it off! Aaahhh!\Great! You're awake. Let's go. response:	Uncle, I want the repairs made as quickly as possible.
context: I know.\but I need to see it for myself..\Wake up, Sokka! Air Temple here we come!\Sleep now... temple later...\Sokka! Wake up! There's a prickle snake in your sleeping bag!\Aaahhh! Get it off! Get it off! Aaahhh!\Great! You're awake. Let's go.\Uncle, I want the repairs made as quickly as possible. response:	I don't want to stay too long and risk losing his trail.
context: but I need to see it for myself..\Wake up, Sokka! Air Temple here we come!\Sleep now... temple later...\Sokka! Wake up! There's a prickle snake in your sleeping bag!\Aaahhh! Get it off! Get it off! Aaahhh!\Great! You're awake. Let's go.\Uncle, I want the repairs made as quickly as possible.\I don't want to stay too long and risk losing his trail. response:	You mean the Avatar? Don't mention his name on these docks!
context: Wake up, Sokka! Air Temple here we come!\Sleep now... temple later...\Sokka! Wake up! There's a prickle snake in your sleeping bag!\Aaahhh! Get it off! Get it off! Aaahhh!\Great! You're awake. Let's go.\Uncle, I want the repairs made as quickly as possible.\I don't want to stay too long and risk losing his trail.\You mean the Avatar? Don't mention his name on these docks! response:	Once word gets out that he's alive every firebender will be out looking for him
context: Sleep now... temple later...\Sokka! Wake up! There's a prickle snake in your sleeping bag!\Aaahhh! Get it off! Get it off! Aaahhh!\Great! You're awake. Let's go.\Uncle, I want the repairs made as quickly as possible.\I don't want to stay too long and risk losing his trail.\You mean the Avatar? Don't mention his name on these docks!\Once word gets out that he's alive every firebender will be out looking for him response:	and I don't want anyone getting in the way.
context: Sokka! Wake up! There's a prickle snake in your sleeping bag!\Aaahhh! Get it off! Get it off! Aaahhh!\Great! You're awake. Let's go.\Uncle, I want the repairs made as quickly as possible.\I don't want to stay too long and risk losing his trail.\You mean the Avatar? Don't mention his name on these docks!\Once word gets out that he's alive every firebender will be out looking for him\and I don't want anyone getting in the way. response:	Getting in the way of what...
context: Aaahhh! Get it off! Get it off! Aaahhh!\Great! You're awake. Let's go.\Uncle, I want the repairs made as quickly as possible.\I don't want to stay too long and risk losing his trail.\You mean the Avatar? Don't mention his name on these docks!\Once word gets out that he's alive every firebender will be out looking for him\and I don't want anyone getting in the way.\Getting in the way of what... response:	Prince Zuko?
context: Great! You're awake. Let's go.\Uncle, I want the repairs made as quickly as possible.\I don't want to stay too long and risk losing his trail.\You mean the Avatar? Don't mention his name on these docks!\Once word gets out that he's alive every firebender will be out looking for him\and I don't want anyone getting in the way.\Getting in the way of what...\Prince Zuko? response:	Captain Zhao. It's Commander now.
context: Uncle, I want the repairs made as quickly as possible.\I don't want to stay too long and risk losing his trail.\You mean the Avatar? Don't mention his name on these docks!\Once word gets out that he's alive every firebender will be out looking for him\and I don't want anyone getting in the way.\Getting in the way of what...\Prince Zuko?\Captain Zhao. It's Commander now. response:	And General Iroh
context: I don't want to stay too long and risk losing his trail.\You mean the Avatar? Don't mention his name on these docks!\Once word gets out that he's alive every firebender will be out looking for him\and I don't want anyone getting in the way.\Getting in the way of what...\Prince Zuko?\Captain Zhao. It's Commander now.\And General Iroh response:	Great hero of our nation. Retired general.
context: You mean the Avatar? Don't mention his name on these docks!\Once word gets out that he's alive every firebender will be out looking for him\and I don't want anyone getting in the way.\Getting in the way of what...\Prince Zuko?\Captain Zhao. It's Commander now.\And General Iroh\Great hero of our nation. Retired general. response:	What brings you to my harbor?
