context: Future Plans Questionnaire response:	Year Class Number Name
context: Future Plans Questionnaire\Year Class Number Name response:	Which course are you guys going for?
context: Future Plans Questionnaire\Year Class Number Name\Which course are you guys going for? response:	Hina and I are probably going into liberal arts.
context: Future Plans Questionnaire\Year Class Number Name\Which course are you guys going for?\Hina and I are probably going into liberal arts. response:	Yumiko's still thinking about it.
context: Future Plans Questionnaire\Year Class Number Name\Which course are you guys going for?\Hina and I are probably going into liberal arts.\Yumiko's still thinking about it. response:	Really? Maybe I'll go with liberal arts, too...
context: Future Plans Questionnaire\Year Class Number Name\Which course are you guys going for?\Hina and I are probably going into liberal arts.\Yumiko's still thinking about it.\Really? Maybe I'll go with liberal arts, too... response:	What about you, Hayato?
context: Future Plans Questionnaire\Year Class Number Name\Which course are you guys going for?\Hina and I are probably going into liberal arts.\Yumiko's still thinking about it.\Really? Maybe I'll go with liberal arts, too...\What about you, Hayato? response:	I've kinda decided, but I'll give it some more thought.
context: Future Plans Questionnaire\Year Class Number Name\Which course are you guys going for?\Hina and I are probably going into liberal arts.\Yumiko's still thinking about it.\Really? Maybe I'll go with liberal arts, too...\What about you, Hayato?\I've kinda decided, but I'll give it some more thought. response:	Which do you think I should do, Hayato-kun?
context: Year Class Number Name\Which course are you guys going for?\Hina and I are probably going into liberal arts.\Yumiko's still thinking about it.\Really? Maybe I'll go with liberal arts, too...\What about you, Hayato?\I've kinda decided, but I'll give it some more thought.\Which do you think I should do, Hayato-kun? response:	It's your own life.
context: Which course are you guys going for?\Hina and I are probably going into liberal arts.\Yumiko's still thinking about it.\Really? Maybe I'll go with liberal arts, too...\What about you, Hayato?\I've kinda decided, but I'll give it some more thought.\Which do you think I should do, Hayato-kun?\It's your own life. response:	You need to give it some serious thought, or you'll regret it.
context: Hina and I are probably going into liberal arts.\Yumiko's still thinking about it.\Really? Maybe I'll go with liberal arts, too...\What about you, Hayato?\I've kinda decided, but I'll give it some more thought.\Which do you think I should do, Hayato-kun?\It's your own life.\You need to give it some serious thought, or you'll regret it. response:	Aww...
context: Yumiko's still thinking about it.\Really? Maybe I'll go with liberal arts, too...\What about you, Hayato?\I've kinda decided, but I'll give it some more thought.\Which do you think I should do, Hayato-kun?\It's your own life.\You need to give it some serious thought, or you'll regret it.\Aww... response:	By the way, Hayato-kun,
context: Really? Maybe I'll go with liberal arts, too...\What about you, Hayato?\I've kinda decided, but I'll give it some more thought.\Which do you think I should do, Hayato-kun?\It's your own life.\You need to give it some serious thought, or you'll regret it.\Aww...\By the way, Hayato-kun, response:	is it true you're going out with Yukinoshita-san?
context: What about you, Hayato?\I've kinda decided, but I'll give it some more thought.\Which do you think I should do, Hayato-kun?\It's your own life.\You need to give it some serious thought, or you'll regret it.\Aww...\By the way, Hayato-kun,\is it true you're going out with Yukinoshita-san? response:	What?!
context: I've kinda decided, but I'll give it some more thought.\Which do you think I should do, Hayato-kun?\It's your own life.\You need to give it some serious thought, or you'll regret it.\Aww...\By the way, Hayato-kun,\is it true you're going out with Yukinoshita-san?\What?! response:	Who said something irresponsible like that?
context: Which do you think I should do, Hayato-kun?\It's your own life.\You need to give it some serious thought, or you'll regret it.\Aww...\By the way, Hayato-kun,\is it true you're going out with Yukinoshita-san?\What?!\Who said something irresponsible like that? response:	Uh...
context: It's your own life.\You need to give it some serious thought, or you'll regret it.\Aww...\By the way, Hayato-kun,\is it true you're going out with Yukinoshita-san?\What?!\Who said something irresponsible like that?\Uh... response:	It's just a rumor...
context: You need to give it some serious thought, or you'll regret it.\Aww...\By the way, Hayato-kun,\is it true you're going out with Yukinoshita-san?\What?!\Who said something irresponsible like that?\Uh...\It's just a rumor... response:	My Teen Romantic Comedy SNAFU TOO!
context: Aww...\By the way, Hayato-kun,\is it true you're going out with Yukinoshita-san?\What?!\Who said something irresponsible like that?\Uh...\It's just a rumor...\My Teen Romantic Comedy SNAFU TOO! response:	Did you hear about Hayama-kun?
context: By the way, Hayato-kun,\is it true you're going out with Yukinoshita-san?\What?!\Who said something irresponsible like that?\Uh...\It's just a rumor...\My Teen Romantic Comedy SNAFU TOO!\Did you hear about Hayama-kun? response:	Someone saw them together over winter break!
context: is it true you're going out with Yukinoshita-san?\What?!\Who said something irresponsible like that?\Uh...\It's just a rumor...\My Teen Romantic Comedy SNAFU TOO!\Did you hear about Hayama-kun?\Someone saw them together over winter break! response:	Yeah, it seems like the real deal, doesn't it?
context: What?!\Who said something irresponsible like that?\Uh...\It's just a rumor...\My Teen Romantic Comedy SNAFU TOO!\Did you hear about Hayama-kun?\Someone saw them together over winter break!\Yeah, it seems like the real deal, doesn't it? response:	Yukinon, over here!
context: Who said something irresponsible like that?\Uh...\It's just a rumor...\My Teen Romantic Comedy SNAFU TOO!\Did you hear about Hayama-kun?\Someone saw them together over winter break!\Yeah, it seems like the real deal, doesn't it?\Yukinon, over here! response:	What's wrong with where I am?
context: Uh...\It's just a rumor...\My Teen Romantic Comedy SNAFU TOO!\Did you hear about Hayama-kun?\Someone saw them together over winter break!\Yeah, it seems like the real deal, doesn't it?\Yukinon, over here!\What's wrong with where I am? response:	Happy birthday!
context: It's just a rumor...\My Teen Romantic Comedy SNAFU TOO!\Did you hear about Hayama-kun?\Someone saw them together over winter break!\Yeah, it seems like the real deal, doesn't it?\Yukinon, over here!\What's wrong with where I am?\Happy birthday! response:	Congratulations!
context: My Teen Romantic Comedy SNAFU TOO!\Did you hear about Hayama-kun?\Someone saw them together over winter break!\Yeah, it seems like the real deal, doesn't it?\Yukinon, over here!\What's wrong with where I am?\Happy birthday!\Congratulations! response:	Congrats.
context: Did you hear about Hayama-kun?\Someone saw them together over winter break!\Yeah, it seems like the real deal, doesn't it?\Yukinon, over here!\What's wrong with where I am?\Happy birthday!\Congratulations!\Congrats. response:	Th-Thanks.
context: Someone saw them together over winter break!\Yeah, it seems like the real deal, doesn't it?\Yukinon, over here!\What's wrong with where I am?\Happy birthday!\Congratulations!\Congrats.\Th-Thanks. response:	So your birthday is January 3rd, Yukinoshita-senpai?
context: Yeah, it seems like the real deal, doesn't it?\Yukinon, over here!\What's wrong with where I am?\Happy birthday!\Congratulations!\Congrats.\Th-Thanks.\So your birthday is January 3rd, Yukinoshita-senpai? response:	By the way, mine is April 16th, Senpai.
context: Yukinon, over here!\What's wrong with where I am?\Happy birthday!\Congratulations!\Congrats.\Th-Thanks.\So your birthday is January 3rd, Yukinoshita-senpai?\By the way, mine is April 16th, Senpai. response:	I didn't ask.
context: What's wrong with where I am?\Happy birthday!\Congratulations!\Congrats.\Th-Thanks.\So your birthday is January 3rd, Yukinoshita-senpai?\By the way, mine is April 16th, Senpai.\I didn't ask. response:	Why are you even here, anyway?
context: Happy birthday!\Congratulations!\Congrats.\Th-Thanks.\So your birthday is January 3rd, Yukinoshita-senpai?\By the way, mine is April 16th, Senpai.\I didn't ask.\Why are you even here, anyway? response:	Oh, come on. What's the problem?
context: Congratulations!\Congrats.\Th-Thanks.\So your birthday is January 3rd, Yukinoshita-senpai?\By the way, mine is April 16th, Senpai.\I didn't ask.\Why are you even here, anyway?\Oh, come on. What's the problem? response:	There's actually a little favor I wanted to ask.
context: Congrats.\Th-Thanks.\So your birthday is January 3rd, Yukinoshita-senpai?\By the way, mine is April 16th, Senpai.\I didn't ask.\Why are you even here, anyway?\Oh, come on. What's the problem?\There's actually a little favor I wanted to ask. response:	Oh, right!
context: Th-Thanks.\So your birthday is January 3rd, Yukinoshita-senpai?\By the way, mine is April 16th, Senpai.\I didn't ask.\Why are you even here, anyway?\Oh, come on. What's the problem?\There's actually a little favor I wanted to ask.\Oh, right! response:	Yukinoshita-senpai, are you really going out with Hayama-senpai?
context: So your birthday is January 3rd, Yukinoshita-senpai?\By the way, mine is April 16th, Senpai.\I didn't ask.\Why are you even here, anyway?\Oh, come on. What's the problem?\There's actually a little favor I wanted to ask.\Oh, right!\Yukinoshita-senpai, are you really going out with Hayama-senpai? response:	What?
context: By the way, mine is April 16th, Senpai.\I didn't ask.\Why are you even here, anyway?\Oh, come on. What's the problem?\There's actually a little favor I wanted to ask.\Oh, right!\Yukinoshita-senpai, are you really going out with Hayama-senpai?\What? response:	Isshiki-san.
context: I didn't ask.\Why are you even here, anyway?\Oh, come on. What's the problem?\There's actually a little favor I wanted to ask.\Oh, right!\Yukinoshita-senpai, are you really going out with Hayama-senpai?\What?\Isshiki-san. response:	Y-Yes?
context: Why are you even here, anyway?\Oh, come on. What's the problem?\There's actually a little favor I wanted to ask.\Oh, right!\Yukinoshita-senpai, are you really going out with Hayama-senpai?\What?\Isshiki-san.\Y-Yes? response:	That obviously isn't true.
context: Oh, come on. What's the problem?\There's actually a little favor I wanted to ask.\Oh, right!\Yukinoshita-senpai, are you really going out with Hayama-senpai?\What?\Isshiki-san.\Y-Yes?\That obviously isn't true. response:	Y-Yeah, you're right!
context: There's actually a little favor I wanted to ask.\Oh, right!\Yukinoshita-senpai, are you really going out with Hayama-senpai?\What?\Isshiki-san.\Y-Yes?\That obviously isn't true.\Y-Yeah, you're right! response:	I thought there was no way it could be true!
context: Oh, right!\Yukinoshita-senpai, are you really going out with Hayama-senpai?\What?\Isshiki-san.\Y-Yes?\That obviously isn't true.\Y-Yeah, you're right!\I thought there was no way it could be true! response:	Remember when you went out the other day?
context: Yukinoshita-senpai, are you really going out with Hayama-senpai?\What?\Isshiki-san.\Y-Yes?\That obviously isn't true.\Y-Yeah, you're right!\I thought there was no way it could be true!\Remember when you went out the other day? response:	Seems like someone saw that and got the wrong idea.
context: What?\Isshiki-san.\Y-Yes?\That obviously isn't true.\Y-Yeah, you're right!\I thought there was no way it could be true!\Remember when you went out the other day?\Seems like someone saw that and got the wrong idea. response:	I see. The petty suspicions of a lowlife.
context: Isshiki-san.\Y-Yes?\That obviously isn't true.\Y-Yeah, you're right!\I thought there was no way it could be true!\Remember when you went out the other day?\Seems like someone saw that and got the wrong idea.\I see. The petty suspicions of a lowlife. response:	Well, you know... They say a rumor only lasts 49 days, right?
context: Y-Yes?\That obviously isn't true.\Y-Yeah, you're right!\I thought there was no way it could be true!\Remember when you went out the other day?\Seems like someone saw that and got the wrong idea.\I see. The petty suspicions of a lowlife.\Well, you know... They say a rumor only lasts 49 days, right? response:	That's 75 days.
context: That obviously isn't true.\Y-Yeah, you're right!\I thought there was no way it could be true!\Remember when you went out the other day?\Seems like someone saw that and got the wrong idea.\I see. The petty suspicions of a lowlife.\Well, you know... They say a rumor only lasts 49 days, right?\That's 75 days. response:	I hope so...
context: Y-Yeah, you're right!\I thought there was no way it could be true!\Remember when you went out the other day?\Seems like someone saw that and got the wrong idea.\I see. The petty suspicions of a lowlife.\Well, you know... They say a rumor only lasts 49 days, right?\That's 75 days.\I hope so... response:	Hayama-senpai's never had
context: I thought there was no way it could be true!\Remember when you went out the other day?\Seems like someone saw that and got the wrong idea.\I see. The petty suspicions of a lowlife.\Well, you know... They say a rumor only lasts 49 days, right?\That's 75 days.\I hope so...\Hayama-senpai's never had response:	any rumors specifically about him before, weirdly enough.
context: Remember when you went out the other day?\Seems like someone saw that and got the wrong idea.\I see. The petty suspicions of a lowlife.\Well, you know... They say a rumor only lasts 49 days, right?\That's 75 days.\I hope so...\Hayama-senpai's never had\any rumors specifically about him before, weirdly enough. response:	He's, like, everybody's Hayama Hayato.
context: Seems like someone saw that and got the wrong idea.\I see. The petty suspicions of a lowlife.\Well, you know... They say a rumor only lasts 49 days, right?\That's 75 days.\I hope so...\Hayama-senpai's never had\any rumors specifically about him before, weirdly enough.\He's, like, everybody's Hayama Hayato. response:	So since this rumor came up,
context: I see. The petty suspicions of a lowlife.\Well, you know... They say a rumor only lasts 49 days, right?\That's 75 days.\I hope so...\Hayama-senpai's never had\any rumors specifically about him before, weirdly enough.\He's, like, everybody's Hayama Hayato.\So since this rumor came up, response:	there are more people trying to mess with him.
context: Well, you know... They say a rumor only lasts 49 days, right?\That's 75 days.\I hope so...\Hayama-senpai's never had\any rumors specifically about him before, weirdly enough.\He's, like, everybody's Hayama Hayato.\So since this rumor came up,\there are more people trying to mess with him. response:	How so?
context: That's 75 days.\I hope so...\Hayama-senpai's never had\any rumors specifically about him before, weirdly enough.\He's, like, everybody's Hayama Hayato.\So since this rumor came up,\there are more people trying to mess with him.\How so? response:	Well, like girls confessing to him,
context: I hope so...\Hayama-senpai's never had\any rumors specifically about him before, weirdly enough.\He's, like, everybody's Hayama Hayato.\So since this rumor came up,\there are more people trying to mess with him.\How so?\Well, like girls confessing to him, response:	or if they don't go that far, they try to appeal to him by just checking.
context: Hayama-senpai's never had\any rumors specifically about him before, weirdly enough.\He's, like, everybody's Hayama Hayato.\So since this rumor came up,\there are more people trying to mess with him.\How so?\Well, like girls confessing to him,\or if they don't go that far, they try to appeal to him by just checking. response:	Checking? On what?
context: any rumors specifically about him before, weirdly enough.\He's, like, everybody's Hayama Hayato.\So since this rumor came up,\there are more people trying to mess with him.\How so?\Well, like girls confessing to him,\or if they don't go that far, they try to appeal to him by just checking.\Checking? On what? response:	And that appeals to him?
context: He's, like, everybody's Hayama Hayato.\So since this rumor came up,\there are more people trying to mess with him.\How so?\Well, like girls confessing to him,\or if they don't go that far, they try to appeal to him by just checking.\Checking? On what?\And that appeals to him? response:	Senpai?
context: So since this rumor came up,\there are more people trying to mess with him.\How so?\Well, like girls confessing to him,\or if they don't go that far, they try to appeal to him by just checking.\Checking? On what?\And that appeals to him?\Senpai? response:	Are you going out with anyone
context: there are more people trying to mess with him.\How so?\Well, like girls confessing to him,\or if they don't go that far, they try to appeal to him by just checking.\Checking? On what?\And that appeals to him?\Senpai?\Are you going out with anyone response:	right now?
context: How so?\Well, like girls confessing to him,\or if they don't go that far, they try to appeal to him by just checking.\Checking? On what?\And that appeals to him?\Senpai?\Are you going out with anyone\right now? response:	No... I'm not...
context: Well, like girls confessing to him,\or if they don't go that far, they try to appeal to him by just checking.\Checking? On what?\And that appeals to him?\Senpai?\Are you going out with anyone\right now?\No... I'm not... response:	See? That's what I'm talking about.
context: or if they don't go that far, they try to appeal to him by just checking.\Checking? On what?\And that appeals to him?\Senpai?\Are you going out with anyone\right now?\No... I'm not...\See? That's what I'm talking about. response:	Th-That's just an issue of how you say it!
context: Checking? On what?\And that appeals to him?\Senpai?\Are you going out with anyone\right now?\No... I'm not...\See? That's what I'm talking about.\Th-That's just an issue of how you say it! response:	Right, Hikki?
context: And that appeals to him?\Senpai?\Are you going out with anyone\right now?\No... I'm not...\See? That's what I'm talking about.\Th-That's just an issue of how you say it!\Right, Hikki? response:	Well, I can't say that wouldn't appeal to me, yes.
context: Senpai?\Are you going out with anyone\right now?\No... I'm not...\See? That's what I'm talking about.\Th-That's just an issue of how you say it!\Right, Hikki?\Well, I can't say that wouldn't appeal to me, yes. response:	In fact, it sure as hell did.
context: Are you going out with anyone\right now?\No... I'm not...\See? That's what I'm talking about.\Th-That's just an issue of how you say it!\Right, Hikki?\Well, I can't say that wouldn't appeal to me, yes.\In fact, it sure as hell did. response:	Hikki?
context: right now?\No... I'm not...\See? That's what I'm talking about.\Th-That's just an issue of how you say it!\Right, Hikki?\Well, I can't say that wouldn't appeal to me, yes.\In fact, it sure as hell did.\Hikki? response:	Why aren't you saying anything?
context: No... I'm not...\See? That's what I'm talking about.\Th-That's just an issue of how you say it!\Right, Hikki?\Well, I can't say that wouldn't appeal to me, yes.\In fact, it sure as hell did.\Hikki?\Why aren't you saying anything? response:	W-Well, anyway, you know...
context: See? That's what I'm talking about.\Th-That's just an issue of how you say it!\Right, Hikki?\Well, I can't say that wouldn't appeal to me, yes.\In fact, it sure as hell did.\Hikki?\Why aren't you saying anything?\W-Well, anyway, you know... response:	I understand what's going on with Hayama.
context: Th-That's just an issue of how you say it!\Right, Hikki?\Well, I can't say that wouldn't appeal to me, yes.\In fact, it sure as hell did.\Hikki?\Why aren't you saying anything?\W-Well, anyway, you know...\I understand what's going on with Hayama. response:	Yep. I understand very well.
context: Right, Hikki?\Well, I can't say that wouldn't appeal to me, yes.\In fact, it sure as hell did.\Hikki?\Why aren't you saying anything?\W-Well, anyway, you know...\I understand what's going on with Hayama.\Yep. I understand very well. response:	Those really do look great on you!
context: Well, I can't say that wouldn't appeal to me, yes.\In fact, it sure as hell did.\Hikki?\Why aren't you saying anything?\W-Well, anyway, you know...\I understand what's going on with Hayama.\Yep. I understand very well.\Those really do look great on you! response:	D-Do they?
context: In fact, it sure as hell did.\Hikki?\Why aren't you saying anything?\W-Well, anyway, you know...\I understand what's going on with Hayama.\Yep. I understand very well.\Those really do look great on you!\D-Do they? response:	Well...
context: Hikki?\Why aren't you saying anything?\W-Well, anyway, you know...\I understand what's going on with Hayama.\Yep. I understand very well.\Those really do look great on you!\D-Do they?\Well... response:	Yeah.
context: Why aren't you saying anything?\W-Well, anyway, you know...\I understand what's going on with Hayama.\Yep. I understand very well.\Those really do look great on you!\D-Do they?\Well...\Yeah. response:	Thanks.
context: W-Well, anyway, you know...\I understand what's going on with Hayama.\Yep. I understand very well.\Those really do look great on you!\D-Do they?\Well...\Yeah.\Thanks. response:	Did you always wear glasses, Senpai?
context: I understand what's going on with Hayama.\Yep. I understand very well.\Those really do look great on you!\D-Do they?\Well...\Yeah.\Thanks.\Did you always wear glasses, Senpai? response:	These reduce blue light.
context: Yep. I understand very well.\Those really do look great on you!\D-Do they?\Well...\Yeah.\Thanks.\Did you always wear glasses, Senpai?\These reduce blue light. response:	Oh...
context: Those really do look great on you!\D-Do they?\Well...\Yeah.\Thanks.\Did you always wear glasses, Senpai?\These reduce blue light.\Oh... response:	Maybe I should try a pair of those, too.
context: D-Do they?\Well...\Yeah.\Thanks.\Did you always wear glasses, Senpai?\These reduce blue light.\Oh...\Maybe I should try a pair of those, too. response:	You don't look at the computer that much.
context: Well...\Yeah.\Thanks.\Did you always wear glasses, Senpai?\These reduce blue light.\Oh...\Maybe I should try a pair of those, too.\You don't look at the computer that much. response:	I do! I look at it all the time!
context: Yeah.\Thanks.\Did you always wear glasses, Senpai?\These reduce blue light.\Oh...\Maybe I should try a pair of those, too.\You don't look at the computer that much.\I do! I look at it all the time! response:	Yukinon, let me see it, too!
