context: Erza... response:	I apologize.
context: Erza...\I apologize. response:	I'd forgotten one crucial thing...
context: Erza...\I apologize.\I'd forgotten one crucial thing... response:	I am not protecting everyone!
context: Erza...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone! response:	T-This is...
context: Erza...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is... response:	It is I... who am always... being protected!
context: Erza...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who am always... being protected! response:	Trust... Bonds...
context: Erza...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who am always... being protected!\Trust... Bonds... response:	Their true strength...
context: Erza...\I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who am always... being protected!\Trust... Bonds...\Their true strength... response:	It is not One, but Many!
context: I apologize.\I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who am always... being protected!\Trust... Bonds...\Their true strength...\It is not One, but Many! response:	What an amazing guild!
context: I'd forgotten one crucial thing...\I am not protecting everyone!\T-This is...\It is I... who am always... being protected!\Trust... Bonds...\Their true strength...\It is not One, but Many!\What an amazing guild! response:	Excellent.
context: I am not protecting everyone!\T-This is...\It is I... who am always... being protected!\Trust... Bonds...\Their true strength...\It is not One, but Many!\What an amazing guild!\Excellent. response:	You...
context: T-This is...\It is I... who am always... being protected!\Trust... Bonds...\Their true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\You... response:	Your body...
context: It is I... who am always... being protected!\Trust... Bonds...\Their true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\You...\Your body... response:	Frozen Spirit.
context: Trust... Bonds...\Their true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\You...\Your body...\Frozen Spirit. response:	You...
context: Their true strength...\It is not One, but Many!\What an amazing guild!\Excellent.\You...\Your body...\Frozen Spirit.\You... response:	Your body...
context: It is not One, but Many!\What an amazing guild!\Excellent.\You...\Your body...\Frozen Spirit.\You...\Your body... response:	A side effect of the Lost Magic, you see.
context: What an amazing guild!\Excellent.\You...\Your body...\Frozen Spirit.\You...\Your body...\A side effect of the Lost Magic, you see. response:	It seems I overused it considerably...
context: Excellent.\You...\Your body...\Frozen Spirit.\You...\Your body...\A side effect of the Lost Magic, you see.\It seems I overused it considerably... response:	I will keep my promise.
context: You...\Your body...\Frozen Spirit.\You...\Your body...\A side effect of the Lost Magic, you see.\It seems I overused it considerably...\I will keep my promise. response:	Everyone's magic power will be returned to them.
context: Your body...\Frozen Spirit.\You...\Your body...\A side effect of the Lost Magic, you see.\It seems I overused it considerably...\I will keep my promise.\Everyone's magic power will be returned to them. response:	Do you know a man by the name of Jellal?
context: Frozen Spirit.\You...\Your body...\A side effect of the Lost Magic, you see.\It seems I overused it considerably...\I will keep my promise.\Everyone's magic power will be returned to them.\Do you know a man by the name of Jellal? response:	Yes...
context: You...\Your body...\A side effect of the Lost Magic, you see.\It seems I overused it considerably...\I will keep my promise.\Everyone's magic power will be returned to them.\Do you know a man by the name of Jellal?\Yes... response:	He lost his mind after supposedly being possessed by the ghost of Zeref.
context: Your body...\A side effect of the Lost Magic, you see.\It seems I overused it considerably...\I will keep my promise.\Everyone's magic power will be returned to them.\Do you know a man by the name of Jellal?\Yes...\He lost his mind after supposedly being possessed by the ghost of Zeref. response:	A tragic man who traverses a life of nothingness.
context: A side effect of the Lost Magic, you see.\It seems I overused it considerably...\I will keep my promise.\Everyone's magic power will be returned to them.\Do you know a man by the name of Jellal?\Yes...\He lost his mind after supposedly being possessed by the ghost of Zeref.\A tragic man who traverses a life of nothingness. response:	He was someone you held dear?
context: It seems I overused it considerably...\I will keep my promise.\Everyone's magic power will be returned to them.\Do you know a man by the name of Jellal?\Yes...\He lost his mind after supposedly being possessed by the ghost of Zeref.\A tragic man who traverses a life of nothingness.\He was someone you held dear? response:	My apologies.
context: I will keep my promise.\Everyone's magic power will be returned to them.\Do you know a man by the name of Jellal?\Yes...\He lost his mind after supposedly being possessed by the ghost of Zeref.\A tragic man who traverses a life of nothingness.\He was someone you held dear?\My apologies. response:	I believe that was all the work of Ultear.
context: Everyone's magic power will be returned to them.\Do you know a man by the name of Jellal?\Yes...\He lost his mind after supposedly being possessed by the ghost of Zeref.\A tragic man who traverses a life of nothingness.\He was someone you held dear?\My apologies.\I believe that was all the work of Ultear. response:	I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.
context: Do you know a man by the name of Jellal?\Yes...\He lost his mind after supposedly being possessed by the ghost of Zeref.\A tragic man who traverses a life of nothingness.\He was someone you held dear?\My apologies.\I believe that was all the work of Ultear.\I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time. response:	She is a fearsome woman.
context: Yes...\He lost his mind after supposedly being possessed by the ghost of Zeref.\A tragic man who traverses a life of nothingness.\He was someone you held dear?\My apologies.\I believe that was all the work of Ultear.\I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.\She is a fearsome woman. response:	Master Hades trusts her more than anyone.
context: He lost his mind after supposedly being possessed by the ghost of Zeref.\A tragic man who traverses a life of nothingness.\He was someone you held dear?\My apologies.\I believe that was all the work of Ultear.\I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.\She is a fearsome woman.\Master Hades trusts her more than anyone. response:	Why are you so fixated on searching for Zeref?
context: A tragic man who traverses a life of nothingness.\He was someone you held dear?\My apologies.\I believe that was all the work of Ultear.\I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.\She is a fearsome woman.\Master Hades trusts her more than anyone.\Why are you so fixated on searching for Zeref? response:	The magic at the beginning of the world...
context: He was someone you held dear?\My apologies.\I believe that was all the work of Ultear.\I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.\She is a fearsome woman.\Master Hades trusts her more than anyone.\Why are you so fixated on searching for Zeref?\The magic at the beginning of the world... response:	To get closer to the One Magic.
context: My apologies.\I believe that was all the work of Ultear.\I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.\She is a fearsome woman.\Master Hades trusts her more than anyone.\Why are you so fixated on searching for Zeref?\The magic at the beginning of the world...\To get closer to the One Magic. response:	The One Magic?
context: I believe that was all the work of Ultear.\I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.\She is a fearsome woman.\Master Hades trusts her more than anyone.\Why are you so fixated on searching for Zeref?\The magic at the beginning of the world...\To get closer to the One Magic.\The One Magic? response:	And what happens when you get there?
context: I heard it was an 8-year plan to have the Magic Council turn a blind eye to our actions at the time.\She is a fearsome woman.\Master Hades trusts her more than anyone.\Why are you so fixated on searching for Zeref?\The magic at the beginning of the world...\To get closer to the One Magic.\The One Magic?\And what happens when you get there? response:	Jellal dreamt of Heaven.
context: She is a fearsome woman.\Master Hades trusts her more than anyone.\Why are you so fixated on searching for Zeref?\The magic at the beginning of the world...\To get closer to the One Magic.\The One Magic?\And what happens when you get there?\Jellal dreamt of Heaven. response:	We...
context: Master Hades trusts her more than anyone.\Why are you so fixated on searching for Zeref?\The magic at the beginning of the world...\To get closer to the One Magic.\The One Magic?\And what happens when you get there?\Jellal dreamt of Heaven.\We... response:	Hey!
context: Why are you so fixated on searching for Zeref?\The magic at the beginning of the world...\To get closer to the One Magic.\The One Magic?\And what happens when you get there?\Jellal dreamt of Heaven.\We...\Hey! response:	The One Magic.
context: The magic at the beginning of the world...\To get closer to the One Magic.\The One Magic?\And what happens when you get there?\Jellal dreamt of Heaven.\We...\Hey!\The One Magic. response:	What?
context: To get closer to the One Magic.\The One Magic?\And what happens when you get there?\Jellal dreamt of Heaven.\We...\Hey!\The One Magic.\What? response:	Power is welling up within me!
context: The One Magic?\And what happens when you get there?\Jellal dreamt of Heaven.\We...\Hey!\The One Magic.\What?\Power is welling up within me! response:	What's happening?
context: And what happens when you get there?\Jellal dreamt of Heaven.\We...\Hey!\The One Magic.\What?\Power is welling up within me!\What's happening? response:	My body is filling with magic power.
context: Jellal dreamt of Heaven.\We...\Hey!\The One Magic.\What?\Power is welling up within me!\What's happening?\My body is filling with magic power. response:	It's coming back!
context: We...\Hey!\The One Magic.\What?\Power is welling up within me!\What's happening?\My body is filling with magic power.\It's coming back! response:	Yes!
context: Hey!\The One Magic.\What?\Power is welling up within me!\What's happening?\My body is filling with magic power.\It's coming back!\Yes! response:	Yeah, it's back.
context: The One Magic.\What?\Power is welling up within me!\What's happening?\My body is filling with magic power.\It's coming back!\Yes!\Yeah, it's back. response:	Our power is back!
context: What?\Power is welling up within me!\What's happening?\My body is filling with magic power.\It's coming back!\Yes!\Yeah, it's back.\Our power is back! response:	Okay!
context: Power is welling up within me!\What's happening?\My body is filling with magic power.\It's coming back!\Yes!\Yeah, it's back.\Our power is back!\Okay! response:	Back in business!
context: What's happening?\My body is filling with magic power.\It's coming back!\Yes!\Yeah, it's back.\Our power is back!\Okay!\Back in business! response:	Go, my babies!
context: My body is filling with magic power.\It's coming back!\Yes!\Yeah, it's back.\Our power is back!\Okay!\Back in business!\Go, my babies! response:	What happened, I wonder?
context: It's coming back!\Yes!\Yeah, it's back.\Our power is back!\Okay!\Back in business!\Go, my babies!\What happened, I wonder? response:	Anyway, it seems like our magic power is back to normal.
context: Yes!\Yeah, it's back.\Our power is back!\Okay!\Back in business!\Go, my babies!\What happened, I wonder?\Anyway, it seems like our magic power is back to normal. response:	Maybe Carla and the others are late getting here because of what happened?
context: Yeah, it's back.\Our power is back!\Okay!\Back in business!\Go, my babies!\What happened, I wonder?\Anyway, it seems like our magic power is back to normal.\Maybe Carla and the others are late getting here because of what happened? response:	What happened, Azuma?
context: Our power is back!\Okay!\Back in business!\Go, my babies!\What happened, I wonder?\Anyway, it seems like our magic power is back to normal.\Maybe Carla and the others are late getting here because of what happened?\What happened, Azuma? response:	Their magic power is back to normal!
context: Okay!\Back in business!\Go, my babies!\What happened, I wonder?\Anyway, it seems like our magic power is back to normal.\Maybe Carla and the others are late getting here because of what happened?\What happened, Azuma?\Their magic power is back to normal! response:	With even Gildarts here losing his magic power...
context: Back in business!\Go, my babies!\What happened, I wonder?\Anyway, it seems like our magic power is back to normal.\Maybe Carla and the others are late getting here because of what happened?\What happened, Azuma?\Their magic power is back to normal!\With even Gildarts here losing his magic power... response:	He's not even a match for me...
context: Go, my babies!\What happened, I wonder?\Anyway, it seems like our magic power is back to normal.\Maybe Carla and the others are late getting here because of what happened?\What happened, Azuma?\Their magic power is back to normal!\With even Gildarts here losing his magic power...\He's not even a match for me... response:	You got your power back?
context: What happened, I wonder?\Anyway, it seems like our magic power is back to normal.\Maybe Carla and the others are late getting here because of what happened?\What happened, Azuma?\Their magic power is back to normal!\With even Gildarts here losing his magic power...\He's not even a match for me...\You got your power back? response:	As a proctor of this exam, it ain't dignified for me to take a beating like this.
context: Anyway, it seems like our magic power is back to normal.\Maybe Carla and the others are late getting here because of what happened?\What happened, Azuma?\Their magic power is back to normal!\With even Gildarts here losing his magic power...\He's not even a match for me...\You got your power back?\As a proctor of this exam, it ain't dignified for me to take a beating like this. response:	I gotta put on a good show in front of those kids!
context: Maybe Carla and the others are late getting here because of what happened?\What happened, Azuma?\Their magic power is back to normal!\With even Gildarts here losing his magic power...\He's not even a match for me...\You got your power back?\As a proctor of this exam, it ain't dignified for me to take a beating like this.\I gotta put on a good show in front of those kids! response:	Good!
context: What happened, Azuma?\Their magic power is back to normal!\With even Gildarts here losing his magic power...\He's not even a match for me...\You got your power back?\As a proctor of this exam, it ain't dignified for me to take a beating like this.\I gotta put on a good show in front of those kids!\Good! response:	Good, Gildarts!
context: Their magic power is back to normal!\With even Gildarts here losing his magic power...\He's not even a match for me...\You got your power back?\As a proctor of this exam, it ain't dignified for me to take a beating like this.\I gotta put on a good show in front of those kids!\Good!\Good, Gildarts! response:	Let's have a fight where we can fly even higher!
context: With even Gildarts here losing his magic power...\He's not even a match for me...\You got your power back?\As a proctor of this exam, it ain't dignified for me to take a beating like this.\I gotta put on a good show in front of those kids!\Good!\Good, Gildarts!\Let's have a fight where we can fly even higher! response:	How about we fight seriously now?
context: He's not even a match for me...\You got your power back?\As a proctor of this exam, it ain't dignified for me to take a beating like this.\I gotta put on a good show in front of those kids!\Good!\Good, Gildarts!\Let's have a fight where we can fly even higher!\How about we fight seriously now? response:	Black Hole!
context: You got your power back?\As a proctor of this exam, it ain't dignified for me to take a beating like this.\I gotta put on a good show in front of those kids!\Good!\Good, Gildarts!\Let's have a fight where we can fly even higher!\How about we fight seriously now?\Black Hole! response:	What the...
context: As a proctor of this exam, it ain't dignified for me to take a beating like this.\I gotta put on a good show in front of those kids!\Good!\Good, Gildarts!\Let's have a fight where we can fly even higher!\How about we fight seriously now?\Black Hole!\What the... response:	An infinite gravity well that sucks in everything!
context: I gotta put on a good show in front of those kids!\Good!\Good, Gildarts!\Let's have a fight where we can fly even higher!\How about we fight seriously now?\Black Hole!\What the...\An infinite gravity well that sucks in everything! response:	Why, you...
context: Good!\Good, Gildarts!\Let's have a fight where we can fly even higher!\How about we fight seriously now?\Black Hole!\What the...\An infinite gravity well that sucks in everything!\Why, you... response:	Fly! Fly!
