context: Second Dish response:	Episode 2
context: Second Dish\Episode 2 response:	Yukihira Soma
context: Second Dish\Episode 2\Yukihira Soma response:	The victor in the first match of the Autumn Elections is...
context: Second Dish\Episode 2\Yukihira Soma\The victor in the first match of the Autumn Elections is... response:	Yukihira Soma
context: Second Dish\Episode 2\Yukihira Soma\The victor in the first match of the Autumn Elections is...\Yukihira Soma response:	Glad you liked it!
context: Second Dish\Episode 2\Yukihira Soma\The victor in the first match of the Autumn Elections is...\Yukihira Soma\Glad you liked it! response:	He won!
context: Second Dish\Episode 2\Yukihira Soma\The victor in the first match of the Autumn Elections is...\Yukihira Soma\Glad you liked it!\He won! response:	Woohoo!
context: Second Dish\Episode 2\Yukihira Soma\The victor in the first match of the Autumn Elections is...\Yukihira Soma\Glad you liked it!\He won!\Woohoo! response:	C'mon, don't cry like a kid just because you lost.
context: Episode 2\Yukihira Soma\The victor in the first match of the Autumn Elections is...\Yukihira Soma\Glad you liked it!\He won!\Woohoo!\C'mon, don't cry like a kid just because you lost. response:	Stand up.
context: Yukihira Soma\The victor in the first match of the Autumn Elections is...\Yukihira Soma\Glad you liked it!\He won!\Woohoo!\C'mon, don't cry like a kid just because you lost.\Stand up. response:	Thank
context: The victor in the first match of the Autumn Elections is...\Yukihira Soma\Glad you liked it!\He won!\Woohoo!\C'mon, don't cry like a kid just because you lost.\Stand up.\Thank response:	Guess I'm now one step ahead of you
context: Yukihira Soma\Glad you liked it!\He won!\Woohoo!\C'mon, don't cry like a kid just because you lost.\Stand up.\Thank\Guess I'm now one step ahead of you response:	in the fight to become one of the next Elite Ten.
context: Glad you liked it!\He won!\Woohoo!\C'mon, don't cry like a kid just because you lost.\Stand up.\Thank\Guess I'm now one step ahead of you\in the fight to become one of the next Elite Ten. response:	What?!
context: He won!\Woohoo!\C'mon, don't cry like a kid just because you lost.\Stand up.\Thank\Guess I'm now one step ahead of you\in the fight to become one of the next Elite Ten.\What?! response:	Don't act all high and mighty just because you won!
context: Woohoo!\C'mon, don't cry like a kid just because you lost.\Stand up.\Thank\Guess I'm now one step ahead of you\in the fight to become one of the next Elite Ten.\What?!\Don't act all high and mighty just because you won! response:	Let me tell you, this isn't the last you'll see of me!
context: C'mon, don't cry like a kid just because you lost.\Stand up.\Thank\Guess I'm now one step ahead of you\in the fight to become one of the next Elite Ten.\What?!\Don't act all high and mighty just because you won!\Let me tell you, this isn't the last you'll see of me! response:	I'm not going to let you have the top seat at Totsuki!
context: Stand up.\Thank\Guess I'm now one step ahead of you\in the fight to become one of the next Elite Ten.\What?!\Don't act all high and mighty just because you won!\Let me tell you, this isn't the last you'll see of me!\I'm not going to let you have the top seat at Totsuki! response:	Have a good day, Yukihira-kun!
context: Thank\Guess I'm now one step ahead of you\in the fight to become one of the next Elite Ten.\What?!\Don't act all high and mighty just because you won!\Let me tell you, this isn't the last you'll see of me!\I'm not going to let you have the top seat at Totsuki!\Have a good day, Yukihira-kun! response:	The limits of your strengths were made apparent.
context: Guess I'm now one step ahead of you\in the fight to become one of the next Elite Ten.\What?!\Don't act all high and mighty just because you won!\Let me tell you, this isn't the last you'll see of me!\I'm not going to let you have the top seat at Totsuki!\Have a good day, Yukihira-kun!\The limits of your strengths were made apparent. response:	What? What? What?!
context: in the fight to become one of the next Elite Ten.\What?!\Don't act all high and mighty just because you won!\Let me tell you, this isn't the last you'll see of me!\I'm not going to let you have the top seat at Totsuki!\Have a good day, Yukihira-kun!\The limits of your strengths were made apparent.\What? What? What?! response:	I guess you're a genius not only at cooking,
