context: ED response:	Niizuma
context: ED\Niizuma response:	Eiji Ltd
context: ED\Niizuma\Eiji Ltd response:	July 15, Friday
context: ED\Niizuma\Eiji Ltd\July 15, Friday response:	July 15, Friday
context: ED\Niizuma\Eiji Ltd\July 15, Friday\July 15, Friday response:	Niizuma,
context: ED\Niizuma\Eiji Ltd\July 15, Friday\July 15, Friday\Niizuma, response:	if you get first place for three more weeks, you'll be able to end CROW.
context: ED\Niizuma\Eiji Ltd\July 15, Friday\July 15, Friday\Niizuma,\if you get first place for three more weeks, you'll be able to end CROW. response:	Yuujirou.
context: ED\Niizuma\Eiji Ltd\July 15, Friday\July 15, Friday\Niizuma,\if you get first place for three more weeks, you'll be able to end CROW.\Yuujirou. response:	I'm sorry to say this, but you cannot change the fact that CROW will end.
context: Niizuma\Eiji Ltd\July 15, Friday\July 15, Friday\Niizuma,\if you get first place for three more weeks, you'll be able to end CROW.\Yuujirou.\I'm sorry to say this, but you cannot change the fact that CROW will end. response:	This is the first time I've ever seen Niizuma this desperate and scary-looking.
context: Eiji Ltd\July 15, Friday\July 15, Friday\Niizuma,\if you get first place for three more weeks, you'll be able to end CROW.\Yuujirou.\I'm sorry to say this, but you cannot change the fact that CROW will end.\This is the first time I've ever seen Niizuma this desperate and scary-looking. response:	It's not that he doesn't want to draw anymore, or that he's become tired of it.
context: July 15, Friday\July 15, Friday\Niizuma,\if you get first place for three more weeks, you'll be able to end CROW.\Yuujirou.\I'm sorry to say this, but you cannot change the fact that CROW will end.\This is the first time I've ever seen Niizuma this desperate and scary-looking.\It's not that he doesn't want to draw anymore, or that he's become tired of it. response:	He's trying his best to give his manga and its readers the perfect ending.
context: July 15, Friday\Niizuma,\if you get first place for three more weeks, you'll be able to end CROW.\Yuujirou.\I'm sorry to say this, but you cannot change the fact that CROW will end.\This is the first time I've ever seen Niizuma this desperate and scary-looking.\It's not that he doesn't want to draw anymore, or that he's become tired of it.\He's trying his best to give his manga and its readers the perfect ending. response:	Niizuma.
context: Niizuma,\if you get first place for three more weeks, you'll be able to end CROW.\Yuujirou.\I'm sorry to say this, but you cannot change the fact that CROW will end.\This is the first time I've ever seen Niizuma this desperate and scary-looking.\It's not that he doesn't want to draw anymore, or that he's become tired of it.\He's trying his best to give his manga and its readers the perfect ending.\Niizuma. response:	Yes?
context: if you get first place for three more weeks, you'll be able to end CROW.\Yuujirou.\I'm sorry to say this, but you cannot change the fact that CROW will end.\This is the first time I've ever seen Niizuma this desperate and scary-looking.\It's not that he doesn't want to draw anymore, or that he's become tired of it.\He's trying his best to give his manga and its readers the perfect ending.\Niizuma.\Yes? response:	Let's end CROW in four weeks!
context: Yuujirou.\I'm sorry to say this, but you cannot change the fact that CROW will end.\This is the first time I've ever seen Niizuma this desperate and scary-looking.\It's not that he doesn't want to draw anymore, or that he's become tired of it.\He's trying his best to give his manga and its readers the perfect ending.\Niizuma.\Yes?\Let's end CROW in four weeks! response:	Huh? Weren't you trying to prevent it from ending?
context: I'm sorry to say this, but you cannot change the fact that CROW will end.\This is the first time I've ever seen Niizuma this desperate and scary-looking.\It's not that he doesn't want to draw anymore, or that he's become tired of it.\He's trying his best to give his manga and its readers the perfect ending.\Niizuma.\Yes?\Let's end CROW in four weeks!\Huh? Weren't you trying to prevent it from ending? response:	Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.
context: This is the first time I've ever seen Niizuma this desperate and scary-looking.\It's not that he doesn't want to draw anymore, or that he's become tired of it.\He's trying his best to give his manga and its readers the perfect ending.\Niizuma.\Yes?\Let's end CROW in four weeks!\Huh? Weren't you trying to prevent it from ending?\Honestly, I don't think GIRI, which is now in second place, can ever catch up to you. response:	I won't let anyone surpass me.
context: It's not that he doesn't want to draw anymore, or that he's become tired of it.\He's trying his best to give his manga and its readers the perfect ending.\Niizuma.\Yes?\Let's end CROW in four weeks!\Huh? Weren't you trying to prevent it from ending?\Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.\I won't let anyone surpass me. response:	If anything could do that, it'd be PCP, with its upcoming center color spread in Issue 34.
context: He's trying his best to give his manga and its readers the perfect ending.\Niizuma.\Yes?\Let's end CROW in four weeks!\Huh? Weren't you trying to prevent it from ending?\Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.\I won't let anyone surpass me.\If anything could do that, it'd be PCP, with its upcoming center color spread in Issue 34. response:	This chapter I'm drawing now happens to be the one that'll go up against them in that issue.
context: Niizuma.\Yes?\Let's end CROW in four weeks!\Huh? Weren't you trying to prevent it from ending?\Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.\I won't let anyone surpass me.\If anything could do that, it'd be PCP, with its upcoming center color spread in Issue 34.\This chapter I'm drawing now happens to be the one that'll go up against them in that issue. response:	Right.
context: Yes?\Let's end CROW in four weeks!\Huh? Weren't you trying to prevent it from ending?\Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.\I won't let anyone surpass me.\If anything could do that, it'd be PCP, with its upcoming center color spread in Issue 34.\This chapter I'm drawing now happens to be the one that'll go up against them in that issue.\Right. response:	Hattori said they pulled off something spectacular.
context: Let's end CROW in four weeks!\Huh? Weren't you trying to prevent it from ending?\Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.\I won't let anyone surpass me.\If anything could do that, it'd be PCP, with its upcoming center color spread in Issue 34.\This chapter I'm drawing now happens to be the one that'll go up against them in that issue.\Right.\Hattori said they pulled off something spectacular. response:	But keep working hard and stay in first place!
context: Huh? Weren't you trying to prevent it from ending?\Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.\I won't let anyone surpass me.\If anything could do that, it'd be PCP, with its upcoming center color spread in Issue 34.\This chapter I'm drawing now happens to be the one that'll go up against them in that issue.\Right.\Hattori said they pulled off something spectacular.\But keep working hard and stay in first place! response:	My opponents are worthy ones.
context: Honestly, I don't think GIRI, which is now in second place, can ever catch up to you.\I won't let anyone surpass me.\If anything could do that, it'd be PCP, with its upcoming center color spread in Issue 34.\This chapter I'm drawing now happens to be the one that'll go up against them in that issue.\Right.\Hattori said they pulled off something spectacular.\But keep working hard and stay in first place!\My opponents are worthy ones. response:	I definitely won't lose to them!
