context: O-Okay. response:	Counting on you.
context: O-Okay.\Counting on you. response:	They're at the station now.
context: O-Okay.\Counting on you.\They're at the station now. response:	Oh my God! She's really coming!
context: O-Okay.\Counting on you.\They're at the station now.\Oh my God! She's really coming! response:	I-I need to calm-
context: O-Okay.\Counting on you.\They're at the station now.\Oh my God! She's really coming!\I-I need to calm- response:	Madam Manager!
context: O-Okay.\Counting on you.\They're at the station now.\Oh my God! She's really coming!\I-I need to calm-\Madam Manager! response:	You are to be in charge of our next customer, Nako.
context: O-Okay.\Counting on you.\They're at the station now.\Oh my God! She's really coming!\I-I need to calm-\Madam Manager!\You are to be in charge of our next customer, Nako. response:	Huh?!
context: O-Okay.\Counting on you.\They're at the station now.\Oh my God! She's really coming!\I-I need to calm-\Madam Manager!\You are to be in charge of our next customer, Nako.\Huh?! response:	You're going to give Nako such a difficult task?!
context: Counting on you.\They're at the station now.\Oh my God! She's really coming!\I-I need to calm-\Madam Manager!\You are to be in charge of our next customer, Nako.\Huh?!\You're going to give Nako such a difficult task?! response:	I get the feeling she'll like you.
context: They're at the station now.\Oh my God! She's really coming!\I-I need to calm-\Madam Manager!\You are to be in charge of our next customer, Nako.\Huh?!\You're going to give Nako such a difficult task?!\I get the feeling she'll like you. response:	But...!
context: Oh my God! She's really coming!\I-I need to calm-\Madam Manager!\You are to be in charge of our next customer, Nako.\Huh?!\You're going to give Nako such a difficult task?!\I get the feeling she'll like you.\But...! response:	Wouldn't it be better to have Ohana,
context: I-I need to calm-\Madam Manager!\You are to be in charge of our next customer, Nako.\Huh?!\You're going to give Nako such a difficult task?!\I get the feeling she'll like you.\But...!\Wouldn't it be better to have Ohana, response:	someone related to her, be her attendant?
context: Madam Manager!\You are to be in charge of our next customer, Nako.\Huh?!\You're going to give Nako such a difficult task?!\I get the feeling she'll like you.\But...!\Wouldn't it be better to have Ohana,\someone related to her, be her attendant? response:	No, that's out of the question.
context: You are to be in charge of our next customer, Nako.\Huh?!\You're going to give Nako such a difficult task?!\I get the feeling she'll like you.\But...!\Wouldn't it be better to have Ohana,\someone related to her, be her attendant?\No, that's out of the question. response:	Then how about you taking the position yourself?!
context: Huh?!\You're going to give Nako such a difficult task?!\I get the feeling she'll like you.\But...!\Wouldn't it be better to have Ohana,\someone related to her, be her attendant?\No, that's out of the question.\Then how about you taking the position yourself?! response:	Same goes for me.
context: You're going to give Nako such a difficult task?!\I get the feeling she'll like you.\But...!\Wouldn't it be better to have Ohana,\someone related to her, be her attendant?\No, that's out of the question.\Then how about you taking the position yourself?!\Same goes for me. response:	I might attempt to slap her if I see her.
context: I get the feeling she'll like you.\But...!\Wouldn't it be better to have Ohana,\someone related to her, be her attendant?\No, that's out of the question.\Then how about you taking the position yourself?!\Same goes for me.\I might attempt to slap her if I see her. response:	Geez, why did Ohana have to go and bring an enemy?
context: But...!\Wouldn't it be better to have Ohana,\someone related to her, be her attendant?\No, that's out of the question.\Then how about you taking the position yourself?!\Same goes for me.\I might attempt to slap her if I see her.\Geez, why did Ohana have to go and bring an enemy? response:	She's an important customer Ohana is bringing.
context: Wouldn't it be better to have Ohana,\someone related to her, be her attendant?\No, that's out of the question.\Then how about you taking the position yourself?!\Same goes for me.\I might attempt to slap her if I see her.\Geez, why did Ohana have to go and bring an enemy?\She's an important customer Ohana is bringing. response:	R-Right.
context: someone related to her, be her attendant?\No, that's out of the question.\Then how about you taking the position yourself?!\Same goes for me.\I might attempt to slap her if I see her.\Geez, why did Ohana have to go and bring an enemy?\She's an important customer Ohana is bringing.\R-Right. response:	Despite the circumstances, she's still a customer.
context: No, that's out of the question.\Then how about you taking the position yourself?!\Same goes for me.\I might attempt to slap her if I see her.\Geez, why did Ohana have to go and bring an enemy?\She's an important customer Ohana is bringing.\R-Right.\Despite the circumstances, she's still a customer. response:	The Kissuiso will operate as usual.
context: Then how about you taking the position yourself?!\Same goes for me.\I might attempt to slap her if I see her.\Geez, why did Ohana have to go and bring an enemy?\She's an important customer Ohana is bringing.\R-Right.\Despite the circumstances, she's still a customer.\The Kissuiso will operate as usual. response:	Though I don't know how I'm going to react to everything.
context: Same goes for me.\I might attempt to slap her if I see her.\Geez, why did Ohana have to go and bring an enemy?\She's an important customer Ohana is bringing.\R-Right.\Despite the circumstances, she's still a customer.\The Kissuiso will operate as usual.\Though I don't know how I'm going to react to everything. response:	Madam Manager...
context: I might attempt to slap her if I see her.\Geez, why did Ohana have to go and bring an enemy?\She's an important customer Ohana is bringing.\R-Right.\Despite the circumstances, she's still a customer.\The Kissuiso will operate as usual.\Though I don't know how I'm going to react to everything.\Madam Manager... response:	They're here!
context: Geez, why did Ohana have to go and bring an enemy?\She's an important customer Ohana is bringing.\R-Right.\Despite the circumstances, she's still a customer.\The Kissuiso will operate as usual.\Though I don't know how I'm going to react to everything.\Madam Manager...\They're here! response:	Whew!
context: She's an important customer Ohana is bringing.\R-Right.\Despite the circumstances, she's still a customer.\The Kissuiso will operate as usual.\Though I don't know how I'm going to react to everything.\Madam Manager...\They're here!\Whew! response:	Thanks for the ride, Tohru!
context: R-Right.\Despite the circumstances, she's still a customer.\The Kissuiso will operate as usual.\Though I don't know how I'm going to react to everything.\Madam Manager...\They're here!\Whew!\Thanks for the ride, Tohru! response:	No problem.
context: Despite the circumstances, she's still a customer.\The Kissuiso will operate as usual.\Though I don't know how I'm going to react to everything.\Madam Manager...\They're here!\Whew!\Thanks for the ride, Tohru!\No problem. response:	Wow, nothing's changed.
context: The Kissuiso will operate as usual.\Though I don't know how I'm going to react to everything.\Madam Manager...\They're here!\Whew!\Thanks for the ride, Tohru!\No problem.\Wow, nothing's changed. response:	Actually, it's gotten a lot older and trashier.
context: Though I don't know how I'm going to react to everything.\Madam Manager...\They're here!\Whew!\Thanks for the ride, Tohru!\No problem.\Wow, nothing's changed.\Actually, it's gotten a lot older and trashier. response:	Oh.
context: Madam Manager...\They're here!\Whew!\Thanks for the ride, Tohru!\No problem.\Wow, nothing's changed.\Actually, it's gotten a lot older and trashier.\Oh. response:	You haven't changed either, Mom!
context: They're here!\Whew!\Thanks for the ride, Tohru!\No problem.\Wow, nothing's changed.\Actually, it's gotten a lot older and trashier.\Oh.\You haven't changed either, Mom! response:	Actually, you've gotten a lot older and...
context: Whew!\Thanks for the ride, Tohru!\No problem.\Wow, nothing's changed.\Actually, it's gotten a lot older and trashier.\Oh.\You haven't changed either, Mom!\Actually, you've gotten a lot older and... response:	I'll stop there.
context: Thanks for the ride, Tohru!\No problem.\Wow, nothing's changed.\Actually, it's gotten a lot older and trashier.\Oh.\You haven't changed either, Mom!\Actually, you've gotten a lot older and...\I'll stop there. response:	Thank you.
context: No problem.\Wow, nothing's changed.\Actually, it's gotten a lot older and trashier.\Oh.\You haven't changed either, Mom!\Actually, you've gotten a lot older and...\I'll stop there.\Thank you. response:	Oh, god! The young master!
context: Wow, nothing's changed.\Actually, it's gotten a lot older and trashier.\Oh.\You haven't changed either, Mom!\Actually, you've gotten a lot older and...\I'll stop there.\Thank you.\Oh, god! The young master! response:	Oh-
context: Actually, it's gotten a lot older and trashier.\Oh.\You haven't changed either, Mom!\Actually, you've gotten a lot older and...\I'll stop there.\Thank you.\Oh, god! The young master!\Oh- response:	Man!
context: Oh.\You haven't changed either, Mom!\Actually, you've gotten a lot older and...\I'll stop there.\Thank you.\Oh, god! The young master!\Oh-\Man! response:	Come on.
context: You haven't changed either, Mom!\Actually, you've gotten a lot older and...\I'll stop there.\Thank you.\Oh, god! The young master!\Oh-\Man!\Come on. response:	You've put on some weight!
context: Actually, you've gotten a lot older and...\I'll stop there.\Thank you.\Oh, god! The young master!\Oh-\Man!\Come on.\You've put on some weight! response:	A-Allow me to escort you to your room, ma'am.
context: I'll stop there.\Thank you.\Oh, god! The young master!\Oh-\Man!\Come on.\You've put on some weight!\A-Allow me to escort you to your room, ma'am. response:	Okay.
context: Thank you.\Oh, god! The young master!\Oh-\Man!\Come on.\You've put on some weight!\A-Allow me to escort you to your room, ma'am.\Okay. response:	Please wait, ma'am!
context: Oh, god! The young master!\Oh-\Man!\Come on.\You've put on some weight!\A-Allow me to escort you to your room, ma'am.\Okay.\Please wait, ma'am! response:	Wow, Beanman?!
context: Oh-\Man!\Come on.\You've put on some weight!\A-Allow me to escort you to your room, ma'am.\Okay.\Please wait, ma'am!\Wow, Beanman?! response:	That aura...
context: Man!\Come on.\You've put on some weight!\A-Allow me to escort you to your room, ma'am.\Okay.\Please wait, ma'am!\Wow, Beanman?!\That aura... response:	So that's her...
context: Come on.\You've put on some weight!\A-Allow me to escort you to your room, ma'am.\Okay.\Please wait, ma'am!\Wow, Beanman?!\That aura...\So that's her... response:	Thank you.
context: You've put on some weight!\A-Allow me to escort you to your room, ma'am.\Okay.\Please wait, ma'am!\Wow, Beanman?!\That aura...\So that's her...\Thank you. response:	Huh? Where's Ohana?
context: A-Allow me to escort you to your room, ma'am.\Okay.\Please wait, ma'am!\Wow, Beanman?!\That aura...\So that's her...\Thank you.\Huh? Where's Ohana? response:	Episode 13 Shijima's Girl (Broken Heart MIX)
context: Okay.\Please wait, ma'am!\Wow, Beanman?!\That aura...\So that's her...\Thank you.\Huh? Where's Ohana?\Episode 13 Shijima's Girl (Broken Heart MIX) response:	So the yukata design hasn't changed either.
context: Please wait, ma'am!\Wow, Beanman?!\That aura...\So that's her...\Thank you.\Huh? Where's Ohana?\Episode 13 Shijima's Girl (Broken Heart MIX)\So the yukata design hasn't changed either. response:	There are places nowadays where they let customers pick from a few designs.
context: Wow, Beanman?!\That aura...\So that's her...\Thank you.\Huh? Where's Ohana?\Episode 13 Shijima's Girl (Broken Heart MIX)\So the yukata design hasn't changed either.\There are places nowadays where they let customers pick from a few designs. response:	I think it's important to have things like that too.
context: That aura...\So that's her...\Thank you.\Huh? Where's Ohana?\Episode 13 Shijima's Girl (Broken Heart MIX)\So the yukata design hasn't changed either.\There are places nowadays where they let customers pick from a few designs.\I think it's important to have things like that too. response:	I-I see...
context: So that's her...\Thank you.\Huh? Where's Ohana?\Episode 13 Shijima's Girl (Broken Heart MIX)\So the yukata design hasn't changed either.\There are places nowadays where they let customers pick from a few designs.\I think it's important to have things like that too.\I-I see... response:	Oh, please have some tea.
context: Thank you.\Huh? Where's Ohana?\Episode 13 Shijima's Girl (Broken Heart MIX)\So the yukata design hasn't changed either.\There are places nowadays where they let customers pick from a few designs.\I think it's important to have things like that too.\I-I see...\Oh, please have some tea. response:	I think you can improve this, too.
context: Huh? Where's Ohana?\Episode 13 Shijima's Girl (Broken Heart MIX)\So the yukata design hasn't changed either.\There are places nowadays where they let customers pick from a few designs.\I think it's important to have things like that too.\I-I see...\Oh, please have some tea.\I think you can improve this, too. response:	Like, for example, these snacks.
context: Episode 13 Shijima's Girl (Broken Heart MIX)\So the yukata design hasn't changed either.\There are places nowadays where they let customers pick from a few designs.\I think it's important to have things like that too.\I-I see...\Oh, please have some tea.\I think you can improve this, too.\Like, for example, these snacks. response:	Huh?
context: So the yukata design hasn't changed either.\There are places nowadays where they let customers pick from a few designs.\I think it's important to have things like that too.\I-I see...\Oh, please have some tea.\I think you can improve this, too.\Like, for example, these snacks.\Huh? response:	This area is known for its Yuzu.
context: There are places nowadays where they let customers pick from a few designs.\I think it's important to have things like that too.\I-I see...\Oh, please have some tea.\I think you can improve this, too.\Like, for example, these snacks.\Huh?\This area is known for its Yuzu. response:	Serving a yuzu-flavored snack would create
context: I think it's important to have things like that too.\I-I see...\Oh, please have some tea.\I think you can improve this, too.\Like, for example, these snacks.\Huh?\This area is known for its Yuzu.\Serving a yuzu-flavored snack would create response:	a topic of discussion between the waitress and the customer.
context: I-I see...\Oh, please have some tea.\I think you can improve this, too.\Like, for example, these snacks.\Huh?\This area is known for its Yuzu.\Serving a yuzu-flavored snack would create\a topic of discussion between the waitress and the customer. response:	U-Umm...
context: Oh, please have some tea.\I think you can improve this, too.\Like, for example, these snacks.\Huh?\This area is known for its Yuzu.\Serving a yuzu-flavored snack would create\a topic of discussion between the waitress and the customer.\U-Umm... response:	I tend to speak to myself a lot, because of what I do for work.
context: I think you can improve this, too.\Like, for example, these snacks.\Huh?\This area is known for its Yuzu.\Serving a yuzu-flavored snack would create\a topic of discussion between the waitress and the customer.\U-Umm...\I tend to speak to myself a lot, because of what I do for work. response:	Sorry about that.
context: Like, for example, these snacks.\Huh?\This area is known for its Yuzu.\Serving a yuzu-flavored snack would create\a topic of discussion between the waitress and the customer.\U-Umm...\I tend to speak to myself a lot, because of what I do for work.\Sorry about that. response:	N-Not at all...
context: Huh?\This area is known for its Yuzu.\Serving a yuzu-flavored snack would create\a topic of discussion between the waitress and the customer.\U-Umm...\I tend to speak to myself a lot, because of what I do for work.\Sorry about that.\N-Not at all... response:	Huh?
context: This area is known for its Yuzu.\Serving a yuzu-flavored snack would create\a topic of discussion between the waitress and the customer.\U-Umm...\I tend to speak to myself a lot, because of what I do for work.\Sorry about that.\N-Not at all...\Huh? response:	Wow...
context: Serving a yuzu-flavored snack would create\a topic of discussion between the waitress and the customer.\U-Umm...\I tend to speak to myself a lot, because of what I do for work.\Sorry about that.\N-Not at all...\Huh?\Wow... response:	Y-Yes?
context: a topic of discussion between the waitress and the customer.\U-Umm...\I tend to speak to myself a lot, because of what I do for work.\Sorry about that.\N-Not at all...\Huh?\Wow...\Y-Yes? response:	You have such pretty eyes!
context: U-Umm...\I tend to speak to myself a lot, because of what I do for work.\Sorry about that.\N-Not at all...\Huh?\Wow...\Y-Yes?\You have such pretty eyes! response:	Geez, will you calm down?
context: I tend to speak to myself a lot, because of what I do for work.\Sorry about that.\N-Not at all...\Huh?\Wow...\Y-Yes?\You have such pretty eyes!\Geez, will you calm down? response:	I can't! I just can't!
context: Sorry about that.\N-Not at all...\Huh?\Wow...\Y-Yes?\You have such pretty eyes!\Geez, will you calm down?\I can't! I just can't! response:	You don't know how scary she is, Ms. Tomoe.
context: N-Not at all...\Huh?\Wow...\Y-Yes?\You have such pretty eyes!\Geez, will you calm down?\I can't! I just can't!\You don't know how scary she is, Ms. Tomoe. response:	She made me do all of her summer vacation homework,
context: Huh?\Wow...\Y-Yes?\You have such pretty eyes!\Geez, will you calm down?\I can't! I just can't!\You don't know how scary she is, Ms. Tomoe.\She made me do all of her summer vacation homework, response:	and took my New Year's money!
context: Wow...\Y-Yes?\You have such pretty eyes!\Geez, will you calm down?\I can't! I just can't!\You don't know how scary she is, Ms. Tomoe.\She made me do all of her summer vacation homework,\and took my New Year's money! response:	I see.
context: Y-Yes?\You have such pretty eyes!\Geez, will you calm down?\I can't! I just can't!\You don't know how scary she is, Ms. Tomoe.\She made me do all of her summer vacation homework,\and took my New Year's money!\I see. response:	So that explains why you like Takako,
context: You have such pretty eyes!\Geez, will you calm down?\I can't! I just can't!\You don't know how scary she is, Ms. Tomoe.\She made me do all of her summer vacation homework,\and took my New Year's money!\I see.\So that explains why you like Takako, response:	someone with a similar personality.
