context: In order to restore my faith in this world, response:	Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!
context: In order to restore my faith in this world,\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!! response:	I have learned to both love and hate my fellow man
context: In order to restore my faith in this world,\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\I have learned to both love and hate my fellow man response:	Swift waters parted by the jagged rocks
context: In order to restore my faith in this world,\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\I have learned to both love and hate my fellow man\Swift waters parted by the jagged rocks response:	are joined at river's end
context: In order to restore my faith in this world,\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\I have learned to both love and hate my fellow man\Swift waters parted by the jagged rocks\are joined at river's end response:	Waves creep closer to the Suminoe shore...
context: In order to restore my faith in this world,\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\I have learned to both love and hate my fellow man\Swift waters parted by the jagged rocks\are joined at river's end\Waves creep closer to the Suminoe shore... response:	in my dreams, I creep closer to you
context: In order to restore my faith in this world,\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\I have learned to both love and hate my fellow man\Swift waters parted by the jagged rocks\are joined at river's end\Waves creep closer to the Suminoe shore...\in my dreams, I creep closer to you response:	Like the sound...
context: In order to restore my faith in this world,\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\I have learned to both love and hate my fellow man\Swift waters parted by the jagged rocks\are joined at river's end\Waves creep closer to the Suminoe shore...\in my dreams, I creep closer to you\Like the sound... response:	After many, many years...
context: Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\I have learned to both love and hate my fellow man\Swift waters parted by the jagged rocks\are joined at river's end\Waves creep closer to the Suminoe shore...\in my dreams, I creep closer to you\Like the sound...\After many, many years... response:	Look for the sound...
context: I have learned to both love and hate my fellow man\Swift waters parted by the jagged rocks\are joined at river's end\Waves creep closer to the Suminoe shore...\in my dreams, I creep closer to you\Like the sound...\After many, many years...\Look for the sound... response:	I can't beat Chihaya to the first-syllable cards.
context: Swift waters parted by the jagged rocks\are joined at river's end\Waves creep closer to the Suminoe shore...\in my dreams, I creep closer to you\Like the sound...\After many, many years...\Look for the sound...\I can't beat Chihaya to the first-syllable cards. response:	Reassess the situation...
context: are joined at river's end\Waves creep closer to the Suminoe shore...\in my dreams, I creep closer to you\Like the sound...\After many, many years...\Look for the sound...\I can't beat Chihaya to the first-syllable cards.\Reassess the situation... response:	Would this was already read so I can take Would the on the Would.
context: Waves creep closer to the Suminoe shore...\in my dreams, I creep closer to you\Like the sound...\After many, many years...\Look for the sound...\I can't beat Chihaya to the first-syllable cards.\Reassess the situation...\Would this was already read so I can take Would the on the Would. response:	My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.
context: in my dreams, I creep closer to you\Like the sound...\After many, many years...\Look for the sound...\I can't beat Chihaya to the first-syllable cards.\Reassess the situation...\Would this was already read so I can take Would the on the Would.\My only thought as I and My only thought as the are both still in play, so I'll have to be careful there. response:	So the flower petals was already read, so I can take So the flower has after flower.
context: Like the sound...\After many, many years...\Look for the sound...\I can't beat Chihaya to the first-syllable cards.\Reassess the situation...\Would this was already read so I can take Would the on the Would.\My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.\So the flower petals was already read, so I can take So the flower has after flower. response:	Though my was already read, so I can take Though I after Though.
context: After many, many years...\Look for the sound...\I can't beat Chihaya to the first-syllable cards.\Reassess the situation...\Would this was already read so I can take Would the on the Would.\My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.\So the flower petals was already read, so I can take So the flower has after flower.\Though my was already read, so I can take Though I after Though. response:	For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.
context: Look for the sound...\I can't beat Chihaya to the first-syllable cards.\Reassess the situation...\Would this was already read so I can take Would the on the Would.\My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.\So the flower petals was already read, so I can take So the flower has after flower.\Though my was already read, so I can take Though I after Though.\For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention. response:	For The hazy early morning light, The hazy early morning mist was already read,
context: I can't beat Chihaya to the first-syllable cards.\Reassess the situation...\Would this was already read so I can take Would the on the Would.\My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.\So the flower petals was already read, so I can take So the flower has after flower.\Though my was already read, so I can take Though I after Though.\For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.\For The hazy early morning light, The hazy early morning mist was already read, response:	so on The hazy, I'll move towards The hazy field on the opponent's side.
context: Reassess the situation...\Would this was already read so I can take Would the on the Would.\My only thought as I and My only thought as the are both still in play, so I'll have to be careful there.\So the flower petals was already read, so I can take So the flower has after flower.\Though my was already read, so I can take Though I after Though.\For While it pains, While it may was read, but While it brings wasn't, so I'll have to pay attention.\For The hazy early morning light, The hazy early morning mist was already read,\so on The hazy, I'll move towards The hazy field on the opponent's side. response:	In the and In order to have already been read,
