context: I had lost my way during my journey. response:	Only my soul was wandering, while I stood still.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still. response:	But right now, I'm walking to a distant place.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place. response:	That's right, ever since I met you on this road.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road. response:	The travellers witnessed the song, the forbidden song,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song, response:	And I became attached to it as I heard it alone with you.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you. response:	If the world I saw in my dreams exists somewhere,
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere, response:	Let's go search for it, beyond the winds.
context: I had lost my way during my journey.\Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds. response:	Whether it's a freezing dawn,
context: Only my soul was wandering, while I stood still.\But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn, response:	A dry midday,
context: But right now, I'm walking to a distant place.\That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday, response:	A shivering night,
context: That's right, ever since I met you on this road.\The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night, response:	or the ends of the Earth, let's go and see it.
context: The travellers witnessed the song, the forbidden song,\And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it. response:	Yeah, while I was on my way here from Rubinhaigen,
context: And I became attached to it as I heard it alone with you.\If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Yeah, while I was on my way here from Rubinhaigen, response:	it had already become a famous rumor.
context: If the world I saw in my dreams exists somewhere,\Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Yeah, while I was on my way here from Rubinhaigen,\it had already become a famous rumor. response:	That's right, it's scary, you know.
context: Let's go search for it, beyond the winds.\Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Yeah, while I was on my way here from Rubinhaigen,\it had already become a famous rumor.\That's right, it's scary, you know. response:	That magician near that newly-made detour road, right?
context: Whether it's a freezing dawn,\A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Yeah, while I was on my way here from Rubinhaigen,\it had already become a famous rumor.\That's right, it's scary, you know.\That magician near that newly-made detour road, right? response:	I heard about it too.
context: A dry midday,\A shivering night,\or the ends of the Earth, let's go and see it.\Yeah, while I was on my way here from Rubinhaigen,\it had already become a famous rumor.\That's right, it's scary, you know.\That magician near that newly-made detour road, right?\I heard about it too. response:	He summons wolves and commands them as if they were dogs,
context: A shivering night,\or the ends of the Earth, let's go and see it.\Yeah, while I was on my way here from Rubinhaigen,\it had already become a famous rumor.\That's right, it's scary, you know.\That magician near that newly-made detour road, right?\I heard about it too.\He summons wolves and commands them as if they were dogs, response:	and attacks travelers to collect their blood!
context: or the ends of the Earth, let's go and see it.\Yeah, while I was on my way here from Rubinhaigen,\it had already become a famous rumor.\That's right, it's scary, you know.\That magician near that newly-made detour road, right?\I heard about it too.\He summons wolves and commands them as if they were dogs,\and attacks travelers to collect their blood! response:	That can't be true.
context: Yeah, while I was on my way here from Rubinhaigen,\it had already become a famous rumor.\That's right, it's scary, you know.\That magician near that newly-made detour road, right?\I heard about it too.\He summons wolves and commands them as if they were dogs,\and attacks travelers to collect their blood!\That can't be true. response:	No, you should seriously be careful.
context: it had already become a famous rumor.\That's right, it's scary, you know.\That magician near that newly-made detour road, right?\I heard about it too.\He summons wolves and commands them as if they were dogs,\and attacks travelers to collect their blood!\That can't be true.\No, you should seriously be careful. response:	This is a story I heard from someone who's with the church in Rubinhaigen,
context: That's right, it's scary, you know.\That magician near that newly-made detour road, right?\I heard about it too.\He summons wolves and commands them as if they were dogs,\and attacks travelers to collect their blood!\That can't be true.\No, you should seriously be careful.\This is a story I heard from someone who's with the church in Rubinhaigen, response:	but two weeks ago, an entire caravan was wiped out.
context: That magician near that newly-made detour road, right?\I heard about it too.\He summons wolves and commands them as if they were dogs,\and attacks travelers to collect their blood!\That can't be true.\No, you should seriously be careful.\This is a story I heard from someone who's with the church in Rubinhaigen,\but two weeks ago, an entire caravan was wiped out. response:	Ah, scary, how scary!
context: I heard about it too.\He summons wolves and commands them as if they were dogs,\and attacks travelers to collect their blood!\That can't be true.\No, you should seriously be careful.\This is a story I heard from someone who's with the church in Rubinhaigen,\but two weeks ago, an entire caravan was wiped out.\Ah, scary, how scary! response:	It's scary so I'm going to drink more!
context: He summons wolves and commands them as if they were dogs,\and attacks travelers to collect their blood!\That can't be true.\No, you should seriously be careful.\This is a story I heard from someone who's with the church in Rubinhaigen,\but two weeks ago, an entire caravan was wiped out.\Ah, scary, how scary!\It's scary so I'm going to drink more! response:	I guess I'll keep it in mind.
context: and attacks travelers to collect their blood!\That can't be true.\No, you should seriously be careful.\This is a story I heard from someone who's with the church in Rubinhaigen,\but two weeks ago, an entire caravan was wiped out.\Ah, scary, how scary!\It's scary so I'm going to drink more!\I guess I'll keep it in mind. response:	I pray the magician isn't a woman, then.
context: That can't be true.\No, you should seriously be careful.\This is a story I heard from someone who's with the church in Rubinhaigen,\but two weeks ago, an entire caravan was wiped out.\Ah, scary, how scary!\It's scary so I'm going to drink more!\I guess I'll keep it in mind.\I pray the magician isn't a woman, then. response:	Why's that?
context: No, you should seriously be careful.\This is a story I heard from someone who's with the church in Rubinhaigen,\but two weeks ago, an entire caravan was wiped out.\Ah, scary, how scary!\It's scary so I'm going to drink more!\I guess I'll keep it in mind.\I pray the magician isn't a woman, then.\Why's that? response:	You're easily deceived by women.
context: This is a story I heard from someone who's with the church in Rubinhaigen,\but two weeks ago, an entire caravan was wiped out.\Ah, scary, how scary!\It's scary so I'm going to drink more!\I guess I'll keep it in mind.\I pray the magician isn't a woman, then.\Why's that?\You're easily deceived by women. response:	You're also easily seduced, even if it means you'll get hurt.
