context: Lord Milza's Dartanian forces have safely joined ours. response:	Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.
context: Lord Milza's Dartanian forces have safely joined ours.\Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn. response:	Is that right?
context: Lord Milza's Dartanian forces have safely joined ours.\Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.\Is that right? response:	My cousin...
context: Lord Milza's Dartanian forces have safely joined ours.\Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.\Is that right?\My cousin... response:	The true battle is only about to begin.
context: Lord Milza's Dartanian forces have safely joined ours.\Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.\Is that right?\My cousin...\The true battle is only about to begin. response:	That's...
context: Lord Milza's Dartanian forces have safely joined ours.\Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.\Is that right?\My cousin...\The true battle is only about to begin.\That's... response:	The Nordic fleet, conquerors of the Northern Seas.
context: Lord Milza's Dartanian forces have safely joined ours.\Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.\Is that right?\My cousin...\The true battle is only about to begin.\That's...\The Nordic fleet, conquerors of the Northern Seas. response:	Sorry to keep you waiting, Big Sister Marrine.
context: Lord Milza's Dartanian forces have safely joined ours.\Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.\Is that right?\My cousin...\The true battle is only about to begin.\That's...\The Nordic fleet, conquerors of the Northern Seas.\Sorry to keep you waiting, Big Sister Marrine. response:	All right, let the revelry begin!
context: Also, I've received word that Lady Ururika's fleet will be arriving soon at Castle Unicorn.\Is that right?\My cousin...\The true battle is only about to begin.\That's...\The Nordic fleet, conquerors of the Northern Seas.\Sorry to keep you waiting, Big Sister Marrine.\All right, let the revelry begin! response:	How did the Nordic fleet get here?
context: Is that right?\My cousin...\The true battle is only about to begin.\That's...\The Nordic fleet, conquerors of the Northern Seas.\Sorry to keep you waiting, Big Sister Marrine.\All right, let the revelry begin!\How did the Nordic fleet get here? response:	Don't tell me they actually came halfway around the continent?
context: My cousin...\The true battle is only about to begin.\That's...\The Nordic fleet, conquerors of the Northern Seas.\Sorry to keep you waiting, Big Sister Marrine.\All right, let the revelry begin!\How did the Nordic fleet get here?\Don't tell me they actually came halfway around the continent? response:	The soldiers could've made it here on foot, then built the ships here.
context: The true battle is only about to begin.\That's...\The Nordic fleet, conquerors of the Northern Seas.\Sorry to keep you waiting, Big Sister Marrine.\All right, let the revelry begin!\How did the Nordic fleet get here?\Don't tell me they actually came halfway around the continent?\The soldiers could've made it here on foot, then built the ships here. response:	What should we do?
context: That's...\The Nordic fleet, conquerors of the Northern Seas.\Sorry to keep you waiting, Big Sister Marrine.\All right, let the revelry begin!\How did the Nordic fleet get here?\Don't tell me they actually came halfway around the continent?\The soldiers could've made it here on foot, then built the ships here.\What should we do? response:	This spells defeat for me.
context: The Nordic fleet, conquerors of the Northern Seas.\Sorry to keep you waiting, Big Sister Marrine.\All right, let the revelry begin!\How did the Nordic fleet get here?\Don't tell me they actually came halfway around the continent?\The soldiers could've made it here on foot, then built the ships here.\What should we do?\This spells defeat for me. response:	After all the battles it's been through, our navy's taken some serious hits.
context: Sorry to keep you waiting, Big Sister Marrine.\All right, let the revelry begin!\How did the Nordic fleet get here?\Don't tell me they actually came halfway around the continent?\The soldiers could've made it here on foot, then built the ships here.\What should we do?\This spells defeat for me.\After all the battles it's been through, our navy's taken some serious hits. response:	And Lady Edokia's Palace of the Sea won't hold up for long against that giant fleet.
