context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul... response:	The camellia flower...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\The camellia flower... response:	Also, while you don't even pay attention... it quietly blossoms.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\The camellia flower...\Also, while you don't even pay attention... it quietly blossoms. response:	Also, while you don't even pay attention... it quietly blossoms.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\The camellia flower...\Also, while you don't even pay attention... it quietly blossoms.\Also, while you don't even pay attention... it quietly blossoms. response:	It also whithers in a miserable way...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\The camellia flower...\Also, while you don't even pay attention... it quietly blossoms.\Also, while you don't even pay attention... it quietly blossoms.\It also whithers in a miserable way... response:	Tsubaki, what do you want to play?
context: Late Night Show\Bones 10th anniversary project\A healthy soul...\The camellia flower...\Also, while you don't even pay attention... it quietly blossoms.\Also, while you don't even pay attention... it quietly blossoms.\It also whithers in a miserable way...\Tsubaki, what do you want to play? response:	Kemari was A type of football played by courtiers in ancient Japan.
context: Bones 10th anniversary project\A healthy soul...\The camellia flower...\Also, while you don't even pay attention... it quietly blossoms.\Also, while you don't even pay attention... it quietly blossoms.\It also whithers in a miserable way...\Tsubaki, what do you want to play?\Kemari was A type of football played by courtiers in ancient Japan. response:	I want to play Kemari.
context: A healthy soul...\The camellia flower...\Also, while you don't even pay attention... it quietly blossoms.\Also, while you don't even pay attention... it quietly blossoms.\It also whithers in a miserable way...\Tsubaki, what do you want to play?\Kemari was A type of football played by courtiers in ancient Japan.\I want to play Kemari. response:	Tsubaki is camellia in Japanese.
context: The camellia flower...\Also, while you don't even pay attention... it quietly blossoms.\Also, while you don't even pay attention... it quietly blossoms.\It also whithers in a miserable way...\Tsubaki, what do you want to play?\Kemari was A type of football played by courtiers in ancient Japan.\I want to play Kemari.\Tsubaki is camellia in Japanese. response:	I am Tsubaki...
context: Also, while you don't even pay attention... it quietly blossoms.\Also, while you don't even pay attention... it quietly blossoms.\It also whithers in a miserable way...\Tsubaki, what do you want to play?\Kemari was A type of football played by courtiers in ancient Japan.\I want to play Kemari.\Tsubaki is camellia in Japanese.\I am Tsubaki... response:	This is a free fansub. Not for sale or rent.
context: Also, while you don't even pay attention... it quietly blossoms.\It also whithers in a miserable way...\Tsubaki, what do you want to play?\Kemari was A type of football played by courtiers in ancient Japan.\I want to play Kemari.\Tsubaki is camellia in Japanese.\I am Tsubaki...\This is a free fansub. Not for sale or rent. response:	It's the Autumn of Art!... Not!
context: It also whithers in a miserable way...\Tsubaki, what do you want to play?\Kemari was A type of football played by courtiers in ancient Japan.\I want to play Kemari.\Tsubaki is camellia in Japanese.\I am Tsubaki...\This is a free fansub. Not for sale or rent.\It's the Autumn of Art!... Not! response:	There's about 3 months until Autumn...
context: Tsubaki, what do you want to play?\Kemari was A type of football played by courtiers in ancient Japan.\I want to play Kemari.\Tsubaki is camellia in Japanese.\I am Tsubaki...\This is a free fansub. Not for sale or rent.\It's the Autumn of Art!... Not!\There's about 3 months until Autumn... response:	This is sudden, but we'll do art!
context: Kemari was A type of football played by courtiers in ancient Japan.\I want to play Kemari.\Tsubaki is camellia in Japanese.\I am Tsubaki...\This is a free fansub. Not for sale or rent.\It's the Autumn of Art!... Not!\There's about 3 months until Autumn...\This is sudden, but we'll do art! response:	Funny Haikus!
context: I want to play Kemari.\Tsubaki is camellia in Japanese.\I am Tsubaki...\This is a free fansub. Not for sale or rent.\It's the Autumn of Art!... Not!\There's about 3 months until Autumn...\This is sudden, but we'll do art!\Funny Haikus! response:	We'll hold a funny Haiku competition!
