context: hence the name fall leaves response:	Impassionate gods...
context: hence the name fall leaves\Impassionate gods... response:	She did it!
context: hence the name fall leaves\Impassionate gods...\She did it! response:	Chihaya went from being helpless against
context: hence the name fall leaves\Impassionate gods...\She did it!\Chihaya went from being helpless against response:	the queen to taking two cards in a row.
context: hence the name fall leaves\Impassionate gods...\She did it!\Chihaya went from being helpless against\the queen to taking two cards in a row. response:	She's staying on the attack.
context: hence the name fall leaves\Impassionate gods...\She did it!\Chihaya went from being helpless against\the queen to taking two cards in a row.\She's staying on the attack. response:	Hitting her groove...
context: hence the name fall leaves\Impassionate gods...\She did it!\Chihaya went from being helpless against\the queen to taking two cards in a row.\She's staying on the attack.\Hitting her groove... response:	She converted on the card she just sent.
context: hence the name fall leaves\Impassionate gods...\She did it!\Chihaya went from being helpless against\the queen to taking two cards in a row.\She's staying on the attack.\Hitting her groove...\She converted on the card she just sent. response:	That was sheer willpower.
context: Impassionate gods...\She did it!\Chihaya went from being helpless against\the queen to taking two cards in a row.\She's staying on the attack.\Hitting her groove...\She converted on the card she just sent.\That was sheer willpower. response:	But look at the score.
context: She did it!\Chihaya went from being helpless against\the queen to taking two cards in a row.\She's staying on the attack.\Hitting her groove...\She converted on the card she just sent.\That was sheer willpower.\But look at the score. response:	The Queen has 7 cards left.
context: Chihaya went from being helpless against\the queen to taking two cards in a row.\She's staying on the attack.\Hitting her groove...\She converted on the card she just sent.\That was sheer willpower.\But look at the score.\The Queen has 7 cards left. response:	Her opponent has 23 cards left.
context: the queen to taking two cards in a row.\She's staying on the attack.\Hitting her groove...\She converted on the card she just sent.\That was sheer willpower.\But look at the score.\The Queen has 7 cards left.\Her opponent has 23 cards left. response:	That barely changed anything.
context: She's staying on the attack.\Hitting her groove...\She converted on the card she just sent.\That was sheer willpower.\But look at the score.\The Queen has 7 cards left.\Her opponent has 23 cards left.\That barely changed anything. response:	The Queen is just a first year high schooler.
context: Hitting her groove...\She converted on the card she just sent.\That was sheer willpower.\But look at the score.\The Queen has 7 cards left.\Her opponent has 23 cards left.\That barely changed anything.\The Queen is just a first year high schooler. response:	She must have a breaking point.
context: She converted on the card she just sent.\That was sheer willpower.\But look at the score.\The Queen has 7 cards left.\Her opponent has 23 cards left.\That barely changed anything.\The Queen is just a first year high schooler.\She must have a breaking point. response:	What's big is that her opponent still hasn't given up.
context: That was sheer willpower.\But look at the score.\The Queen has 7 cards left.\Her opponent has 23 cards left.\That barely changed anything.\The Queen is just a first year high schooler.\She must have a breaking point.\What's big is that her opponent still hasn't given up. response:	Hasn't given up?
context: But look at the score.\The Queen has 7 cards left.\Her opponent has 23 cards left.\That barely changed anything.\The Queen is just a first year high schooler.\She must have a breaking point.\What's big is that her opponent still hasn't given up.\Hasn't given up? response:	She's playing to win!
context: The Queen has 7 cards left.\Her opponent has 23 cards left.\That barely changed anything.\The Queen is just a first year high schooler.\She must have a breaking point.\What's big is that her opponent still hasn't given up.\Hasn't given up?\She's playing to win! response:	Chihaya...
context: Her opponent has 23 cards left.\That barely changed anything.\The Queen is just a first year high schooler.\She must have a breaking point.\What's big is that her opponent still hasn't given up.\Hasn't given up?\She's playing to win!\Chihaya... response:	Why are you always so obvious?
context: That barely changed anything.\The Queen is just a first year high schooler.\She must have a breaking point.\What's big is that her opponent still hasn't given up.\Hasn't given up?\She's playing to win!\Chihaya...\Why are you always so obvious? response:	It's too late. She's down 16 cards.
context: The Queen is just a first year high schooler.\She must have a breaking point.\What's big is that her opponent still hasn't given up.\Hasn't given up?\She's playing to win!\Chihaya...\Why are you always so obvious?\It's too late. She's down 16 cards. response:	The Queen just has to play normally and she'll easily win.
context: She must have a breaking point.\What's big is that her opponent still hasn't given up.\Hasn't given up?\She's playing to win!\Chihaya...\Why are you always so obvious?\It's too late. She's down 16 cards.\The Queen just has to play normally and she'll easily win. response:	With that trademark smile on her face.
