context: Black Vinegar Private Middle School response:	Man, what a surprise.
context: Black Vinegar Private Middle School\Man, what a surprise. response:	I guess there are espers other than you, Shigeo.
context: Black Vinegar Private Middle School\Man, what a surprise.\I guess there are espers other than you, Shigeo. response:	But it looks like he's pretty surprised himself.
context: Black Vinegar Private Middle School\Man, what a surprise.\I guess there are espers other than you, Shigeo.\But it looks like he's pretty surprised himself. response:	Impossible...
context: Black Vinegar Private Middle School\Man, what a surprise.\I guess there are espers other than you, Shigeo.\But it looks like he's pretty surprised himself.\Impossible... response:	Are you a natural?
context: Black Vinegar Private Middle School\Man, what a surprise.\I guess there are espers other than you, Shigeo.\But it looks like he's pretty surprised himself.\Impossible...\Are you a natural? response:	There's another like me?
context: Black Vinegar Private Middle School\Man, what a surprise.\I guess there are espers other than you, Shigeo.\But it looks like he's pretty surprised himself.\Impossible...\Are you a natural?\There's another like me? response:	What is the creepy-looking ball of energy next to you?
context: Black Vinegar Private Middle School\Man, what a surprise.\I guess there are espers other than you, Shigeo.\But it looks like he's pretty surprised himself.\Impossible...\Are you a natural?\There's another like me?\What is the creepy-looking ball of energy next to you? response:	What?
context: Man, what a surprise.\I guess there are espers other than you, Shigeo.\But it looks like he's pretty surprised himself.\Impossible...\Are you a natural?\There's another like me?\What is the creepy-looking ball of energy next to you?\What? response:	Are you its master?
context: I guess there are espers other than you, Shigeo.\But it looks like he's pretty surprised himself.\Impossible...\Are you a natural?\There's another like me?\What is the creepy-looking ball of energy next to you?\What?\Are you its master? response:	No, it's haunting me.
context: But it looks like he's pretty surprised himself.\Impossible...\Are you a natural?\There's another like me?\What is the creepy-looking ball of energy next to you?\What?\Are you its master?\No, it's haunting me. response:	Well, whatever.
context: Impossible...\Are you a natural?\There's another like me?\What is the creepy-looking ball of energy next to you?\What?\Are you its master?\No, it's haunting me.\Well, whatever. response:	There are a bunch of questions I want to ask you,
context: Are you a natural?\There's another like me?\What is the creepy-looking ball of energy next to you?\What?\Are you its master?\No, it's haunting me.\Well, whatever.\There are a bunch of questions I want to ask you, response:	but before that, we need to establish something...
context: There's another like me?\What is the creepy-looking ball of energy next to you?\What?\Are you its master?\No, it's haunting me.\Well, whatever.\There are a bunch of questions I want to ask you,\but before that, we need to establish something... response:	The hierarchy here.
context: What is the creepy-looking ball of energy next to you?\What?\Are you its master?\No, it's haunting me.\Well, whatever.\There are a bunch of questions I want to ask you,\but before that, we need to establish something...\The hierarchy here. response:	Say what?
context: What?\Are you its master?\No, it's haunting me.\Well, whatever.\There are a bunch of questions I want to ask you,\but before that, we need to establish something...\The hierarchy here.\Say what? response:	Progress Towards
context: Are you its master?\No, it's haunting me.\Well, whatever.\There are a bunch of questions I want to ask you,\but before that, we need to establish something...\The hierarchy here.\Say what?\Progress Towards response:	Mob's Explosion
context: No, it's haunting me.\Well, whatever.\There are a bunch of questions I want to ask you,\but before that, we need to establish something...\The hierarchy here.\Say what?\Progress Towards\Mob's Explosion response:	Progress Toward Mob's Explosion: 45
context: Well, whatever.\There are a bunch of questions I want to ask you,\but before that, we need to establish something...\The hierarchy here.\Say what?\Progress Towards\Mob's Explosion\Progress Toward Mob's Explosion: 45 response:	Progress Toward Mob's Explosion: 46
context: There are a bunch of questions I want to ask you,\but before that, we need to establish something...\The hierarchy here.\Say what?\Progress Towards\Mob's Explosion\Progress Toward Mob's Explosion: 45\Progress Toward Mob's Explosion: 46 response:	Progress Toward Mob's Explosion: 47
context: but before that, we need to establish something...\The hierarchy here.\Say what?\Progress Towards\Mob's Explosion\Progress Toward Mob's Explosion: 45\Progress Toward Mob's Explosion: 46\Progress Toward Mob's Explosion: 47 response:	Mob Psycho 100
context: The hierarchy here.\Say what?\Progress Towards\Mob's Explosion\Progress Toward Mob's Explosion: 45\Progress Toward Mob's Explosion: 46\Progress Toward Mob's Explosion: 47\Mob Psycho 100 response:	OCHIMUSHA Psychic Powers and Me
context: Say what?\Progress Towards\Mob's Explosion\Progress Toward Mob's Explosion: 45\Progress Toward Mob's Explosion: 46\Progress Toward Mob's Explosion: 47\Mob Psycho 100\OCHIMUSHA Psychic Powers and Me response:	Be careful just in case, Shigeo.
context: Progress Towards\Mob's Explosion\Progress Toward Mob's Explosion: 45\Progress Toward Mob's Explosion: 46\Progress Toward Mob's Explosion: 47\Mob Psycho 100\OCHIMUSHA Psychic Powers and Me\Be careful just in case, Shigeo. response:	Even you could get tripped up if you're not care
context: Mob's Explosion\Progress Toward Mob's Explosion: 45\Progress Toward Mob's Explosion: 46\Progress Toward Mob's Explosion: 47\Mob Psycho 100\OCHIMUSHA Psychic Powers and Me\Be careful just in case, Shigeo.\Even you could get tripped up if you're not care response:	Sorry, I wasn't listening.
context: Progress Toward Mob's Explosion: 45\Progress Toward Mob's Explosion: 46\Progress Toward Mob's Explosion: 47\Mob Psycho 100\OCHIMUSHA Psychic Powers and Me\Be careful just in case, Shigeo.\Even you could get tripped up if you're not care\Sorry, I wasn't listening. response:	What?!
context: Progress Toward Mob's Explosion: 46\Progress Toward Mob's Explosion: 47\Mob Psycho 100\OCHIMUSHA Psychic Powers and Me\Be careful just in case, Shigeo.\Even you could get tripped up if you're not care\Sorry, I wasn't listening.\What?! response:	Why are you attacking me? I haven't done anything.
context: Progress Toward Mob's Explosion: 47\Mob Psycho 100\OCHIMUSHA Psychic Powers and Me\Be careful just in case, Shigeo.\Even you could get tripped up if you're not care\Sorry, I wasn't listening.\What?!\Why are you attacking me? I haven't done anything. response:	Let's be...
context: Mob Psycho 100\OCHIMUSHA Psychic Powers and Me\Be careful just in case, Shigeo.\Even you could get tripped up if you're not care\Sorry, I wasn't listening.\What?!\Why are you attacking me? I haven't done anything.\Let's be... response:	He's on guard.
context: OCHIMUSHA Psychic Powers and Me\Be careful just in case, Shigeo.\Even you could get tripped up if you're not care\Sorry, I wasn't listening.\What?!\Why are you attacking me? I haven't done anything.\Let's be...\He's on guard. response:	Not that I don't understand how he feels.
context: Be careful just in case, Shigeo.\Even you could get tripped up if you're not care\Sorry, I wasn't listening.\What?!\Why are you attacking me? I haven't done anything.\Let's be...\He's on guard.\Not that I don't understand how he feels. response:	I bet he's lived his life so far as the big fish in a very small pond.
context: Even you could get tripped up if you're not care\Sorry, I wasn't listening.\What?!\Why are you attacking me? I haven't done anything.\Let's be...\He's on guard.\Not that I don't understand how he feels.\I bet he's lived his life so far as the big fish in a very small pond. response:	And for the first time ever, he's meeting someone that could be his natural enemy.
context: Sorry, I wasn't listening.\What?!\Why are you attacking me? I haven't done anything.\Let's be...\He's on guard.\Not that I don't understand how he feels.\I bet he's lived his life so far as the big fish in a very small pond.\And for the first time ever, he's meeting someone that could be his natural enemy. response:	If he doesn't establish his superiority right now,
context: What?!\Why are you attacking me? I haven't done anything.\Let's be...\He's on guard.\Not that I don't understand how he feels.\I bet he's lived his life so far as the big fish in a very small pond.\And for the first time ever, he's meeting someone that could be his natural enemy.\If he doesn't establish his superiority right now, response:	he won't be satisfied, I'm sure.
context: Why are you attacking me? I haven't done anything.\Let's be...\He's on guard.\Not that I don't understand how he feels.\I bet he's lived his life so far as the big fish in a very small pond.\And for the first time ever, he's meeting someone that could be his natural enemy.\If he doesn't establish his superiority right now,\he won't be satisfied, I'm sure. response:	But, that aside...
context: Let's be...\He's on guard.\Not that I don't understand how he feels.\I bet he's lived his life so far as the big fish in a very small pond.\And for the first time ever, he's meeting someone that could be his natural enemy.\If he doesn't establish his superiority right now,\he won't be satisfied, I'm sure.\But, that aside... response:	What's with those weird movements? They're kinda like wire action.
context: He's on guard.\Not that I don't understand how he feels.\I bet he's lived his life so far as the big fish in a very small pond.\And for the first time ever, he's meeting someone that could be his natural enemy.\If he doesn't establish his superiority right now,\he won't be satisfied, I'm sure.\But, that aside...\What's with those weird movements? They're kinda like wire action. response:	Telekinesis.
context: Not that I don't understand how he feels.\I bet he's lived his life so far as the big fish in a very small pond.\And for the first time ever, he's meeting someone that could be his natural enemy.\If he doesn't establish his superiority right now,\he won't be satisfied, I'm sure.\But, that aside...\What's with those weird movements? They're kinda like wire action.\Telekinesis. response:	It lets you move objects around, and stuff.
context: I bet he's lived his life so far as the big fish in a very small pond.\And for the first time ever, he's meeting someone that could be his natural enemy.\If he doesn't establish his superiority right now,\he won't be satisfied, I'm sure.\But, that aside...\What's with those weird movements? They're kinda like wire action.\Telekinesis.\It lets you move objects around, and stuff. response:	You're not gonna do it?
context: And for the first time ever, he's meeting someone that could be his natural enemy.\If he doesn't establish his superiority right now,\he won't be satisfied, I'm sure.\But, that aside...\What's with those weird movements? They're kinda like wire action.\Telekinesis.\It lets you move objects around, and stuff.\You're not gonna do it? response:	I get nauseous, so no.
context: If he doesn't establish his superiority right now,\he won't be satisfied, I'm sure.\But, that aside...\What's with those weird movements? They're kinda like wire action.\Telekinesis.\It lets you move objects around, and stuff.\You're not gonna do it?\I get nauseous, so no. response:	I use telekinesis to teleport close to my opponent
