context: The season is summer. response:	The long-awaited finals are coming up.
context: The season is summer.\The long-awaited finals are coming up. response:	Every bit of happiness that was inside me is now loitering around Brazil,
context: The season is summer.\The long-awaited finals are coming up.\Every bit of happiness that was inside me is now loitering around Brazil, response:	and it doesn't look like any of it's coming back.
context: The season is summer.\The long-awaited finals are coming up.\Every bit of happiness that was inside me is now loitering around Brazil,\and it doesn't look like any of it's coming back. response:	Hey. Do you know what day it is today?
context: The season is summer.\The long-awaited finals are coming up.\Every bit of happiness that was inside me is now loitering around Brazil,\and it doesn't look like any of it's coming back.\Hey. Do you know what day it is today? response:	Your birthday?
context: The season is summer.\The long-awaited finals are coming up.\Every bit of happiness that was inside me is now loitering around Brazil,\and it doesn't look like any of it's coming back.\Hey. Do you know what day it is today?\Your birthday? response:	No.
context: The season is summer.\The long-awaited finals are coming up.\Every bit of happiness that was inside me is now loitering around Brazil,\and it doesn't look like any of it's coming back.\Hey. Do you know what day it is today?\Your birthday?\No. response:	Asahina-san's birthday.
context: The season is summer.\The long-awaited finals are coming up.\Every bit of happiness that was inside me is now loitering around Brazil,\and it doesn't look like any of it's coming back.\Hey. Do you know what day it is today?\Your birthday?\No.\Asahina-san's birthday. response:	No.
context: The long-awaited finals are coming up.\Every bit of happiness that was inside me is now loitering around Brazil,\and it doesn't look like any of it's coming back.\Hey. Do you know what day it is today?\Your birthday?\No.\Asahina-san's birthday.\No. response:	Koizumi or Nagato's birthday.
context: Every bit of happiness that was inside me is now loitering around Brazil,\and it doesn't look like any of it's coming back.\Hey. Do you know what day it is today?\Your birthday?\No.\Asahina-san's birthday.\No.\Koizumi or Nagato's birthday. response:	You think I would know their birthdays?
context: and it doesn't look like any of it's coming back.\Hey. Do you know what day it is today?\Your birthday?\No.\Asahina-san's birthday.\No.\Koizumi or Nagato's birthday.\You think I would know their birthdays? response:	By the way, my birthday is...
context: Hey. Do you know what day it is today?\Your birthday?\No.\Asahina-san's birthday.\No.\Koizumi or Nagato's birthday.\You think I would know their birthdays?\By the way, my birthday is... response:	No one cares!
