context: Look, the sea! response:	-OP-
context: Look, the sea!\-OP- response:	-ED-
context: Look, the sea!\-OP-\-ED- response:	Wait for me. Today I will...
context: Look, the sea!\-OP-\-ED-\Wait for me. Today I will... response:	There you are, filthy demon!
context: Look, the sea!\-OP-\-ED-\Wait for me. Today I will...\There you are, filthy demon! response:	I will...
context: Look, the sea!\-OP-\-ED-\Wait for me. Today I will...\There you are, filthy demon!\I will... response:	defeat you!
context: Look, the sea!\-OP-\-ED-\Wait for me. Today I will...\There you are, filthy demon!\I will...\defeat you! response:	Summer! Sea!
context: Look, the sea!\-OP-\-ED-\Wait for me. Today I will...\There you are, filthy demon!\I will...\defeat you!\Summer! Sea! response:	Swimsuits!
context: -OP-\-ED-\Wait for me. Today I will...\There you are, filthy demon!\I will...\defeat you!\Summer! Sea!\Swimsuits! response:	Yeah!
context: -ED-\Wait for me. Today I will...\There you are, filthy demon!\I will...\defeat you!\Summer! Sea!\Swimsuits!\Yeah! response:	Girls!
context: Wait for me. Today I will...\There you are, filthy demon!\I will...\defeat you!\Summer! Sea!\Swimsuits!\Yeah!\Girls! response:	Let's swim, Okumura!
context: There you are, filthy demon!\I will...\defeat you!\Summer! Sea!\Swimsuits!\Yeah!\Girls!\Let's swim, Okumura! response:	Izumo, get changed, come on! Put on your bikini!
context: I will...\defeat you!\Summer! Sea!\Swimsuits!\Yeah!\Girls!\Let's swim, Okumura!\Izumo, get changed, come on! Put on your bikini! response:	I love the sea!
context: defeat you!\Summer! Sea!\Swimsuits!\Yeah!\Girls!\Let's swim, Okumura!\Izumo, get changed, come on! Put on your bikini!\I love the sea! response:	Why...
context: Summer! Sea!\Swimsuits!\Yeah!\Girls!\Let's swim, Okumura!\Izumo, get changed, come on! Put on your bikini!\I love the sea!\Why... response:	Come on, come on, hurry...
context: Swimsuits!\Yeah!\Girls!\Let's swim, Okumura!\Izumo, get changed, come on! Put on your bikini!\I love the sea!\Why...\Come on, come on, hurry... response:	Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?
context: Yeah!\Girls!\Let's swim, Okumura!\Izumo, get changed, come on! Put on your bikini!\I love the sea!\Why...\Come on, come on, hurry...\Why do I have to help with this crappy squid fry thing when there's all these hotties out there...? response:	Come come, have some! This fried squid is so good you'd sell your soul for a single bite!
context: Girls!\Let's swim, Okumura!\Izumo, get changed, come on! Put on your bikini!\I love the sea!\Why...\Come on, come on, hurry...\Why do I have to help with this crappy squid fry thing when there's all these hotties out there...?\Come come, have some! This fried squid is so good you'd sell your soul for a single bite! response:	You seem to be enjoying yourself, Okumura.
