context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	All day every day.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day. response:	ANTIBODY ENCYCLOPEDIA
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA response:	24 hours and 365 days.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days. response:	WHITE BLOOD CELL
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard. response:	UNDER CONSTRUCTION
context: roughly 37.2 trillion cells work energetically,\DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION response:	PLATELETS
context: DENDRITE\All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS response:	This is the inside of a human body.
context: All day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body. response:	What is this place?
context: ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this place? response:	Nobody's around. What's going on?
context: 24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this place?\Nobody's around. What's going on? response:	I'm so scared!
context: WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this place?\Nobody's around. What's going on?\I'm so scared! response:	Th-There it is!
context: They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this place?\Nobody's around. What's going on?\I'm so scared!\Th-There it is! response:	CELL
context: UNDER CONSTRUCTION\PLATELETS\This is the inside of a human body.\What is this place?\Nobody's around. What's going on?\I'm so scared!\Th-There it is!\CELL response:	What is this thing?
context: PLATELETS\This is the inside of a human body.\What is this place?\Nobody's around. What's going on?\I'm so scared!\Th-There it is!\CELL\What is this thing? response:	Behind me, too!
context: This is the inside of a human body.\What is this place?\Nobody's around. What's going on?\I'm so scared!\Th-There it is!\CELL\What is this thing?\Behind me, too! response:	Somebody help me!
context: What is this place?\Nobody's around. What's going on?\I'm so scared!\Th-There it is!\CELL\What is this thing?\Behind me, too!\Somebody help me! response:	Target sighted!
context: Nobody's around. What's going on?\I'm so scared!\Th-There it is!\CELL\What is this thing?\Behind me, too!\Somebody help me!\Target sighted! response:	Hey, are you okay?
context: I'm so scared!\Th-There it is!\CELL\What is this thing?\Behind me, too!\Somebody help me!\Target sighted!\Hey, are you okay? response:	WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.
context: Th-There it is!\CELL\What is this thing?\Behind me, too!\Somebody help me!\Target sighted!\Hey, are you okay?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood. response:	Thank you very much!
context: CELL\What is this thing?\Behind me, too!\Somebody help me!\Target sighted!\Hey, are you okay?\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. Neutrophils comprise over half of the White Blood Cells in the blood.\Thank you very much! response:	By the way, what were you doing in a place like this?
