context: Let's go out the rear entrance. response:	Shirou!
context: Let's go out the rear entrance.\Shirou! response:	What is it, Saber?
context: Let's go out the rear entrance.\Shirou!\What is it, Saber? response:	I'm surprised to see Saber with you.
context: Let's go out the rear entrance.\Shirou!\What is it, Saber?\I'm surprised to see Saber with you. response:	You...
context: Let's go out the rear entrance.\Shirou!\What is it, Saber?\I'm surprised to see Saber with you.\You... response:	Archer! What's with you finally showing up now?
context: Let's go out the rear entrance.\Shirou!\What is it, Saber?\I'm surprised to see Saber with you.\You...\Archer! What's with you finally showing up now? response:	Isn't it obvious? I sensed a threat to my Master and rushed to her side.
context: Let's go out the rear entrance.\Shirou!\What is it, Saber?\I'm surprised to see Saber with you.\You...\Archer! What's with you finally showing up now?\Isn't it obvious? I sensed a threat to my Master and rushed to her side. response:	But it appears I was too late.
context: Let's go out the rear entrance.\Shirou!\What is it, Saber?\I'm surprised to see Saber with you.\You...\Archer! What's with you finally showing up now?\Isn't it obvious? I sensed a threat to my Master and rushed to her side.\But it appears I was too late. response:	Yes, it's all over!
context: Shirou!\What is it, Saber?\I'm surprised to see Saber with you.\You...\Archer! What's with you finally showing up now?\Isn't it obvious? I sensed a threat to my Master and rushed to her side.\But it appears I was too late.\Yes, it's all over! response:	I'll fill you in on everything that happened
context: What is it, Saber?\I'm surprised to see Saber with you.\You...\Archer! What's with you finally showing up now?\Isn't it obvious? I sensed a threat to my Master and rushed to her side.\But it appears I was too late.\Yes, it's all over!\I'll fill you in on everything that happened response:	while you took your sweet time, so you just stand there and listen!
context: I'm surprised to see Saber with you.\You...\Archer! What's with you finally showing up now?\Isn't it obvious? I sensed a threat to my Master and rushed to her side.\But it appears I was too late.\Yes, it's all over!\I'll fill you in on everything that happened\while you took your sweet time, so you just stand there and listen! response:	Looks like I arrived at the worst possible time.
context: You...\Archer! What's with you finally showing up now?\Isn't it obvious? I sensed a threat to my Master and rushed to her side.\But it appears I was too late.\Yes, it's all over!\I'll fill you in on everything that happened\while you took your sweet time, so you just stand there and listen!\Looks like I arrived at the worst possible time. response:	You can say that again!
context: Archer! What's with you finally showing up now?\Isn't it obvious? I sensed a threat to my Master and rushed to her side.\But it appears I was too late.\Yes, it's all over!\I'll fill you in on everything that happened\while you took your sweet time, so you just stand there and listen!\Looks like I arrived at the worst possible time.\You can say that again! response:	One Servant was knocked out of the running, and now you decide to show up?
context: Isn't it obvious? I sensed a threat to my Master and rushed to her side.\But it appears I was too late.\Yes, it's all over!\I'll fill you in on everything that happened\while you took your sweet time, so you just stand there and listen!\Looks like I arrived at the worst possible time.\You can say that again!\One Servant was knocked out of the running, and now you decide to show up? response:	All right, all right.
context: But it appears I was too late.\Yes, it's all over!\I'll fill you in on everything that happened\while you took your sweet time, so you just stand there and listen!\Looks like I arrived at the worst possible time.\You can say that again!\One Servant was knocked out of the running, and now you decide to show up?\All right, all right. response:	Next time, I'll rush to your side at once.
context: Yes, it's all over!\I'll fill you in on everything that happened\while you took your sweet time, so you just stand there and listen!\Looks like I arrived at the worst possible time.\You can say that again!\One Servant was knocked out of the running, and now you decide to show up?\All right, all right.\Next time, I'll rush to your side at once. response:	Well, which Servant was eliminated?
context: I'll fill you in on everything that happened\while you took your sweet time, so you just stand there and listen!\Looks like I arrived at the worst possible time.\You can say that again!\One Servant was knocked out of the running, and now you decide to show up?\All right, all right.\Next time, I'll rush to your side at once.\Well, which Servant was eliminated? response:	It was the Rider-class Servant that disappeared.
context: while you took your sweet time, so you just stand there and listen!\Looks like I arrived at the worst possible time.\You can say that again!\One Servant was knocked out of the running, and now you decide to show up?\All right, all right.\Next time, I'll rush to your side at once.\Well, which Servant was eliminated?\It was the Rider-class Servant that disappeared. response:	I don't know exactly what happened, but she was probably taken out by Caster.
context: Looks like I arrived at the worst possible time.\You can say that again!\One Servant was knocked out of the running, and now you decide to show up?\All right, all right.\Next time, I'll rush to your side at once.\Well, which Servant was eliminated?\It was the Rider-class Servant that disappeared.\I don't know exactly what happened, but she was probably taken out by Caster. response:	The coward.
context: You can say that again!\One Servant was knocked out of the running, and now you decide to show up?\All right, all right.\Next time, I'll rush to your side at once.\Well, which Servant was eliminated?\It was the Rider-class Servant that disappeared.\I don't know exactly what happened, but she was probably taken out by Caster.\The coward. response:	Then she really was all talk.
context: One Servant was knocked out of the running, and now you decide to show up?\All right, all right.\Next time, I'll rush to your side at once.\Well, which Servant was eliminated?\It was the Rider-class Servant that disappeared.\I don't know exactly what happened, but she was probably taken out by Caster.\The coward.\Then she really was all talk. response:	Archer, Rider died protecting her Master.
context: All right, all right.\Next time, I'll rush to your side at once.\Well, which Servant was eliminated?\It was the Rider-class Servant that disappeared.\I don't know exactly what happened, but she was probably taken out by Caster.\The coward.\Then she really was all talk.\Archer, Rider died protecting her Master. response:	You are in no position to call her a coward.
context: Next time, I'll rush to your side at once.\Well, which Servant was eliminated?\It was the Rider-class Servant that disappeared.\I don't know exactly what happened, but she was probably taken out by Caster.\The coward.\Then she really was all talk.\Archer, Rider died protecting her Master.\You are in no position to call her a coward. response:	A coward is a coward.
context: Well, which Servant was eliminated?\It was the Rider-class Servant that disappeared.\I don't know exactly what happened, but she was probably taken out by Caster.\The coward.\Then she really was all talk.\Archer, Rider died protecting her Master.\You are in no position to call her a coward.\A coward is a coward. response:	One who calls herself a hero should at least try to take her opponent out with her.
context: It was the Rider-class Servant that disappeared.\I don't know exactly what happened, but she was probably taken out by Caster.\The coward.\Then she really was all talk.\Archer, Rider died protecting her Master.\You are in no position to call her a coward.\A coward is a coward.\One who calls herself a hero should at least try to take her opponent out with her. response:	That she was defeated without resistance suggests she was unable to do so.
