context: I've liked you, Chisaki. response:	For quite a while now.
context: I've liked you, Chisaki.\For quite a while now. response:	Episode Eleven: The Changing Times
context: I've liked you, Chisaki.\For quite a while now.\Episode Eleven: The Changing Times response:	Um, uh...
context: I've liked you, Chisaki.\For quite a while now.\Episode Eleven: The Changing Times\Um, uh... response:	Here.
context: I've liked you, Chisaki.\For quite a while now.\Episode Eleven: The Changing Times\Um, uh...\Here. response:	Th-Thanks...
context: I've liked you, Chisaki.\For quite a while now.\Episode Eleven: The Changing Times\Um, uh...\Here.\Th-Thanks... response:	I'm sorry for causing a stir so early in the morning.
context: I've liked you, Chisaki.\For quite a while now.\Episode Eleven: The Changing Times\Um, uh...\Here.\Th-Thanks...\I'm sorry for causing a stir so early in the morning. response:	I just confessed my feelings to your daughter.
context: I've liked you, Chisaki.\For quite a while now.\Episode Eleven: The Changing Times\Um, uh...\Here.\Th-Thanks...\I'm sorry for causing a stir so early in the morning.\I just confessed my feelings to your daughter. response:	Oh my...
context: For quite a while now.\Episode Eleven: The Changing Times\Um, uh...\Here.\Th-Thanks...\I'm sorry for causing a stir so early in the morning.\I just confessed my feelings to your daughter.\Oh my... response:	How polite.
context: Episode Eleven: The Changing Times\Um, uh...\Here.\Th-Thanks...\I'm sorry for causing a stir so early in the morning.\I just confessed my feelings to your daughter.\Oh my...\How polite. response:	It's not that I want a reply.
context: Um, uh...\Here.\Th-Thanks...\I'm sorry for causing a stir so early in the morning.\I just confessed my feelings to your daughter.\Oh my...\How polite.\It's not that I want a reply. response:	It's sort of like a modest resistance.
context: Here.\Th-Thanks...\I'm sorry for causing a stir so early in the morning.\I just confessed my feelings to your daughter.\Oh my...\How polite.\It's not that I want a reply.\It's sort of like a modest resistance. response:	Resistance?
context: Th-Thanks...\I'm sorry for causing a stir so early in the morning.\I just confessed my feelings to your daughter.\Oh my...\How polite.\It's not that I want a reply.\It's sort of like a modest resistance.\Resistance? response:	Come on.
context: I'm sorry for causing a stir so early in the morning.\I just confessed my feelings to your daughter.\Oh my...\How polite.\It's not that I want a reply.\It's sort of like a modest resistance.\Resistance?\Come on. response:	If you don't hurry, we're going to be late.
context: I just confessed my feelings to your daughter.\Oh my...\How polite.\It's not that I want a reply.\It's sort of like a modest resistance.\Resistance?\Come on.\If you don't hurry, we're going to be late. response:	R-Right...
context: Oh my...\How polite.\It's not that I want a reply.\It's sort of like a modest resistance.\Resistance?\Come on.\If you don't hurry, we're going to be late.\R-Right... response:	What's wrong?
context: How polite.\It's not that I want a reply.\It's sort of like a modest resistance.\Resistance?\Come on.\If you don't hurry, we're going to be late.\R-Right...\What's wrong? response:	You're really far away.
context: It's not that I want a reply.\It's sort of like a modest resistance.\Resistance?\Come on.\If you don't hurry, we're going to be late.\R-Right...\What's wrong?\You're really far away. response:	I-I'm fine!
context: It's sort of like a modest resistance.\Resistance?\Come on.\If you don't hurry, we're going to be late.\R-Right...\What's wrong?\You're really far away.\I-I'm fine! response:	Really? Then good.
context: Resistance?\Come on.\If you don't hurry, we're going to be late.\R-Right...\What's wrong?\You're really far away.\I-I'm fine!\Really? Then good. response:	Looking back at it now,
context: Come on.\If you don't hurry, we're going to be late.\R-Right...\What's wrong?\You're really far away.\I-I'm fine!\Really? Then good.\Looking back at it now, response:	I think that Kaname and Chisaki were a little weird that day.
context: If you don't hurry, we're going to be late.\R-Right...\What's wrong?\You're really far away.\I-I'm fine!\Really? Then good.\Looking back at it now,\I think that Kaname and Chisaki were a little weird that day. response:	But at the time,
context: R-Right...\What's wrong?\You're really far away.\I-I'm fine!\Really? Then good.\Looking back at it now,\I think that Kaname and Chisaki were a little weird that day.\But at the time, response:	my thoughts were full from the upcoming cold, the Ofunehiki,
context: What's wrong?\You're really far away.\I-I'm fine!\Really? Then good.\Looking back at it now,\I think that Kaname and Chisaki were a little weird that day.\But at the time,\my thoughts were full from the upcoming cold, the Ofunehiki, response:	and Manaka...
context: You're really far away.\I-I'm fine!\Really? Then good.\Looking back at it now,\I think that Kaname and Chisaki were a little weird that day.\But at the time,\my thoughts were full from the upcoming cold, the Ofunehiki,\and Manaka... response:	And I think Manaka was the same...
context: I-I'm fine!\Really? Then good.\Looking back at it now,\I think that Kaname and Chisaki were a little weird that day.\But at the time,\my thoughts were full from the upcoming cold, the Ofunehiki,\and Manaka...\And I think Manaka was the same... response:	That's why Manaka and I could have never caught on to those two at the time.
context: Really? Then good.\Looking back at it now,\I think that Kaname and Chisaki were a little weird that day.\But at the time,\my thoughts were full from the upcoming cold, the Ofunehiki,\and Manaka...\And I think Manaka was the same...\That's why Manaka and I could have never caught on to those two at the time. response:	Hey.
context: Looking back at it now,\I think that Kaname and Chisaki were a little weird that day.\But at the time,\my thoughts were full from the upcoming cold, the Ofunehiki,\and Manaka...\And I think Manaka was the same...\That's why Manaka and I could have never caught on to those two at the time.\Hey. response:	You're late!
context: I think that Kaname and Chisaki were a little weird that day.\But at the time,\my thoughts were full from the upcoming cold, the Ofunehiki,\and Manaka...\And I think Manaka was the same...\That's why Manaka and I could have never caught on to those two at the time.\Hey.\You're late! response:	Good morning!
context: But at the time,\my thoughts were full from the upcoming cold, the Ofunehiki,\and Manaka...\And I think Manaka was the same...\That's why Manaka and I could have never caught on to those two at the time.\Hey.\You're late!\Good morning! response:	Good morning!
context: my thoughts were full from the upcoming cold, the Ofunehiki,\and Manaka...\And I think Manaka was the same...\That's why Manaka and I could have never caught on to those two at the time.\Hey.\You're late!\Good morning!\Good morning! response:	The fact was that, in the few days that followed,
context: and Manaka...\And I think Manaka was the same...\That's why Manaka and I could have never caught on to those two at the time.\Hey.\You're late!\Good morning!\Good morning!\The fact was that, in the few days that followed, response:	the world that surrounded us changed at an unbelievable pace.
context: And I think Manaka was the same...\That's why Manaka and I could have never caught on to those two at the time.\Hey.\You're late!\Good morning!\Good morning!\The fact was that, in the few days that followed,\the world that surrounded us changed at an unbelievable pace. response:	Every day...
context: That's why Manaka and I could have never caught on to those two at the time.\Hey.\You're late!\Good morning!\Good morning!\The fact was that, in the few days that followed,\the world that surrounded us changed at an unbelievable pace.\Every day... response:	the saltflake snow continued to fall.
context: Hey.\You're late!\Good morning!\Good morning!\The fact was that, in the few days that followed,\the world that surrounded us changed at an unbelievable pace.\Every day...\the saltflake snow continued to fall. response:	When we realized it, our village had turned completely white,
context: You're late!\Good morning!\Good morning!\The fact was that, in the few days that followed,\the world that surrounded us changed at an unbelievable pace.\Every day...\the saltflake snow continued to fall.\When we realized it, our village had turned completely white, response:	like somewhere from the snow country.
context: Good morning!\Good morning!\The fact was that, in the few days that followed,\the world that surrounded us changed at an unbelievable pace.\Every day...\the saltflake snow continued to fall.\When we realized it, our village had turned completely white,\like somewhere from the snow country. response:	Along with that, the preparations for our sleep were continuing.
context: Good morning!\The fact was that, in the few days that followed,\the world that surrounded us changed at an unbelievable pace.\Every day...\the saltflake snow continued to fall.\When we realized it, our village had turned completely white,\like somewhere from the snow country.\Along with that, the preparations for our sleep were continuing. response:	Closed to Prepare for the Sleep
context: The fact was that, in the few days that followed,\the world that surrounded us changed at an unbelievable pace.\Every day...\the saltflake snow continued to fall.\When we realized it, our village had turned completely white,\like somewhere from the snow country.\Along with that, the preparations for our sleep were continuing.\Closed to Prepare for the Sleep response:	Everyone stopped eating,
context: the world that surrounded us changed at an unbelievable pace.\Every day...\the saltflake snow continued to fall.\When we realized it, our village had turned completely white,\like somewhere from the snow country.\Along with that, the preparations for our sleep were continuing.\Closed to Prepare for the Sleep\Everyone stopped eating, response:	and their Ena just kept getting thicker.
context: Every day...\the saltflake snow continued to fall.\When we realized it, our village had turned completely white,\like somewhere from the snow country.\Along with that, the preparations for our sleep were continuing.\Closed to Prepare for the Sleep\Everyone stopped eating,\and their Ena just kept getting thicker. response:	At first, the moment just felt like something vague, but eventually it was right in front of our eyes.
context: the saltflake snow continued to fall.\When we realized it, our village had turned completely white,\like somewhere from the snow country.\Along with that, the preparations for our sleep were continuing.\Closed to Prepare for the Sleep\Everyone stopped eating,\and their Ena just kept getting thicker.\At first, the moment just felt like something vague, but eventually it was right in front of our eyes. response:	There was no way to think of it as some kind of joke anymore.
context: When we realized it, our village had turned completely white,\like somewhere from the snow country.\Along with that, the preparations for our sleep were continuing.\Closed to Prepare for the Sleep\Everyone stopped eating,\and their Ena just kept getting thicker.\At first, the moment just felt like something vague, but eventually it was right in front of our eyes.\There was no way to think of it as some kind of joke anymore. response:	On the surface, the saltflake snow had only fallen once more,
context: like somewhere from the snow country.\Along with that, the preparations for our sleep were continuing.\Closed to Prepare for the Sleep\Everyone stopped eating,\and their Ena just kept getting thicker.\At first, the moment just felt like something vague, but eventually it was right in front of our eyes.\There was no way to think of it as some kind of joke anymore.\On the surface, the saltflake snow had only fallen once more, response:	but because of the overly chilly summer,
