context: Well, you might think number three's the weirdest one. response:	Oh, enough already.
context: Well, you might think number three's the weirdest one.\Oh, enough already. response:	Three. Yamamoto and I had sex.
context: Well, you might think number three's the weirdest one.\Oh, enough already.\Three. Yamamoto and I had sex. response:	Yeah, nothing but weird ones.
context: Well, you might think number three's the weirdest one.\Oh, enough already.\Three. Yamamoto and I had sex.\Yeah, nothing but weird ones. response:	It's weird, isn't it?
context: Well, you might think number three's the weirdest one.\Oh, enough already.\Three. Yamamoto and I had sex.\Yeah, nothing but weird ones.\It's weird, isn't it? response:	It's so stupid.
context: Well, you might think number three's the weirdest one.\Oh, enough already.\Three. Yamamoto and I had sex.\Yeah, nothing but weird ones.\It's weird, isn't it?\It's so stupid. response:	I'm surprised you could think up something that weird...
context: Well, you might think number three's the weirdest one.\Oh, enough already.\Three. Yamamoto and I had sex.\Yeah, nothing but weird ones.\It's weird, isn't it?\It's so stupid.\I'm surprised you could think up something that weird... response:	Yeah.
context: Well, you might think number three's the weirdest one.\Oh, enough already.\Three. Yamamoto and I had sex.\Yeah, nothing but weird ones.\It's weird, isn't it?\It's so stupid.\I'm surprised you could think up something that weird...\Yeah. response:	Especially that third one... Even if you were just joking, that's just sick.
context: Oh, enough already.\Three. Yamamoto and I had sex.\Yeah, nothing but weird ones.\It's weird, isn't it?\It's so stupid.\I'm surprised you could think up something that weird...\Yeah.\Especially that third one... Even if you were just joking, that's just sick. response:	Yeah. It is sick.
context: Three. Yamamoto and I had sex.\Yeah, nothing but weird ones.\It's weird, isn't it?\It's so stupid.\I'm surprised you could think up something that weird...\Yeah.\Especially that third one... Even if you were just joking, that's just sick.\Yeah. It is sick. response:	No matter what happened...
context: Yeah, nothing but weird ones.\It's weird, isn't it?\It's so stupid.\I'm surprised you could think up something that weird...\Yeah.\Especially that third one... Even if you were just joking, that's just sick.\Yeah. It is sick.\No matter what happened... response:	I'll accept it.
context: It's weird, isn't it?\It's so stupid.\I'm surprised you could think up something that weird...\Yeah.\Especially that third one... Even if you were just joking, that's just sick.\Yeah. It is sick.\No matter what happened...\I'll accept it. response:	Usotsuki na anata nakimushi no atashi
context: It's so stupid.\I'm surprised you could think up something that weird...\Yeah.\Especially that third one... Even if you were just joking, that's just sick.\Yeah. It is sick.\No matter what happened...\I'll accept it.\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: I'm surprised you could think up something that weird...\Yeah.\Especially that third one... Even if you were just joking, that's just sick.\Yeah. It is sick.\No matter what happened...\I'll accept it.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Yeah.\Especially that third one... Even if you were just joking, that's just sick.\Yeah. It is sick.\No matter what happened...\I'll accept it.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Especially that third one... Even if you were just joking, that's just sick.\Yeah. It is sick.\No matter what happened...\I'll accept it.\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
