context: This isn't personal. response:	We're just trying to live.
context: This isn't personal.\We're just trying to live. response:	You're as good as I've heard.
context: This isn't personal.\We're just trying to live.\You're as good as I've heard. response:	Unfortunately for you though, your fight doesn't end here.
context: This isn't personal.\We're just trying to live.\You're as good as I've heard.\Unfortunately for you though, your fight doesn't end here. response:	The Syndicate will...
context: This isn't personal.\We're just trying to live.\You're as good as I've heard.\Unfortunately for you though, your fight doesn't end here.\The Syndicate will... response:	Are you okay?
context: This isn't personal.\We're just trying to live.\You're as good as I've heard.\Unfortunately for you though, your fight doesn't end here.\The Syndicate will...\Are you okay? response:	Yeah.
context: This isn't personal.\We're just trying to live.\You're as good as I've heard.\Unfortunately for you though, your fight doesn't end here.\The Syndicate will...\Are you okay?\Yeah. response:	Let's go.
context: This isn't personal.\We're just trying to live.\You're as good as I've heard.\Unfortunately for you though, your fight doesn't end here.\The Syndicate will...\Are you okay?\Yeah.\Let's go. response:	What's wrong?
context: We're just trying to live.\You're as good as I've heard.\Unfortunately for you though, your fight doesn't end here.\The Syndicate will...\Are you okay?\Yeah.\Let's go.\What's wrong? response:	No, it was nothing.
context: You're as good as I've heard.\Unfortunately for you though, your fight doesn't end here.\The Syndicate will...\Are you okay?\Yeah.\Let's go.\What's wrong?\No, it was nothing. response:	I see.
context: Unfortunately for you though, your fight doesn't end here.\The Syndicate will...\Are you okay?\Yeah.\Let's go.\What's wrong?\No, it was nothing.\I see. response:	So you're on your honeymoon?
context: The Syndicate will...\Are you okay?\Yeah.\Let's go.\What's wrong?\No, it was nothing.\I see.\So you're on your honeymoon? response:	Congratulations to the two of you!
context: Are you okay?\Yeah.\Let's go.\What's wrong?\No, it was nothing.\I see.\So you're on your honeymoon?\Congratulations to the two of you! response:	Thank you.
context: Yeah.\Let's go.\What's wrong?\No, it was nothing.\I see.\So you're on your honeymoon?\Congratulations to the two of you!\Thank you. response:	If you had made reservations ahead of time, we would've prepared the best room for you.
context: Let's go.\What's wrong?\No, it was nothing.\I see.\So you're on your honeymoon?\Congratulations to the two of you!\Thank you.\If you had made reservations ahead of time, we would've prepared the best room for you. response:	It's okay. We just decided to travel and didn't really plan a schedule.
context: What's wrong?\No, it was nothing.\I see.\So you're on your honeymoon?\Congratulations to the two of you!\Thank you.\If you had made reservations ahead of time, we would've prepared the best room for you.\It's okay. We just decided to travel and didn't really plan a schedule. response:	This way, please.
context: No, it was nothing.\I see.\So you're on your honeymoon?\Congratulations to the two of you!\Thank you.\If you had made reservations ahead of time, we would've prepared the best room for you.\It's okay. We just decided to travel and didn't really plan a schedule.\This way, please. response:	Let's go.
context: I see.\So you're on your honeymoon?\Congratulations to the two of you!\Thank you.\If you had made reservations ahead of time, we would've prepared the best room for you.\It's okay. We just decided to travel and didn't really plan a schedule.\This way, please.\Let's go. response:	Here's your room.
context: So you're on your honeymoon?\Congratulations to the two of you!\Thank you.\If you had made reservations ahead of time, we would've prepared the best room for you.\It's okay. We just decided to travel and didn't really plan a schedule.\This way, please.\Let's go.\Here's your room. response:	Please enjoy yourselves.
context: Congratulations to the two of you!\Thank you.\If you had made reservations ahead of time, we would've prepared the best room for you.\It's okay. We just decided to travel and didn't really plan a schedule.\This way, please.\Let's go.\Here's your room.\Please enjoy yourselves. response:	Use your surveillance spirit and stand guard.
context: Thank you.\If you had made reservations ahead of time, we would've prepared the best room for you.\It's okay. We just decided to travel and didn't really plan a schedule.\This way, please.\Let's go.\Here's your room.\Please enjoy yourselves.\Use your surveillance spirit and stand guard. response:	I'll go find us a ship.
context: If you had made reservations ahead of time, we would've prepared the best room for you.\It's okay. We just decided to travel and didn't really plan a schedule.\This way, please.\Let's go.\Here's your room.\Please enjoy yourselves.\Use your surveillance spirit and stand guard.\I'll go find us a ship. response:	Don't open the door for anyone.
context: It's okay. We just decided to travel and didn't really plan a schedule.\This way, please.\Let's go.\Here's your room.\Please enjoy yourselves.\Use your surveillance spirit and stand guard.\I'll go find us a ship.\Don't open the door for anyone. response:	We'll leave this place in the morning.
context: This way, please.\Let's go.\Here's your room.\Please enjoy yourselves.\Use your surveillance spirit and stand guard.\I'll go find us a ship.\Don't open the door for anyone.\We'll leave this place in the morning. response:	How do I get to Taiwan?
context: Let's go.\Here's your room.\Please enjoy yourselves.\Use your surveillance spirit and stand guard.\I'll go find us a ship.\Don't open the door for anyone.\We'll leave this place in the morning.\How do I get to Taiwan? response:	From here by ship?
context: Here's your room.\Please enjoy yourselves.\Use your surveillance spirit and stand guard.\I'll go find us a ship.\Don't open the door for anyone.\We'll leave this place in the morning.\How do I get to Taiwan?\From here by ship? response:	Yes.
context: Please enjoy yourselves.\Use your surveillance spirit and stand guard.\I'll go find us a ship.\Don't open the door for anyone.\We'll leave this place in the morning.\How do I get to Taiwan?\From here by ship?\Yes. response:	Well, the ship here should take you there, but you'd normally take a plane.
context: Use your surveillance spirit and stand guard.\I'll go find us a ship.\Don't open the door for anyone.\We'll leave this place in the morning.\How do I get to Taiwan?\From here by ship?\Yes.\Well, the ship here should take you there, but you'd normally take a plane. response:	That's great. So there is a way.
context: I'll go find us a ship.\Don't open the door for anyone.\We'll leave this place in the morning.\How do I get to Taiwan?\From here by ship?\Yes.\Well, the ship here should take you there, but you'd normally take a plane.\That's great. So there is a way. response:	Don't worry!
context: Don't open the door for anyone.\We'll leave this place in the morning.\How do I get to Taiwan?\From here by ship?\Yes.\Well, the ship here should take you there, but you'd normally take a plane.\That's great. So there is a way.\Don't worry! response:	After the Americans left, our relations with China have been great.
context: We'll leave this place in the morning.\How do I get to Taiwan?\From here by ship?\Yes.\Well, the ship here should take you there, but you'd normally take a plane.\That's great. So there is a way.\Don't worry!\After the Americans left, our relations with China have been great. response:	Still, I wouldn't recommend it though.
context: How do I get to Taiwan?\From here by ship?\Yes.\Well, the ship here should take you there, but you'd normally take a plane.\That's great. So there is a way.\Don't worry!\After the Americans left, our relations with China have been great.\Still, I wouldn't recommend it though. response:	Why's that?
context: From here by ship?\Yes.\Well, the ship here should take you there, but you'd normally take a plane.\That's great. So there is a way.\Don't worry!\After the Americans left, our relations with China have been great.\Still, I wouldn't recommend it though.\Why's that? response:	To tell you the truth, because it's garbage.
context: Yes.\Well, the ship here should take you there, but you'd normally take a plane.\That's great. So there is a way.\Don't worry!\After the Americans left, our relations with China have been great.\Still, I wouldn't recommend it though.\Why's that?\To tell you the truth, because it's garbage. response:	It might be fine with you, but I don't think it'll go well with the girl behind you.
context: Well, the ship here should take you there, but you'd normally take a plane.\That's great. So there is a way.\Don't worry!\After the Americans left, our relations with China have been great.\Still, I wouldn't recommend it though.\Why's that?\To tell you the truth, because it's garbage.\It might be fine with you, but I don't think it'll go well with the girl behind you. response:	She looks like she'll fall over if the wind blows, just like me when I was young.
context: That's great. So there is a way.\Don't worry!\After the Americans left, our relations with China have been great.\Still, I wouldn't recommend it though.\Why's that?\To tell you the truth, because it's garbage.\It might be fine with you, but I don't think it'll go well with the girl behind you.\She looks like she'll fall over if the wind blows, just like me when I was young. response:	That's why I can tell she wouldn't want to.
context: Don't worry!\After the Americans left, our relations with China have been great.\Still, I wouldn't recommend it though.\Why's that?\To tell you the truth, because it's garbage.\It might be fine with you, but I don't think it'll go well with the girl behind you.\She looks like she'll fall over if the wind blows, just like me when I was young.\That's why I can tell she wouldn't want to. response:	I won't say anything bad, but you should take an airplane.
context: After the Americans left, our relations with China have been great.\Still, I wouldn't recommend it though.\Why's that?\To tell you the truth, because it's garbage.\It might be fine with you, but I don't think it'll go well with the girl behind you.\She looks like she'll fall over if the wind blows, just like me when I was young.\That's why I can tell she wouldn't want to.\I won't say anything bad, but you should take an airplane. response:	I told you to stay in the room!
context: Still, I wouldn't recommend it though.\Why's that?\To tell you the truth, because it's garbage.\It might be fine with you, but I don't think it'll go well with the girl behind you.\She looks like she'll fall over if the wind blows, just like me when I was young.\That's why I can tell she wouldn't want to.\I won't say anything bad, but you should take an airplane.\I told you to stay in the room! response:	This place is safe.
context: Why's that?\To tell you the truth, because it's garbage.\It might be fine with you, but I don't think it'll go well with the girl behind you.\She looks like she'll fall over if the wind blows, just like me when I was young.\That's why I can tell she wouldn't want to.\I won't say anything bad, but you should take an airplane.\I told you to stay in the room!\This place is safe. response:	She says so too.
