context: My dear! response:	My dear!
context: My dear!\My dear! response:	I never want to see you again!
context: My dear!\My dear!\I never want to see you again! response:	My dear, don't leave! My dear!
context: My dear!\My dear!\I never want to see you again!\My dear, don't leave! My dear! response:	Fourth Brother, I know what you're going to say.
context: My dear!\My dear!\I never want to see you again!\My dear, don't leave! My dear!\Fourth Brother, I know what you're going to say. response:	I think that the Heavenly Lord punished her too harshly.
context: My dear!\My dear!\I never want to see you again!\My dear, don't leave! My dear!\Fourth Brother, I know what you're going to say.\I think that the Heavenly Lord punished her too harshly. response:	It might be because of Ye Hua...
context: My dear!\My dear!\I never want to see you again!\My dear, don't leave! My dear!\Fourth Brother, I know what you're going to say.\I think that the Heavenly Lord punished her too harshly.\It might be because of Ye Hua... response:	Anyway, whatever she owed me, she has paid the price for it.
context: My dear!\My dear!\I never want to see you again!\My dear, don't leave! My dear!\Fourth Brother, I know what you're going to say.\I think that the Heavenly Lord punished her too harshly.\It might be because of Ye Hua...\Anyway, whatever she owed me, she has paid the price for it. response:	She now has nothing to do with me.
context: My dear!\I never want to see you again!\My dear, don't leave! My dear!\Fourth Brother, I know what you're going to say.\I think that the Heavenly Lord punished her too harshly.\It might be because of Ye Hua...\Anyway, whatever she owed me, she has paid the price for it.\She now has nothing to do with me. response:	Fourth Brother.
context: I never want to see you again!\My dear, don't leave! My dear!\Fourth Brother, I know what you're going to say.\I think that the Heavenly Lord punished her too harshly.\It might be because of Ye Hua...\Anyway, whatever she owed me, she has paid the price for it.\She now has nothing to do with me.\Fourth Brother. response:	You've brought me here especially to look at her?
context: My dear, don't leave! My dear!\Fourth Brother, I know what you're going to say.\I think that the Heavenly Lord punished her too harshly.\It might be because of Ye Hua...\Anyway, whatever she owed me, she has paid the price for it.\She now has nothing to do with me.\Fourth Brother.\You've brought me here especially to look at her? response:	Since you say so, it is so.
context: Fourth Brother, I know what you're going to say.\I think that the Heavenly Lord punished her too harshly.\It might be because of Ye Hua...\Anyway, whatever she owed me, she has paid the price for it.\She now has nothing to do with me.\Fourth Brother.\You've brought me here especially to look at her?\Since you say so, it is so. response:	We've been walking for quite some time.
context: I think that the Heavenly Lord punished her too harshly.\It might be because of Ye Hua...\Anyway, whatever she owed me, she has paid the price for it.\She now has nothing to do with me.\Fourth Brother.\You've brought me here especially to look at her?\Since you say so, it is so.\We've been walking for quite some time. response:	I'm tired. Let's go and have some tea.
context: It might be because of Ye Hua...\Anyway, whatever she owed me, she has paid the price for it.\She now has nothing to do with me.\Fourth Brother.\You've brought me here especially to look at her?\Since you say so, it is so.\We've been walking for quite some time.\I'm tired. Let's go and have some tea. response:	A pot of tea, please!
context: Anyway, whatever she owed me, she has paid the price for it.\She now has nothing to do with me.\Fourth Brother.\You've brought me here especially to look at her?\Since you say so, it is so.\We've been walking for quite some time.\I'm tired. Let's go and have some tea.\A pot of tea, please! response:	Sure!
context: She now has nothing to do with me.\Fourth Brother.\You've brought me here especially to look at her?\Since you say so, it is so.\We've been walking for quite some time.\I'm tired. Let's go and have some tea.\A pot of tea, please!\Sure! response:	Sir and Madam...
context: Fourth Brother.\You've brought me here especially to look at her?\Since you say so, it is so.\We've been walking for quite some time.\I'm tired. Let's go and have some tea.\A pot of tea, please!\Sure!\Sir and Madam... response:	Si Yin?
context: You've brought me here especially to look at her?\Since you say so, it is so.\We've been walking for quite some time.\I'm tired. Let's go and have some tea.\A pot of tea, please!\Sure!\Sir and Madam...\Si Yin? response:	Yan Zhi?
context: Since you say so, it is so.\We've been walking for quite some time.\I'm tired. Let's go and have some tea.\A pot of tea, please!\Sure!\Sir and Madam...\Si Yin?\Yan Zhi? response:	We haven't seen each other in 70,000 years.
context: We've been walking for quite some time.\I'm tired. Let's go and have some tea.\A pot of tea, please!\Sure!\Sir and Madam...\Si Yin?\Yan Zhi?\We haven't seen each other in 70,000 years. response:	Stay and chat.
context: I'm tired. Let's go and have some tea.\A pot of tea, please!\Sure!\Sir and Madam...\Si Yin?\Yan Zhi?\We haven't seen each other in 70,000 years.\Stay and chat. response:	I'll go and take a look around.
context: A pot of tea, please!\Sure!\Sir and Madam...\Si Yin?\Yan Zhi?\We haven't seen each other in 70,000 years.\Stay and chat.\I'll go and take a look around. response:	You're right.
context: Sure!\Sir and Madam...\Si Yin?\Yan Zhi?\We haven't seen each other in 70,000 years.\Stay and chat.\I'll go and take a look around.\You're right. response:	We haven't talked since that battle at Ruoshui Riverbank.
context: Sir and Madam...\Si Yin?\Yan Zhi?\We haven't seen each other in 70,000 years.\Stay and chat.\I'll go and take a look around.\You're right.\We haven't talked since that battle at Ruoshui Riverbank. response:	Thank you for being willing to speak to me.
context: Si Yin?\Yan Zhi?\We haven't seen each other in 70,000 years.\Stay and chat.\I'll go and take a look around.\You're right.\We haven't talked since that battle at Ruoshui Riverbank.\Thank you for being willing to speak to me. response:	Si Yin.
context: Yan Zhi?\We haven't seen each other in 70,000 years.\Stay and chat.\I'll go and take a look around.\You're right.\We haven't talked since that battle at Ruoshui Riverbank.\Thank you for being willing to speak to me.\Si Yin. response:	When I met you, you were Si Yin.
context: We haven't seen each other in 70,000 years.\Stay and chat.\I'll go and take a look around.\You're right.\We haven't talked since that battle at Ruoshui Riverbank.\Thank you for being willing to speak to me.\Si Yin.\When I met you, you were Si Yin. response:	So... can I just call you that?
context: Stay and chat.\I'll go and take a look around.\You're right.\We haven't talked since that battle at Ruoshui Riverbank.\Thank you for being willing to speak to me.\Si Yin.\When I met you, you were Si Yin.\So... can I just call you that? response:	Sure.
context: I'll go and take a look around.\You're right.\We haven't talked since that battle at Ruoshui Riverbank.\Thank you for being willing to speak to me.\Si Yin.\When I met you, you were Si Yin.\So... can I just call you that?\Sure. response:	Si Yin, when I saw you just now
context: You're right.\We haven't talked since that battle at Ruoshui Riverbank.\Thank you for being willing to speak to me.\Si Yin.\When I met you, you were Si Yin.\So... can I just call you that?\Sure.\Si Yin, when I saw you just now response:	it made me remember those days when we were young.
context: We haven't talked since that battle at Ruoshui Riverbank.\Thank you for being willing to speak to me.\Si Yin.\When I met you, you were Si Yin.\So... can I just call you that?\Sure.\Si Yin, when I saw you just now\it made me remember those days when we were young. response:	You and I were still messing around in Grand Ziming Palace.
context: Thank you for being willing to speak to me.\Si Yin.\When I met you, you were Si Yin.\So... can I just call you that?\Sure.\Si Yin, when I saw you just now\it made me remember those days when we were young.\You and I were still messing around in Grand Ziming Palace. response:	My Brother Li Jing was still alive then...
context: Si Yin.\When I met you, you were Si Yin.\So... can I just call you that?\Sure.\Si Yin, when I saw you just now\it made me remember those days when we were young.\You and I were still messing around in Grand Ziming Palace.\My Brother Li Jing was still alive then... response:	Mother, this auntie is so pretty.
context: When I met you, you were Si Yin.\So... can I just call you that?\Sure.\Si Yin, when I saw you just now\it made me remember those days when we were young.\You and I were still messing around in Grand Ziming Palace.\My Brother Li Jing was still alive then...\Mother, this auntie is so pretty. response:	You're also pretty.
context: So... can I just call you that?\Sure.\Si Yin, when I saw you just now\it made me remember those days when we were young.\You and I were still messing around in Grand Ziming Palace.\My Brother Li Jing was still alive then...\Mother, this auntie is so pretty.\You're also pretty. response:	Mother!
context: Sure.\Si Yin, when I saw you just now\it made me remember those days when we were young.\You and I were still messing around in Grand Ziming Palace.\My Brother Li Jing was still alive then...\Mother, this auntie is so pretty.\You're also pretty.\Mother! response:	Mother, do you not want A-Li anymore?
context: Si Yin, when I saw you just now\it made me remember those days when we were young.\You and I were still messing around in Grand Ziming Palace.\My Brother Li Jing was still alive then...\Mother, this auntie is so pretty.\You're also pretty.\Mother!\Mother, do you not want A-Li anymore? response:	How could I not want A-Li?
context: it made me remember those days when we were young.\You and I were still messing around in Grand Ziming Palace.\My Brother Li Jing was still alive then...\Mother, this auntie is so pretty.\You're also pretty.\Mother!\Mother, do you not want A-Li anymore?\How could I not want A-Li? response:	I've been thinking of my dear Little Riceball for the past three years.
context: You and I were still messing around in Grand Ziming Palace.\My Brother Li Jing was still alive then...\Mother, this auntie is so pretty.\You're also pretty.\Mother!\Mother, do you not want A-Li anymore?\How could I not want A-Li?\I've been thinking of my dear Little Riceball for the past three years. response:	Why didn't Mother visit me in the Celestial Palace?
context: My Brother Li Jing was still alive then...\Mother, this auntie is so pretty.\You're also pretty.\Mother!\Mother, do you not want A-Li anymore?\How could I not want A-Li?\I've been thinking of my dear Little Riceball for the past three years.\Why didn't Mother visit me in the Celestial Palace? response:	I've been asleep for the past three years.
context: Mother, this auntie is so pretty.\You're also pretty.\Mother!\Mother, do you not want A-Li anymore?\How could I not want A-Li?\I've been thinking of my dear Little Riceball for the past three years.\Why didn't Mother visit me in the Celestial Palace?\I've been asleep for the past three years. response:	I didn't wake up.
context: You're also pretty.\Mother!\Mother, do you not want A-Li anymore?\How could I not want A-Li?\I've been thinking of my dear Little Riceball for the past three years.\Why didn't Mother visit me in the Celestial Palace?\I've been asleep for the past three years.\I didn't wake up. response:	I didn't wake up from my dreams until yesterday.
context: Mother!\Mother, do you not want A-Li anymore?\How could I not want A-Li?\I've been thinking of my dear Little Riceball for the past three years.\Why didn't Mother visit me in the Celestial Palace?\I've been asleep for the past three years.\I didn't wake up.\I didn't wake up from my dreams until yesterday. response:	I'd wanted to take a stroll in the Mortal Realm
context: Mother, do you not want A-Li anymore?\How could I not want A-Li?\I've been thinking of my dear Little Riceball for the past three years.\Why didn't Mother visit me in the Celestial Palace?\I've been asleep for the past three years.\I didn't wake up.\I didn't wake up from my dreams until yesterday.\I'd wanted to take a stroll in the Mortal Realm response:	and then visit you in the Celestial Palace.
context: How could I not want A-Li?\I've been thinking of my dear Little Riceball for the past three years.\Why didn't Mother visit me in the Celestial Palace?\I've been asleep for the past three years.\I didn't wake up.\I didn't wake up from my dreams until yesterday.\I'd wanted to take a stroll in the Mortal Realm\and then visit you in the Celestial Palace. response:	Who knew that you'd sneak out here?
context: I've been thinking of my dear Little Riceball for the past three years.\Why didn't Mother visit me in the Celestial Palace?\I've been asleep for the past three years.\I didn't wake up.\I didn't wake up from my dreams until yesterday.\I'd wanted to take a stroll in the Mortal Realm\and then visit you in the Celestial Palace.\Who knew that you'd sneak out here? response:	When I went past here above the clouds
context: Why didn't Mother visit me in the Celestial Palace?\I've been asleep for the past three years.\I didn't wake up.\I didn't wake up from my dreams until yesterday.\I'd wanted to take a stroll in the Mortal Realm\and then visit you in the Celestial Palace.\Who knew that you'd sneak out here?\When I went past here above the clouds response:	I noticed an auspicious aura of a high god around here.
context: I've been asleep for the past three years.\I didn't wake up.\I didn't wake up from my dreams until yesterday.\I'd wanted to take a stroll in the Mortal Realm\and then visit you in the Celestial Palace.\Who knew that you'd sneak out here?\When I went past here above the clouds\I noticed an auspicious aura of a high god around here. response:	I wanted to take a look to see which high god it was.
context: I didn't wake up.\I didn't wake up from my dreams until yesterday.\I'd wanted to take a stroll in the Mortal Realm\and then visit you in the Celestial Palace.\Who knew that you'd sneak out here?\When I went past here above the clouds\I noticed an auspicious aura of a high god around here.\I wanted to take a look to see which high god it was. response:	Then I saw Mother down here.
context: I didn't wake up from my dreams until yesterday.\I'd wanted to take a stroll in the Mortal Realm\and then visit you in the Celestial Palace.\Who knew that you'd sneak out here?\When I went past here above the clouds\I noticed an auspicious aura of a high god around here.\I wanted to take a look to see which high god it was.\Then I saw Mother down here. response:	A-Li!
context: I'd wanted to take a stroll in the Mortal Realm\and then visit you in the Celestial Palace.\Who knew that you'd sneak out here?\When I went past here above the clouds\I noticed an auspicious aura of a high god around here.\I wanted to take a look to see which high god it was.\Then I saw Mother down here.\A-Li! response:	A-Li greets Uncle Zhen.
context: and then visit you in the Celestial Palace.\Who knew that you'd sneak out here?\When I went past here above the clouds\I noticed an auspicious aura of a high god around here.\I wanted to take a look to see which high god it was.\Then I saw Mother down here.\A-Li!\A-Li greets Uncle Zhen. response:	You're so polite Imperial Great-grandson!
context: Who knew that you'd sneak out here?\When I went past here above the clouds\I noticed an auspicious aura of a high god around here.\I wanted to take a look to see which high god it was.\Then I saw Mother down here.\A-Li!\A-Li greets Uncle Zhen.\You're so polite Imperial Great-grandson! response:	- Tian Shu greets both high gods! - Jia Yun greets both high gods!
context: When I went past here above the clouds\I noticed an auspicious aura of a high god around here.\I wanted to take a look to see which high god it was.\Then I saw Mother down here.\A-Li!\A-Li greets Uncle Zhen.\You're so polite Imperial Great-grandson!\- Tian Shu greets both high gods! - Jia Yun greets both high gods! response:	Where are you taking little A-Li?
context: I noticed an auspicious aura of a high god around here.\I wanted to take a look to see which high god it was.\Then I saw Mother down here.\A-Li!\A-Li greets Uncle Zhen.\You're so polite Imperial Great-grandson!\- Tian Shu greets both high gods! - Jia Yun greets both high gods!\Where are you taking little A-Li? response:	You can't tell me?
context: I wanted to take a look to see which high god it was.\Then I saw Mother down here.\A-Li!\A-Li greets Uncle Zhen.\You're so polite Imperial Great-grandson!\- Tian Shu greets both high gods! - Jia Yun greets both high gods!\Where are you taking little A-Li?\You can't tell me? response:	What is there not to tell?
context: Then I saw Mother down here.\A-Li!\A-Li greets Uncle Zhen.\You're so polite Imperial Great-grandson!\- Tian Shu greets both high gods! - Jia Yun greets both high gods!\Where are you taking little A-Li?\You can't tell me?\What is there not to tell? response:	Mother, I'm going to visit Father at the Sea of Innocence.
context: A-Li!\A-Li greets Uncle Zhen.\You're so polite Imperial Great-grandson!\- Tian Shu greets both high gods! - Jia Yun greets both high gods!\Where are you taking little A-Li?\You can't tell me?\What is there not to tell?\Mother, I'm going to visit Father at the Sea of Innocence. response:	Will you come with me?
context: A-Li greets Uncle Zhen.\You're so polite Imperial Great-grandson!\- Tian Shu greets both high gods! - Jia Yun greets both high gods!\Where are you taking little A-Li?\You can't tell me?\What is there not to tell?\Mother, I'm going to visit Father at the Sea of Innocence.\Will you come with me? response:	The Sea of Innocence?
context: You're so polite Imperial Great-grandson!\- Tian Shu greets both high gods! - Jia Yun greets both high gods!\Where are you taking little A-Li?\You can't tell me?\What is there not to tell?\Mother, I'm going to visit Father at the Sea of Innocence.\Will you come with me?\The Sea of Innocence? response:	- Greetings to Heavenly Lord. - Zhi Yue greets Heavenly Lord.
context: - Tian Shu greets both high gods! - Jia Yun greets both high gods!\Where are you taking little A-Li?\You can't tell me?\What is there not to tell?\Mother, I'm going to visit Father at the Sea of Innocence.\Will you come with me?\The Sea of Innocence?\- Greetings to Heavenly Lord. - Zhi Yue greets Heavenly Lord. response:	Get up.
context: Where are you taking little A-Li?\You can't tell me?\What is there not to tell?\Mother, I'm going to visit Father at the Sea of Innocence.\Will you come with me?\The Sea of Innocence?\- Greetings to Heavenly Lord. - Zhi Yue greets Heavenly Lord.\Get up. response:	- Thank you, Heavenly Lord! - Thank you, Heavenly Lord!
context: You can't tell me?\What is there not to tell?\Mother, I'm going to visit Father at the Sea of Innocence.\Will you come with me?\The Sea of Innocence?\- Greetings to Heavenly Lord. - Zhi Yue greets Heavenly Lord.\Get up.\- Thank you, Heavenly Lord! - Thank you, Heavenly Lord! response:	Several years ago, I wronged you unjustly.
context: What is there not to tell?\Mother, I'm going to visit Father at the Sea of Innocence.\Will you come with me?\The Sea of Innocence?\- Greetings to Heavenly Lord. - Zhi Yue greets Heavenly Lord.\Get up.\- Thank you, Heavenly Lord! - Thank you, Heavenly Lord!\Several years ago, I wronged you unjustly. response:	You ended up enduring a heavenly trial for 60 years.
