context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Asta and the other Black Bulls headed to the beach town of Raquey
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the other Black Bulls headed to the beach town of Raquey response:	in order to go to the Underwater Temple that lay deep beneath the water there.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the other Black Bulls headed to the beach town of Raquey\in order to go to the Underwater Temple that lay deep beneath the water there. response:	Asta and the other Black Bulls received an order
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the other Black Bulls headed to the beach town of Raquey\in order to go to the Underwater Temple that lay deep beneath the water there.\Asta and the other Black Bulls received an order response:	to retrieve the magic stone in the temple
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the other Black Bulls headed to the beach town of Raquey\in order to go to the Underwater Temple that lay deep beneath the water there.\Asta and the other Black Bulls received an order\to retrieve the magic stone in the temple response:	so they can stop the Eye of the Midnight Sun,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the other Black Bulls headed to the beach town of Raquey\in order to go to the Underwater Temple that lay deep beneath the water there.\Asta and the other Black Bulls received an order\to retrieve the magic stone in the temple\so they can stop the Eye of the Midnight Sun, response:	who want to separate from the Clover Kingdom and create their own country.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Asta and the other Black Bulls headed to the beach town of Raquey\in order to go to the Underwater Temple that lay deep beneath the water there.\Asta and the other Black Bulls received an order\to retrieve the magic stone in the temple\so they can stop the Eye of the Midnight Sun,\who want to separate from the Clover Kingdom and create their own country. response:	But...
context: He was called the Wizard King, and he became a legend.\Asta and the other Black Bulls headed to the beach town of Raquey\in order to go to the Underwater Temple that lay deep beneath the water there.\Asta and the other Black Bulls received an order\to retrieve the magic stone in the temple\so they can stop the Eye of the Midnight Sun,\who want to separate from the Clover Kingdom and create their own country.\But... response:	Why are you all playing around?!
context: Asta and the other Black Bulls headed to the beach town of Raquey\in order to go to the Underwater Temple that lay deep beneath the water there.\Asta and the other Black Bulls received an order\to retrieve the magic stone in the temple\so they can stop the Eye of the Midnight Sun,\who want to separate from the Clover Kingdom and create their own country.\But...\Why are you all playing around?! response:	And you're not?
