context: Any girl that goes to Altair either dies or transforms into a man. response:	And that means Mix?
context: Any girl that goes to Altair either dies or transforms into a man.\And that means Mix? response:	We found her, but it wasn't Mix anymore.
context: Any girl that goes to Altair either dies or transforms into a man.\And that means Mix?\We found her, but it wasn't Mix anymore. response:	She'd lost her memories.
context: Any girl that goes to Altair either dies or transforms into a man.\And that means Mix?\We found her, but it wasn't Mix anymore.\She'd lost her memories. response:	Are Zessica and Yunoha all right?
context: Any girl that goes to Altair either dies or transforms into a man.\And that means Mix?\We found her, but it wasn't Mix anymore.\She'd lost her memories.\Are Zessica and Yunoha all right? response:	We're all right now.
context: Any girl that goes to Altair either dies or transforms into a man.\And that means Mix?\We found her, but it wasn't Mix anymore.\She'd lost her memories.\Are Zessica and Yunoha all right?\We're all right now. response:	The checkups didn't find anything wrong.
context: Any girl that goes to Altair either dies or transforms into a man.\And that means Mix?\We found her, but it wasn't Mix anymore.\She'd lost her memories.\Are Zessica and Yunoha all right?\We're all right now.\The checkups didn't find anything wrong. response:	But if we'd been there just a little longer...
context: Any girl that goes to Altair either dies or transforms into a man.\And that means Mix?\We found her, but it wasn't Mix anymore.\She'd lost her memories.\Are Zessica and Yunoha all right?\We're all right now.\The checkups didn't find anything wrong.\But if we'd been there just a little longer... response:	Did Mikono come back yet?
context: And that means Mix?\We found her, but it wasn't Mix anymore.\She'd lost her memories.\Are Zessica and Yunoha all right?\We're all right now.\The checkups didn't find anything wrong.\But if we'd been there just a little longer...\Did Mikono come back yet? response:	No, she's still searching for High Commander Fudo.
context: We found her, but it wasn't Mix anymore.\She'd lost her memories.\Are Zessica and Yunoha all right?\We're all right now.\The checkups didn't find anything wrong.\But if we'd been there just a little longer...\Did Mikono come back yet?\No, she's still searching for High Commander Fudo. response:	How's Shrade?
context: She'd lost her memories.\Are Zessica and Yunoha all right?\We're all right now.\The checkups didn't find anything wrong.\But if we'd been there just a little longer...\Did Mikono come back yet?\No, she's still searching for High Commander Fudo.\How's Shrade? response:	He's all right for now, but they don't know if it'll take.
context: Are Zessica and Yunoha all right?\We're all right now.\The checkups didn't find anything wrong.\But if we'd been there just a little longer...\Did Mikono come back yet?\No, she's still searching for High Commander Fudo.\How's Shrade?\He's all right for now, but they don't know if it'll take. response:	So the High Commander is missing and Shrade's tapped out?
