context: TS response:	SCRIPT
context: TS\SCRIPT response:	SERN will take the time machine.
context: TS\SCRIPT\SERN will take the time machine. response:	SERN? What do you mean?
context: TS\SCRIPT\SERN will take the time machine.\SERN? What do you mean? response:	Makise Kurisu.
context: TS\SCRIPT\SERN will take the time machine.\SERN? What do you mean?\Makise Kurisu. response:	Okabe Rintarou.
context: TS\SCRIPT\SERN will take the time machine.\SERN? What do you mean?\Makise Kurisu.\Okabe Rintarou. response:	Hashida Itaru.
context: TS\SCRIPT\SERN will take the time machine.\SERN? What do you mean?\Makise Kurisu.\Okabe Rintarou.\Hashida Itaru. response:	You three are coming with me.
context: TS\SCRIPT\SERN will take the time machine.\SERN? What do you mean?\Makise Kurisu.\Okabe Rintarou.\Hashida Itaru.\You three are coming with me. response:	What about Mayuri?
context: SCRIPT\SERN will take the time machine.\SERN? What do you mean?\Makise Kurisu.\Okabe Rintarou.\Hashida Itaru.\You three are coming with me.\What about Mayuri? response:	Shiina Mayuri is...
context: SERN will take the time machine.\SERN? What do you mean?\Makise Kurisu.\Okabe Rintarou.\Hashida Itaru.\You three are coming with me.\What about Mayuri?\Shiina Mayuri is... response:	Don't.
context: SERN? What do you mean?\Makise Kurisu.\Okabe Rintarou.\Hashida Itaru.\You three are coming with me.\What about Mayuri?\Shiina Mayuri is...\Don't. response:	Don't do it.
context: Makise Kurisu.\Okabe Rintarou.\Hashida Itaru.\You three are coming with me.\What about Mayuri?\Shiina Mayuri is...\Don't.\Don't do it. response:	For FB... FB... FB...
context: Okabe Rintarou.\Hashida Itaru.\You three are coming with me.\What about Mayuri?\Shiina Mayuri is...\Don't.\Don't do it.\For FB... FB... FB... response:	Mayuri?
context: Hashida Itaru.\You three are coming with me.\What about Mayuri?\Shiina Mayuri is...\Don't.\Don't do it.\For FB... FB... FB...\Mayuri? response:	Mayuri!
context: You three are coming with me.\What about Mayuri?\Shiina Mayuri is...\Don't.\Don't do it.\For FB... FB... FB...\Mayuri?\Mayuri! response:	Mayuri?
context: What about Mayuri?\Shiina Mayuri is...\Don't.\Don't do it.\For FB... FB... FB...\Mayuri?\Mayuri!\Mayuri? response:	What the hell is this?!
context: Shiina Mayuri is...\Don't.\Don't do it.\For FB... FB... FB...\Mayuri?\Mayuri!\Mayuri?\What the hell is this?! response:	Get away from her.
