context: Sir... response:	This slave here is my recommendation.
context: Sir...\This slave here is my recommendation. response:	It's level 75.
context: Sir...\This slave here is my recommendation.\It's level 75. response:	That's close to twenty times my level.
context: Sir...\This slave here is my recommendation.\It's level 75.\That's close to twenty times my level. response:	How much for this one?
context: Sir...\This slave here is my recommendation.\It's level 75.\That's close to twenty times my level.\How much for this one? response:	Well, it is highly capable in battle.
context: Sir...\This slave here is my recommendation.\It's level 75.\That's close to twenty times my level.\How much for this one?\Well, it is highly capable in battle. response:	How does 15 gold pieces sound?
context: Sir...\This slave here is my recommendation.\It's level 75.\That's close to twenty times my level.\How much for this one?\Well, it is highly capable in battle.\How does 15 gold pieces sound? response:	Showing me your most expensive slave knowing that I can't afford it, huh?
context: Sir...\This slave here is my recommendation.\It's level 75.\That's close to twenty times my level.\How much for this one?\Well, it is highly capable in battle.\How does 15 gold pieces sound?\Showing me your most expensive slave knowing that I can't afford it, huh? response:	Indeed. You're sure to become one of my best patrons,
context: This slave here is my recommendation.\It's level 75.\That's close to twenty times my level.\How much for this one?\Well, it is highly capable in battle.\How does 15 gold pieces sound?\Showing me your most expensive slave knowing that I can't afford it, huh?\Indeed. You're sure to become one of my best patrons, response:	so I need you to develop a keen eye, you see.
context: It's level 75.\That's close to twenty times my level.\How much for this one?\Well, it is highly capable in battle.\How does 15 gold pieces sound?\Showing me your most expensive slave knowing that I can't afford it, huh?\Indeed. You're sure to become one of my best patrons,\so I need you to develop a keen eye, you see. response:	Well...
context: That's close to twenty times my level.\How much for this one?\Well, it is highly capable in battle.\How does 15 gold pieces sound?\Showing me your most expensive slave knowing that I can't afford it, huh?\Indeed. You're sure to become one of my best patrons,\so I need you to develop a keen eye, you see.\Well... response:	Now that you've seen my best,
context: How much for this one?\Well, it is highly capable in battle.\How does 15 gold pieces sound?\Showing me your most expensive slave knowing that I can't afford it, huh?\Indeed. You're sure to become one of my best patrons,\so I need you to develop a keen eye, you see.\Well...\Now that you've seen my best, response:	let me ask you: what kind of slave would you like?
context: Well, it is highly capable in battle.\How does 15 gold pieces sound?\Showing me your most expensive slave knowing that I can't afford it, huh?\Indeed. You're sure to become one of my best patrons,\so I need you to develop a keen eye, you see.\Well...\Now that you've seen my best,\let me ask you: what kind of slave would you like? response:	One that's cheap and obedient.
context: How does 15 gold pieces sound?\Showing me your most expensive slave knowing that I can't afford it, huh?\Indeed. You're sure to become one of my best patrons,\so I need you to develop a keen eye, you see.\Well...\Now that you've seen my best,\let me ask you: what kind of slave would you like?\One that's cheap and obedient. response:	In other words,
context: Showing me your most expensive slave knowing that I can't afford it, huh?\Indeed. You're sure to become one of my best patrons,\so I need you to develop a keen eye, you see.\Well...\Now that you've seen my best,\let me ask you: what kind of slave would you like?\One that's cheap and obedient.\In other words, response:	a demi-human?
context: Indeed. You're sure to become one of my best patrons,\so I need you to develop a keen eye, you see.\Well...\Now that you've seen my best,\let me ask you: what kind of slave would you like?\One that's cheap and obedient.\In other words,\a demi-human? response:	These aren't suited for combat or manual labor.
context: so I need you to develop a keen eye, you see.\Well...\Now that you've seen my best,\let me ask you: what kind of slave would you like?\One that's cheap and obedient.\In other words,\a demi-human?\These aren't suited for combat or manual labor. response:	If I need them in battle, I'll train them.
context: Well...\Now that you've seen my best,\let me ask you: what kind of slave would you like?\One that's cheap and obedient.\In other words,\a demi-human?\These aren't suited for combat or manual labor.\If I need them in battle, I'll train them. response:	That's an amusing response,
context: Now that you've seen my best,\let me ask you: what kind of slave would you like?\One that's cheap and obedient.\In other words,\a demi-human?\These aren't suited for combat or manual labor.\If I need them in battle, I'll train them.\That's an amusing response, response:	when you don't believe in people.
context: let me ask you: what kind of slave would you like?\One that's cheap and obedient.\In other words,\a demi-human?\These aren't suited for combat or manual labor.\If I need them in battle, I'll train them.\That's an amusing response,\when you don't believe in people. response:	But slaves aren't people.
context: One that's cheap and obedient.\In other words,\a demi-human?\These aren't suited for combat or manual labor.\If I need them in battle, I'll train them.\That's an amusing response,\when you don't believe in people.\But slaves aren't people. response:	Training one is no different than upgrading my shield.
context: In other words,\a demi-human?\These aren't suited for combat or manual labor.\If I need them in battle, I'll train them.\That's an amusing response,\when you don't believe in people.\But slaves aren't people.\Training one is no different than upgrading my shield. response:	Well, you've got me there.
context: a demi-human?\These aren't suited for combat or manual labor.\If I need them in battle, I'll train them.\That's an amusing response,\when you don't believe in people.\But slaves aren't people.\Training one is no different than upgrading my shield.\Well, you've got me there. response:	These are the cheapest slaves I can offer you.
context: These aren't suited for combat or manual labor.\If I need them in battle, I'll train them.\That's an amusing response,\when you don't believe in people.\But slaves aren't people.\Training one is no different than upgrading my shield.\Well, you've got me there.\These are the cheapest slaves I can offer you. response:	From the left...
context: If I need them in battle, I'll train them.\That's an amusing response,\when you don't believe in people.\But slaves aren't people.\Training one is no different than upgrading my shield.\Well, you've got me there.\These are the cheapest slaves I can offer you.\From the left... response:	Raise your head.
context: That's an amusing response,\when you don't believe in people.\But slaves aren't people.\Training one is no different than upgrading my shield.\Well, you've got me there.\These are the cheapest slaves I can offer you.\From the left...\Raise your head. response:	That half-raccoon is diseased and has a mental disorder.
context: when you don't believe in people.\But slaves aren't people.\Training one is no different than upgrading my shield.\Well, you've got me there.\These are the cheapest slaves I can offer you.\From the left...\Raise your head.\That half-raccoon is diseased and has a mental disorder. response:	I'm having a real hard time with her myself.
context: But slaves aren't people.\Training one is no different than upgrading my shield.\Well, you've got me there.\These are the cheapest slaves I can offer you.\From the left...\Raise your head.\That half-raccoon is diseased and has a mental disorder.\I'm having a real hard time with her myself. response:	Her previous owner loved his torture, you see.
context: Training one is no different than upgrading my shield.\Well, you've got me there.\These are the cheapest slaves I can offer you.\From the left...\Raise your head.\That half-raccoon is diseased and has a mental disorder.\I'm having a real hard time with her myself.\Her previous owner loved his torture, you see. response:	I doubt she'll last much longer.
context: Well, you've got me there.\These are the cheapest slaves I can offer you.\From the left...\Raise your head.\That half-raccoon is diseased and has a mental disorder.\I'm having a real hard time with her myself.\Her previous owner loved his torture, you see.\I doubt she'll last much longer. response:	I've decided.
context: These are the cheapest slaves I can offer you.\From the left...\Raise your head.\That half-raccoon is diseased and has a mental disorder.\I'm having a real hard time with her myself.\Her previous owner loved his torture, you see.\I doubt she'll last much longer.\I've decided. response:	I'll take this one.
context: From the left...\Raise your head.\That half-raccoon is diseased and has a mental disorder.\I'm having a real hard time with her myself.\Her previous owner loved his torture, you see.\I doubt she'll last much longer.\I've decided.\I'll take this one. response:	The Slave Girl
context: Raise your head.\That half-raccoon is diseased and has a mental disorder.\I'm having a real hard time with her myself.\Her previous owner loved his torture, you see.\I doubt she'll last much longer.\I've decided.\I'll take this one.\The Slave Girl response:	Let's begin.
context: That half-raccoon is diseased and has a mental disorder.\I'm having a real hard time with her myself.\Her previous owner loved his torture, you see.\I doubt she'll last much longer.\I've decided.\I'll take this one.\The Slave Girl\Let's begin. response:	Hey...
context: I'm having a real hard time with her myself.\Her previous owner loved his torture, you see.\I doubt she'll last much longer.\I've decided.\I'll take this one.\The Slave Girl\Let's begin.\Hey... response:	Worry not.
context: Her previous owner loved his torture, you see.\I doubt she'll last much longer.\I've decided.\I'll take this one.\The Slave Girl\Let's begin.\Hey...\Worry not. response:	The pain will dissipate soon.
context: I doubt she'll last much longer.\I've decided.\I'll take this one.\The Slave Girl\Let's begin.\Hey...\Worry not.\The pain will dissipate soon. response:	The slave crest on her chest makes it impossible for her to defy you.
context: I've decided.\I'll take this one.\The Slave Girl\Let's begin.\Hey...\Worry not.\The pain will dissipate soon.\The slave crest on her chest makes it impossible for her to defy you. response:	Acquired Slave A.
context: I'll take this one.\The Slave Girl\Let's begin.\Hey...\Worry not.\The pain will dissipate soon.\The slave crest on her chest makes it impossible for her to defy you.\Acquired Slave A. response:	Slave Crest
context: The Slave Girl\Let's begin.\Hey...\Worry not.\The pain will dissipate soon.\The slave crest on her chest makes it impossible for her to defy you.\Acquired Slave A.\Slave Crest response:	Monster Crest
context: Let's begin.\Hey...\Worry not.\The pain will dissipate soon.\The slave crest on her chest makes it impossible for her to defy you.\Acquired Slave A.\Slave Crest\Monster Crest response:	Summon
