context: A recently opened restaurant in a corner of Hargeon, 8island. response:	I would like a blue-sky with meat sauce, and a holly soda-poyo.
context: A recently opened restaurant in a corner of Hargeon, 8island.\I would like a blue-sky with meat sauce, and a holly soda-poyo. response:	I'd like the beast-man curry.
context: A recently opened restaurant in a corner of Hargeon, 8island.\I would like a blue-sky with meat sauce, and a holly soda-poyo.\I'd like the beast-man curry. response:	Right! Thank you for your order!
context: A recently opened restaurant in a corner of Hargeon, 8island.\I would like a blue-sky with meat sauce, and a holly soda-poyo.\I'd like the beast-man curry.\Right! Thank you for your order! response:	Smile
context: A recently opened restaurant in a corner of Hargeon, 8island.\I would like a blue-sky with meat sauce, and a holly soda-poyo.\I'd like the beast-man curry.\Right! Thank you for your order!\Smile response:	Would you like some dessert with that?
context: A recently opened restaurant in a corner of Hargeon, 8island.\I would like a blue-sky with meat sauce, and a holly soda-poyo.\I'd like the beast-man curry.\Right! Thank you for your order!\Smile\Would you like some dessert with that? response:	If it's love and dreams and you it'll become magical.
context: A recently opened restaurant in a corner of Hargeon, 8island.\I would like a blue-sky with meat sauce, and a holly soda-poyo.\I'd like the beast-man curry.\Right! Thank you for your order!\Smile\Would you like some dessert with that?\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: A recently opened restaurant in a corner of Hargeon, 8island.\I would like a blue-sky with meat sauce, and a holly soda-poyo.\I'd like the beast-man curry.\Right! Thank you for your order!\Smile\Would you like some dessert with that?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: I would like a blue-sky with meat sauce, and a holly soda-poyo.\I'd like the beast-man curry.\Right! Thank you for your order!\Smile\Would you like some dessert with that?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: I'd like the beast-man curry.\Right! Thank you for your order!\Smile\Would you like some dessert with that?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: Right! Thank you for your order!\Smile\Would you like some dessert with that?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: Smile\Would you like some dessert with that?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: Would you like some dessert with that?\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	Then I'll also take one of these ruby parfaits-poyo.
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Then I'll also take one of these ruby parfaits-poyo. response:	Same for me.
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Then I'll also take one of these ruby parfaits-poyo.\Same for me. response:	Coming right up.
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Then I'll also take one of these ruby parfaits-poyo.\Same for me.\Coming right up. response:	Please take my order, too!
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Then I'll also take one of these ruby parfaits-poyo.\Same for me.\Coming right up.\Please take my order, too! response:	Yes, coming!
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Then I'll also take one of these ruby parfaits-poyo.\Same for me.\Coming right up.\Please take my order, too!\Yes, coming! response:	Wait... What the heck am I... am I doing?
context: You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Then I'll also take one of these ruby parfaits-poyo.\Same for me.\Coming right up.\Please take my order, too!\Yes, coming!\Wait... What the heck am I... am I doing? response:	Lucy.
context: Now, let's cast a smile spell!\Then I'll also take one of these ruby parfaits-poyo.\Same for me.\Coming right up.\Please take my order, too!\Yes, coming!\Wait... What the heck am I... am I doing?\Lucy. response:	What?
context: Then I'll also take one of these ruby parfaits-poyo.\Same for me.\Coming right up.\Please take my order, too!\Yes, coming!\Wait... What the heck am I... am I doing?\Lucy.\What? response:	This is part of the job, you know.
context: Same for me.\Coming right up.\Please take my order, too!\Yes, coming!\Wait... What the heck am I... am I doing?\Lucy.\What?\This is part of the job, you know. response:	I don't see how this is a job for wizards at all!
context: Coming right up.\Please take my order, too!\Yes, coming!\Wait... What the heck am I... am I doing?\Lucy.\What?\This is part of the job, you know.\I don't see how this is a job for wizards at all! response:	And what's with this embarrassing getup?
context: Please take my order, too!\Yes, coming!\Wait... What the heck am I... am I doing?\Lucy.\What?\This is part of the job, you know.\I don't see how this is a job for wizards at all!\And what's with this embarrassing getup? response:	How should I know?
context: Yes, coming!\Wait... What the heck am I... am I doing?\Lucy.\What?\This is part of the job, you know.\I don't see how this is a job for wizards at all!\And what's with this embarrassing getup?\How should I know? response:	Well, I do look pretty damn good in it, actually.
context: Wait... What the heck am I... am I doing?\Lucy.\What?\This is part of the job, you know.\I don't see how this is a job for wizards at all!\And what's with this embarrassing getup?\How should I know?\Well, I do look pretty damn good in it, actually. response:	Right, whatever.
context: Lucy.\What?\This is part of the job, you know.\I don't see how this is a job for wizards at all!\And what's with this embarrassing getup?\How should I know?\Well, I do look pretty damn good in it, actually.\Right, whatever. response:	The chef at this restaurant uses magic to cook.
context: What?\This is part of the job, you know.\I don't see how this is a job for wizards at all!\And what's with this embarrassing getup?\How should I know?\Well, I do look pretty damn good in it, actually.\Right, whatever.\The chef at this restaurant uses magic to cook. response:	That's why he wanted his waiters and waitresses to be magic users as well.
context: This is part of the job, you know.\I don't see how this is a job for wizards at all!\And what's with this embarrassing getup?\How should I know?\Well, I do look pretty damn good in it, actually.\Right, whatever.\The chef at this restaurant uses magic to cook.\That's why he wanted his waiters and waitresses to be magic users as well. response:	Yup.
context: I don't see how this is a job for wizards at all!\And what's with this embarrassing getup?\How should I know?\Well, I do look pretty damn good in it, actually.\Right, whatever.\The chef at this restaurant uses magic to cook.\That's why he wanted his waiters and waitresses to be magic users as well.\Yup. response:	We're helping out too, you know.
context: And what's with this embarrassing getup?\How should I know?\Well, I do look pretty damn good in it, actually.\Right, whatever.\The chef at this restaurant uses magic to cook.\That's why he wanted his waiters and waitresses to be magic users as well.\Yup.\We're helping out too, you know. response:	Don't eat the customers' food!
context: How should I know?\Well, I do look pretty damn good in it, actually.\Right, whatever.\The chef at this restaurant uses magic to cook.\That's why he wanted his waiters and waitresses to be magic users as well.\Yup.\We're helping out too, you know.\Don't eat the customers' food! response:	And don't throw the serving tray!
context: Well, I do look pretty damn good in it, actually.\Right, whatever.\The chef at this restaurant uses magic to cook.\That's why he wanted his waiters and waitresses to be magic users as well.\Yup.\We're helping out too, you know.\Don't eat the customers' food!\And don't throw the serving tray! response:	Sometimes dressing up like a waiter is pretty nice.
context: Right, whatever.\The chef at this restaurant uses magic to cook.\That's why he wanted his waiters and waitresses to be magic users as well.\Yup.\We're helping out too, you know.\Don't eat the customers' food!\And don't throw the serving tray!\Sometimes dressing up like a waiter is pretty nice. response:	Try saying that after you put on the outfit!
context: The chef at this restaurant uses magic to cook.\That's why he wanted his waiters and waitresses to be magic users as well.\Yup.\We're helping out too, you know.\Don't eat the customers' food!\And don't throw the serving tray!\Sometimes dressing up like a waiter is pretty nice.\Try saying that after you put on the outfit! response:	Come on now... Whose rent are we doing this for again?
context: That's why he wanted his waiters and waitresses to be magic users as well.\Yup.\We're helping out too, you know.\Don't eat the customers' food!\And don't throw the serving tray!\Sometimes dressing up like a waiter is pretty nice.\Try saying that after you put on the outfit!\Come on now... Whose rent are we doing this for again? response:	Sorry...
context: Yup.\We're helping out too, you know.\Don't eat the customers' food!\And don't throw the serving tray!\Sometimes dressing up like a waiter is pretty nice.\Try saying that after you put on the outfit!\Come on now... Whose rent are we doing this for again?\Sorry... response:	And besides... Look.
context: We're helping out too, you know.\Don't eat the customers' food!\And don't throw the serving tray!\Sometimes dressing up like a waiter is pretty nice.\Try saying that after you put on the outfit!\Come on now... Whose rent are we doing this for again?\Sorry...\And besides... Look. response:	Let's hear your order.
context: Don't eat the customers' food!\And don't throw the serving tray!\Sometimes dressing up like a waiter is pretty nice.\Try saying that after you put on the outfit!\Come on now... Whose rent are we doing this for again?\Sorry...\And besides... Look.\Let's hear your order. response:	What is it you desire?
context: And don't throw the serving tray!\Sometimes dressing up like a waiter is pretty nice.\Try saying that after you put on the outfit!\Come on now... Whose rent are we doing this for again?\Sorry...\And besides... Look.\Let's hear your order.\What is it you desire? response:	Come... Tell me...
context: Sometimes dressing up like a waiter is pretty nice.\Try saying that after you put on the outfit!\Come on now... Whose rent are we doing this for again?\Sorry...\And besides... Look.\Let's hear your order.\What is it you desire?\Come... Tell me... response:	Uh...
context: Try saying that after you put on the outfit!\Come on now... Whose rent are we doing this for again?\Sorry...\And besides... Look.\Let's hear your order.\What is it you desire?\Come... Tell me...\Uh... response:	I-I want!
context: Come on now... Whose rent are we doing this for again?\Sorry...\And besides... Look.\Let's hear your order.\What is it you desire?\Come... Tell me...\Uh...\I-I want! response:	Yes!
context: Sorry...\And besides... Look.\Let's hear your order.\What is it you desire?\Come... Tell me...\Uh...\I-I want!\Yes! response:	Please give us one of everything!
context: And besides... Look.\Let's hear your order.\What is it you desire?\Come... Tell me...\Uh...\I-I want!\Yes!\Please give us one of everything! response:	Oh? That will be a great help.
context: Let's hear your order.\What is it you desire?\Come... Tell me...\Uh...\I-I want!\Yes!\Please give us one of everything!\Oh? That will be a great help. response:	I must give you my thanks.
context: What is it you desire?\Come... Tell me...\Uh...\I-I want!\Yes!\Please give us one of everything!\Oh? That will be a great help.\I must give you my thanks. response:	Glad to be of service!
context: Come... Tell me...\Uh...\I-I want!\Yes!\Please give us one of everything!\Oh? That will be a great help.\I must give you my thanks.\Glad to be of service! response:	We got someone really into it...
context: Uh...\I-I want!\Yes!\Please give us one of everything!\Oh? That will be a great help.\I must give you my thanks.\Glad to be of service!\We got someone really into it... response:	I'll work hard too...
context: I-I want!\Yes!\Please give us one of everything!\Oh? That will be a great help.\I must give you my thanks.\Glad to be of service!\We got someone really into it...\I'll work hard too... response:	This is yet another battle to be won!
context: Yes!\Please give us one of everything!\Oh? That will be a great help.\I must give you my thanks.\Glad to be of service!\We got someone really into it...\I'll work hard too...\This is yet another battle to be won! response:	Allied Forces, Gather Up!
context: Please give us one of everything!\Oh? That will be a great help.\I must give you my thanks.\Glad to be of service!\We got someone really into it...\I'll work hard too...\This is yet another battle to be won!\Allied Forces, Gather Up! response:	Well then... Good work, everyone.
context: Oh? That will be a great help.\I must give you my thanks.\Glad to be of service!\We got someone really into it...\I'll work hard too...\This is yet another battle to be won!\Allied Forces, Gather Up!\Well then... Good work, everyone. response:	Kids these days sure do work hard...
context: I must give you my thanks.\Glad to be of service!\We got someone really into it...\I'll work hard too...\This is yet another battle to be won!\Allied Forces, Gather Up!\Well then... Good work, everyone.\Kids these days sure do work hard... response:	Come back any time.
context: Glad to be of service!\We got someone really into it...\I'll work hard too...\This is yet another battle to be won!\Allied Forces, Gather Up!\Well then... Good work, everyone.\Kids these days sure do work hard...\Come back any time. response:	Yes. I learned a lot today.
context: We got someone really into it...\I'll work hard too...\This is yet another battle to be won!\Allied Forces, Gather Up!\Well then... Good work, everyone.\Kids these days sure do work hard...\Come back any time.\Yes. I learned a lot today. response:	She's into the outfit...
context: I'll work hard too...\This is yet another battle to be won!\Allied Forces, Gather Up!\Well then... Good work, everyone.\Kids these days sure do work hard...\Come back any time.\Yes. I learned a lot today.\She's into the outfit... response:	I think I understand better how Mira-chan must feel...
context: This is yet another battle to be won!\Allied Forces, Gather Up!\Well then... Good work, everyone.\Kids these days sure do work hard...\Come back any time.\Yes. I learned a lot today.\She's into the outfit...\I think I understand better how Mira-chan must feel... response:	Man, what a feast!
context: Allied Forces, Gather Up!\Well then... Good work, everyone.\Kids these days sure do work hard...\Come back any time.\Yes. I learned a lot today.\She's into the outfit...\I think I understand better how Mira-chan must feel...\Man, what a feast! response:	You ate too much of the store's food!
context: Well then... Good work, everyone.\Kids these days sure do work hard...\Come back any time.\Yes. I learned a lot today.\She's into the outfit...\I think I understand better how Mira-chan must feel...\Man, what a feast!\You ate too much of the store's food! response:	What's the big deal about it?
context: Kids these days sure do work hard...\Come back any time.\Yes. I learned a lot today.\She's into the outfit...\I think I understand better how Mira-chan must feel...\Man, what a feast!\You ate too much of the store's food!\What's the big deal about it? response:	What's with your attitude?
context: Come back any time.\Yes. I learned a lot today.\She's into the outfit...\I think I understand better how Mira-chan must feel...\Man, what a feast!\You ate too much of the store's food!\What's the big deal about it?\What's with your attitude? response:	By the way, Yajima-san... What has happened with the Council?
