context: Good morning. response:	The karuta club is looking for more members!
context: Good morning.\The karuta club is looking for more members! response:	Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!
context: Good morning.\The karuta club is looking for more members!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!! response:	Let's play competitive karuta together!
context: Good morning.\The karuta club is looking for more members!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Let's play competitive karuta together! response:	Good morning. We're the karuta club.
context: Good morning.\The karuta club is looking for more members!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Let's play competitive karuta together!\Good morning. We're the karuta club. response:	Would you like to join the karuta club?
context: Good morning.\The karuta club is looking for more members!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Let's play competitive karuta together!\Good morning. We're the karuta club.\Would you like to join the karuta club? response:	Please hear us out.
context: Good morning.\The karuta club is looking for more members!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Let's play competitive karuta together!\Good morning. We're the karuta club.\Would you like to join the karuta club?\Please hear us out. response:	We're the karuta club.
context: Good morning.\The karuta club is looking for more members!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Let's play competitive karuta together!\Good morning. We're the karuta club.\Would you like to join the karuta club?\Please hear us out.\We're the karuta club. response:	Please give us a try.
context: The karuta club is looking for more members!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Let's play competitive karuta together!\Good morning. We're the karuta club.\Would you like to join the karuta club?\Please hear us out.\We're the karuta club.\Please give us a try. response:	Oh, that person...
context: Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Let's play competitive karuta together!\Good morning. We're the karuta club.\Would you like to join the karuta club?\Please hear us out.\We're the karuta club.\Please give us a try.\Oh, that person... response:	would look wonderful in a hakama!
context: Let's play competitive karuta together!\Good morning. We're the karuta club.\Would you like to join the karuta club?\Please hear us out.\We're the karuta club.\Please give us a try.\Oh, that person...\would look wonderful in a hakama! response:	Really?
context: Good morning. We're the karuta club.\Would you like to join the karuta club?\Please hear us out.\We're the karuta club.\Please give us a try.\Oh, that person...\would look wonderful in a hakama!\Really? response:	Hold on!
context: Would you like to join the karuta club?\Please hear us out.\We're the karuta club.\Please give us a try.\Oh, that person...\would look wonderful in a hakama!\Really?\Hold on! response:	Um, would you like to play karuta with us?
