context: That reporter from the Weekly Sorcerer was pretty amazing. response:	He completely ignored you, Lucy.
context: That reporter from the Weekly Sorcerer was pretty amazing.\He completely ignored you, Lucy. response:	Don't laugh!
context: That reporter from the Weekly Sorcerer was pretty amazing.\He completely ignored you, Lucy.\Don't laugh! response:	But the guild has finally calmed down.
context: That reporter from the Weekly Sorcerer was pretty amazing.\He completely ignored you, Lucy.\Don't laugh!\But the guild has finally calmed down. response:	You think?
context: That reporter from the Weekly Sorcerer was pretty amazing.\He completely ignored you, Lucy.\Don't laugh!\But the guild has finally calmed down.\You think? response:	Seems the same way to me.
context: That reporter from the Weekly Sorcerer was pretty amazing.\He completely ignored you, Lucy.\Don't laugh!\But the guild has finally calmed down.\You think?\Seems the same way to me. response:	And Lucy ain't got a boyfriend as usual, too.
context: That reporter from the Weekly Sorcerer was pretty amazing.\He completely ignored you, Lucy.\Don't laugh!\But the guild has finally calmed down.\You think?\Seems the same way to me.\And Lucy ain't got a boyfriend as usual, too. response:	Why are you talking about that again?!
context: That reporter from the Weekly Sorcerer was pretty amazing.\He completely ignored you, Lucy.\Don't laugh!\But the guild has finally calmed down.\You think?\Seems the same way to me.\And Lucy ain't got a boyfriend as usual, too.\Why are you talking about that again?! response:	Today, as happens only occasionally, it is raining in Magnolia.
context: He completely ignored you, Lucy.\Don't laugh!\But the guild has finally calmed down.\You think?\Seems the same way to me.\And Lucy ain't got a boyfriend as usual, too.\Why are you talking about that again?!\Today, as happens only occasionally, it is raining in Magnolia. response:	And in a certain out of the way corner of the city,
context: Don't laugh!\But the guild has finally calmed down.\You think?\Seems the same way to me.\And Lucy ain't got a boyfriend as usual, too.\Why are you talking about that again?!\Today, as happens only occasionally, it is raining in Magnolia.\And in a certain out of the way corner of the city, response:	there is a suspicious-looking magic shop.
context: But the guild has finally calmed down.\You think?\Seems the same way to me.\And Lucy ain't got a boyfriend as usual, too.\Why are you talking about that again?!\Today, as happens only occasionally, it is raining in Magnolia.\And in a certain out of the way corner of the city,\there is a suspicious-looking magic shop. response:	Drip, drip, drop...
context: You think?\Seems the same way to me.\And Lucy ain't got a boyfriend as usual, too.\Why are you talking about that again?!\Today, as happens only occasionally, it is raining in Magnolia.\And in a certain out of the way corner of the city,\there is a suspicious-looking magic shop.\Drip, drip, drop... response:	So you want to get him to notice you, eh?
context: Seems the same way to me.\And Lucy ain't got a boyfriend as usual, too.\Why are you talking about that again?!\Today, as happens only occasionally, it is raining in Magnolia.\And in a certain out of the way corner of the city,\there is a suspicious-looking magic shop.\Drip, drip, drop...\So you want to get him to notice you, eh? response:	Well, I have the perfect thing for that.
context: And Lucy ain't got a boyfriend as usual, too.\Why are you talking about that again?!\Today, as happens only occasionally, it is raining in Magnolia.\And in a certain out of the way corner of the city,\there is a suspicious-looking magic shop.\Drip, drip, drop...\So you want to get him to notice you, eh?\Well, I have the perfect thing for that. response:	All Juvia wants is for him to gaze in her direction.
context: Why are you talking about that again?!\Today, as happens only occasionally, it is raining in Magnolia.\And in a certain out of the way corner of the city,\there is a suspicious-looking magic shop.\Drip, drip, drop...\So you want to get him to notice you, eh?\Well, I have the perfect thing for that.\All Juvia wants is for him to gaze in her direction. response:	Drip, drip, drop.
context: Today, as happens only occasionally, it is raining in Magnolia.\And in a certain out of the way corner of the city,\there is a suspicious-looking magic shop.\Drip, drip, drop...\So you want to get him to notice you, eh?\Well, I have the perfect thing for that.\All Juvia wants is for him to gaze in her direction.\Drip, drip, drop. response:	Well, it's not beyond the ability of my potions.
context: And in a certain out of the way corner of the city,\there is a suspicious-looking magic shop.\Drip, drip, drop...\So you want to get him to notice you, eh?\Well, I have the perfect thing for that.\All Juvia wants is for him to gaze in her direction.\Drip, drip, drop.\Well, it's not beyond the ability of my potions. response:	Here. Try using this.
context: there is a suspicious-looking magic shop.\Drip, drip, drop...\So you want to get him to notice you, eh?\Well, I have the perfect thing for that.\All Juvia wants is for him to gaze in her direction.\Drip, drip, drop.\Well, it's not beyond the ability of my potions.\Here. Try using this. response:	And this is?
context: Drip, drip, drop...\So you want to get him to notice you, eh?\Well, I have the perfect thing for that.\All Juvia wants is for him to gaze in her direction.\Drip, drip, drop.\Well, it's not beyond the ability of my potions.\Here. Try using this.\And this is? response:	It's a potion that will get him to gaze at you passionately.
context: So you want to get him to notice you, eh?\Well, I have the perfect thing for that.\All Juvia wants is for him to gaze in her direction.\Drip, drip, drop.\Well, it's not beyond the ability of my potions.\Here. Try using this.\And this is?\It's a potion that will get him to gaze at you passionately. response:	60,000 jewel.
