context: I thought you'd be back before us. response:	What are you doing?
context: I thought you'd be back before us.\What are you doing? response:	Throwing an after-party.
context: I thought you'd be back before us.\What are you doing?\Throwing an after-party. response:	Not a review session?
context: I thought you'd be back before us.\What are you doing?\Throwing an after-party.\Not a review session? response:	Yeah, you could call it that.
context: I thought you'd be back before us.\What are you doing?\Throwing an after-party.\Not a review session?\Yeah, you could call it that. response:	Go get changed.
context: I thought you'd be back before us.\What are you doing?\Throwing an after-party.\Not a review session?\Yeah, you could call it that.\Go get changed. response:	All that talk about sportsmanship...
context: I thought you'd be back before us.\What are you doing?\Throwing an after-party.\Not a review session?\Yeah, you could call it that.\Go get changed.\All that talk about sportsmanship... response:	In the end, they just play dirty.
context: I thought you'd be back before us.\What are you doing?\Throwing an after-party.\Not a review session?\Yeah, you could call it that.\Go get changed.\All that talk about sportsmanship...\In the end, they just play dirty. response:	I know. I understand how you feel.
context: What are you doing?\Throwing an after-party.\Not a review session?\Yeah, you could call it that.\Go get changed.\All that talk about sportsmanship...\In the end, they just play dirty.\I know. I understand how you feel. response:	Someone elbowed me as soon as we started.
context: Throwing an after-party.\Not a review session?\Yeah, you could call it that.\Go get changed.\All that talk about sportsmanship...\In the end, they just play dirty.\I know. I understand how you feel.\Someone elbowed me as soon as we started. response:	Someone pushed my back.
context: Not a review session?\Yeah, you could call it that.\Go get changed.\All that talk about sportsmanship...\In the end, they just play dirty.\I know. I understand how you feel.\Someone elbowed me as soon as we started.\Someone pushed my back. response:	It made me lose all desire to run.
context: Yeah, you could call it that.\Go get changed.\All that talk about sportsmanship...\In the end, they just play dirty.\I know. I understand how you feel.\Someone elbowed me as soon as we started.\Someone pushed my back.\It made me lose all desire to run. response:	Everyone's desperate to secure a good position.
context: Go get changed.\All that talk about sportsmanship...\In the end, they just play dirty.\I know. I understand how you feel.\Someone elbowed me as soon as we started.\Someone pushed my back.\It made me lose all desire to run.\Everyone's desperate to secure a good position. response:	If it's a race for the best time,
context: All that talk about sportsmanship...\In the end, they just play dirty.\I know. I understand how you feel.\Someone elbowed me as soon as we started.\Someone pushed my back.\It made me lose all desire to run.\Everyone's desperate to secure a good position.\If it's a race for the best time, response:	we should run one at a time and then compare results.
context: In the end, they just play dirty.\I know. I understand how you feel.\Someone elbowed me as soon as we started.\Someone pushed my back.\It made me lose all desire to run.\Everyone's desperate to secure a good position.\If it's a race for the best time,\we should run one at a time and then compare results. response:	They can't do that.
context: I know. I understand how you feel.\Someone elbowed me as soon as we started.\Someone pushed my back.\It made me lose all desire to run.\Everyone's desperate to secure a good position.\If it's a race for the best time,\we should run one at a time and then compare results.\They can't do that. response:	Kakeru, you don't get it, do you?
context: Someone elbowed me as soon as we started.\Someone pushed my back.\It made me lose all desire to run.\Everyone's desperate to secure a good position.\If it's a race for the best time,\we should run one at a time and then compare results.\They can't do that.\Kakeru, you don't get it, do you? response:	Huh?
context: Someone pushed my back.\It made me lose all desire to run.\Everyone's desperate to secure a good position.\If it's a race for the best time,\we should run one at a time and then compare results.\They can't do that.\Kakeru, you don't get it, do you?\Huh? response:	These complaints.
context: It made me lose all desire to run.\Everyone's desperate to secure a good position.\If it's a race for the best time,\we should run one at a time and then compare results.\They can't do that.\Kakeru, you don't get it, do you?\Huh?\These complaints. response:	There was no one running near you.
