context: Wait! Please just listen to me for now. response:	Not on your life!
context: Wait! Please just listen to me for now.\Not on your life! response:	Ku-chan!
context: Wait! Please just listen to me for now.\Not on your life!\Ku-chan! response:	No! Don't bully my big brother!
context: Wait! Please just listen to me for now.\Not on your life!\Ku-chan!\No! Don't bully my big brother! response:	Wait, Ku-chan!
context: Wait! Please just listen to me for now.\Not on your life!\Ku-chan!\No! Don't bully my big brother!\Wait, Ku-chan! response:	I must make her our companion at any cost.
context: Wait! Please just listen to me for now.\Not on your life!\Ku-chan!\No! Don't bully my big brother!\Wait, Ku-chan!\I must make her our companion at any cost. response:	That's why...
context: Wait! Please just listen to me for now.\Not on your life!\Ku-chan!\No! Don't bully my big brother!\Wait, Ku-chan!\I must make her our companion at any cost.\That's why... response:	That's why I must do it.
context: Wait! Please just listen to me for now.\Not on your life!\Ku-chan!\No! Don't bully my big brother!\Wait, Ku-chan!\I must make her our companion at any cost.\That's why...\That's why I must do it. response:	What is this little girl?
context: Not on your life!\Ku-chan!\No! Don't bully my big brother!\Wait, Ku-chan!\I must make her our companion at any cost.\That's why...\That's why I must do it.\What is this little girl? response:	No, it can't be...
context: Ku-chan!\No! Don't bully my big brother!\Wait, Ku-chan!\I must make her our companion at any cost.\That's why...\That's why I must do it.\What is this little girl?\No, it can't be... response:	You got your claws into such a little child?!
context: No! Don't bully my big brother!\Wait, Ku-chan!\I must make her our companion at any cost.\That's why...\That's why I must do it.\What is this little girl?\No, it can't be...\You got your claws into such a little child?! response:	Claws?!
context: Wait, Ku-chan!\I must make her our companion at any cost.\That's why...\That's why I must do it.\What is this little girl?\No, it can't be...\You got your claws into such a little child?!\Claws?! response:	Filthy! Thou art a filthy man!
context: I must make her our companion at any cost.\That's why...\That's why I must do it.\What is this little girl?\No, it can't be...\You got your claws into such a little child?!\Claws?!\Filthy! Thou art a filthy man! response:	Water Celebration!
context: That's why...\That's why I must do it.\What is this little girl?\No, it can't be...\You got your claws into such a little child?!\Claws?!\Filthy! Thou art a filthy man!\Water Celebration! response:	Ima inochi ga hora kizashite chitte yuku
context: That's why I must do it.\What is this little girl?\No, it can't be...\You got your claws into such a little child?!\Claws?!\Filthy! Thou art a filthy man!\Water Celebration!\Ima inochi ga hora kizashite chitte yuku response:	Nigirishimeta unmei
context: What is this little girl?\No, it can't be...\You got your claws into such a little child?!\Claws?!\Filthy! Thou art a filthy man!\Water Celebration!\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei response:	Mou mayou koto wa nai
context: No, it can't be...\You got your claws into such a little child?!\Claws?!\Filthy! Thou art a filthy man!\Water Celebration!\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai response:	Musubiau kizuna
context: You got your claws into such a little child?!\Claws?!\Filthy! Thou art a filthy man!\Water Celebration!\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna response:	Akatsuki matsu sora ni
context: Claws?!\Filthy! Thou art a filthy man!\Water Celebration!\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni response:	Aishi kimi dakishimete
context: Filthy! Thou art a filthy man!\Water Celebration!\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete response:	Orenai inori wo
context: Water Celebration!\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo response:	Mada dare mo yoru no naka
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka response:	Ima wa tada
context: Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada response:	Kokoro no oku ni sawatte
context: Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte response:	Afureru atsusa subete sasagetai
context: Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai response:	Yume miru ashita e
context: Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e response:	Hirogeru tsubasa wa
context: Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa response:	Ano hi no kimi ga kureta
context: Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta response:	Omoi wa kizamareta
context: Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta response:	Chikai no kotoba ga
context: Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga response:	Kiseki wo okosu yo
context: Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo response:	Takanaru mune habatake
context: Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake response:	Tobitateru negai haruka tataku
context: Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku response:	Feather 6: Maison Izumo Flower War
context: Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 6: Maison Izumo Flower War response:	I didn't use even one-hundredth of my power for the last attack.
context: Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 6: Maison Izumo Flower War\I didn't use even one-hundredth of my power for the last attack. response:	What does such a weak monkey want to say to me?
context: Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 6: Maison Izumo Flower War\I didn't use even one-hundredth of my power for the last attack.\What does such a weak monkey want to say to me? response:	I want you to be my... my Sekirei.
context: Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 6: Maison Izumo Flower War\I didn't use even one-hundredth of my power for the last attack.\What does such a weak monkey want to say to me?\I want you to be my... my Sekirei. response:	W-What?
context: Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 6: Maison Izumo Flower War\I didn't use even one-hundredth of my power for the last attack.\What does such a weak monkey want to say to me?\I want you to be my... my Sekirei.\W-What? response:	Didst thou just tell me to be thy Sekirei?
context: Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 6: Maison Izumo Flower War\I didn't use even one-hundredth of my power for the last attack.\What does such a weak monkey want to say to me?\I want you to be my... my Sekirei.\W-What?\Didst thou just tell me to be thy Sekirei? response:	That's right! L... we need your power.
context: Tobitateru negai haruka tataku\Feather 6: Maison Izumo Flower War\I didn't use even one-hundredth of my power for the last attack.\What does such a weak monkey want to say to me?\I want you to be my... my Sekirei.\W-What?\Didst thou just tell me to be thy Sekirei?\That's right! L... we need your power. response:	How couldst thou be so shameless in public?!
context: Feather 6: Maison Izumo Flower War\I didn't use even one-hundredth of my power for the last attack.\What does such a weak monkey want to say to me?\I want you to be my... my Sekirei.\W-What?\Didst thou just tell me to be thy Sekirei?\That's right! L... we need your power.\How couldst thou be so shameless in public?! response:	Shameless?
context: I didn't use even one-hundredth of my power for the last attack.\What does such a weak monkey want to say to me?\I want you to be my... my Sekirei.\W-What?\Didst thou just tell me to be thy Sekirei?\That's right! L... we need your power.\How couldst thou be so shameless in public?!\Shameless? response:	I thought to spare thy life but...
context: What does such a weak monkey want to say to me?\I want you to be my... my Sekirei.\W-What?\Didst thou just tell me to be thy Sekirei?\That's right! L... we need your power.\How couldst thou be so shameless in public?!\Shameless?\I thought to spare thy life but... response:	I shall obliterate thee after all!
context: I want you to be my... my Sekirei.\W-What?\Didst thou just tell me to be thy Sekirei?\That's right! L... we need your power.\How couldst thou be so shameless in public?!\Shameless?\I thought to spare thy life but...\I shall obliterate thee after all! response:	That's bad! She's dead serious!
context: W-What?\Didst thou just tell me to be thy Sekirei?\That's right! L... we need your power.\How couldst thou be so shameless in public?!\Shameless?\I thought to spare thy life but...\I shall obliterate thee after all!\That's bad! She's dead serious! response:	Big brother!
context: Didst thou just tell me to be thy Sekirei?\That's right! L... we need your power.\How couldst thou be so shameless in public?!\Shameless?\I thought to spare thy life but...\I shall obliterate thee after all!\That's bad! She's dead serious!\Big brother! response:	I was so angry, I missed my aim.
context: That's right! L... we need your power.\How couldst thou be so shameless in public?!\Shameless?\I thought to spare thy life but...\I shall obliterate thee after all!\That's bad! She's dead serious!\Big brother!\I was so angry, I missed my aim. response:	I'll eliminate thee next time!
context: How couldst thou be so shameless in public?!\Shameless?\I thought to spare thy life but...\I shall obliterate thee after all!\That's bad! She's dead serious!\Big brother!\I was so angry, I missed my aim.\I'll eliminate thee next time! response:	Even so, I can't move until you listen to me!
context: Shameless?\I thought to spare thy life but...\I shall obliterate thee after all!\That's bad! She's dead serious!\Big brother!\I was so angry, I missed my aim.\I'll eliminate thee next time!\Even so, I can't move until you listen to me! response:	Why? Why does my chest feel like this?
