context: To think the Guild would send me a challenge request. response:	To think the Guild would send me a challenge request.
context: To think the Guild would send me a challenge request.\To think the Guild would send me a challenge request. response:	This'll stave off my boredom a little.
context: To think the Guild would send me a challenge request.\To think the Guild would send me a challenge request.\This'll stave off my boredom a little. response:	To Edogawa Rampo
context: To think the Guild would send me a challenge request.\To think the Guild would send me a challenge request.\This'll stave off my boredom a little.\To Edogawa Rampo response:	Invitation for a Detective Game
context: To think the Guild would send me a challenge request.\To think the Guild would send me a challenge request.\This'll stave off my boredom a little.\To Edogawa Rampo\Invitation for a Detective Game response:	Though I suspect it's a trap.
context: To think the Guild would send me a challenge request.\To think the Guild would send me a challenge request.\This'll stave off my boredom a little.\To Edogawa Rampo\Invitation for a Detective Game\Though I suspect it's a trap. response:	Fill in A and B so that both hold true, and enter the room.
context: To think the Guild would send me a challenge request.\To think the Guild would send me a challenge request.\This'll stave off my boredom a little.\To Edogawa Rampo\Invitation for a Detective Game\Though I suspect it's a trap.\Fill in A and B so that both hold true, and enter the room. response:	I guess he wants you to fill in the blanks.
context: To think the Guild would send me a challenge request.\To think the Guild would send me a challenge request.\This'll stave off my boredom a little.\To Edogawa Rampo\Invitation for a Detective Game\Though I suspect it's a trap.\Fill in A and B so that both hold true, and enter the room.\I guess he wants you to fill in the blanks. response:	Not that I have any idea.
context: To think the Guild would send me a challenge request.\This'll stave off my boredom a little.\To Edogawa Rampo\Invitation for a Detective Game\Though I suspect it's a trap.\Fill in A and B so that both hold true, and enter the room.\I guess he wants you to fill in the blanks.\Not that I have any idea. response:	Yosano-san, do you have a pen?
context: This'll stave off my boredom a little.\To Edogawa Rampo\Invitation for a Detective Game\Though I suspect it's a trap.\Fill in A and B so that both hold true, and enter the room.\I guess he wants you to fill in the blanks.\Not that I have any idea.\Yosano-san, do you have a pen? response:	Are you the mastermind who thought to challenge me?
context: To Edogawa Rampo\Invitation for a Detective Game\Though I suspect it's a trap.\Fill in A and B so that both hold true, and enter the room.\I guess he wants you to fill in the blanks.\Not that I have any idea.\Yosano-san, do you have a pen?\Are you the mastermind who thought to challenge me? response:	Chief Architect of the Guild E. A. Poe
context: Invitation for a Detective Game\Though I suspect it's a trap.\Fill in A and B so that both hold true, and enter the room.\I guess he wants you to fill in the blanks.\Not that I have any idea.\Yosano-san, do you have a pen?\Are you the mastermind who thought to challenge me?\Chief Architect of the Guild E. A. Poe response:	Ability: Black Cat in the Rue Morgue
context: Though I suspect it's a trap.\Fill in A and B so that both hold true, and enter the room.\I guess he wants you to fill in the blanks.\Not that I have any idea.\Yosano-san, do you have a pen?\Are you the mastermind who thought to challenge me?\Chief Architect of the Guild E. A. Poe\Ability: Black Cat in the Rue Morgue response:	It's been a long time, Rampo-kun.
context: Fill in A and B so that both hold true, and enter the room.\I guess he wants you to fill in the blanks.\Not that I have any idea.\Yosano-san, do you have a pen?\Are you the mastermind who thought to challenge me?\Chief Architect of the Guild E. A. Poe\Ability: Black Cat in the Rue Morgue\It's been a long time, Rampo-kun. response:	Were you been able to solve the riddle at the entrance?
context: I guess he wants you to fill in the blanks.\Not that I have any idea.\Yosano-san, do you have a pen?\Are you the mastermind who thought to challenge me?\Chief Architect of the Guild E. A. Poe\Ability: Black Cat in the Rue Morgue\It's been a long time, Rampo-kun.\Were you been able to solve the riddle at the entrance? response:	This sentence is five words. This sentence is not five words.
context: Not that I have any idea.\Yosano-san, do you have a pen?\Are you the mastermind who thought to challenge me?\Chief Architect of the Guild E. A. Poe\Ability: Black Cat in the Rue Morgue\It's been a long time, Rampo-kun.\Were you been able to solve the riddle at the entrance?\This sentence is five words. This sentence is not five words. response:	I'd expect no less from my worthy opponent, Rampo-kun.
context: Yosano-san, do you have a pen?\Are you the mastermind who thought to challenge me?\Chief Architect of the Guild E. A. Poe\Ability: Black Cat in the Rue Morgue\It's been a long time, Rampo-kun.\Were you been able to solve the riddle at the entrance?\This sentence is five words. This sentence is not five words.\I'd expect no less from my worthy opponent, Rampo-kun. response:	Now, it's my turn to ask a question.
