context: Hold it, Kagome! response:	You're on clean-up duty, too!
context: Hold it, Kagome!\You're on clean-up duty, too! response:	I have to meet someone! Sorry, please overlook it this time!
context: Hold it, Kagome!\You're on clean-up duty, too!\I have to meet someone! Sorry, please overlook it this time! response:	Someone? As in, boy?
context: Hold it, Kagome!\You're on clean-up duty, too!\I have to meet someone! Sorry, please overlook it this time!\Someone? As in, boy? response:	Oh dear...
context: Hold it, Kagome!\You're on clean-up duty, too!\I have to meet someone! Sorry, please overlook it this time!\Someone? As in, boy?\Oh dear... response:	I already told you, there's no one like that!
context: Hold it, Kagome!\You're on clean-up duty, too!\I have to meet someone! Sorry, please overlook it this time!\Someone? As in, boy?\Oh dear...\I already told you, there's no one like that! response:	I'll make it up to you!
context: Hold it, Kagome!\You're on clean-up duty, too!\I have to meet someone! Sorry, please overlook it this time!\Someone? As in, boy?\Oh dear...\I already told you, there's no one like that!\I'll make it up to you! response:	It's good for your health. Step on it.
context: Hold it, Kagome!\You're on clean-up duty, too!\I have to meet someone! Sorry, please overlook it this time!\Someone? As in, boy?\Oh dear...\I already told you, there's no one like that!\I'll make it up to you!\It's good for your health. Step on it. response:	Hojo?!
context: You're on clean-up duty, too!\I have to meet someone! Sorry, please overlook it this time!\Someone? As in, boy?\Oh dear...\I already told you, there's no one like that!\I'll make it up to you!\It's good for your health. Step on it.\Hojo?! response:	He seems nice...
context: I have to meet someone! Sorry, please overlook it this time!\Someone? As in, boy?\Oh dear...\I already told you, there's no one like that!\I'll make it up to you!\It's good for your health. Step on it.\Hojo?!\He seems nice... response:	But a bit individualistic.
context: Someone? As in, boy?\Oh dear...\I already told you, there's no one like that!\I'll make it up to you!\It's good for your health. Step on it.\Hojo?!\He seems nice...\But a bit individualistic. response:	Hmm...
context: Oh dear...\I already told you, there's no one like that!\I'll make it up to you!\It's good for your health. Step on it.\Hojo?!\He seems nice...\But a bit individualistic.\Hmm... response:	Do you like movies, Higurashi?
context: I already told you, there's no one like that!\I'll make it up to you!\It's good for your health. Step on it.\Hojo?!\He seems nice...\But a bit individualistic.\Hmm...\Do you like movies, Higurashi? response:	Wanna go... Just you and me?
context: I'll make it up to you!\It's good for your health. Step on it.\Hojo?!\He seems nice...\But a bit individualistic.\Hmm...\Do you like movies, Higurashi?\Wanna go... Just you and me? response:	W-what?!
context: It's good for your health. Step on it.\Hojo?!\He seems nice...\But a bit individualistic.\Hmm...\Do you like movies, Higurashi?\Wanna go... Just you and me?\W-what?! response:	- Hey! - Kagome!
context: Hojo?!\He seems nice...\But a bit individualistic.\Hmm...\Do you like movies, Higurashi?\Wanna go... Just you and me?\W-what?!\- Hey! - Kagome! response:	You mean, as in a date?
context: He seems nice...\But a bit individualistic.\Hmm...\Do you like movies, Higurashi?\Wanna go... Just you and me?\W-what?!\- Hey! - Kagome!\You mean, as in a date? response:	What'll you do, Kagome?!
context: But a bit individualistic.\Hmm...\Do you like movies, Higurashi?\Wanna go... Just you and me?\W-what?!\- Hey! - Kagome!\You mean, as in a date?\What'll you do, Kagome?! response:	Will you go?
context: Hmm...\Do you like movies, Higurashi?\Wanna go... Just you and me?\W-what?!\- Hey! - Kagome!\You mean, as in a date?\What'll you do, Kagome?!\Will you go? response:	Why don't you, Kagome?
context: Do you like movies, Higurashi?\Wanna go... Just you and me?\W-what?!\- Hey! - Kagome!\You mean, as in a date?\What'll you do, Kagome?!\Will you go?\Why don't you, Kagome? response:	You've never been on a date, have you?
context: Wanna go... Just you and me?\W-what?!\- Hey! - Kagome!\You mean, as in a date?\What'll you do, Kagome?!\Will you go?\Why don't you, Kagome?\You've never been on a date, have you? response:	Huh?!
context: W-what?!\- Hey! - Kagome!\You mean, as in a date?\What'll you do, Kagome?!\Will you go?\Why don't you, Kagome?\You've never been on a date, have you?\Huh?! response:	Have you really, truly, never been on a date?!
context: - Hey! - Kagome!\You mean, as in a date?\What'll you do, Kagome?!\Will you go?\Why don't you, Kagome?\You've never been on a date, have you?\Huh?!\Have you really, truly, never been on a date?! response:	Don't be silly!
