context: Aye, sir! response:	The S Class Wizard Advancement Exam has finally started!
context: Aye, sir!\The S Class Wizard Advancement Exam has finally started! response:	Both Erza and Mira passed this exam to become S Class Wizards, didn't they?
context: Aye, sir!\The S Class Wizard Advancement Exam has finally started!\Both Erza and Mira passed this exam to become S Class Wizards, didn't they? response:	I'm all fired up!
context: Aye, sir!\The S Class Wizard Advancement Exam has finally started!\Both Erza and Mira passed this exam to become S Class Wizards, didn't they?\I'm all fired up! response:	And the first test finished, but...
context: Aye, sir!\The S Class Wizard Advancement Exam has finally started!\Both Erza and Mira passed this exam to become S Class Wizards, didn't they?\I'm all fired up!\And the first test finished, but... response:	It was hard right off the bat.
context: Aye, sir!\The S Class Wizard Advancement Exam has finally started!\Both Erza and Mira passed this exam to become S Class Wizards, didn't they?\I'm all fired up!\And the first test finished, but...\It was hard right off the bat. response:	So, what was the second test again?
context: Aye, sir!\The S Class Wizard Advancement Exam has finally started!\Both Erza and Mira passed this exam to become S Class Wizards, didn't they?\I'm all fired up!\And the first test finished, but...\It was hard right off the bat.\So, what was the second test again? response:	It was searching for the founding Master, Mavis's grave.
context: Aye, sir!\The S Class Wizard Advancement Exam has finally started!\Both Erza and Mira passed this exam to become S Class Wizards, didn't they?\I'm all fired up!\And the first test finished, but...\It was hard right off the bat.\So, what was the second test again?\It was searching for the founding Master, Mavis's grave. response:	But a weirdo went and barged in on us!
context: The S Class Wizard Advancement Exam has finally started!\Both Erza and Mira passed this exam to become S Class Wizards, didn't they?\I'm all fired up!\And the first test finished, but...\It was hard right off the bat.\So, what was the second test again?\It was searching for the founding Master, Mavis's grave.\But a weirdo went and barged in on us! response:	You're gettin' in the way of the exam, damn you!
context: Both Erza and Mira passed this exam to become S Class Wizards, didn't they?\I'm all fired up!\And the first test finished, but...\It was hard right off the bat.\So, what was the second test again?\It was searching for the founding Master, Mavis's grave.\But a weirdo went and barged in on us!\You're gettin' in the way of the exam, damn you! response:	By the way, Erza-san... What kind of magic does Mest-san use?
context: I'm all fired up!\And the first test finished, but...\It was hard right off the bat.\So, what was the second test again?\It was searching for the founding Master, Mavis's grave.\But a weirdo went and barged in on us!\You're gettin' in the way of the exam, damn you!\By the way, Erza-san... What kind of magic does Mest-san use? response:	Ah yes, I suppose you aren't yet aware.
context: And the first test finished, but...\It was hard right off the bat.\So, what was the second test again?\It was searching for the founding Master, Mavis's grave.\But a weirdo went and barged in on us!\You're gettin' in the way of the exam, damn you!\By the way, Erza-san... What kind of magic does Mest-san use?\Ah yes, I suppose you aren't yet aware. response:	Mest uses... Uh, that! You know...
context: It was hard right off the bat.\So, what was the second test again?\It was searching for the founding Master, Mavis's grave.\But a weirdo went and barged in on us!\You're gettin' in the way of the exam, damn you!\By the way, Erza-san... What kind of magic does Mest-san use?\Ah yes, I suppose you aren't yet aware.\Mest uses... Uh, that! You know... response:	You don't know either, Erza-san?
context: So, what was the second test again?\It was searching for the founding Master, Mavis's grave.\But a weirdo went and barged in on us!\You're gettin' in the way of the exam, damn you!\By the way, Erza-san... What kind of magic does Mest-san use?\Ah yes, I suppose you aren't yet aware.\Mest uses... Uh, that! You know...\You don't know either, Erza-san? response:	What do you mean that Mest might not be a member of the guild?
context: It was searching for the founding Master, Mavis's grave.\But a weirdo went and barged in on us!\You're gettin' in the way of the exam, damn you!\By the way, Erza-san... What kind of magic does Mest-san use?\Ah yes, I suppose you aren't yet aware.\Mest uses... Uh, that! You know...\You don't know either, Erza-san?\What do you mean that Mest might not be a member of the guild? response:	It was just a hunch at first. But the strange thing is,
context: But a weirdo went and barged in on us!\You're gettin' in the way of the exam, damn you!\By the way, Erza-san... What kind of magic does Mest-san use?\Ah yes, I suppose you aren't yet aware.\Mest uses... Uh, that! You know...\You don't know either, Erza-san?\What do you mean that Mest might not be a member of the guild?\It was just a hunch at first. But the strange thing is, response:	the more doubts I have, the more clear my knowledge of Mest becomes.
