context: All right! I'm off! response:	Okay! Hurry back!
context: All right! I'm off!\Okay! Hurry back! response:	And don't forget the ninja treats.
context: All right! I'm off!\Okay! Hurry back!\And don't forget the ninja treats. response:	Did you see Inuyasha?
context: All right! I'm off!\Okay! Hurry back!\And don't forget the ninja treats.\Did you see Inuyasha? response:	Inuyasha left on Kirara early in the morning.
context: All right! I'm off!\Okay! Hurry back!\And don't forget the ninja treats.\Did you see Inuyasha?\Inuyasha left on Kirara early in the morning. response:	I think he went quite far.
context: All right! I'm off!\Okay! Hurry back!\And don't forget the ninja treats.\Did you see Inuyasha?\Inuyasha left on Kirara early in the morning.\I think he went quite far. response:	Uh-huh... there's one place I can think of.
context: All right! I'm off!\Okay! Hurry back!\And don't forget the ninja treats.\Did you see Inuyasha?\Inuyasha left on Kirara early in the morning.\I think he went quite far.\Uh-huh... there's one place I can think of. response:	Where?
context: All right! I'm off!\Okay! Hurry back!\And don't forget the ninja treats.\Did you see Inuyasha?\Inuyasha left on Kirara early in the morning.\I think he went quite far.\Uh-huh... there's one place I can think of.\Where? response:	The only one who knows Tetsusaiga's true power
context: Okay! Hurry back!\And don't forget the ninja treats.\Did you see Inuyasha?\Inuyasha left on Kirara early in the morning.\I think he went quite far.\Uh-huh... there's one place I can think of.\Where?\The only one who knows Tetsusaiga's true power response:	is the one who forged it.
context: And don't forget the ninja treats.\Did you see Inuyasha?\Inuyasha left on Kirara early in the morning.\I think he went quite far.\Uh-huh... there's one place I can think of.\Where?\The only one who knows Tetsusaiga's true power\is the one who forged it. response:	You mean, Old Totosai?
context: Did you see Inuyasha?\Inuyasha left on Kirara early in the morning.\I think he went quite far.\Uh-huh... there's one place I can think of.\Where?\The only one who knows Tetsusaiga's true power\is the one who forged it.\You mean, Old Totosai? response:	He really intends to break through Naraku's barrier.
context: Inuyasha left on Kirara early in the morning.\I think he went quite far.\Uh-huh... there's one place I can think of.\Where?\The only one who knows Tetsusaiga's true power\is the one who forged it.\You mean, Old Totosai?\He really intends to break through Naraku's barrier. response:	To that old man's place?
context: I think he went quite far.\Uh-huh... there's one place I can think of.\Where?\The only one who knows Tetsusaiga's true power\is the one who forged it.\You mean, Old Totosai?\He really intends to break through Naraku's barrier.\To that old man's place? response:	Totosai!
context: Uh-huh... there's one place I can think of.\Where?\The only one who knows Tetsusaiga's true power\is the one who forged it.\You mean, Old Totosai?\He really intends to break through Naraku's barrier.\To that old man's place?\Totosai! response:	You would know a way to break through any barrier...
context: Where?\The only one who knows Tetsusaiga's true power\is the one who forged it.\You mean, Old Totosai?\He really intends to break through Naraku's barrier.\To that old man's place?\Totosai!\You would know a way to break through any barrier... response:	however strong it is.
context: The only one who knows Tetsusaiga's true power\is the one who forged it.\You mean, Old Totosai?\He really intends to break through Naraku's barrier.\To that old man's place?\Totosai!\You would know a way to break through any barrier...\however strong it is. response:	However strong, huh?
context: is the one who forged it.\You mean, Old Totosai?\He really intends to break through Naraku's barrier.\To that old man's place?\Totosai!\You would know a way to break through any barrier...\however strong it is.\However strong, huh? response:	It's not like there isn't a way...
context: You mean, Old Totosai?\He really intends to break through Naraku's barrier.\To that old man's place?\Totosai!\You would know a way to break through any barrier...\however strong it is.\However strong, huh?\It's not like there isn't a way... response:	Or that there is a way.
context: He really intends to break through Naraku's barrier.\To that old man's place?\Totosai!\You would know a way to break through any barrier...\however strong it is.\However strong, huh?\It's not like there isn't a way...\Or that there is a way. response:	Which is it?!
context: To that old man's place?\Totosai!\You would know a way to break through any barrier...\however strong it is.\However strong, huh?\It's not like there isn't a way...\Or that there is a way.\Which is it?! response:	I have to get stronger when Naraku's out of commission!
context: Totosai!\You would know a way to break through any barrier...\however strong it is.\However strong, huh?\It's not like there isn't a way...\Or that there is a way.\Which is it?!\I have to get stronger when Naraku's out of commission! response:	Oh, it itches!
context: You would know a way to break through any barrier...\however strong it is.\However strong, huh?\It's not like there isn't a way...\Or that there is a way.\Which is it?!\I have to get stronger when Naraku's out of commission!\Oh, it itches! response:	That's right. I haven't bathed in a week.
context: however strong it is.\However strong, huh?\It's not like there isn't a way...\Or that there is a way.\Which is it?!\I have to get stronger when Naraku's out of commission!\Oh, it itches!\That's right. I haven't bathed in a week. response:	Totosai! I doubt he's gonna tell me so easily.
context: However strong, huh?\It's not like there isn't a way...\Or that there is a way.\Which is it?!\I have to get stronger when Naraku's out of commission!\Oh, it itches!\That's right. I haven't bathed in a week.\Totosai! I doubt he's gonna tell me so easily. response:	I have to be patient and coax it outta him.
context: It's not like there isn't a way...\Or that there is a way.\Which is it?!\I have to get stronger when Naraku's out of commission!\Oh, it itches!\That's right. I haven't bathed in a week.\Totosai! I doubt he's gonna tell me so easily.\I have to be patient and coax it outta him. response:	Please!
context: Or that there is a way.\Which is it?!\I have to get stronger when Naraku's out of commission!\Oh, it itches!\That's right. I haven't bathed in a week.\Totosai! I doubt he's gonna tell me so easily.\I have to be patient and coax it outta him.\Please! response:	Oh... it itches! My back, too.
context: Which is it?!\I have to get stronger when Naraku's out of commission!\Oh, it itches!\That's right. I haven't bathed in a week.\Totosai! I doubt he's gonna tell me so easily.\I have to be patient and coax it outta him.\Please!\Oh... it itches! My back, too. response:	Totosai! I know it's difficult!
context: I have to get stronger when Naraku's out of commission!\Oh, it itches!\That's right. I haven't bathed in a week.\Totosai! I doubt he's gonna tell me so easily.\I have to be patient and coax it outta him.\Please!\Oh... it itches! My back, too.\Totosai! I know it's difficult! response:	But I need you to teach me how to break the barrier!
context: Oh, it itches!\That's right. I haven't bathed in a week.\Totosai! I doubt he's gonna tell me so easily.\I have to be patient and coax it outta him.\Please!\Oh... it itches! My back, too.\Totosai! I know it's difficult!\But I need you to teach me how to break the barrier! response:	Boy, I need... I need a bath!
context: That's right. I haven't bathed in a week.\Totosai! I doubt he's gonna tell me so easily.\I have to be patient and coax it outta him.\Please!\Oh... it itches! My back, too.\Totosai! I know it's difficult!\But I need you to teach me how to break the barrier!\Boy, I need... I need a bath! response:	Isn't there some way I can train?!
context: Totosai! I doubt he's gonna tell me so easily.\I have to be patient and coax it outta him.\Please!\Oh... it itches! My back, too.\Totosai! I know it's difficult!\But I need you to teach me how to break the barrier!\Boy, I need... I need a bath!\Isn't there some way I can train?! response:	A bath... in order to get a bath ready...
context: I have to be patient and coax it outta him.\Please!\Oh... it itches! My back, too.\Totosai! I know it's difficult!\But I need you to teach me how to break the barrier!\Boy, I need... I need a bath!\Isn't there some way I can train?!\A bath... in order to get a bath ready... response:	Oh, I have to get the water.
context: Please!\Oh... it itches! My back, too.\Totosai! I know it's difficult!\But I need you to teach me how to break the barrier!\Boy, I need... I need a bath!\Isn't there some way I can train?!\A bath... in order to get a bath ready...\Oh, I have to get the water. response:	Get water?
context: Oh... it itches! My back, too.\Totosai! I know it's difficult!\But I need you to teach me how to break the barrier!\Boy, I need... I need a bath!\Isn't there some way I can train?!\A bath... in order to get a bath ready...\Oh, I have to get the water.\Get water? response:	But that's so hard.
context: Totosai! I know it's difficult!\But I need you to teach me how to break the barrier!\Boy, I need... I need a bath!\Isn't there some way I can train?!\A bath... in order to get a bath ready...\Oh, I have to get the water.\Get water?\But that's so hard. response:	To haul enough water from the river at the bottom of the valley
context: But I need you to teach me how to break the barrier!\Boy, I need... I need a bath!\Isn't there some way I can train?!\A bath... in order to get a bath ready...\Oh, I have to get the water.\Get water?\But that's so hard.\To haul enough water from the river at the bottom of the valley response:	to fill the tub.
context: Boy, I need... I need a bath!\Isn't there some way I can train?!\A bath... in order to get a bath ready...\Oh, I have to get the water.\Get water?\But that's so hard.\To haul enough water from the river at the bottom of the valley\to fill the tub. response:	Then cut all the wood out back into firewood.
context: Isn't there some way I can train?!\A bath... in order to get a bath ready...\Oh, I have to get the water.\Get water?\But that's so hard.\To haul enough water from the river at the bottom of the valley\to fill the tub.\Then cut all the wood out back into firewood. response:	Such humbug.
context: A bath... in order to get a bath ready...\Oh, I have to get the water.\Get water?\But that's so hard.\To haul enough water from the river at the bottom of the valley\to fill the tub.\Then cut all the wood out back into firewood.\Such humbug. response:	Getting a bath for one as old as I is such a chore.
context: Oh, I have to get the water.\Get water?\But that's so hard.\To haul enough water from the river at the bottom of the valley\to fill the tub.\Then cut all the wood out back into firewood.\Such humbug.\Getting a bath for one as old as I is such a chore. response:	Cutting wood? Is that training?
context: Get water?\But that's so hard.\To haul enough water from the river at the bottom of the valley\to fill the tub.\Then cut all the wood out back into firewood.\Such humbug.\Getting a bath for one as old as I is such a chore.\Cutting wood? Is that training? response:	Training?
context: But that's so hard.\To haul enough water from the river at the bottom of the valley\to fill the tub.\Then cut all the wood out back into firewood.\Such humbug.\Getting a bath for one as old as I is such a chore.\Cutting wood? Is that training?\Training? response:	Master!
context: To haul enough water from the river at the bottom of the valley\to fill the tub.\Then cut all the wood out back into firewood.\Such humbug.\Getting a bath for one as old as I is such a chore.\Cutting wood? Is that training?\Training?\Master! response:	Huh?!
context: to fill the tub.\Then cut all the wood out back into firewood.\Such humbug.\Getting a bath for one as old as I is such a chore.\Cutting wood? Is that training?\Training?\Master!\Huh?! response:	Oh, you're here again.
context: Then cut all the wood out back into firewood.\Such humbug.\Getting a bath for one as old as I is such a chore.\Cutting wood? Is that training?\Training?\Master!\Huh?!\Oh, you're here again. response:	Master, I will not go away today.
context: Such humbug.\Getting a bath for one as old as I is such a chore.\Cutting wood? Is that training?\Training?\Master!\Huh?!\Oh, you're here again.\Master, I will not go away today. response:	Who's this fox demon?
context: Getting a bath for one as old as I is such a chore.\Cutting wood? Is that training?\Training?\Master!\Huh?!\Oh, you're here again.\Master, I will not go away today.\Who's this fox demon? response:	Wrong! I'm a Lynx Demon.
context: Cutting wood? Is that training?\Training?\Master!\Huh?!\Oh, you're here again.\Master, I will not go away today.\Who's this fox demon?\Wrong! I'm a Lynx Demon. response:	I've asked Master Totosai to train me.
context: Training?\Master!\Huh?!\Oh, you're here again.\Master, I will not go away today.\Who's this fox demon?\Wrong! I'm a Lynx Demon.\I've asked Master Totosai to train me. response:	Train?
context: Master!\Huh?!\Oh, you're here again.\Master, I will not go away today.\Who's this fox demon?\Wrong! I'm a Lynx Demon.\I've asked Master Totosai to train me.\Train? response:	I want Master Totosai to train me so I can break the barrier.
context: Huh?!\Oh, you're here again.\Master, I will not go away today.\Who's this fox demon?\Wrong! I'm a Lynx Demon.\I've asked Master Totosai to train me.\Train?\I want Master Totosai to train me so I can break the barrier. response:	Err...
