context: Sesshomaru had denounced the half-demon Inuyasha response:	as a disgrace to his clan and despised the human race...
context: Sesshomaru had denounced the half-demon Inuyasha\as a disgrace to his clan and despised the human race... response:	But Jaken, Sesshomaru's henchman, definitely had a human girl with him.
context: Sesshomaru had denounced the half-demon Inuyasha\as a disgrace to his clan and despised the human race...\But Jaken, Sesshomaru's henchman, definitely had a human girl with him. response:	Lord Sesshomaru!
context: Sesshomaru had denounced the half-demon Inuyasha\as a disgrace to his clan and despised the human race...\But Jaken, Sesshomaru's henchman, definitely had a human girl with him.\Lord Sesshomaru! response:	Rin has been kidnapped!
context: Sesshomaru had denounced the half-demon Inuyasha\as a disgrace to his clan and despised the human race...\But Jaken, Sesshomaru's henchman, definitely had a human girl with him.\Lord Sesshomaru!\Rin has been kidnapped! response:	One of Naraku's incarnations named Kagura appeared...
context: Sesshomaru had denounced the half-demon Inuyasha\as a disgrace to his clan and despised the human race...\But Jaken, Sesshomaru's henchman, definitely had a human girl with him.\Lord Sesshomaru!\Rin has been kidnapped!\One of Naraku's incarnations named Kagura appeared... response:	out of the blue...
context: Sesshomaru had denounced the half-demon Inuyasha\as a disgrace to his clan and despised the human race...\But Jaken, Sesshomaru's henchman, definitely had a human girl with him.\Lord Sesshomaru!\Rin has been kidnapped!\One of Naraku's incarnations named Kagura appeared...\out of the blue... response:	Let me reassure you, Lord Sesshomaru.
context: Sesshomaru had denounced the half-demon Inuyasha\as a disgrace to his clan and despised the human race...\But Jaken, Sesshomaru's henchman, definitely had a human girl with him.\Lord Sesshomaru!\Rin has been kidnapped!\One of Naraku's incarnations named Kagura appeared...\out of the blue...\Let me reassure you, Lord Sesshomaru. response:	If you heed my request,
context: as a disgrace to his clan and despised the human race...\But Jaken, Sesshomaru's henchman, definitely had a human girl with him.\Lord Sesshomaru!\Rin has been kidnapped!\One of Naraku's incarnations named Kagura appeared...\out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request, response:	I shall return Rin in one piece.
context: But Jaken, Sesshomaru's henchman, definitely had a human girl with him.\Lord Sesshomaru!\Rin has been kidnapped!\One of Naraku's incarnations named Kagura appeared...\out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in one piece. response:	Y-You are Naraku!
context: Lord Sesshomaru!\Rin has been kidnapped!\One of Naraku's incarnations named Kagura appeared...\out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in one piece.\Y-You are Naraku! response:	Just a little more...
context: Rin has been kidnapped!\One of Naraku's incarnations named Kagura appeared...\out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in one piece.\Y-You are Naraku!\Just a little more... response:	Soon you will be absorbed...
context: One of Naraku's incarnations named Kagura appeared...\out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in one piece.\Y-You are Naraku!\Just a little more...\Soon you will be absorbed... response:	and become one with my flesh!
context: out of the blue...\Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in one piece.\Y-You are Naraku!\Just a little more...\Soon you will be absorbed...\and become one with my flesh! response:	We follow the trail of the Sacred Jewel shards.
context: Let me reassure you, Lord Sesshomaru.\If you heed my request,\I shall return Rin in one piece.\Y-You are Naraku!\Just a little more...\Soon you will be absorbed...\and become one with my flesh!\We follow the trail of the Sacred Jewel shards. response:	That's right!
context: If you heed my request,\I shall return Rin in one piece.\Y-You are Naraku!\Just a little more...\Soon you will be absorbed...\and become one with my flesh!\We follow the trail of the Sacred Jewel shards.\That's right! response:	Kohaku, Sango's youngerbrother, has a single shard
context: I shall return Rin in one piece.\Y-You are Naraku!\Just a little more...\Soon you will be absorbed...\and become one with my flesh!\We follow the trail of the Sacred Jewel shards.\That's right!\Kohaku, Sango's youngerbrother, has a single shard response:	which was imbedded in his back by Naraku.
context: Y-You are Naraku!\Just a little more...\Soon you will be absorbed...\and become one with my flesh!\We follow the trail of the Sacred Jewel shards.\That's right!\Kohaku, Sango's youngerbrother, has a single shard\which was imbedded in his back by Naraku. response:	Inuyasha headed out alone forNaraku's castle.
context: Just a little more...\Soon you will be absorbed...\and become one with my flesh!\We follow the trail of the Sacred Jewel shards.\That's right!\Kohaku, Sango's youngerbrother, has a single shard\which was imbedded in his back by Naraku.\Inuyasha headed out alone forNaraku's castle. response:	Miasma and toxic fumes... this has gotta be it!
