context: Wow, it's cold! response:	Hey, this window pane is completely smashed.
context: Wow, it's cold!\Hey, this window pane is completely smashed. response:	That's hardly my fault. I got attacked by that Lancer guy.
context: Wow, it's cold!\Hey, this window pane is completely smashed.\That's hardly my fault. I got attacked by that Lancer guy. response:	Wait. You fought him on your own until you summoned Saber?
context: Wow, it's cold!\Hey, this window pane is completely smashed.\That's hardly my fault. I got attacked by that Lancer guy.\Wait. You fought him on your own until you summoned Saber? response:	I couldn't even fight; he just kicked my butt.
context: Wow, it's cold!\Hey, this window pane is completely smashed.\That's hardly my fault. I got attacked by that Lancer guy.\Wait. You fought him on your own until you summoned Saber?\I couldn't even fight; he just kicked my butt. response:	Not even trying to make yourself sound good?
context: Wow, it's cold!\Hey, this window pane is completely smashed.\That's hardly my fault. I got attacked by that Lancer guy.\Wait. You fought him on your own until you summoned Saber?\I couldn't even fight; he just kicked my butt.\Not even trying to make yourself sound good? response:	I see. When it comes to you, what you see really is what you get.
context: Wow, it's cold!\Hey, this window pane is completely smashed.\That's hardly my fault. I got attacked by that Lancer guy.\Wait. You fought him on your own until you summoned Saber?\I couldn't even fight; he just kicked my butt.\Not even trying to make yourself sound good?\I see. When it comes to you, what you see really is what you get. response:	All right, let's get down to business.
context: Wow, it's cold!\Hey, this window pane is completely smashed.\That's hardly my fault. I got attacked by that Lancer guy.\Wait. You fought him on your own until you summoned Saber?\I couldn't even fight; he just kicked my butt.\Not even trying to make yourself sound good?\I see. When it comes to you, what you see really is what you get.\All right, let's get down to business. response:	You don't have any idea what you're caught up in, do you?
context: Hey, this window pane is completely smashed.\That's hardly my fault. I got attacked by that Lancer guy.\Wait. You fought him on your own until you summoned Saber?\I couldn't even fight; he just kicked my butt.\Not even trying to make yourself sound good?\I see. When it comes to you, what you see really is what you get.\All right, let's get down to business.\You don't have any idea what you're caught up in, do you? response:	To be blunt, you've been chosen as a Master.
context: That's hardly my fault. I got attacked by that Lancer guy.\Wait. You fought him on your own until you summoned Saber?\I couldn't even fight; he just kicked my butt.\Not even trying to make yourself sound good?\I see. When it comes to you, what you see really is what you get.\All right, let's get down to business.\You don't have any idea what you're caught up in, do you?\To be blunt, you've been chosen as a Master. response:	Have you noticed a brand somewhere on your body?
context: Wait. You fought him on your own until you summoned Saber?\I couldn't even fight; he just kicked my butt.\Not even trying to make yourself sound good?\I see. When it comes to you, what you see really is what you get.\All right, let's get down to business.\You don't have any idea what you're caught up in, do you?\To be blunt, you've been chosen as a Master.\Have you noticed a brand somewhere on your body? response:	A brand?
