context: You made it to Class A, Taichi. response:	I was playing a third-year from Fujisaki.
context: You made it to Class A, Taichi.\I was playing a third-year from Fujisaki. response:	I only lost by three cards.
context: You made it to Class A, Taichi.\I was playing a third-year from Fujisaki.\I only lost by three cards. response:	Second place.
context: You made it to Class A, Taichi.\I was playing a third-year from Fujisaki.\I only lost by three cards.\Second place. response:	I did good enough.
context: You made it to Class A, Taichi.\I was playing a third-year from Fujisaki.\I only lost by three cards.\Second place.\I did good enough. response:	Come on!
context: You made it to Class A, Taichi.\I was playing a third-year from Fujisaki.\I only lost by three cards.\Second place.\I did good enough.\Come on! response:	Come on! Come on! Come on! Come on!
context: You made it to Class A, Taichi.\I was playing a third-year from Fujisaki.\I only lost by three cards.\Second place.\I did good enough.\Come on!\Come on! Come on! Come on! Come on! response:	Read it! Read it! Read it! Read it!
context: You made it to Class A, Taichi.\I was playing a third-year from Fujisaki.\I only lost by three cards.\Second place.\I did good enough.\Come on!\Come on! Come on! Come on! Come on!\Read it! Read it! Read it! Read it! response:	Give it! Give it! Give it! Give it! Give it!
context: I was playing a third-year from Fujisaki.\I only lost by three cards.\Second place.\I did good enough.\Come on!\Come on! Come on! Come on! Come on!\Read it! Read it! Read it! Read it!\Give it! Give it! Give it! Give it! Give it! response:	I do not know where this love will take me
context: I only lost by three cards.\Second place.\I did good enough.\Come on!\Come on! Come on! Come on! Come on!\Read it! Read it! Read it! Read it!\Give it! Give it! Give it! Give it! Give it!\I do not know where this love will take me response:	Come on! Come on! Come on! Come on!
context: Second place.\I did good enough.\Come on!\Come on! Come on! Come on! Come on!\Read it! Read it! Read it! Read it!\Give it! Give it! Give it! Give it! Give it!\I do not know where this love will take me\Come on! Come on! Come on! Come on! response:	You did it...
context: I did good enough.\Come on!\Come on! Come on! Come on! Come on!\Read it! Read it! Read it! Read it!\Give it! Give it! Give it! Give it! Give it!\I do not know where this love will take me\Come on! Come on! Come on! Come on!\You did it... response:	You did it, Taichi.
context: Come on!\Come on! Come on! Come on! Come on!\Read it! Read it! Read it! Read it!\Give it! Give it! Give it! Give it! Give it!\I do not know where this love will take me\Come on! Come on! Come on! Come on!\You did it...\You did it, Taichi. response:	Congratulations!
context: Come on! Come on! Come on! Come on!\Read it! Read it! Read it! Read it!\Give it! Give it! Give it! Give it! Give it!\I do not know where this love will take me\Come on! Come on! Come on! Come on!\You did it...\You did it, Taichi.\Congratulations! response:	Chihaya Furu
context: Read it! Read it! Read it! Read it!\Give it! Give it! Give it! Give it! Give it!\I do not know where this love will take me\Come on! Come on! Come on! Come on!\You did it...\You did it, Taichi.\Congratulations!\Chihaya Furu response:	Verse 24
context: Give it! Give it! Give it! Give it! Give it!\I do not know where this love will take me\Come on! Come on! Come on! Come on!\You did it...\You did it, Taichi.\Congratulations!\Chihaya Furu\Verse 24 response:	When I must hide...
context: I do not know where this love will take me\Come on! Come on! Come on! Come on!\You did it...\You did it, Taichi.\Congratulations!\Chihaya Furu\Verse 24\When I must hide... response:	Congratulations!
