context: Wrong! That ain't even close! response:	What are you talking about?! I played it exactly right!
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right! response:	There wasn't any swing!
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing! response:	If you play it without feelin' it, it don't sound like no jazz to me!
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me! response:	Ri-chan, do you know the name of the tune he was playing on the piano?
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Ri-chan, do you know the name of the tune he was playing on the piano? response:	Art Blakey and the Jazz Messengers' Moanin'.
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Ri-chan, do you know the name of the tune he was playing on the piano?\Art Blakey and the Jazz Messengers' Moanin'. response:	My aunt's gone grocery shopping for dinner.
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Ri-chan, do you know the name of the tune he was playing on the piano?\Art Blakey and the Jazz Messengers' Moanin'.\My aunt's gone grocery shopping for dinner. response:	I've got one hour to make it or break it.
context: Wrong! That ain't even close!\What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Ri-chan, do you know the name of the tune he was playing on the piano?\Art Blakey and the Jazz Messengers' Moanin'.\My aunt's gone grocery shopping for dinner.\I've got one hour to make it or break it. response:	Dissonant chords... Syncopation and a unique accent...
context: What are you talking about?! I played it exactly right!\There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Ri-chan, do you know the name of the tune he was playing on the piano?\Art Blakey and the Jazz Messengers' Moanin'.\My aunt's gone grocery shopping for dinner.\I've got one hour to make it or break it.\Dissonant chords... Syncopation and a unique accent... response:	I thought I understood the distinctive features of jazz in my head,
context: There wasn't any swing!\If you play it without feelin' it, it don't sound like no jazz to me!\Ri-chan, do you know the name of the tune he was playing on the piano?\Art Blakey and the Jazz Messengers' Moanin'.\My aunt's gone grocery shopping for dinner.\I've got one hour to make it or break it.\Dissonant chords... Syncopation and a unique accent...\I thought I understood the distinctive features of jazz in my head, response:	but reproducing them was proving to be extremely difficult.
context: If you play it without feelin' it, it don't sound like no jazz to me!\Ri-chan, do you know the name of the tune he was playing on the piano?\Art Blakey and the Jazz Messengers' Moanin'.\My aunt's gone grocery shopping for dinner.\I've got one hour to make it or break it.\Dissonant chords... Syncopation and a unique accent...\I thought I understood the distinctive features of jazz in my head,\but reproducing them was proving to be extremely difficult. response:	This guy don't get jazz one bit! And he got no sense for it.
context: Ri-chan, do you know the name of the tune he was playing on the piano?\Art Blakey and the Jazz Messengers' Moanin'.\My aunt's gone grocery shopping for dinner.\I've got one hour to make it or break it.\Dissonant chords... Syncopation and a unique accent...\I thought I understood the distinctive features of jazz in my head,\but reproducing them was proving to be extremely difficult.\This guy don't get jazz one bit! And he got no sense for it. response:	Dammit! No matter what it takes, I'm gonna show him up!
context: Art Blakey and the Jazz Messengers' Moanin'.\My aunt's gone grocery shopping for dinner.\I've got one hour to make it or break it.\Dissonant chords... Syncopation and a unique accent...\I thought I understood the distinctive features of jazz in my head,\but reproducing them was proving to be extremely difficult.\This guy don't get jazz one bit! And he got no sense for it.\Dammit! No matter what it takes, I'm gonna show him up! response:	I wanna master this as soon as possible
context: My aunt's gone grocery shopping for dinner.\I've got one hour to make it or break it.\Dissonant chords... Syncopation and a unique accent...\I thought I understood the distinctive features of jazz in my head,\but reproducing them was proving to be extremely difficult.\This guy don't get jazz one bit! And he got no sense for it.\Dammit! No matter what it takes, I'm gonna show him up!\I wanna master this as soon as possible response:	and then perform it in front of him and Ri-chan!
context: I've got one hour to make it or break it.\Dissonant chords... Syncopation and a unique accent...\I thought I understood the distinctive features of jazz in my head,\but reproducing them was proving to be extremely difficult.\This guy don't get jazz one bit! And he got no sense for it.\Dammit! No matter what it takes, I'm gonna show him up!\I wanna master this as soon as possible\and then perform it in front of him and Ri-chan! response:	Y-You win...
context: Dissonant chords... Syncopation and a unique accent...\I thought I understood the distinctive features of jazz in my head,\but reproducing them was proving to be extremely difficult.\This guy don't get jazz one bit! And he got no sense for it.\Dammit! No matter what it takes, I'm gonna show him up!\I wanna master this as soon as possible\and then perform it in front of him and Ri-chan!\Y-You win... response:	Kaoru-san, that was wonderful...
context: I thought I understood the distinctive features of jazz in my head,\but reproducing them was proving to be extremely difficult.\This guy don't get jazz one bit! And he got no sense for it.\Dammit! No matter what it takes, I'm gonna show him up!\I wanna master this as soon as possible\and then perform it in front of him and Ri-chan!\Y-You win...\Kaoru-san, that was wonderful... response:	As if...
