context: Kokoro response:	masshiro PAGE mekuru
context: Kokoro\masshiro PAGE mekuru response:	I walk through the white pages of my storybook
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook response:	Incoming Text
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text response:	Incoming Text
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text response:	tobidasu irodoru hajikeru
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru response:	that's just waiting to be painted
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted response:	mangekyou no fuukei
context: Kokoro\masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei response:	with a kaleidoscope of my experiences
context: masshiro PAGE mekuru\I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences response:	From
context: I walk through the white pages of my storybook\Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From response:	Me
context: Incoming Text\Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me response:	To
context: Incoming Text\tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To response:	You
context: tobidasu irodoru hajikeru\that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You response:	kizukeba STORY wa mada
context: that's just waiting to be painted\mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada response:	This story has only
context: mangekyou no fuukei\with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only response:	kizukeba STORY wa mada
context: with a kaleidoscope of my experiences\From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada response:	This story has only
context: From\Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only response:	gikochinaku hajimatta bakkari
context: Me\To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari response:	just barely begun
context: To\You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: You\kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	gikochinaku hajimatta bakkari
context: This story has only\kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari response:	just barely begun
context: kizukeba STORY wa mada\This story has only\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun\gikochinaku hajimatta bakkari\just barely begun response:	shinkokyuu wo mou ikkai
