context: Here y'go, Onii-chan! response:	It's my recommended souvenirs list! Dun da-da-dun!
context: Here y'go, Onii-chan!\It's my recommended souvenirs list! Dun da-da-dun! response:	Number three...
context: Here y'go, Onii-chan!\It's my recommended souvenirs list! Dun da-da-dun!\Number three... response:	Raw yatsuhashi...
context: Here y'go, Onii-chan!\It's my recommended souvenirs list! Dun da-da-dun!\Number three...\Raw yatsuhashi... response:	Ganso, Honke, or Honten would be accepted!
context: Here y'go, Onii-chan!\It's my recommended souvenirs list! Dun da-da-dun!\Number three...\Raw yatsuhashi...\Ganso, Honke, or Honten would be accepted! response:	Number two...
context: Here y'go, Onii-chan!\It's my recommended souvenirs list! Dun da-da-dun!\Number three...\Raw yatsuhashi...\Ganso, Honke, or Honten would be accepted!\Number two... response:	The classic: oil blotting paper.
context: Here y'go, Onii-chan!\It's my recommended souvenirs list! Dun da-da-dun!\Number three...\Raw yatsuhashi...\Ganso, Honke, or Honten would be accepted!\Number two...\The classic: oil blotting paper. response:	Remember to get enough for Mom, too!
context: Here y'go, Onii-chan!\It's my recommended souvenirs list! Dun da-da-dun!\Number three...\Raw yatsuhashi...\Ganso, Honke, or Honten would be accepted!\Number two...\The classic: oil blotting paper.\Remember to get enough for Mom, too! response:	And the much-anticipated number one is...
context: It's my recommended souvenirs list! Dun da-da-dun!\Number three...\Raw yatsuhashi...\Ganso, Honke, or Honten would be accepted!\Number two...\The classic: oil blotting paper.\Remember to get enough for Mom, too!\And the much-anticipated number one is... response:	Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi
context: Number three...\Raw yatsuhashi...\Ganso, Honke, or Honten would be accepted!\Number two...\The classic: oil blotting paper.\Remember to get enough for Mom, too!\And the much-anticipated number one is...\Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi response:	1 will be revealed after the commercial
context: Raw yatsuhashi...\Ganso, Honke, or Honten would be accepted!\Number two...\The classic: oil blotting paper.\Remember to get enough for Mom, too!\And the much-anticipated number one is...\Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi\1 will be revealed after the commercial response:	What is number one?
context: Ganso, Honke, or Honten would be accepted!\Number two...\The classic: oil blotting paper.\Remember to get enough for Mom, too!\And the much-anticipated number one is...\Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi\1 will be revealed after the commercial\What is number one? response:	The number one souvenir would be...
context: Number two...\The classic: oil blotting paper.\Remember to get enough for Mom, too!\And the much-anticipated number one is...\Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi\1 will be revealed after the commercial\What is number one?\The number one souvenir would be... response:	Your wonderful memories, Onii-chan!
context: The classic: oil blotting paper.\Remember to get enough for Mom, too!\And the much-anticipated number one is...\Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi\1 will be revealed after the commercial\What is number one?\The number one souvenir would be...\Your wonderful memories, Onii-chan! response:	Sly, but cute.
context: Remember to get enough for Mom, too!\And the much-anticipated number one is...\Komachi's Recommended Souvenirs List! 1 will be revealed after the commercial 2 Oil blotting paper 3 Raw yatsuhashi\1 will be revealed after the commercial\What is number one?\The number one souvenir would be...\Your wonderful memories, Onii-chan!\Sly, but cute. response:	Hachiman...
