context: Keep quiet! response:	Hands behind your back.
context: Keep quiet!\Hands behind your back. response:	What'd I just say?
context: Keep quiet!\Hands behind your back.\What'd I just say? response:	December 21st
context: Keep quiet!\Hands behind your back.\What'd I just say?\December 21st response:	The bus that was hijacked by armed men is still headed towards Tokyo!
context: Keep quiet!\Hands behind your back.\What'd I just say?\December 21st\The bus that was hijacked by armed men is still headed towards Tokyo! response:	Huh? What?
context: Keep quiet!\Hands behind your back.\What'd I just say?\December 21st\The bus that was hijacked by armed men is still headed towards Tokyo!\Huh? What? response:	Please! Let me out! If you want money, I have plenty
context: Keep quiet!\Hands behind your back.\What'd I just say?\December 21st\The bus that was hijacked by armed men is still headed towards Tokyo!\Huh? What?\Please! Let me out! If you want money, I have plenty response:	Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this
context: Keep quiet!\Hands behind your back.\What'd I just say?\December 21st\The bus that was hijacked by armed men is still headed towards Tokyo!\Huh? What?\Please! Let me out! If you want money, I have plenty\Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this response:	Hey, what are you doing?!
context: Hands behind your back.\What'd I just say?\December 21st\The bus that was hijacked by armed men is still headed towards Tokyo!\Huh? What?\Please! Let me out! If you want money, I have plenty\Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this\Hey, what are you doing?! response:	Shh, be quiet!
context: What'd I just say?\December 21st\The bus that was hijacked by armed men is still headed towards Tokyo!\Huh? What?\Please! Let me out! If you want money, I have plenty\Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this\Hey, what are you doing?!\Shh, be quiet! response:	Squeeze the souls of evil!
context: December 21st\The bus that was hijacked by armed men is still headed towards Tokyo!\Huh? What?\Please! Let me out! If you want money, I have plenty\Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this\Hey, what are you doing?!\Shh, be quiet!\Squeeze the souls of evil! response:	The cuisine of your heart!
context: The bus that was hijacked by armed men is still headed towards Tokyo!\Huh? What?\Please! Let me out! If you want money, I have plenty\Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this\Hey, what are you doing?!\Shh, be quiet!\Squeeze the souls of evil!\The cuisine of your heart! response:	The hero of justice,
context: Huh? What?\Please! Let me out! If you want money, I have plenty\Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this\Hey, what are you doing?!\Shh, be quiet!\Squeeze the souls of evil!\The cuisine of your heart!\The hero of justice, response:	Strange Juice, is on the scene!
context: Please! Let me out! If you want money, I have plenty\Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this\Hey, what are you doing?!\Shh, be quiet!\Squeeze the souls of evil!\The cuisine of your heart!\The hero of justice,\Strange Juice, is on the scene! response:	How cute! She's here!!!
context: Sacrifice Bus hijack It's the Neomugicha incident all over again How scary! Where are the cops? Copycat criminals Terro? Terro? Terror? This is pretty bad... Live broadcast? Seriously? It's the next Neomugicha I can't believe they're streaming this\Hey, what are you doing?!\Shh, be quiet!\Squeeze the souls of evil!\The cuisine of your heart!\The hero of justice,\Strange Juice, is on the scene!\How cute! She's here!!! response:	Get rid of her.
context: Hey, what are you doing?!\Shh, be quiet!\Squeeze the souls of evil!\The cuisine of your heart!\The hero of justice,\Strange Juice, is on the scene!\How cute! She's here!!!\Get rid of her. response:	Is that...
context: Shh, be quiet!\Squeeze the souls of evil!\The cuisine of your heart!\The hero of justice,\Strange Juice, is on the scene!\How cute! She's here!!!\Get rid of her.\Is that... response:	Look out! Behind you!
context: Squeeze the souls of evil!\The cuisine of your heart!\The hero of justice,\Strange Juice, is on the scene!\How cute! She's here!!!\Get rid of her.\Is that...\Look out! Behind you! response:	What...
context: The cuisine of your heart!\The hero of justice,\Strange Juice, is on the scene!\How cute! She's here!!!\Get rid of her.\Is that...\Look out! Behind you!\What... response:	Rabura!
context: The hero of justice,\Strange Juice, is on the scene!\How cute! She's here!!!\Get rid of her.\Is that...\Look out! Behind you!\What...\Rabura! response:	Stop the bus!
context: Strange Juice, is on the scene!\How cute! She's here!!!\Get rid of her.\Is that...\Look out! Behind you!\What...\Rabura!\Stop the bus! response:	How do you know my
context: How cute! She's here!!!\Get rid of her.\Is that...\Look out! Behind you!\What...\Rabura!\Stop the bus!\How do you know my response:	Just do it!
context: Get rid of her.\Is that...\Look out! Behind you!\What...\Rabura!\Stop the bus!\How do you know my\Just do it! response:	Huh?! Wh-Why isn't it working?!
context: Is that...\Look out! Behind you!\What...\Rabura!\Stop the bus!\How do you know my\Just do it!\Huh?! Wh-Why isn't it working?! response:	Pumpkin Chair here!
context: Look out! Behind you!\What...\Rabura!\Stop the bus!\How do you know my\Just do it!\Huh?! Wh-Why isn't it working?!\Pumpkin Chair here! response:	You're late. What kept you?!
context: What...\Rabura!\Stop the bus!\How do you know my\Just do it!\Huh?! Wh-Why isn't it working?!\Pumpkin Chair here!\You're late. What kept you?! response:	Sorry, I had some trouble.
context: Rabura!\Stop the bus!\How do you know my\Just do it!\Huh?! Wh-Why isn't it working?!\Pumpkin Chair here!\You're late. What kept you?!\Sorry, I had some trouble. response:	I'm okay now, though.
context: Stop the bus!\How do you know my\Just do it!\Huh?! Wh-Why isn't it working?!\Pumpkin Chair here!\You're late. What kept you?!\Sorry, I had some trouble.\I'm okay now, though. response:	I'll stop the bus now.
context: How do you know my\Just do it!\Huh?! Wh-Why isn't it working?!\Pumpkin Chair here!\You're late. What kept you?!\Sorry, I had some trouble.\I'm okay now, though.\I'll stop the bus now. response:	How?!
context: Just do it!\Huh?! Wh-Why isn't it working?!\Pumpkin Chair here!\You're late. What kept you?!\Sorry, I had some trouble.\I'm okay now, though.\I'll stop the bus now.\How?! response:	I'm going to control the tire killer at the tollbooth.
context: Huh?! Wh-Why isn't it working?!\Pumpkin Chair here!\You're late. What kept you?!\Sorry, I had some trouble.\I'm okay now, though.\I'll stop the bus now.\How?!\I'm going to control the tire killer at the tollbooth. response:	The taiyaki?
context: Pumpkin Chair here!\You're late. What kept you?!\Sorry, I had some trouble.\I'm okay now, though.\I'll stop the bus now.\How?!\I'm going to control the tire killer at the tollbooth.\The taiyaki? response:	Tire killer!
context: You're late. What kept you?!\Sorry, I had some trouble.\I'm okay now, though.\I'll stop the bus now.\How?!\I'm going to control the tire killer at the tollbooth.\The taiyaki?\Tire killer! response:	When?
context: Sorry, I had some trouble.\I'm okay now, though.\I'll stop the bus now.\How?!\I'm going to control the tire killer at the tollbooth.\The taiyaki?\Tire killer!\When? response:	Um...
context: I'm okay now, though.\I'll stop the bus now.\How?!\I'm going to control the tire killer at the tollbooth.\The taiyaki?\Tire killer!\When?\Um... response:	Three seconds!
context: I'll stop the bus now.\How?!\I'm going to control the tire killer at the tollbooth.\The taiyaki?\Tire killer!\When?\Um...\Three seconds! response:	Everyone, hang on!
context: How?!\I'm going to control the tire killer at the tollbooth.\The taiyaki?\Tire killer!\When?\Um...\Three seconds!\Everyone, hang on! response:	It stopped!
context: I'm going to control the tire killer at the tollbooth.\The taiyaki?\Tire killer!\When?\Um...\Three seconds!\Everyone, hang on!\It stopped! response:	The bus has just stopped!
context: The taiyaki?\Tire killer!\When?\Um...\Three seconds!\Everyone, hang on!\It stopped!\The bus has just stopped! response:	Are the passengers safe?!
context: Tire killer!\When?\Um...\Three seconds!\Everyone, hang on!\It stopped!\The bus has just stopped!\Are the passengers safe?! response:	Masked men hijack bus headed for international airport
context: When?\Um...\Three seconds!\Everyone, hang on!\It stopped!\The bus has just stopped!\Are the passengers safe?!\Masked men hijack bus headed for international airport response:	As you can see, everyone is safe.
context: Um...\Three seconds!\Everyone, hang on!\It stopped!\The bus has just stopped!\Are the passengers safe?!\Masked men hijack bus headed for international airport\As you can see, everyone is safe. response:	We can't use the front door.
context: Three seconds!\Everyone, hang on!\It stopped!\The bus has just stopped!\Are the passengers safe?!\Masked men hijack bus headed for international airport\As you can see, everyone is safe.\We can't use the front door. response:	Everyone, let's head out the back!
context: Everyone, hang on!\It stopped!\The bus has just stopped!\Are the passengers safe?!\Masked men hijack bus headed for international airport\As you can see, everyone is safe.\We can't use the front door.\Everyone, let's head out the back! response:	I see. The mastermind shows himself.
context: It stopped!\The bus has just stopped!\Are the passengers safe?!\Masked men hijack bus headed for international airport\As you can see, everyone is safe.\We can't use the front door.\Everyone, let's head out the back!\I see. The mastermind shows himself. response:	I would have preferred to stay in my seat.
context: The bus has just stopped!\Are the passengers safe?!\Masked men hijack bus headed for international airport\As you can see, everyone is safe.\We can't use the front door.\Everyone, let's head out the back!\I see. The mastermind shows himself.\I would have preferred to stay in my seat. response:	Hey, what do you think you're
context: Are the passengers safe?!\Masked men hijack bus headed for international airport\As you can see, everyone is safe.\We can't use the front door.\Everyone, let's head out the back!\I see. The mastermind shows himself.\I would have preferred to stay in my seat.\Hey, what do you think you're response:	Now, get on your knees and put your hands behind your head.
