context: Gods from across the country gather at the Divine Assembly in Izumo. response:	There's a decent chance one of those gods knows Mikage's whereabouts.
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of those gods knows Mikage's whereabouts. response:	Honestly! Where in the world could he have gone?
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of those gods knows Mikage's whereabouts.\Honestly! Where in the world could he have gone? response:	The test is to raise a daemon.
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of those gods knows Mikage's whereabouts.\Honestly! Where in the world could he have gone?\The test is to raise a daemon. response:	Wait... Oh, dear!
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of those gods knows Mikage's whereabouts.\Honestly! Where in the world could he have gone?\The test is to raise a daemon.\Wait... Oh, dear! response:	It hatched! Mamoru hatched!
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of those gods knows Mikage's whereabouts.\Honestly! Where in the world could he have gone?\The test is to raise a daemon.\Wait... Oh, dear!\It hatched! Mamoru hatched! response:	A barrier against evil!
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of those gods knows Mikage's whereabouts.\Honestly! Where in the world could he have gone?\The test is to raise a daemon.\Wait... Oh, dear!\It hatched! Mamoru hatched!\A barrier against evil! response:	She's going to Izumo!
context: Gods from across the country gather at the Divine Assembly in Izumo.\There's a decent chance one of those gods knows Mikage's whereabouts.\Honestly! Where in the world could he have gone?\The test is to raise a daemon.\Wait... Oh, dear!\It hatched! Mamoru hatched!\A barrier against evil!\She's going to Izumo! response:	I wonder what's happening on this world
context: There's a decent chance one of those gods knows Mikage's whereabouts.\Honestly! Where in the world could he have gone?\The test is to raise a daemon.\Wait... Oh, dear!\It hatched! Mamoru hatched!\A barrier against evil!\She's going to Izumo!\I wonder what's happening on this world response:	I wonder what's happening on this world
context: Honestly! Where in the world could he have gone?\The test is to raise a daemon.\Wait... Oh, dear!\It hatched! Mamoru hatched!\A barrier against evil!\She's going to Izumo!\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: The test is to raise a daemon.\Wait... Oh, dear!\It hatched! Mamoru hatched!\A barrier against evil!\She's going to Izumo!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Wait... Oh, dear!\It hatched! Mamoru hatched!\A barrier against evil!\She's going to Izumo!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: It hatched! Mamoru hatched!\A barrier against evil!\She's going to Izumo!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: A barrier against evil!\She's going to Izumo!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: She's going to Izumo!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
context: I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm response:	With my periodic biorhythm
context: I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm response:	I'm like a washing machine
context: I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine response:	I'm like a washing machine
context: and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine response:	Just kidding
context: and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding response:	Just kidding
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding response:	Yes, I'm spinning around
context: Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around response:	Yes, I'm spinning around
context: With my periodic biorhythm\With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around response:	Around, around the world
context: With my periodic biorhythm\I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world response:	Around, around the world
context: I'm like a washing machine\I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world response:	Because there's no limit to my love
context: I'm like a washing machine\Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love response:	Because there's no limit to my love
context: Just kidding\Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love response:	Spinning around, around, around the world
context: Just kidding\Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world response:	Spinning around, around, around the world
context: Yes, I'm spinning around\Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world response:	I want to tell you that I love you, even if it confuses me
context: Yes, I'm spinning around\Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me response:	I want to tell you that I love you, even if it confuses me
context: Around, around the world\Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me response:	Bam, bam, bam
context: Around, around the world\Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam response:	Bam, bam, bam
context: Because there's no limit to my love\Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam response:	You're not paying attention
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
