context: My first time switching schools... response:	Dad decided to open a studio in the countryside,
context: My first time switching schools...\Dad decided to open a studio in the countryside, response:	so we left Tokyo,
context: My first time switching schools...\Dad decided to open a studio in the countryside,\so we left Tokyo, response:	and I changed schools.
context: My first time switching schools...\Dad decided to open a studio in the countryside,\so we left Tokyo,\and I changed schools. response:	I wonder if I'll be okay
context: My first time switching schools...\Dad decided to open a studio in the countryside,\so we left Tokyo,\and I changed schools.\I wonder if I'll be okay response:	in my new place.
context: My first time switching schools...\Dad decided to open a studio in the countryside,\so we left Tokyo,\and I changed schools.\I wonder if I'll be okay\in my new place. response:	Episode 12 Fireworks (Once Again)
context: My first time switching schools...\Dad decided to open a studio in the countryside,\so we left Tokyo,\and I changed schools.\I wonder if I'll be okay\in my new place.\Episode 12 Fireworks (Once Again) response:	Are you okay?
context: My first time switching schools...\Dad decided to open a studio in the countryside,\so we left Tokyo,\and I changed schools.\I wonder if I'll be okay\in my new place.\Episode 12 Fireworks (Once Again)\Are you okay? response:	Yes, I'm fine.
context: Dad decided to open a studio in the countryside,\so we left Tokyo,\and I changed schools.\I wonder if I'll be okay\in my new place.\Episode 12 Fireworks (Once Again)\Are you okay?\Yes, I'm fine. response:	Thank you.
context: so we left Tokyo,\and I changed schools.\I wonder if I'll be okay\in my new place.\Episode 12 Fireworks (Once Again)\Are you okay?\Yes, I'm fine.\Thank you. response:	No worries.
context: and I changed schools.\I wonder if I'll be okay\in my new place.\Episode 12 Fireworks (Once Again)\Are you okay?\Yes, I'm fine.\Thank you.\No worries. response:	Bye.
context: I wonder if I'll be okay\in my new place.\Episode 12 Fireworks (Once Again)\Are you okay?\Yes, I'm fine.\Thank you.\No worries.\Bye. response:	Wait.
context: in my new place.\Episode 12 Fireworks (Once Again)\Are you okay?\Yes, I'm fine.\Thank you.\No worries.\Bye.\Wait. response:	Hinode-hama Port Station
context: Episode 12 Fireworks (Once Again)\Are you okay?\Yes, I'm fine.\Thank you.\No worries.\Bye.\Wait.\Hinode-hama Port Station response:	Over here.
context: Are you okay?\Yes, I'm fine.\Thank you.\No worries.\Bye.\Wait.\Hinode-hama Port Station\Over here. response:	It's the harbor!
context: Yes, I'm fine.\Thank you.\No worries.\Bye.\Wait.\Hinode-hama Port Station\Over here.\It's the harbor! response:	I'm Touko Fukami.
context: Thank you.\No worries.\Bye.\Wait.\Hinode-hama Port Station\Over here.\It's the harbor!\I'm Touko Fukami. response:	I'm Kakeru Okikura.
context: No worries.\Bye.\Wait.\Hinode-hama Port Station\Over here.\It's the harbor!\I'm Touko Fukami.\I'm Kakeru Okikura. response:	Thanks again for before.
context: Bye.\Wait.\Hinode-hama Port Station\Over here.\It's the harbor!\I'm Touko Fukami.\I'm Kakeru Okikura.\Thanks again for before. response:	The fireworks.
context: Wait.\Hinode-hama Port Station\Over here.\It's the harbor!\I'm Touko Fukami.\I'm Kakeru Okikura.\Thanks again for before.\The fireworks. response:	You're here for the fireworks, right?
context: Hinode-hama Port Station\Over here.\It's the harbor!\I'm Touko Fukami.\I'm Kakeru Okikura.\Thanks again for before.\The fireworks.\You're here for the fireworks, right? response:	Not too many are around yet, but there'll be more people.
context: Over here.\It's the harbor!\I'm Touko Fukami.\I'm Kakeru Okikura.\Thanks again for before.\The fireworks.\You're here for the fireworks, right?\Not too many are around yet, but there'll be more people. response:	I moved here.
context: It's the harbor!\I'm Touko Fukami.\I'm Kakeru Okikura.\Thanks again for before.\The fireworks.\You're here for the fireworks, right?\Not too many are around yet, but there'll be more people.\I moved here. response:	There's a fireworks festival today?
context: I'm Touko Fukami.\I'm Kakeru Okikura.\Thanks again for before.\The fireworks.\You're here for the fireworks, right?\Not too many are around yet, but there'll be more people.\I moved here.\There's a fireworks festival today? response:	Yeah.
context: I'm Kakeru Okikura.\Thanks again for before.\The fireworks.\You're here for the fireworks, right?\Not too many are around yet, but there'll be more people.\I moved here.\There's a fireworks festival today?\Yeah. response:	Oh, yeah?
