context: Kageyama Shigeo, also known as Mob. response:	A second-year in middle school.
context: Kageyama Shigeo, also known as Mob.\A second-year in middle school. response:	The second year of middle school kicks off the most sensitive period in one's life.
context: Kageyama Shigeo, also known as Mob.\A second-year in middle school.\The second year of middle school kicks off the most sensitive period in one's life. response:	People call it adolescence.
context: Kageyama Shigeo, also known as Mob.\A second-year in middle school.\The second year of middle school kicks off the most sensitive period in one's life.\People call it adolescence. response:	Some hone their bodies playing sports,
context: Kageyama Shigeo, also known as Mob.\A second-year in middle school.\The second year of middle school kicks off the most sensitive period in one's life.\People call it adolescence.\Some hone their bodies playing sports, response:	some work hard on their studies,
context: Kageyama Shigeo, also known as Mob.\A second-year in middle school.\The second year of middle school kicks off the most sensitive period in one's life.\People call it adolescence.\Some hone their bodies playing sports,\some work hard on their studies, response:	some devote themselves to their hobbies,
context: Kageyama Shigeo, also known as Mob.\A second-year in middle school.\The second year of middle school kicks off the most sensitive period in one's life.\People call it adolescence.\Some hone their bodies playing sports,\some work hard on their studies,\some devote themselves to their hobbies, response:	some polish their talents,
context: Kageyama Shigeo, also known as Mob.\A second-year in middle school.\The second year of middle school kicks off the most sensitive period in one's life.\People call it adolescence.\Some hone their bodies playing sports,\some work hard on their studies,\some devote themselves to their hobbies,\some polish their talents, response:	some rebel,
context: A second-year in middle school.\The second year of middle school kicks off the most sensitive period in one's life.\People call it adolescence.\Some hone their bodies playing sports,\some work hard on their studies,\some devote themselves to their hobbies,\some polish their talents,\some rebel, response:	and some fall for the opposite sex
context: The second year of middle school kicks off the most sensitive period in one's life.\People call it adolescence.\Some hone their bodies playing sports,\some work hard on their studies,\some devote themselves to their hobbies,\some polish their talents,\some rebel,\and some fall for the opposite sex response:	and get a taste of bittersweet love.
context: People call it adolescence.\Some hone their bodies playing sports,\some work hard on their studies,\some devote themselves to their hobbies,\some polish their talents,\some rebel,\and some fall for the opposite sex\and get a taste of bittersweet love. response:	All those youthful desires come together to form the amalgamation that is adolescence.
context: Some hone their bodies playing sports,\some work hard on their studies,\some devote themselves to their hobbies,\some polish their talents,\some rebel,\and some fall for the opposite sex\and get a taste of bittersweet love.\All those youthful desires come together to form the amalgamation that is adolescence. response:	And Mob was spending that precious time working as
context: some work hard on their studies,\some devote themselves to their hobbies,\some polish their talents,\some rebel,\and some fall for the opposite sex\and get a taste of bittersweet love.\All those youthful desires come together to form the amalgamation that is adolescence.\And Mob was spending that precious time working as response:	an assistant at a psychic business for 300 yen an hour.
context: some devote themselves to their hobbies,\some polish their talents,\some rebel,\and some fall for the opposite sex\and get a taste of bittersweet love.\All those youthful desires come together to form the amalgamation that is adolescence.\And Mob was spending that precious time working as\an assistant at a psychic business for 300 yen an hour. response:	The reason is porn sites!
context: some polish their talents,\some rebel,\and some fall for the opposite sex\and get a taste of bittersweet love.\All those youthful desires come together to form the amalgamation that is adolescence.\And Mob was spending that precious time working as\an assistant at a psychic business for 300 yen an hour.\The reason is porn sites! response:	What?!
context: some rebel,\and some fall for the opposite sex\and get a taste of bittersweet love.\All those youthful desires come together to form the amalgamation that is adolescence.\And Mob was spending that precious time working as\an assistant at a psychic business for 300 yen an hour.\The reason is porn sites!\What?! response:	Porn sites...?
context: and some fall for the opposite sex\and get a taste of bittersweet love.\All those youthful desires come together to form the amalgamation that is adolescence.\And Mob was spending that precious time working as\an assistant at a psychic business for 300 yen an hour.\The reason is porn sites!\What?!\Porn sites...? response:	Yes! The curse that is on your shoulder is
context: and get a taste of bittersweet love.\All those youthful desires come together to form the amalgamation that is adolescence.\And Mob was spending that precious time working as\an assistant at a psychic business for 300 yen an hour.\The reason is porn sites!\What?!\Porn sites...?\Yes! The curse that is on your shoulder is response:	a terrible one-click curse!
context: All those youthful desires come together to form the amalgamation that is adolescence.\And Mob was spending that precious time working as\an assistant at a psychic business for 300 yen an hour.\The reason is porn sites!\What?!\Porn sites...?\Yes! The curse that is on your shoulder is\a terrible one-click curse! response:	Doubts About Youth The Telepathy Club Appears
context: And Mob was spending that precious time working as\an assistant at a psychic business for 300 yen an hour.\The reason is porn sites!\What?!\Porn sites...?\Yes! The curse that is on your shoulder is\a terrible one-click curse!\Doubts About Youth The Telepathy Club Appears response:	Spirits and Such Consultation Office
context: an assistant at a psychic business for 300 yen an hour.\The reason is porn sites!\What?!\Porn sites...?\Yes! The curse that is on your shoulder is\a terrible one-click curse!\Doubts About Youth The Telepathy Club Appears\Spirits and Such Consultation Office response:	A-A one-click curse from porn sites?
context: The reason is porn sites!\What?!\Porn sites...?\Yes! The curse that is on your shoulder is\a terrible one-click curse!\Doubts About Youth The Telepathy Club Appears\Spirits and Such Consultation Office\A-A one-click curse from porn sites? response:	They use illegal 18+ sites to curse your shoulder
context: What?!\Porn sites...?\Yes! The curse that is on your shoulder is\a terrible one-click curse!\Doubts About Youth The Telepathy Club Appears\Spirits and Such Consultation Office\A-A one-click curse from porn sites?\They use illegal 18+ sites to curse your shoulder response:	and make you pay fees.
context: Porn sites...?\Yes! The curse that is on your shoulder is\a terrible one-click curse!\Doubts About Youth The Telepathy Club Appears\Spirits and Such Consultation Office\A-A one-click curse from porn sites?\They use illegal 18+ sites to curse your shoulder\and make you pay fees. response:	Curses nowadays are becoming digital, too.
context: Yes! The curse that is on your shoulder is\a terrible one-click curse!\Doubts About Youth The Telepathy Club Appears\Spirits and Such Consultation Office\A-A one-click curse from porn sites?\They use illegal 18+ sites to curse your shoulder\and make you pay fees.\Curses nowadays are becoming digital, too. response:	Who the hell would believe that hogwash?
context: a terrible one-click curse!\Doubts About Youth The Telepathy Club Appears\Spirits and Such Consultation Office\A-A one-click curse from porn sites?\They use illegal 18+ sites to curse your shoulder\and make you pay fees.\Curses nowadays are becoming digital, too.\Who the hell would believe that hogwash? response:	Just don't move for a second. I'll lift the curse now.
context: Doubts About Youth The Telepathy Club Appears\Spirits and Such Consultation Office\A-A one-click curse from porn sites?\They use illegal 18+ sites to curse your shoulder\and make you pay fees.\Curses nowadays are becoming digital, too.\Who the hell would believe that hogwash?\Just don't move for a second. I'll lift the curse now. response:	No, it's fine!
context: Spirits and Such Consultation Office\A-A one-click curse from porn sites?\They use illegal 18+ sites to curse your shoulder\and make you pay fees.\Curses nowadays are becoming digital, too.\Who the hell would believe that hogwash?\Just don't move for a second. I'll lift the curse now.\No, it's fine! response:	Your right shoulder is stiff The curse is strong.
context: A-A one-click curse from porn sites?\They use illegal 18+ sites to curse your shoulder\and make you pay fees.\Curses nowadays are becoming digital, too.\Who the hell would believe that hogwash?\Just don't move for a second. I'll lift the curse now.\No, it's fine!\Your right shoulder is stiff The curse is strong. response:	Hey! I'm not paying for this. Sto
context: They use illegal 18+ sites to curse your shoulder\and make you pay fees.\Curses nowadays are becoming digital, too.\Who the hell would believe that hogwash?\Just don't move for a second. I'll lift the curse now.\No, it's fine!\Your right shoulder is stiff The curse is strong.\Hey! I'm not paying for this. Sto response:	H-Huh? It actually feels good?
context: and make you pay fees.\Curses nowadays are becoming digital, too.\Who the hell would believe that hogwash?\Just don't move for a second. I'll lift the curse now.\No, it's fine!\Your right shoulder is stiff The curse is strong.\Hey! I'm not paying for this. Sto\H-Huh? It actually feels good? response:	Sorcery Crush!
context: Curses nowadays are becoming digital, too.\Who the hell would believe that hogwash?\Just don't move for a second. I'll lift the curse now.\No, it's fine!\Your right shoulder is stiff The curse is strong.\Hey! I'm not paying for this. Sto\H-Huh? It actually feels good?\Sorcery Crush! response:	Sorcery Crush
context: Who the hell would believe that hogwash?\Just don't move for a second. I'll lift the curse now.\No, it's fine!\Your right shoulder is stiff The curse is strong.\Hey! I'm not paying for this. Sto\H-Huh? It actually feels good?\Sorcery Crush!\Sorcery Crush response:	It's finished!
context: Just don't move for a second. I'll lift the curse now.\No, it's fine!\Your right shoulder is stiff The curse is strong.\Hey! I'm not paying for this. Sto\H-Huh? It actually feels good?\Sorcery Crush!\Sorcery Crush\It's finished! response:	Reigen's special move
context: No, it's fine!\Your right shoulder is stiff The curse is strong.\Hey! I'm not paying for this. Sto\H-Huh? It actually feels good?\Sorcery Crush!\Sorcery Crush\It's finished!\Reigen's special move response:	where he relieves the stress from physical fatigue
context: Your right shoulder is stiff The curse is strong.\Hey! I'm not paying for this. Sto\H-Huh? It actually feels good?\Sorcery Crush!\Sorcery Crush\It's finished!\Reigen's special move\where he relieves the stress from physical fatigue response:	Abeshi
context: Hey! I'm not paying for this. Sto\H-Huh? It actually feels good?\Sorcery Crush!\Sorcery Crush\It's finished!\Reigen's special move\where he relieves the stress from physical fatigue\Abeshi response:	and gets ride of stiff shoulders and back pain.
context: H-Huh? It actually feels good?\Sorcery Crush!\Sorcery Crush\It's finished!\Reigen's special move\where he relieves the stress from physical fatigue\Abeshi\and gets ride of stiff shoulders and back pain. response:	I believe that I was able to lift the curse,
context: Sorcery Crush!\Sorcery Crush\It's finished!\Reigen's special move\where he relieves the stress from physical fatigue\Abeshi\and gets ride of stiff shoulders and back pain.\I believe that I was able to lift the curse, response:	but do your shoulders still feel heavy?
context: Sorcery Crush\It's finished!\Reigen's special move\where he relieves the stress from physical fatigue\Abeshi\and gets ride of stiff shoulders and back pain.\I believe that I was able to lift the curse,\but do your shoulders still feel heavy? response:	I'm sorry that I doubted you. I feel much better!
context: It's finished!\Reigen's special move\where he relieves the stress from physical fatigue\Abeshi\and gets ride of stiff shoulders and back pain.\I believe that I was able to lift the curse,\but do your shoulders still feel heavy?\I'm sorry that I doubted you. I feel much better! response:	May I come again?
context: Reigen's special move\where he relieves the stress from physical fatigue\Abeshi\and gets ride of stiff shoulders and back pain.\I believe that I was able to lift the curse,\but do your shoulders still feel heavy?\I'm sorry that I doubted you. I feel much better!\May I come again? response:	Of course!
context: where he relieves the stress from physical fatigue\Abeshi\and gets ride of stiff shoulders and back pain.\I believe that I was able to lift the curse,\but do your shoulders still feel heavy?\I'm sorry that I doubted you. I feel much better!\May I come again?\Of course! response:	Reception
context: Abeshi\and gets ride of stiff shoulders and back pain.\I believe that I was able to lift the curse,\but do your shoulders still feel heavy?\I'm sorry that I doubted you. I feel much better!\May I come again?\Of course!\Reception response:	Manual
context: and gets ride of stiff shoulders and back pain.\I believe that I was able to lift the curse,\but do your shoulders still feel heavy?\I'm sorry that I doubted you. I feel much better!\May I come again?\Of course!\Reception\Manual response:	If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!
context: I believe that I was able to lift the curse,\but do your shoulders still feel heavy?\I'm sorry that I doubted you. I feel much better!\May I come again?\Of course!\Reception\Manual\If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!! response:	This Month Only
context: but do your shoulders still feel heavy?\I'm sorry that I doubted you. I feel much better!\May I come again?\Of course!\Reception\Manual\If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only response:	So the 40-minute massage course fee comes to 3,800 yen.
context: I'm sorry that I doubted you. I feel much better!\May I come again?\Of course!\Reception\Manual\If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\So the 40-minute massage course fee comes to 3,800 yen. response:	You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!
context: May I come again?\Of course!\Reception\Manual\If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\So the 40-minute massage course fee comes to 3,800 yen.\You idiot! Don't call it the massage fee! Call it the curse-dispelling fee! response:	Your change is 200 yen.
context: Of course!\Reception\Manual\If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\So the 40-minute massage course fee comes to 3,800 yen.\You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!\Your change is 200 yen. response:	Here. You'll eat some won't you, Mob?
context: Reception\Manual\If there are 3 evil spirits, the exorcism fee on 1 of them will be on the house!!\This Month Only\So the 40-minute massage course fee comes to 3,800 yen.\You idiot! Don't call it the massage fee! Call it the curse-dispelling fee!\Your change is 200 yen.\Here. You'll eat some won't you, Mob? response:	Oh, sure. I'll have some.
