context: There you go, making that face again, response:	biting onto your lips.
context: There you go, making that face again,\biting onto your lips. response:	You're hiding your weak side,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side, response:	but deep in those eyes,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes, response:	I can see you cowering.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering. response:	If you had a true heart,
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart, response:	you would care, cry, call for someone and worry.
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry. response:	Why are you holding onto the pain?
context: There you go, making that face again,\biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain? response:	Share some of it with me.
context: biting onto your lips.\You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me. response:	If you don't think it's possible right away,
context: You're hiding your weak side,\but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away, response:	you can do it slowly, bit by bit.
context: but deep in those eyes,\I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit. response:	We don't have wings,
context: I can see you cowering.\If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings, response:	but I'm sure we're only finding times that we can't fly.
context: If you had a true heart,\you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly. response:	I'll call for you to the limits of my voice
context: you would care, cry, call for someone and worry.\Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice response:	so that you won't get lost.
context: Why are you holding onto the pain?\Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost. response:	Soar up to the sky with your gentle heart,
context: Share some of it with me.\If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart, response:	ride on that wind, and get it all at once.
context: If you don't think it's possible right away,\you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once. response:	Where is she?
context: you can do it slowly, bit by bit.\We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Where is she? response:	Where did she go?
context: We don't have wings,\but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Where is she?\Where did she go? response:	Where is she? Where is that woman?
context: but I'm sure we're only finding times that we can't fly.\I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Where is she?\Where did she go?\Where is she? Where is that woman? response:	Where is she? Where did she go?
context: I'll call for you to the limits of my voice\so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Where is she?\Where did she go?\Where is she? Where is that woman?\Where is she? Where did she go? response:	Where did that woman go?
context: so that you won't get lost.\Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Where is she?\Where did she go?\Where is she? Where is that woman?\Where is she? Where did she go?\Where did that woman go? response:	If you want a part-time job, then you should work at the beach! At a beach house!
context: Soar up to the sky with your gentle heart,\ride on that wind, and get it all at once.\Where is she?\Where did she go?\Where is she? Where is that woman?\Where is she? Where did she go?\Where did that woman go?\If you want a part-time job, then you should work at the beach! At a beach house! response:	Ah, the beach, huh?
context: ride on that wind, and get it all at once.\Where is she?\Where did she go?\Where is she? Where is that woman?\Where is she? Where did she go?\Where did that woman go?\If you want a part-time job, then you should work at the beach! At a beach house!\Ah, the beach, huh? response:	Maybe I'll meet someone.
context: Where is she?\Where did she go?\Where is she? Where is that woman?\Where is she? Where did she go?\Where did that woman go?\If you want a part-time job, then you should work at the beach! At a beach house!\Ah, the beach, huh?\Maybe I'll meet someone. response:	That could happen! It'll happ-
context: Where did she go?\Where is she? Where is that woman?\Where is she? Where did she go?\Where did that woman go?\If you want a part-time job, then you should work at the beach! At a beach house!\Ah, the beach, huh?\Maybe I'll meet someone.\That could happen! It'll happ- response:	Natsume?
