context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	The Thread of Light
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Thread of Light response:	Gen's at it again!
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Thread of Light\Gen's at it again! response:	Come on!
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Thread of Light\Gen's at it again!\Come on! response:	Cut it out!
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\The Thread of Light\Gen's at it again!\Come on!\Cut it out! response:	Hit him back!
context: Mushi-Shi\Just for you\Like I used to\The Thread of Light\Gen's at it again!\Come on!\Cut it out!\Hit him back! response:	Someone stop him!
context: Just for you\Like I used to\The Thread of Light\Gen's at it again!\Come on!\Cut it out!\Hit him back!\Someone stop him! response:	Cut it out already!
context: Like I used to\The Thread of Light\Gen's at it again!\Come on!\Cut it out!\Hit him back!\Someone stop him!\Cut it out already! response:	Hey!
context: The Thread of Light\Gen's at it again!\Come on!\Cut it out!\Hit him back!\Someone stop him!\Cut it out already!\Hey! response:	What's going on here?
context: Gen's at it again!\Come on!\Cut it out!\Hit him back!\Someone stop him!\Cut it out already!\Hey!\What's going on here? response:	That's enough!
context: Come on!\Cut it out!\Hit him back!\Someone stop him!\Cut it out already!\Hey!\What's going on here?\That's enough! response:	Good grief.
context: Cut it out!\Hit him back!\Someone stop him!\Cut it out already!\Hey!\What's going on here?\That's enough!\Good grief. response:	This time, it was with a much older boy.
context: Hit him back!\Someone stop him!\Cut it out already!\Hey!\What's going on here?\That's enough!\Good grief.\This time, it was with a much older boy. response:	How in the world is he so strong?
context: Someone stop him!\Cut it out already!\Hey!\What's going on here?\That's enough!\Good grief.\This time, it was with a much older boy.\How in the world is he so strong? response:	And that temper of his... He's uncontrollable!
context: Cut it out already!\Hey!\What's going on here?\That's enough!\Good grief.\This time, it was with a much older boy.\How in the world is he so strong?\And that temper of his... He's uncontrollable! response:	There's no telling what he might do next.
context: Hey!\What's going on here?\That's enough!\Good grief.\This time, it was with a much older boy.\How in the world is he so strong?\And that temper of his... He's uncontrollable!\There's no telling what he might do next. response:	I don't even want to think about it.
context: What's going on here?\That's enough!\Good grief.\This time, it was with a much older boy.\How in the world is he so strong?\And that temper of his... He's uncontrollable!\There's no telling what he might do next.\I don't even want to think about it. response:	Gen!
context: That's enough!\Good grief.\This time, it was with a much older boy.\How in the world is he so strong?\And that temper of his... He's uncontrollable!\There's no telling what he might do next.\I don't even want to think about it.\Gen! response:	What happened to your face?
context: Good grief.\This time, it was with a much older boy.\How in the world is he so strong?\And that temper of his... He's uncontrollable!\There's no telling what he might do next.\I don't even want to think about it.\Gen!\What happened to your face? response:	Did you get in another fight?
context: This time, it was with a much older boy.\How in the world is he so strong?\And that temper of his... He's uncontrollable!\There's no telling what he might do next.\I don't even want to think about it.\Gen!\What happened to your face?\Did you get in another fight? response:	Who was it this time?
context: How in the world is he so strong?\And that temper of his... He's uncontrollable!\There's no telling what he might do next.\I don't even want to think about it.\Gen!\What happened to your face?\Did you get in another fight?\Who was it this time? response:	They started it.
context: And that temper of his... He's uncontrollable!\There's no telling what he might do next.\I don't even want to think about it.\Gen!\What happened to your face?\Did you get in another fight?\Who was it this time?\They started it. response:	They were talking about me behind my back.
context: There's no telling what he might do next.\I don't even want to think about it.\Gen!\What happened to your face?\Did you get in another fight?\Who was it this time?\They started it.\They were talking about me behind my back. response:	About Mom?
context: I don't even want to think about it.\Gen!\What happened to your face?\Did you get in another fight?\Who was it this time?\They started it.\They were talking about me behind my back.\About Mom? response:	They said it's all a lie.
context: Gen!\What happened to your face?\Did you get in another fight?\Who was it this time?\They started it.\They were talking about me behind my back.\About Mom?\They said it's all a lie. response:	They said she left because she hated me, not because she's sick.
context: What happened to your face?\Did you get in another fight?\Who was it this time?\They started it.\They were talking about me behind my back.\About Mom?\They said it's all a lie.\They said she left because she hated me, not because she's sick. response:	Of course it's not a lie!
context: Did you get in another fight?\Who was it this time?\They started it.\They were talking about me behind my back.\About Mom?\They said it's all a lie.\They said she left because she hated me, not because she's sick.\Of course it's not a lie! response:	If you behave,
context: Who was it this time?\They started it.\They were talking about me behind my back.\About Mom?\They said it's all a lie.\They said she left because she hated me, not because she's sick.\Of course it's not a lie!\If you behave, response:	Mom will get better soon and
context: They started it.\They were talking about me behind my back.\About Mom?\They said it's all a lie.\They said she left because she hated me, not because she's sick.\Of course it's not a lie!\If you behave,\Mom will get better soon and response:	It is a lie!
context: They were talking about me behind my back.\About Mom?\They said it's all a lie.\They said she left because she hated me, not because she's sick.\Of course it's not a lie!\If you behave,\Mom will get better soon and\It is a lie! response:	She got sick because she had me.
context: About Mom?\They said it's all a lie.\They said she left because she hated me, not because she's sick.\Of course it's not a lie!\If you behave,\Mom will get better soon and\It is a lie!\She got sick because she had me. response:	No wonder she doesn't want to see me!
context: They said it's all a lie.\They said she left because she hated me, not because she's sick.\Of course it's not a lie!\If you behave,\Mom will get better soon and\It is a lie!\She got sick because she had me.\No wonder she doesn't want to see me! response:	Gen! That's not true!
context: They said she left because she hated me, not because she's sick.\Of course it's not a lie!\If you behave,\Mom will get better soon and\It is a lie!\She got sick because she had me.\No wonder she doesn't want to see me!\Gen! That's not true! response:	Please listen to your father for one second.
context: Of course it's not a lie!\If you behave,\Mom will get better soon and\It is a lie!\She got sick because she had me.\No wonder she doesn't want to see me!\Gen! That's not true!\Please listen to your father for one second. response:	You're just so full of energy that she can hardly bear to see you while she's so ill.
context: If you behave,\Mom will get better soon and\It is a lie!\She got sick because she had me.\No wonder she doesn't want to see me!\Gen! That's not true!\Please listen to your father for one second.\You're just so full of energy that she can hardly bear to see you while she's so ill. response:	You understand?
context: Mom will get better soon and\It is a lie!\She got sick because she had me.\No wonder she doesn't want to see me!\Gen! That's not true!\Please listen to your father for one second.\You're just so full of energy that she can hardly bear to see you while she's so ill.\You understand? response:	Gen...
context: It is a lie!\She got sick because she had me.\No wonder she doesn't want to see me!\Gen! That's not true!\Please listen to your father for one second.\You're just so full of energy that she can hardly bear to see you while she's so ill.\You understand?\Gen... response:	What are you looking at?!
context: She got sick because she had me.\No wonder she doesn't want to see me!\Gen! That's not true!\Please listen to your father for one second.\You're just so full of energy that she can hardly bear to see you while she's so ill.\You understand?\Gen...\What are you looking at?! response:	Look at me!
context: No wonder she doesn't want to see me!\Gen! That's not true!\Please listen to your father for one second.\You're just so full of energy that she can hardly bear to see you while she's so ill.\You understand?\Gen...\What are you looking at?!\Look at me! response:	Gen!
context: Gen! That's not true!\Please listen to your father for one second.\You're just so full of energy that she can hardly bear to see you while she's so ill.\You understand?\Gen...\What are you looking at?!\Look at me!\Gen! response:	What is this?
context: Please listen to your father for one second.\You're just so full of energy that she can hardly bear to see you while she's so ill.\You understand?\Gen...\What are you looking at?!\Look at me!\Gen!\What is this? response:	It's got so many colors, and they're all moving around...
context: You're just so full of energy that she can hardly bear to see you while she's so ill.\You understand?\Gen...\What are you looking at?!\Look at me!\Gen!\What is this?\It's got so many colors, and they're all moving around... response:	It's like it's alive.
context: You understand?\Gen...\What are you looking at?!\Look at me!\Gen!\What is this?\It's got so many colors, and they're all moving around...\It's like it's alive. response:	It's so pretty.
context: Gen...\What are you looking at?!\Look at me!\Gen!\What is this?\It's got so many colors, and they're all moving around...\It's like it's alive.\It's so pretty. response:	But it's probably something else I'm not supposed to see...
context: What are you looking at?!\Look at me!\Gen!\What is this?\It's got so many colors, and they're all moving around...\It's like it's alive.\It's so pretty.\But it's probably something else I'm not supposed to see... response:	just like those.
context: Look at me!\Gen!\What is this?\It's got so many colors, and they're all moving around...\It's like it's alive.\It's so pretty.\But it's probably something else I'm not supposed to see...\just like those. response:	If I tell him I saw this, he'll get angry again.
context: Gen!\What is this?\It's got so many colors, and they're all moving around...\It's like it's alive.\It's so pretty.\But it's probably something else I'm not supposed to see...\just like those.\If I tell him I saw this, he'll get angry again. response:	There's someone up there in the sky.
context: What is this?\It's got so many colors, and they're all moving around...\It's like it's alive.\It's so pretty.\But it's probably something else I'm not supposed to see...\just like those.\If I tell him I saw this, he'll get angry again.\There's someone up there in the sky. response:	Dad, is that an angel?
context: It's got so many colors, and they're all moving around...\It's like it's alive.\It's so pretty.\But it's probably something else I'm not supposed to see...\just like those.\If I tell him I saw this, he'll get angry again.\There's someone up there in the sky.\Dad, is that an angel? response:	Gen, you...
