context: Does it hurt? response:	I hate how it's come down to this.
context: Does it hurt?\I hate how it's come down to this. response:	But I won't be able to fulfil my ambition.
context: Does it hurt?\I hate how it's come down to this.\But I won't be able to fulfil my ambition. response:	That money I gathered up from those samurai...
context: Does it hurt?\I hate how it's come down to this.\But I won't be able to fulfil my ambition.\That money I gathered up from those samurai... response:	I can't just waste it.
context: Does it hurt?\I hate how it's come down to this.\But I won't be able to fulfil my ambition.\That money I gathered up from those samurai...\I can't just waste it. response:	It's for the powerless peasants to take a stand.
context: Does it hurt?\I hate how it's come down to this.\But I won't be able to fulfil my ambition.\That money I gathered up from those samurai...\I can't just waste it.\It's for the powerless peasants to take a stand. response:	To help them take the step.
context: Does it hurt?\I hate how it's come down to this.\But I won't be able to fulfil my ambition.\That money I gathered up from those samurai...\I can't just waste it.\It's for the powerless peasants to take a stand.\To help them take the step. response:	I need you to make sure Dororo understands.
context: Does it hurt?\I hate how it's come down to this.\But I won't be able to fulfil my ambition.\That money I gathered up from those samurai...\I can't just waste it.\It's for the powerless peasants to take a stand.\To help them take the step.\I need you to make sure Dororo understands. response:	What it is we're fighting for.
context: I hate how it's come down to this.\But I won't be able to fulfil my ambition.\That money I gathered up from those samurai...\I can't just waste it.\It's for the powerless peasants to take a stand.\To help them take the step.\I need you to make sure Dororo understands.\What it is we're fighting for. response:	Okay.
context: But I won't be able to fulfil my ambition.\That money I gathered up from those samurai...\I can't just waste it.\It's for the powerless peasants to take a stand.\To help them take the step.\I need you to make sure Dororo understands.\What it is we're fighting for.\Okay. response:	I've hidden the money past the northern headland in...
context: That money I gathered up from those samurai...\I can't just waste it.\It's for the powerless peasants to take a stand.\To help them take the step.\I need you to make sure Dororo understands.\What it is we're fighting for.\Okay.\I've hidden the money past the northern headland in... response:	Wait.
context: I can't just waste it.\It's for the powerless peasants to take a stand.\To help them take the step.\I need you to make sure Dororo understands.\What it is we're fighting for.\Okay.\I've hidden the money past the northern headland in...\Wait. response:	You better not tell me.
context: It's for the powerless peasants to take a stand.\To help them take the step.\I need you to make sure Dororo understands.\What it is we're fighting for.\Okay.\I've hidden the money past the northern headland in...\Wait.\You better not tell me. response:	If you do, I might use it up.
context: To help them take the step.\I need you to make sure Dororo understands.\What it is we're fighting for.\Okay.\I've hidden the money past the northern headland in...\Wait.\You better not tell me.\If you do, I might use it up. response:	Not for any great ambition, but for Dororo alone.
context: I need you to make sure Dororo understands.\What it is we're fighting for.\Okay.\I've hidden the money past the northern headland in...\Wait.\You better not tell me.\If you do, I might use it up.\Not for any great ambition, but for Dororo alone. response:	Engrave it here.
context: What it is we're fighting for.\Okay.\I've hidden the money past the northern headland in...\Wait.\You better not tell me.\If you do, I might use it up.\Not for any great ambition, but for Dororo alone.\Engrave it here. response:	I won't be able to see it there.
context: Okay.\I've hidden the money past the northern headland in...\Wait.\You better not tell me.\If you do, I might use it up.\Not for any great ambition, but for Dororo alone.\Engrave it here.\I won't be able to see it there. response:	I will carry half of your ambition.
context: I've hidden the money past the northern headland in...\Wait.\You better not tell me.\If you do, I might use it up.\Not for any great ambition, but for Dororo alone.\Engrave it here.\I won't be able to see it there.\I will carry half of your ambition. response:	And the other half...
context: Wait.\You better not tell me.\If you do, I might use it up.\Not for any great ambition, but for Dororo alone.\Engrave it here.\I won't be able to see it there.\I will carry half of your ambition.\And the other half... response:	Betrayed this world
context: You better not tell me.\If you do, I might use it up.\Not for any great ambition, but for Dororo alone.\Engrave it here.\I won't be able to see it there.\I will carry half of your ambition.\And the other half...\Betrayed this world response:	And it simmers within
context: If you do, I might use it up.\Not for any great ambition, but for Dororo alone.\Engrave it here.\I won't be able to see it there.\I will carry half of your ambition.\And the other half...\Betrayed this world\And it simmers within response:	Rupturing my innards
context: Not for any great ambition, but for Dororo alone.\Engrave it here.\I won't be able to see it there.\I will carry half of your ambition.\And the other half...\Betrayed this world\And it simmers within\Rupturing my innards response:	Swelling a reddish black
context: Engrave it here.\I won't be able to see it there.\I will carry half of your ambition.\And the other half...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black response:	Until the sun burnt skin ruptures
context: I won't be able to see it there.\I will carry half of your ambition.\And the other half...\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures response:	There is a light in the depths of the seething darkness
